"","orig.ident","nCount_RNA","nFeature_RNA","batch","percent.mt","RNA_snn_res.0.6","seurat_clusters"
"1_CELL1_N3","au1",1592,646,"1",0,"0","0"
"1_CELL2_N2","au1",9633,1668,"1",0,"20","20"
"1_CELL6_N3","au1",1696,656,"1",0,"13","13"
"1_CELL7_N2","au1",2616,880,"1",0,"0","0"
"1_CELL8_N3","au1",2796,992,"1",0,"10","10"
"1_CELL10_N2","au1",2058,656,"1",0,"0","0"
"1_CELL11_N2","au1",2228,804,"1",0,"0","0"
"1_CELL15_N2","au1",3485,877,"1",0,"0","0"
"1_CELL17_N2","au1",1234,405,"1",0,"4","4"
"1_CELL19_N2","au1",8665,1833,"1",0,"1","1"
"1_CELL20_N3","au1",4531,1237,"1",0,"5","5"
"1_CELL23_N4","au1",2687,901,"1",0,"6","6"
"1_CELL25_N3","au1",2267,890,"1",0,"7","7"
"1_CELL29_N4","au1",2122,798,"1",0,"5","5"
"1_CELL31_N2","au1",1733,464,"1",0,"3","3"
"1_CELL32_N2","au1",2402,796,"1",0,"0","0"
"1_CELL33_N3","au1",6541,1570,"1",0,"5","5"
"1_CELL37_N4","au1",2334,657,"1",0,"5","5"
"1_CELL38_N3","au1",1764,485,"1",0,"4","4"
"1_CELL41_N1","au1",2907,834,"1",0,"12","12"
"1_CELL44_N2","au1",1366,443,"1",0,"4","4"
"1_CELL46_N2","au1",1378,608,"1",0,"5","5"
"1_CELL47_N5","au1",2461,1019,"1",0,"1","1"
"1_CELL48_N2","au1",3766,972,"1",0,"1","1"
"1_CELL52_N4","au1",1678,474,"1",0,"3","3"
"1_CELL56_N3","au1",2249,816,"1",0,"0","0"
"1_CELL60_N4","au1",1769,810,"1",0,"0","0"
"1_CELL61_N3","au1",3097,797,"1",0,"0","0"
"1_CELL62_N3","au1",2710,868,"1",0,"2","2"
"1_CELL63_N3","au1",3465,898,"1",0,"1","1"
"1_CELL69_N2","au1",3202,1030,"1",0,"21","21"
"1_CELL72_N2","au1",1935,669,"1",0,"0","0"
"1_CELL74_N4","au1",2133,647,"1",0,"0","0"
"1_CELL76_N2","au1",1941,632,"1",0,"5","5"
"1_CELL77_N2","au1",1176,593,"1",0,"0","0"
"1_CELL78_N2","au1",1754,718,"1",0,"3","3"
"1_CELL82_N3","au1",1583,596,"1",0,"6","6"
"1_CELL85_N2","au1",1549,636,"1",0,"17","17"
"1_CELL88_N3","au1",2536,742,"1",0,"9","9"
"1_CELL89_N2","au1",2152,575,"1",0,"4","4"
"1_CELL90_N3","au1",6359,1481,"1",0,"5","5"
"1_CELL91_N3","au1",3328,897,"1",0,"21","21"
"1_CELL92_N2","au1",1924,664,"1",0,"4","4"
"1_CELL100_N4","au1",5553,1495,"1",0,"2","2"
"1_CELL101_N4","au1",2365,709,"1",0,"1","1"
"1_CELL102_N3","au1",2108,819,"1",0,"2","2"
"1_CELL103_N4","au1",2219,787,"1",0,"0","0"
"1_CELL105_N1","au1",1093,560,"1",0,"0","0"
"1_CELL108_N4","au1",6316,1498,"1",0,"2","2"
