cluster,gene,rank
1,XLOC-018396#XLOC-018396,1
1,XLOC-019087#XLOC-019087,2
1,gene-evm.model.ptg000016l.38,3
1,XLOC-014495#ABCD2-HUMAN#Q9UBJ2,4
1,XLOC-018410#XLOC-018410,5
1,XLOC-003862#UBE3C-HUMAN#Q15386,6
1,XLOC-018026#XLOC-018026,7
1,XLOC-014932#CTRB1-MOUSE#Q9CR35,8
1,gene-evm.model.ptg000010l.809-1,9
1,XLOC-009528#DYRK4-HUMAN#Q9NR20,10
1,gene-evm.model.ptg000018l.739-1,11
1,XLOC-024884#4ET-HUMAN#Q9NRA8,12
1,gene-evm.model.ptg000010l.831,13
1,gene-evm.model.ptg000010l.781-1,14
1,gene-evm.model.ptg000013l.505-1,15
1,XLOC-005273#XLOC-005273,16
1,gene-evm.model.ptg000004l.478-1,17
1,XLOC-026500#XLOC-026500,18
1,XLOC-013495#XLOC-013495,19
1,XLOC-004847#XLOC-004847,20
1,XLOC-026636#XLOC-026636,21
1,XLOC-012023#XLOC-012023,22
1,XLOC-003844#SEN34-MOUSE#Q8BMZ5,23
1,gene-evm.model.ptg000031l.13-1,24
1,XLOC-023426#SPI-CYACP#Q6J201,25
1,gene-evm.model.ptg000008l.365,26
1,XLOC-003256#TRAF4-MOUSE#Q61382,27
1,gene-evm.model.ptg000019l.636,28
1,XLOC-003690#CHI1-THECC#Q41596,29
1,XLOC-011782#XLOC-011782,30
1,gene-evm.model.ptg000018l.1076,31
1,XLOC-020926#WDR24-XENLA#Q7ZX22,32
1,XLOC-016841#XLOC-016841,33
1,XLOC-002564#VAV-RAT#P54100,34
1,XLOC-024458#CPPED-DANRE#Q5U3W0,35
1,XLOC-000645#XLOC-000645,36
1,XLOC-015828#CRT-CLOAB#P52046,37
1,XLOC-025059#TSP1-XENLA#P35448,38
1,XLOC-014441#HEMK1-MOUSE#Q921L7,39
1,XLOC-004597#XLOC-004597,40
1,XLOC-020137#EXOC5-RAT#P97878,41
1,XLOC-024317#IF4H-HUMAN#Q15056,42
1,gene-evm.model.ptg000032l.236,43
1,gene-evm.model.ptg000024l.155-1,44
1,XLOC-010939#XLOC-010939,45
1,XLOC-012306#SF3A1-MOUSE#Q8K4Z5,46
1,XLOC-014865#ODPB-RAT#P49432,47
1,gene-evm.model.ptg000010l.806,48
1,gene-evm.model.ptg000007l.774,49
1,XLOC-012479#SPB3-HUMAN#P29508,50
1,XLOC-010502#XLOC-010502,51
1,XLOC-012639#XLOC-012639,52
1,XLOC-005917#XLOC-005917,53
1,XLOC-010664#XLOC-010664,54
1,gene-evm.model.ptg000003l.215,55
1,XLOC-020049#TSSP-HUMAN#Q9NQE7,56
1,XLOC-009791#ATS6-HUMAN#Q9UKP5,57
1,XLOC-014720#XLOC-014720,58
1,XLOC-025532#XLOC-025532,59
1,XLOC-010489#XLOC-010489,60
1,XLOC-021383#RPA1-HUMAN#O95602,61
1,XLOC-005072#CY24B-MOUSE#Q61093,62
1,XLOC-012348#FKB2B-RHIO9#P0C1J5,63
1,XLOC-006717#TOP2B-CHICK#O42131,64
1,XLOC-016628#MINP1-CHICK#F1NPQ2,65
1,XLOC-008362#XLOC-008362,66
1,XLOC-005501#XLOC-005501,67
1,XLOC-025731#XLOC-025731,68
1,XLOC-002160#XLOC-002160,69
1,gene-evm.model.ptg000004l.768#gene-evm.model.ptg000004l.768,70
1,XLOC-009967#UFSP1-HUMAN#Q6NVU6,71
1,XLOC-023196#RBFA-AFIC5#B6JCS1,72
1,XLOC-000434#XLOC-000434,73
1,XLOC-003416#XLOC-003416,74
1,XLOC-017446#XLOC-017446,75
1,XLOC-024924#XLOC-024924,76
1,XLOC-006577#RB11B-DIPOM#P22129,77
1,XLOC-003859#XLOC-003859,78
1,XLOC-010997#XLOC-010997,79
1,XLOC-006972#RM10-RAT#P0C2C4,80
1,XLOC-012032#XLOC-012032,81
1,XLOC-006471#ADPRH-HUMAN#P54922,82
1,XLOC-018500#XLOC-018500,83
1,gene-evm.model.ptg000004l.172-1,84
1,XLOC-022656#XLOC-022656,85
1,gene-evm.model.ptg000014l.216,86
1,XLOC-006850#MYO3A-HUMAN#Q8NEV4,87
1,XLOC-003735#XLOC-003735,88
1,gene-evm.model.ptg000002l.273,89
1,gene-evm.model.ptg000023l.892-1,90
1,XLOC-021669#RN168-XENTR#B0BLU1,91
1,XLOC-009078#XLOC-009078,92
1,XLOC-004464#NCKX4-HUMAN#Q8NFF2,93
1,XLOC-004718#3MG-HUMAN#P29372,94
1,XLOC-012620#XLOC-012620,95
1,gene-evm.model.ptg000024l.393,96
1,XLOC-006181#PACRG-BOVIN#A5PK71,97
1,XLOC-003144#ALG6-CHICK#Q802T2,98
1,XLOC-026905#XLOC-026905,99
1,gene-evm.model.ptg000006l.340,100
2,XLOC-014932#CTRB1-MOUSE#Q9CR35,1
2,XLOC-020743#TRYP-PIG#P00761,2
2,XLOC-009322#XLOC-009322,3
2,XLOC-002769#CTRB2-HUMAN#Q6GPI1,4
2,XLOC-014473#XLOC-014473,5
2,XLOC-019506#NAS15-CAEEL#P55115,6
2,XLOC-018026#XLOC-018026,7
2,XLOC-014495#ABCD2-HUMAN#Q9UBJ2,8
2,XLOC-019087#XLOC-019087,9
2,XLOC-003862#UBE3C-HUMAN#Q15386,10
2,gene-evm.model.ptg000010l.809-1,11
2,XLOC-022487#XLOC-022487,12
2,XLOC-023807#VPS53-MOUSE#Q8CCB4,13
2,XLOC-010068#ALPK2-DANRE#F1QU13,14
2,gene-evm.model.ptg000022l.93-1,15
2,XLOC-011501#DDI2-XENTR#Q497D6,16
2,XLOC-018385#XLOC-018385,17
2,XLOC-006733#IOJAP-ZYMMO#Q5NLX3,18
2,XLOC-013740#MFSD6-MOUSE#Q8CBH5,19
2,XLOC-003173#XLOC-003173,20
2,XLOC-026268#NKX25-CHICK#Q90788,21
2,XLOC-004009#L2GL2-DANRE#Q7SZE3,22
2,gene-evm.model.ptg000028l.1042#RGS17-HUMAN#Q9UGC6,23
2,XLOC-019400#XLOC-019400,24
2,XLOC-011979#MTNA-DANRE#A9JRE2,25
2,gene-evm.model.ptg000049l.41-1,26
2,XLOC-020950#XLOC-020950,27
2,XLOC-002350#XLOC-002350,28
2,XLOC-011974#XLOC-011974,29
2,XLOC-015474#XLOC-015474,30
2,XLOC-011108#P52K-HUMAN#O43422,31
2,gene-evm.model.ptg000003l.871,32
2,XLOC-022468#XLOC-022468,33
2,gene-evm.model.ptg000023l.664#PARN-DANRE#Q7ZU92,34
2,XLOC-005086#MPPD1-HUMAN#O15442,35
2,XLOC-016104#XLOC-016104,36
2,XLOC-015994#XLOC-015994,37
2,XLOC-022616#XLOC-022616,38
2,gene-evm.model.ptg000037l.46,39
2,XLOC-022118#XLOC-022118,40
2,XLOC-022206#XLOC-022206,41
2,XLOC-007612#XLOC-007612,42
2,gene-evm.model.ptg000024l.43,43
2,XLOC-002368#XLOC-002368,44
2,gene-evm.model.ptg000012l.636,45
2,XLOC-015224#QRFPR-BRAFL#C3ZQF9,46
2,XLOC-018995#XLOC-018995,47
2,XLOC-013652#HXD3-HAPBU#A8DT10,48
2,XLOC-016099#XLOC-016099,49
2,XLOC-008596#XLOC-008596,50
2,XLOC-006922#SP3-CHICK#Q90WR8,51
2,XLOC-012538#XLOC-012538,52
2,XLOC-015997#XLOC-015997,53
2,XLOC-024928#XLOC-024928,54
2,XLOC-016972#XLOC-016972,55
2,XLOC-020700#XLOC-020700,56
2,gene-evm.model.ptg000017l.19-1,57
2,XLOC-013164#XLOC-013164,58
2,XLOC-007992#CYC-CHICK#P67881,59
2,XLOC-006860#XLOC-006860,60
2,XLOC-007882#XLOC-007882,61
2,XLOC-020955#XLOC-020955,62
2,XLOC-016702#XLOC-016702,63
2,XLOC-012876#XLOC-012876,64
2,XLOC-027417#XLOC-027417,65
2,XLOC-023560#XLOC-023560,66
2,XLOC-011839#XLOC-011839,67
2,XLOC-014654#RTXE-DROME#Q9NBX4,68
2,XLOC-026103#HMX3-XENLA#Q8JJ64,69
2,XLOC-011450#PLB1-MONDO#Q06HQ7,70
2,XLOC-006416#XLOC-006416,71
2,XLOC-008963#DHB11-MOUSE#Q9EQ06,72
2,gene-evm.model.ptg000028l.827-1,73
2,XLOC-022878#TPC2L-MOUSE#Q9JME7,74
2,XLOC-020991#FUND2-PIG#Q864V5,75
2,XLOC-019502#XLOC-019502,76
2,XLOC-010433#PEO1-MOUSE#Q8CIW5,77
2,XLOC-025360#MED25-DROME#Q9VDR1,78
2,gene-evm.model.ptg000010l.20,79
2,XLOC-020335#DJC24-BOVIN#Q0VBY7,80
2,XLOC-003702#XLOC-003702,81
2,XLOC-005308#JGN1A-DANRE#Q5XJX0,82
2,XLOC-006154#XLOC-006154,83
2,gene-evm.model.ptg000027l.154-1,84
2,XLOC-012987#XLOC-012987,85
2,gene-evm.model.ptg000005l.126-1,86
2,gene-evm.model.ptg000013l.827-1,87
2,XLOC-016934#XLOC-016934,88
2,XLOC-025428#XLOC-025428,89
2,XLOC-008120#XLOC-008120,90
2,gene-evm.model.ptg000024l.495,91
2,XLOC-003136#RU2A-HUMAN#P09661,92
2,XLOC-008158#XLOC-008158,93
2,XLOC-011008#NUDT8-MOUSE#Q9CR24,94
2,gene-evm.model.ptg000031l.169,95
2,XLOC-006530#XLOC-006530,96
2,XLOC-010814#XLOC-010814,97
2,gene-evm.model.ptg000020l.1168-1,98
2,XLOC-011768#XLOC-011768,99
2,XLOC-008491#XLOC-008491,100
3,XLOC-020785#XLOC-020785,1
3,XLOC-007718#XLOC-007718,2
3,XLOC-013004#LAT3-HUMAN#O75387,3
3,XLOC-014406#ADRB1-XENLA#O42574,4
3,XLOC-005614#XLOC-005614,5
3,XLOC-016610#XLOC-016610,6
3,XLOC-016695#XLOC-016695,7
3,XLOC-014591#XLOC-014591,8
3,XLOC-016579#XLOC-016579,9
3,XLOC-014622#XLOC-014622,10
3,XLOC-005331#XLOC-005331,11
3,XLOC-014631#XLOC-014631,12
3,XLOC-012556#XLOC-012556,13
3,XLOC-014379#XLOC-014379,14
3,XLOC-007653#XLOC-007653,15
3,XLOC-013063#IGBP1-HUMAN#P78318,16
3,XLOC-005629#PDXK-HUMAN#O00764,17
3,gene-evm.model.ptg000038l.44-1,18
3,XLOC-015905#XLOC-015905,19
3,XLOC-014468#XLOC-014468,20
3,XLOC-013677#FBCD1-XENTR#Q0P4P2,21
3,XLOC-015893#XLOC-015893,22
3,XLOC-012652#XLOC-012652,23
3,XLOC-005682#XLOC-005682,24
3,XLOC-013195#XLOC-013195,25
3,gene-evm.model.ptg000037l.98-1,26
3,XLOC-014166#XLOC-014166,27
3,XLOC-000341#PDZD8-HUMAN#Q8NEN9,28
3,XLOC-013970#XLOC-013970,29
3,XLOC-005425#CAF1B-CHICK#Q5R1S9,30
3,XLOC-017032#XLOC-017032,31
3,XLOC-014929#XLOC-014929,32
3,XLOC-013510#HPRT-CHICK#Q9W719,33
3,XLOC-017030#DAPK2-HUMAN#Q9UIK4,34
3,XLOC-014946#CF276-DANRE#A8Y5T1,35
3,XLOC-013934#XLOC-013934,36
3,XLOC-005640#XLOC-005640,37
3,XLOC-016943#XLOC-016943,38
3,XLOC-005822#XLOC-005822,39
3,XLOC-013181#TWIST-XENLA#P13903,40
3,XLOC-006039#XLOC-006039,41
3,XLOC-016362#XLOC-016362,42
3,XLOC-016357#NAA35-DANRE#Q7T322,43
3,XLOC-014898#XLOC-014898,44
3,XLOC-014006#RTBS-DROME#Q95SX7,45
3,gene-evm.model.ptg000032l.277-1,46
3,XLOC-015420#XLOC-015420,47
3,XLOC-005204#SHKD-DICDI#Q54U31,48
3,XLOC-016366#BAKOR-MOUSE#Q8CDJ3,49
3,XLOC-013144#XLOC-013144,50
3,XLOC-005824#XLOC-005824,51
3,XLOC-005913#XLOC-005913,52
3,XLOC-013671#PGBM-HUMAN#P98160,53
3,XLOC-016132#XLOC-016132,54
3,XLOC-016162#XLOC-016162,55
3,XLOC-013741#IPP-HUMAN#Q9Y573,56
3,XLOC-013749#KCNQ4-HUMAN#P56696,57
3,XLOC-005581#VTA1-BOVIN#Q32L63,58
3,XLOC-013563#XLOC-013563,59
3,XLOC-013205#XLOC-013205,60
3,XLOC-007500#XLOC-007500,61
3,XLOC-015598#BCK1-YEAST#Q01389,62
3,XLOC-016227#XLOC-016227,63
3,XLOC-005723#S35A2-BOVIN#Q58DA6,64
3,XLOC-014299#UPP2-MOUSE#Q8CGR7,65
