FamilyID	Spla<1>	Dare<2>	Neve<3>	Auco<4>	Clhe<5>	TrH2<6>	TrH1<7>	ClH23<8>	HoH13<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000008	5.52397e-06	0.521301	5.18627e-05	0.00622266	0.238026	0.554753	0.639368	0.23784	0.861447	N/A	1.73765e-05	0.000478357	4.43201e-06	0.0306286	0.0149903	0.906935	0.673566
OG0000012	0.00419688	6.83306e-05	0.542811	0.0375855	0.00099562	8.34969e-07	4.27695e-13	0.0257577	0.232446	N/A	0.00543504	0.741794	0.0213367	5.2397e-05	0.0509029	0.776345	0.731131
OG0000013	0.000122322	1.61885e-13	0.957026	0.184067	0.211586	0.598673	0.163073	0.0936388	0.739782	N/A	0.000365292	0.502777	0.221895	0.0650564	0.0358402	0.807903	0.379803
OG0000015	4.29102e-06	0.0644841	0.128152	0.418012	0.000315237	0.540087	0.606624	0.637007	0.00798013	N/A	1.61903e-05	0.0133678	0.0446397	0.194811	0.210322	0.00636833	0.0815636
OG0000016	0.936914	0.0547233	0.801925	0.0297824	0.933184	0.627193	0.761351	0.000865386	0.045535	N/A	0.936914	0.0327506	0.244176	0.334243	1.13249e-09	0.350686	0.261321
OG0000020	0.0507135	1.20064e-17	0.860783	0.351588	0.447649	0.549946	0.0152952	0.841122	0.847314	N/A	0.0711301	0.103913	0.391282	0.150826	0.382791	0.530168	0.647578
OG0000025	0.14108	0.12595	0.109047	0.485363	0.0714255	1.09639e-05	8.02639e-07	0.192816	0.0890567	N/A	0.0968198	0.560889	0.858699	0.698962	2.73506e-06	0.156891	0.610434
OG0000026	0.235526	0.624634	0.00106418	0.12159	0.000513074	0.0901033	0.00133582	0.123172	9.70593e-06	N/A	0.179128	0.866611	0.491008	0.477781	0.25897	0.258829	0.264893
OG0000027	2.41669e-05	0.0524329	0.871227	0.617464	0.322433	0.0209292	0.0211511	0.69164	0.699999	N/A	3.60516e-05	0.89109	0.42523	0.325809	9.45395e-08	0.49759	0.413721
OG0000029	0.0202045	4.50975e-05	0.0209462	0.822415	0.0482794	0.5	0.5	0.5	0.5	N/A	0.0296897	1.93327e-05	0.104729	0.477831	5.36331e-11	0.5	0.5
OG0000031	0.0057928	0.960314	0.145778	0.494068	0.00165719	0.540087	0.00997238	0.557643	0.354464	N/A	0.00796147	0.664678	0.705816	0.150826	0.0490411	0.688498	0.866657
OG0000032	0.058339	0.0467307	0.000789442	0.0651786	0.362046	0.0828656	0.018261	0.000122921	8.0077e-12	N/A	0.0989671	0.267387	0.0214851	0.709225	0.55333	0.441305	0.236711
OG0000033	0.249053	4.65499e-06	0.952519	0.451968	0.301921	0.540087	0.606624	0.835162	0.571127	N/A	0.191674	0.170554	0.699769	0.920484	0.227675	0.688498	0.866657
OG0000034	0.0333638	4.82527e-12	0.927345	0.314403	0.0153089	0.0451604	0.29429	0.883858	0.6799	N/A	0.0520213	0.836853	0.00226248	0.000325532	0.00212767	0.207701	0.90434
OG0000035	0.000104319	0.45597	0.770441	0.461737	0.31239	0.519342	0.554754	0.715086	0.723697	N/A	7.23576e-05	0.879376	0.705816	0.92223	2.97984e-05	0.825096	0.449661
OG0000036	8.63721e-05	4.10629e-12	0.257625	0.440547	0.884475	0.511194	0.532472	0.664391	0.263947	N/A	0.00131491	3.60643e-06	0.545252	0.653158	9.77162e-05	0.757681	0.708429
OG0000038	8.63721e-05	1.0741e-06	0.947676	0.84349	0.578485	0.557127	0.091272	0.23784	0.406537	N/A	0.00131491	0.385504	0.881625	0.741807	0.521118	0.289922	0.882696
OG0000040	0.940392	0.0900972	0.828967	0.93821	0.0369295	0.55948	0.0214056	0.179869	0.878288	N/A	0.940392	0.608507	0.302751	0.194901	0.234746	0.74575	0.512813
OG0000043	0.175078	2.2353e-24	0.311448	0.543334	0.848421	0.516649	0.02537	0.176157	0.00336187	N/A	0.125227	0.124768	0.662735	0.734693	0.0110364	0.532152	0.781309
OG0000046	0.912401	0.420379	0.738766	0.370805	0.189245	0.147538	8.20736e-08	0.22527	0.153892	N/A	0.912401	0.446296	0.488442	0.209649	2.51879e-07	0.00551361	0.735353
OG0000047	0.000728063	4.0888e-08	0.162275	0.0131213	1.38491e-05	0.505644	0.516649	0.632599	0.639489	N/A	0.00256132	6.64063e-05	0.254355	0.640606	4.00733e-05	0.337984	0.672321
OG0000049	0.297626	5.86947e-21	0.297383	0.944457	0.555066	0.519342	0.554754	0.73534	0.744004	N/A	0.111064	0.115316	0.653548	0.726959	0.0172484	0.825096	0.781309
OG0000050	0.578027	1.15005e-12	0.027774	0.251091	0.228565	0.527286	0.00159144	0.793389	0.801274	N/A	0.691143	0.385504	0.662735	0.734693	0.117443	0.624439	0.833087
OG0000052	0.00027373	0.954311	0.0590182	0.174351	7.25579e-07	0.508431	0.0126979	0.632599	0.639489	N/A	0.000403377	0.858499	0.881625	0.161152	6.12425e-06	0.71987	0.672321
OG0000053	0.0254888	0.68848	0.162275	0.412907	0.00109604	0.508431	0.524661	0.632599	0.639489	N/A	0.0409656	0.00129491	0.000523356	0.0146421	0.000654549	0.71987	0.672321
OG0000054	0.000693557	0.00507021	0.112052	0.530754	0.742687	0.524661	0.104083	0.752912	0.761489	N/A	0.00102455	0.627313	0.132043	0.726959	0.00491976	0.849807	0.507437
OG0000055	0.201814	0.0495719	0.0165813	0.776758	0.332827	0.570959	0.00227089	0.0733074	0.332057	N/A	0.291503	0.791707	0.826871	0.643578	6.77904e-05	0.610881	0.537999
OG0000056	0.000198012	0.000116763	0.179655	0.575832	0.220204	0.532471	0.588365	0.494271	0.811377	N/A	0.00163041	0.0119314	0.884993	0.91444	0.421231	0.873229	0.84168
OG0000057	0.000865511	3.22126e-06	0.175813	0.0142429	0.657822	0.557127	0.64438	0.259475	0.167541	N/A	0.00325674	0.829859	0.607684	0.0316363	0.0753658	0.562268	0.483248
OG0000058	0.335499	7.18506e-13	0.430135	0.718379	0.945887	0.527286	0.57542	0.781615	0.467179	N/A	0.429445	0.358047	0.643576	0.718509	0.156093	0.858966	0.823123
OG0000059	0.0276549	0.443903	0.112052	0.0612559	1.08949e-08	0.00846676	0.000178001	0.143192	0.600783	N/A	0.0478149	0.021353	0.0153979	4.94867e-08	0.00457294	0.66873	0.627401
OG0000060	0.139187	0.387936	0.689543	0.660908	0.142392	0.107739	0.000130073	0.123172	0.000689712	N/A	0.335499	0.00158697	0.0541873	0.501267	0.000142237	0.610881	0.537999
OG0000061	0.352438	0.00179856	0.288639	0.430752	0.954485	0.519342	0.0295821	0.752912	0.209262	N/A	0.271877	0.134149	0.480049	0.916607	0.0134025	0.560985	0.797704
OG0000062	0.142478	0.0552783	0.128117	0.0033709	0.0589948	2.21871e-05	1.00355e-07	0.484913	0.499345	N/A	0.0869039	0.778614	0.515121	0.601715	5.75616e-05	0.750897	0.0207048
OG0000069	0.671687	0.366992	0.38014	0.245927	0.017751	0.55236	0.0167547	0.841122	0.847314	N/A	0.553013	0.822013	0.85231	0.892186	0.149017	0.264946	0.647578
OG0000071	0.0185384	0.680154	6.15894e-05	0.955765	0.0430715	0.0168064	0.532472	0.251597	0.672213	N/A	0.0106916	0.00818885	0.00198016	0.626594	0.0023899	0.757681	0.708429
OG0000072	0.523032	1.86414e-12	0.266754	0.708651	0.832575	0.522013	0.0337862	0.73534	0.744004	N/A	0.411679	0.343148	0.632705	0.709225	0.065865	0.83873	0.480596
OG0000073	0.136851	8.41642e-11	0.0491173	0.798674	0.1335	0.522013	0.00303838	0.73534	0.744004	N/A	0.286194	0.848759	0.0160269	0.353647	0.020861	0.83873	0.480596
OG0000075	0.783656	9.97582e-19	0.040751	0.932654	0.690071	0.519342	0.000758	0.73534	0.744004	N/A	0.648024	0.829859	0.244176	0.674716	0.0568389	0.825096	0.781309
OG0000077	0.646993	0.0480569	0.936492	0.373466	1.51048e-14	0.5	0.5	0.5	0.5	N/A	0.447952	0.164579	8.19606e-05	1.91661e-08	0.00248528	0.5	0.5
OG0000078	0.175078	2.05893e-05	0.0303811	0.662931	0.447649	0.508431	0.524661	0.251597	0.672213	N/A	0.125227	0.0627719	0.480049	0.754473	0.000242353	0.403476	0.708429
OG0000080	0.00383047	0.027265	1.17147e-06	0.282375	0.123578	0.5	0.5	0.5	0.5	N/A	0.00712934	2.80463e-05	0.0104041	0.92223	5.36144e-06	0.5	0.5
OG0000081	0.228616	3.30953e-14	0.250063	0.600592	0.943922	0.516649	0.547513	0.715086	0.3493	N/A	0.10492	0.0868458	0.620796	0.89647	0.0481031	0.808001	0.761598
