FamilyID	Spla<1>	Dare<2>	Neve<3>	Auco<4>	Clhe<5>	TrH2<6>	TrH1<7>	ClH23<8>	HoH13<9>	<10>	<11>	<12>	<13>	<14>	<15>	<16>	<17>
OG0000008	5	38	87	87	75	21	21	18	20	18	35	43	57	66	21	21	20
OG0000012	78	73	40	15	10	26	40	26	32	60	44	43	37	24	31	30	30
OG0000013	6	88	27	17	17	41	42	48	43	17	30	31	28	23	42	41	44
OG0000015	2	44	46	37	67	15	15	23	29	13	28	33	38	42	21	15	24
OG0000016	17	7	12	4	9	56	56	65	51	17	17	14	12	10	53	56	56
OG0000020	11	92	24	16	16	19	21	17	17	17	23	26	24	20	18	19	17
OG0000025	7	8	19	15	7	47	37	37	44	11	15	14	14	13	39	43	40
OG0000026	13	18	37	26	7	22	26	25	38	17	21	21	22	20	26	23	28
OG0000027	77	41	28	22	20	4	6	5	5	51	30	30	28	25	6	5	5
OG0000029	9	59	49	36	50	0	0	0	0	16	23	32	36	38	0	0	0
OG0000031	52	24	30	22	8	15	17	15	17	38	26	25	24	20	16	15	16
OG0000032	36	28	5	8	17	20	23	18	42	28	21	19	15	14	23	21	25
OG0000033	14	52	22	26	18	15	15	16	15	18	22	24	23	23	16	15	16
OG0000034	5	56	9	2	0	33	31	29	28	10	15	15	10	4	29	32	29
OG0000035	66	28	22	27	19	7	7	6	6	44	25	25	24	24	7	7	6
OG0000036	1	77	33	32	29	4	4	4	3	9	18	27	28	29	4	4	4
OG0000038	1	47	18	18	15	22	23	18	21	9	18	19	19	18	20	22	20
OG0000040	19	25	16	12	6	23	25	27	25	19	19	18	16	13	24	23	25
OG0000043	9	97	14	14	17	6	7	8	4	13	17	19	18	17	7	6	7
OG0000046	9	5	7	3	2	39	47	33	28	9	9	8	7	5	32	40	31
OG0000047	2	59	32	16	53	2	2	3	3	9	17	24	26	27	3	2	3
OG0000049	9	86	13	15	13	7	7	7	7	12	16	18	17	16	7	7	7
OG0000050	15	65	10	21	12	10	8	11	11	17	18	19	18	17	11	10	11
OG0000052	52	18	12	16	50	3	4	3	3	34	19	19	19	22	3	3	3
OG0000053	4	20	32	37	53	3	3	3	3	9	14	19	26	33	3	3	3
OG0000054	52	34	11	13	14	9	8	8	8	35	21	20	17	16	9	9	8
OG0000055	5	4	17	9	6	28	31	31	26	8	10	10	10	9	27	28	28
OG0000056	1	41	25	17	25	12	12	11	12	8	16	20	20	20	12	12	12
OG0000057	1	37	17	3	7	22	22	20	24	7	14	14	13	9	21	22	22
OG0000058	11	62	13	13	14	10	10	10	9	14	16	17	16	15	10	10	10
OG0000059	2	15	11	43	73	1	4	1	2	6	10	13	17	33	2	2	2
OG0000060	18	4	4	4	1	27	32	25	35	14	11	7	5	4	27	28	28
