#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
OG0000008	0.271524	9.52006e-73	4.10522e-27	2.31902e-46	N/S
OG0000008	0.829438	3.11253e-40	4.10522e-27	7.5819e-14	N/S
OG0000008	1.89904	4.10522e-27	4.10522e-27	1	*
OG0000012	0.271524	9.22748e-87	1.35948e-36	6.7875e-51	N/S
OG0000012	0.829438	2.20107e-51	1.35948e-36	1.61905e-15	N/S
OG0000012	1.89904	1.35948e-36	1.35948e-36	1	*
OG0000013	0.271524	3.28708e-69	1.20345e-25	2.73138e-44	N/S
OG0000013	0.829438	1.15744e-37	1.20345e-25	9.61765e-13	N/S
OG0000013	1.89904	1.20345e-25	1.20345e-25	1	*
OG0000015	0.271524	1.72366e-60	1.59275e-24	1.08219e-36	N/S
OG0000015	0.829438	7.38738e-35	1.59275e-24	4.63812e-11	N/S
OG0000015	1.89904	1.59275e-24	1.59275e-24	1	*
OG0000016	0.271524	7.26324e-50	2.53142e-21	2.86924e-29	N/S
OG0000016	0.829438	3.07232e-29	2.53142e-21	1.21368e-08	N/S
OG0000016	1.89904	2.53142e-21	2.53142e-21	1	*
OG0000020	0.271524	1.99806e-63	1.09522e-24	1.82434e-39	N/S
OG0000020	0.829438	8.19588e-36	1.09522e-24	7.4833e-12	N/S
OG0000020	1.89904	1.09522e-24	1.09522e-24	1	*
OG0000025	0.271524	1.44064e-52	2.54784e-25	5.65435e-28	N/S
OG0000025	0.829438	2.86969e-33	2.54784e-25	1.12632e-08	N/S
OG0000025	1.89904	2.54784e-25	2.54784e-25	1	*
OG0000026	0.271524	1.65577e-47	1.6552e-22	1.00034e-25	N/S
OG0000026	0.829438	9.57257e-30	1.6552e-22	5.78333e-08	N/S
OG0000026	1.89904	1.6552e-22	1.6552e-22	1	*
OG0000027	0.271524	2.48432e-57	1.82633e-23	1.36028e-34	N/S
OG0000027	0.829438	6.70531e-33	1.82633e-23	3.67147e-10	N/S
OG0000027	1.89904	1.82633e-23	1.82633e-23	1	*
OG0000029	0.271524	2.96922e-62	7.3016e-24	4.06653e-39	N/S
OG0000029	0.829438	1.18719e-35	7.3016e-24	1.62594e-12	N/S
OG0000029	1.89904	7.3016e-24	7.3016e-24	1	*
OG0000031	0.271524	2.71607e-36	2.62032e-18	1.03654e-18	N/S
OG0000031	0.829438	1.21882e-22	2.62032e-18	4.65142e-05	N/S
OG0000031	1.89904	2.62019e-18	2.62032e-18	0.999953	*
OG0000032	0.271524	1.68879e-61	1.01675e-27	1.66097e-34	N/S
OG0000032	0.829438	1.0257e-38	1.01675e-27	1.0088e-11	N/S
OG0000032	1.89904	1.01675e-27	1.01675e-27	1	*
