#FamilyID	pvalue	Significant at 0.05
OG0000008	0	y
OG0000012	0	y
OG0000013	0	y
OG0000015	0	y
OG0000016	0	y
OG0000020	0	y
OG0000025	0	y
OG0000026	0	y
OG0000027	0	y
OG0000029	0	y
OG0000031	0.001	y
OG0000032	0	y
OG0000033	0.003	y
OG0000034	0	y
OG0000035	0	y
OG0000036	0	y
OG0000038	0	y
OG0000040	0.024	y
OG0000043	0	y
OG0000046	0	y
OG0000047	0	y
OG0000049	0	y
OG0000050	0	y
OG0000052	0	y
OG0000053	0	y
OG0000054	0	y
OG0000055	0	y
OG0000056	0	y
OG0000057	0	y
OG0000058	0	y
OG0000059	0	y
OG0000060	0	y
OG0000061	0.003	y
OG0000062	0	y
OG0000069	0.041	y
OG0000071	0	y
OG0000072	0	y
OG0000073	0	y
OG0000075	0	y
OG0000077	0	y
OG0000078	0	y
OG0000080	0	y
OG0000081	0	y
OG0000082	0.001	y
OG0000085	0	y
OG0000086	0	y
OG0000087	0	y
OG0000093	0	y
OG0000094	0	y
OG0000095	0.001	y
OG0000100	0	y
OG0000102	0	y
OG0000104	0	y
OG0000105	0	y
OG0000106	0	y
OG0000107	0	y
OG0000108	0	y
OG0000110	0.003	y
OG0000112	0	y
OG0000113	0	y
OG0000115	0.011	y
OG0000116	0	y
OG0000118	0	y
OG0000119	0	y
OG0000122	0	y
OG0000123	0	y
OG0000125	0	y
OG0000126	0	y
OG0000127	0	y
OG0000128	0.016	y
OG0000129	0	y
OG0000131	0	y
OG0000132	0.003	y
OG0000133	0	y
OG0000134	0	y
OG0000135	0	y
OG0000136	0.001	y
OG0000137	0	y
OG0000139	0	y
OG0000141	0	y
OG0000142	0	y
OG0000143	0	y
OG0000144	0	y
OG0000146	0	y
OG0000147	0	y
OG0000148	0	y
OG0000149	0	y
OG0000152	0	y
OG0000153	0	y
OG0000154	0	y
OG0000156	0.286	n
OG0000158	0	y
OG0000159	0	y
OG0000161	0	y
OG0000162	0	y
OG0000164	0	y
OG0000166	0	y
OG0000167	0	y
OG0000169	0.001	y
OG0000170	0.001	y
OG0000171	0.002	y
OG0000172	0	y
OG0000173	0	y
OG0000176	0	y
OG0000177	0	y
OG0000178	0	y
OG0000179	0.042	y
OG0000180	0.002	y
OG0000181	0.01	y
OG0000182	0.043	y
OG0000183	0	y
OG0000184	0	y
OG0000185	0	y
OG0000190	0.032	y
OG0000191	0	y
OG0000192	0	y
OG0000193	0	y
OG0000194	0.098	n
OG0000195	0.823	n
OG0000197	0.002	y
OG0000198	0.003	y
OG0000199	0	y
OG0000203	0.001	y
OG0000204	0.013	y
OG0000205	0.002	y
OG0000207	0.149	n
OG0000209	0	y
OG0000216	0.007	y
OG0000217	0.004	y
OG0000219	0.017	y
OG0000220	0	y
OG0000221	0.011	y
OG0000223	0	y
OG0000224	0	y
OG0000225	0.001	y
OG0000228	0	y
OG0000229	0.017	y
OG0000231	0.025	y
OG0000232	0.002	y
OG0000233	0	y
OG0000237	0.048	y
OG0000238	0	y
OG0000239	0	y
OG0000240	0	y
OG0000244	0	y
OG0000245	0.193	n
OG0000246	0.002	y
OG0000247	0.001	y
OG0000248	0	y
OG0000251	0.581	n
OG0000252	0	y
OG0000253	0.989	n
OG0000254	0.418	n
OG0000258	0.143	n
OG0000259	0	y
OG0000260	0	y
OG0000261	0	y
OG0000264	0.081	n
OG0000267	0	y
OG0000269	0.347	n
OG0000272	0	y
OG0000273	0	y
OG0000274	0	y
OG0000275	0	y
OG0000277	0.013	y
OG0000278	0	y
OG0000279	0	y
OG0000280	0	y
OG0000282	0.072	n
OG0000283	0	y
OG0000285	0.157	n
OG0000286	0.273	n
OG0000287	0.32	n
OG0000289	0	y
OG0000290	0.521	n
OG0000291	0	y
OG0000292	0.001	y
OG0000293	0	y
OG0000296	0	y
OG0000298	0.024	y
OG0000301	0	y
OG0000303	0.007	y
OG0000304	0	y
OG0000305	0.05	n
OG0000306	0.001	y
OG0000308	0	y
OG0000309	0.001	y
OG0000310	0	y
OG0000312	0	y
OG0000315	0	y
OG0000316	0.012	y
OG0000318	0.151	n
OG0000319	0.035	y
OG0000322	0	y
OG0000325	0	y
OG0000327	0.004	y
OG0000328	0	y
OG0000329	0	y
OG0000330	0.005	y
OG0000331	0	y
OG0000332	0	y
OG0000333	0	y
OG0000335	0.005	y
OG0000336	0.016	y
OG0000337	0	y
OG0000338	0	y
OG0000339	0.007	y
OG0000341	0.039	y
OG0000345	0	y
OG0000347	0.004	y
OG0000348	0.206	n
OG0000349	0	y
OG0000350	0.004	y
OG0000351	0.796	n
OG0000353	0.386	n
OG0000354	0	y
OG0000355	0.543	n
OG0000356	0	y
OG0000358	0.003	y
OG0000359	0.079	n
OG0000360	0	y
OG0000362	0.001	y
OG0000366	0	y
OG0000367	0	y
OG0000369	0	y
OG0000370	0.001	y
OG0000371	0	y
OG0000372	0.002	y
OG0000373	0	y
OG0000374	0.231	n
OG0000376	0.682	n
OG0000377	0.003	y
OG0000378	0	y
OG0000379	0	y
OG0000380	0	y
OG0000381	0.001	y
