"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"05200","05200","Pathways in cancer","134/942","235/3714",0.570212765957447,2.24816370781949,11.5231066247466,1.15390944630792e-26,3.61173656694378e-24,1.90698719021414e-24,"K00312/K00572/K04498/K08015/K09850/K08735/K09455/K04365/K04366/K08845/K00444/K09849/K01558/K08049/K08524/K08525/K08526/K05635/K06247/K03173/K03174/K06240/K06241/K05636/K02235/K02432/K10456/K08878/K03175/K09848/K02375/K02677/K08731/K04364/K04392/K07860/K07861/K02354/K02842/K04375/K04456/K03209/K00445/K04674/K08268/K09095/K04501/K08043/K08045/K08046/K04440/K04491/K03068/K04393/K04451/K02183/K00408/K01384/K19464/K02353/K04438/K06054/K07827/K07828/K02206/K00922/K02089/K02091/K05638/K04513/K04514/K17388/K03172/K02580/K04469/K04515/K09055/K04445/K04662/K21283/K04707/K02678/K09438/K07532/K12331/K10053/K00182/K08803/K09097/K15589/K05637/K09091/K02649/K19662/K19663/K02376/K08042/K08044/K08047/K00714/K15420/K07834/K05719/K03099/K03875/K04388/K08738/K02833/K02620/K02329/K12330/K02599/K01064/K08048/K08041/K06243/K01357/K06055/K04490/K04492/K06245/K13375/K13376/K13377/K04734/K04684/K06244/K04345/K06619/K05093/K05094/K04357/K01116/K05859",134
"04390","04390","Hippo signaling pathway","67/942","94/3714",0.712765957446808,2.81020463477436,10.3616430490078,3.6600860672944e-21,5.72803469531573e-19,3.024386908238e-19,"K00312/K00572/K09850/K00444/K01558/K02235/K02432/K06092/K02375/K06094/K08731/K02354/K08791/K02842/K13578/K03209/K00445/K04673/K04674/K04501/K04491/K16621/K09448/K10148/K06069/K00408/K01384/K02353/K16796/K06091/K11828/K12075/K12076/K21098/K04662/K21283/K16687/K00182/K04354/K02376/K16822/K00714/K20013/K04671/K16175/K04388/K20012/K02620/K04663/K16620/K18952/K16820/K02329/K16681/K16622/K09854/K01064/K05706/K01357/K04490/K04492/K13375/K13376/K13377/K04664/K04237/K06685",67
"04916","04916","Melanogenesis","45/942","57/3714",0.789473684210526,3.11263828360711,9.36896046194619,1.84475545391251e-17,1.92469485691539e-15,1.0162337061904e-15,"K00312/K00572/K04498/K09455/K04366/K00444/K01558/K08049/K02235/K02432/K02375/K02677/K02354/K02842/K03209/K00445/K08043/K08045/K08046/K04491/K02183/K00408/K01384/K02353/K07827/K07828/K04515/K00182/K19662/K19663/K02376/K08042/K08044/K08047/K00714/K02833/K02620/K02329/K01064/K08048/K08041/K01357/K04490/K04492/K04345",45
"04934","04934","Cushing syndrome","61/942","94/3714",0.648936170212766,2.5585445182274,8.92113613214404,3.21408593566661e-16,2.51502224465913e-14,1.32792497868331e-14,"K00312/K00572/K04958/K04365/K00444/K01558/K08049/K04851/K02235/K02432/K02375/K04854/K04855/K04856/K04877/K02354/K02842/K03209/K00445/K11839/K08043/K08045/K08046/K04491/K04914/K00408/K01384/K02353/K02206/K02089/K02091/K04353/K07836/K04515/K09186/K00182/K09097/K09187/K02376/K08042/K08044/K08047/K18437/K00714/K04850/K04853/K04857/K02620/K12473/K04913/K02329/K01064/K08048/K08041/K01357/K04490/K04492/K04684/K04959/K04960/K04345",61
"04024","04024","cAMP signaling pathway","55/942","81/3714",0.679012345679012,2.67712510812298,8.89542258237779,4.83349730892446e-16,3.02576931538671e-14,1.59759805789714e-14,"K04498/K04365/K04366/K05850/K08049/K05730/K04851/K13293/K18435/K04392/K07860/K07861/K05702/K04456/K06270/K08043/K08045/K08046/K04440/K02183/K00922/K04955/K04957/K04353/K07836/K04513/K04514/K17388/K07830/K02580/K04515/K04949/K04950/K05853/K05869/K02649/K04962/K08042/K08044/K08047/K04351/K04850/K04853/K04857/K07829/K04913/K04948/K08048/K08041/K04734/K04951/K08014/K04345/K04615/K12490",55
"04060","04060","Cytokine-cytokine receptor interaction","29/942","31/3714",0.935483870967742,3.68830901993014,8.76093563652015,1.02381746433272e-15,5.34091443893567e-14,2.81998845439011e-14,"K04667/K04675/K13578/K04673/K04674/K13567/K13568/K16621/K05503/K04670/K13596/K04662/K21283/K20013/K04671/K04388/K20012/K05497/K04663/K16620/K16622/K05496/K05495/K04666/K13375/K13376/K13377/K04664/K05504",29
"04015","04015","Rap1 signaling pathway","57/942","87/3714",0.655172413793103,2.58313200087854,8.70952137249191,1.662695413552e-15,7.43462377773964e-14,3.92546135229569e-14,"K08015/K04365/K04366/K08049/K05730/K02677/K04392/K07860/K07861/K05702/K04456/K08043/K08045/K08046/K04393/K02183/K17700/K06069/K04438/K08018/K07827/K07828/K00922/K17704/K04353/K07836/K04513/K06082/K16857/K02649/K19662/K19663/K08020/K05726/K08042/K08044/K08047/K04351/K05690/K05629/K05631/K07834/K05719/K02833/K07829/K18952/K08019/K17697/K08048/K08041/K08014/K04237/K05093/K05094/K04357/K01116/K12490",57
"04360","04360","Axon guidance","51/942","74/3714",0.689189189189189,2.71724909622999,8.69740667882305,2.26448029219326e-15,8.85977914320612e-14,4.67793955097818e-14,"K04366/K06820/K00444/K02677/K04392/K07860/K07861/K13578/K16621/K04393/K00408/K07827/K07828/K02090/K00922/K06753/K06754/K06755/K04513/K07526/K04514/K17388/K04515/K07365/K19862/K07532/K06841/K06842/K05766/K07520/K06843/K02649/K20013/K04671/K05719/K07524/K02833/K07829/K06840/K07529/K07528/K18952/K06821/K02329/K06521/K06845/K06572/K06619/K04237/K01116/K05859",51
"04921","04921","Oxytocin signaling pathway","57/942","88/3714",0.647727272727273,2.55377822814129,8.59820471356903,3.59206695178531e-15,1.24924106212089e-13,6.59595919801512e-14,"K04958/K04860/K04861/K04858/K04859/K04366/K08049/K04851/K07198/K02677/K05005/K04996/K04997/K04999/K05000/K05002/K04375/K00907/K04862/K04863/K04865/K06270/K08043/K08045/K08046/K02183/K07827/K07828/K04513/K08794/K04514/K17388/K17457/K04515/K04454/K05869/K04961/K04962/K04963/K19662/K19663/K08042/K08044/K08047/K04850/K04853/K04857/K02833/K04864/K04998/K08048/K08041/K05007/K21289/K04959/K04960/K04345",57
"05205","05205","Proteoglycans in cancer","66/942","111/3714",0.594594594594595,2.34429333792391,8.38136429694361,1.12179436346098e-14,3.51121635763287e-13,1.85391279014078e-13,"K00312/K00572/K04958/K04365/K04366/K08845/K00444/K01558/K05730/K02235/K02432/K02375/K02677/K04364/K04392/K02354/K02842/K04375/K06497/K04456/K03209/K00445/K08268/K06270/K04437/K04393/K04451/K00408/K01384/K07827/K07828/K00922/K09069/K04513/K04514/K17388/K07830/K17457/K04515/K04707/K07532/K05760/K00182/K16857/K02649/K19662/K19663/K02376/K00714/K05719/K03099/K02833/K07829/K02329/K12330/K01064/K01357/K13375/K13376/K03258/K04959/K04960/K04345/K01116/K05859/K06255",66
