"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04390","04390","Hippo signaling pathway","43/487","99/3919",0.434343434343434,3.49526061435712,9.47163348819865,5.78453163162592e-15,1.66016057827664e-12,1.2543300169631e-12,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K02354/K08791/K02842/K03209/K00445/K16621/K09448/K06069/K00408/K01384/K16796/K04662/K21283/K11828/K12075/K12076/K21098/K00182/K02376/K00714/K20013/K20012/K04663/K16620/K18952/K02329/K16681/K16622/K09854/K01064/K05706/K01357/K13375/K13376/K13377/K04664",43
"05165","05165","Human papillomavirus infection","57/487","180/3919",0.316666666666667,2.54828884325804,8.01001927512227,2.56730271040282e-12,3.68407938942805e-10,2.7834966228578e-10,"K00312/K00572/K06252/K00444/K01558/K05635/K06247/K06240/K06241/K05636/K02235/K02432/K02375/K04364/K02354/K02842/K04456/K03209/K00445/K06238/K09444/K06069/K00408/K01384/K06054/K09087/K06052/K12075/K12076/K21098/K00182/K09089/K04659/K16857/K05637/K09091/K02376/K00714/K05719/K02599/K18952/K02329/K06090/K01064/K06243/K03900/K01357/K06055/K09088/K06245/K04693/K06244/K04345/K20994/K20995/K06236/K04357",57
"05200","05200","Pathways in cancer","69/487","250/3919",0.276,2.22103490759754,7.51531667456132,1.57446726837681e-11,1.50624035341382e-09,1.13803599047587e-09,"K00312/K00572/K08735/K00444/K01558/K08524/K08525/K08526/K05635/K06247/K06240/K06241/K05636/K02235/K02432/K10456/K02375/K02677/K04364/K02354/K02842/K04375/K04456/K03209/K00445/K00408/K01384/K04438/K06054/K04514/K17388/K04515/K06052/K04662/K21283/K02678/K09438/K00182/K08803/K09097/K15589/K05637/K09091/K19662/K19663/K02376/K00714/K03068/K05719/K03875/K02599/K02329/K01064/K06243/K01357/K06055/K06245/K13375/K13376/K13377/K04684/K06244/K04345/K20994/K20995/K09291/K04357/K01116/K05859",69
"04934","04934","Cushing syndrome","36/487","96/3919",0.375,3.01771047227926,7.53902828017712,1.8098110392873e-10,1.29853942068864e-08,9.81108089718905e-09,"K00312/K00572/K00444/K01558/K04851/K02235/K02432/K02375/K04854/K04855/K04856/K04877/K02354/K02842/K03209/K00445/K04914/K00408/K01384/K04515/K09186/K00182/K09097/K09187/K02376/K00714/K04850/K04853/K04857/K12473/K04913/K02329/K01064/K01357/K04684/K04345",36
"05217","05217","Basal cell carcinoma","21/487","38/3919",0.552631578947368,4.44715227493786,8.0427302373378,2.39664517862268e-10,1.37567433252942e-08,1.03938717220268e-08,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K02354/K02842/K03209/K00445/K00408/K01384/K04662/K21283/K00182/K02376/K00714/K02329/K01064/K01357",21
"04060","04060","Cytokine-cytokine receptor interaction","19/487","33/3919",0.575757575757576,4.63325244228735,7.89449225157468,6.83883664246912e-10,3.2712435273144e-08,2.47157955850639e-08,"K04667/K16621/K05503/K04662/K21283/K20013/K20012/K05497/K04663/K16620/K16622/K05496/K05495/K04666/K13375/K13376/K13377/K04664/K05504",19
"05205","05205","Proteoglycans in cancer","40/487","120/3919",0.333333333333333,2.68240930869268,7.05035030090997,1.07900881720267e-09,4.42393615053094e-08,3.34249347885338e-08,"K00312/K00572/K00444/K01558/K05730/K02235/K02432/K02375/K02677/K04364/K02354/K02842/K04375/K06497/K04456/K03209/K00445/K00408/K01384/K09069/K04514/K17388/K04515/K00182/K16857/K19662/K19663/K02376/K00714/K05719/K02329/K01064/K01357/K13375/K13376/K04345/K06255/K06236/K01116/K05859",40
"04550","04550","Signaling pathways regulating pluripotency of stem cells","30/487","76/3919",0.394736842105263,3.17653733924133,7.21706775899238,1.50262483780238e-09,5.39066660561604e-08,4.07290416562224e-08,"K00312/K00572/K00444/K01558/K02235/K02432/K04667/K02375/K04364/K02354/K02842/K04456/K03209/K00445/K09081/K00408/K01384/K16796/K18498/K04662/K18493/K09370/K00182/K02376/K00714/K02329/K01064/K17846/K04666/K01357",30
"04310","04310","Wnt signaling pathway","32/487","87/3919",0.367816091954023,2.9598999268333,6.96311919721888,3.42774959392592e-09,1.09307125939638e-07,8.25867153624256e-08,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K02677/K02354/K02842/K03209/K00445/K00408/K01384/K17388/K04495/K04515/K00182/K02185/K19662/K19663/K02376/K00714/K03068/K02329/K01064/K02176/K02166/K02222/K01357/K04345/K04690",32
"05224","05224","Breast cancer","31/487","83/3919",0.373493975903614,3.00559115311348,6.95609026619247,3.94502262765946e-09,1.13222149413826e-07,8.55447011892472e-08,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K04364/K02354/K02842/K04456/K03209/K00445/K00408/K01384/K06054/K06052/K00182/K09091/K02376/K00714/K03068/K02599/K02329/K01064/K01357/K06055/K04684/K20994/K20995/K04357",31
"05226","05226","Gastric cancer","31/487","89/3919",0.348314606741573,2.80296703043167,6.48046931160509,2.73654668295375e-08,7.13989907279751e-07,5.39453221711457e-07,"K00312/K00572/K00444/K01558/K08524/K08525/K08526/K02235/K02432/K02375/K04364/K02354/K02842/K04456/K03209/K00445/K00408/K01384/K00182/K02376/K00714/K03068/K22244/K02329/K01064/K10955/K01357/K13375/K13376/K13377/K04357",31
"04929","04929","GnRH secretion","18/487","36/3919",0.5,4.02361396303901,6.86462715876018,3.89946261509052e-08,9.32621475442483e-07,7.0463973570934e-07,"K04851/K04854/K04855/K04856/K02677/K04997/K04999/K05000/K05002/K04456/K04955/K04956/K19662/K19663/K04850/K04853/K04857/K05004",18
"04916","04916","Melanogenesis","24/487","60/3919",0.4,3.21889117043121,6.52374977286744,5.09347411545652e-08,1.07820452742558e-06,8.14634632861433e-07,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K02677/K02354/K02842/K03209/K00445/K00408/K01384/K04515/K00182/K19662/K19663/K02376/K00714/K02329/K01064/K01357/K04345",24
"05146","05146","Amoebiasis","20/487","44/3919",0.454545454545455,3.65783087549001,6.67791495498555,5.25953428012478e-08,1.07820452742558e-06,8.14634632861433e-07,"K05635/K06247/K06240/K06241/K05636/K02677/K05699/K05637/K19662/K19663/K06243/K10955/K06245/K13375/K13376/K13377/K06244/K04345/K06236/K19720",20
"04974","04974","Protein digestion and absorption","18/487","37/3919",0.486486486486487,3.91486763971364,6.70988369066621,6.73123257526318e-08,1.28790916606702e-06,9.73076428424011e-07,"K13868/K08606/K01346/K01345/K09632/K06238/K19721/K01312/K01310/K08187/K04916/K13781/K05612/K13867/K01395/K05616/K06236/K19720",18
"05225","05225","Hepatocellular carcinoma","32/487","99/3919",0.323232323232323,2.60112417812623,6.07762623953896,1.23343446170516e-07,2.21247306568364e-06,1.67162828362674e-06,"K00312/K00572/K00444/K01558/K02235/K02432/K10456/K02375/K02677/K04364/K02354/K02842/K04375/K04456/K03209/K00445/K00408/K01384/K00182/K19662/K19663/K02376/K00714/K03068/K02329/K01064/K01357/K13375/K13376/K13377/K01116/K05859",32
"04820","04820","Cytoskeleton in muscle cells","27/487","82/3919",0.329268292682927,2.64969700005008,5.68641128601431,8.11837479867149e-07,1.37057268659925e-05,1.03553263685841e-05,"K06826/K10352/K17751/K10366/K06238/K19721/K09377/K07611/K19867/K21073/K12641/K04659/K16857/K05637/K06115/K12567/K06254/K06793/K05719/K07606/K07610/K10388/K10381/K17307/K06255/K06236/K19720",27
"04512","04512","ECM-receptor interaction","18/487","43/3919",0.418604651162791,3.36860703882336,5.88245232391684,1.12476241680962e-06,1.79337118680201e-05,1.35497694656598e-05,"K06252/K05635/K06247/K06240/K06241/K05636/K06238/K04659/K16857/K05637/K06254/K05719/K06243/K03900/K06245/K06244/K06255/K06236",18
"04921","04921","Oxytocin signaling pathway","28/487","89/3919",0.314606741573034,2.53171215651893,5.50548815202506,1.44049764054745e-06,2.17590959387958e-05,1.6440028473838e-05,"K04860/K04861/K04858/K04859/K04851/K07198/K02677/K05005/K04996/K04997/K04999/K05000/K05002/K04375/K00907/K08794/K04514/K17388/K04515/K05869/K19662/K19663/K04850/K04853/K04857/K04998/K05007/K04345",28
"04517","04517","IgSF CAM signaling","33/487","119/3919",0.277310924369748,2.23158421479475,5.13888445775069,3.95122427927881e-06,5.6700068407651e-05,4.28395895542861e-05,"K07374/K05730/K02677/K10352/K04364/K04874/K04875/K04877/K04879/K08810/K00907/K04456/K06069/K06753/K06754/K06755/K18584/K18052/K05699/K06563/K21952/K13738/K06843/K06115/K19662/K19663/K07380/K05726/K05719/K07379/K06462/K01116/K05859",33
"05410","05410","Hypertrophic cardiomyopathy","19/487","52/3919",0.365384615384615,2.94033328068236,5.3053492099203,6.44361597375718e-06,8.80627516413481e-05,6.653558348842e-05,"K04860/K04861/K04858/K04859/K04851/K07198/K17751/K10366/K12641/K05637/K12567/K04850/K04853/K04857/K05719/K07610/K13375/K13376/K13377",19
"04150","04150","mTOR signaling pathway","29/487","101/3919",0.287128712871287,2.31059019659666,5.02611818854996,7.32452536082927e-06,9.24590305089161e-05,6.98571805788987e-05,"K00312/K00572/K00444/K01558/K02235/K02432/K02375/K07198/K02677/K04364/K02354/K02842/K04456/K03209/K00445/K00408/K01384/K00182/K19662/K19663/K02376/K00714/K03068/K13780/K03875/K02329/K01064/K01357/K04690",29
"05144","05144","Malaria","9/487","14/3919",0.642857142857143,5.17321795247873,5.89179493257931,7.40960871674241e-06,9.24590305089161e-05,6.98571805788987e-05,"K04659/K16857/K06508/K04550/K06494/K06496/K13375/K13376/K13377",9
"04610","04610","Complement and coagulation cascades","9/487","15/3919",0.6,4.82833675564682,5.59530693292145,1.64967956151046e-05,0.000189431609085699,0.00014312456068826,"K01315/K03909/K03992/K03993/K01323/K01324/K01320/K03900/K06462",9
"04925","04925","Aldosterone synthesis and secretion","19/487","55/3919",0.345454545454545,2.77995146537241,5.00718921499766,1.65010112443989e-05,0.000189431609085699,0.00014312456068826,"K04851/K04854/K04855/K04856/K02677/K04999/K04914/K04919/K08794/K18050/K04515/K05869/K19662/K19663/K04850/K04853/K04857/K12473/K04345",19
