Number of species	9
Number of genes	204266
Number of genes in orthogroups	184124
Number of unassigned genes	20142
Percentage of genes in orthogroups	90.1
Percentage of unassigned genes	9.9
Number of orthogroups	19116
Number of species-specific orthogroups	6972
Number of genes in species-specific orthogroups	33780
Percentage of genes in species-specific orthogroups	16.5
Mean orthogroup size	9.6
Median orthogroup size	6.0
G50 (assigned genes)	14
G50 (all genes)	14
O50 (assigned genes)	3084
O50 (all genes)	4605
Number of orthogroups with all species present	3339
Number of single-copy orthogroups	137
Date	2025-07-22
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	11435	59.8	42214	22.9
'1	5595	29.3	65299	35.5
'2	1073	5.6	22721	12.3
'3	406	2.1	12378	6.7
'4	212	1.1	8362	4.5
'5	122	0.6	5924	3.2
'6	76	0.4	4430	2.4
'7	46	0.2	3085	1.7
'8	31	0.2	2361	1.3
'9	21	0.1	1772	1.0
'10	16	0.1	1491	0.8
11-15	46	0.2	5495	3.0
16-20	19	0.1	3102	1.7
21-50	17	0.1	4965	2.7
51-100	1	0.0	525	0.3
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	6972
2	2133
3	1178
4	1760
5	682
6	408
7	771
8	1895
9	3317
