	Auco.protein	ClH23.protein	Clhe.protein	Dare.protein	HoH13.protein	Neve.protein	Spla.protein	TrH1.protein	TrH2.protein
Number of genes	29935	12021	30403	53509	12011	21496	19390	13316	12185
Number of genes in orthogroups	27538	11865	26799	50778	11800	16697	14254	12475	11918
Number of unassigned genes	2397	156	3604	2731	211	4799	5136	841	267
Percentage of genes in orthogroups	92.0	98.7	88.1	94.9	98.2	77.7	73.5	93.7	97.8
Percentage of unassigned genes	8.0	1.3	11.9	5.1	1.8	22.3	26.5	6.3	2.2
Number of orthogroups containing species	9673	8102	9296	10039	7796	9017	7474	8329	8354
Percentage of orthogroups containing species	50.6	42.4	48.6	52.5	40.8	47.2	39.1	43.6	43.7
Number of species-specific orthogroups	1405	9	1951	2457	31	541	542	31	5
Number of genes in species-specific orthogroups	4761	18	8340	15779	80	2035	2676	80	11
Percentage of genes in species-specific orthogroups	15.9	0.1	27.4	29.5	0.7	9.5	13.8	0.6	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	9443	11014	9820	9077	11320	10099	11642	10787	10762
'1	2509	7000	3680	2800	6510	6675	5294	6810	7233
'2	5532	637	2911	2497	790	1248	1285	968	642
'3	518	167	1093	1229	180	405	368	229	186
'4	368	87	541	788	94	202	170	92	82
'5	151	44	279	494	46	109	92	51	50
'6	112	32	171	399	27	80	46	38	32
'7	68	30	131	284	26	56	48	26	18
'8	53	11	80	218	21	37	30	19	12
'9	49	8	56	163	14	29	14	13	17
'10	39	7	46	147	10	28	20	7	12
11-15	109	31	130	409	36	61	40	37	30
16-20	41	19	67	212	13	37	17	10	13
21-50	97	24	95	333	24	46	42	23	22
51-100	21	3	13	57	4	2	4	6	5
101-150	4	2	2	4	1	2	3	0	0
151-200	0	0	1	1	0	0	0	0	0
201-500	2	0	0	3	0	0	1	0	0
501-1000	0	0	0	1	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	49.4	57.6	51.4	47.5	59.2	52.8	60.9	56.4	56.3
'1	13.1	36.6	19.3	14.6	34.1	34.9	27.7	35.6	37.8
'2	28.9	3.3	15.2	13.1	4.1	6.5	6.7	5.1	3.4
'3	2.7	0.9	5.7	6.4	0.9	2.1	1.9	1.2	1.0
'4	1.9	0.5	2.8	4.1	0.5	1.1	0.9	0.5	0.4
'5	0.8	0.2	1.5	2.6	0.2	0.6	0.5	0.3	0.3
'6	0.6	0.2	0.9	2.1	0.1	0.4	0.2	0.2	0.2
'7	0.4	0.2	0.7	1.5	0.1	0.3	0.3	0.1	0.1
'8	0.3	0.1	0.4	1.1	0.1	0.2	0.2	0.1	0.1
'9	0.3	0.0	0.3	0.9	0.1	0.2	0.1	0.1	0.1
'10	0.2	0.0	0.2	0.8	0.1	0.1	0.1	0.0	0.1
11-15	0.6	0.2	0.7	2.1	0.2	0.3	0.2	0.2	0.2
16-20	0.2	0.1	0.4	1.1	0.1	0.2	0.1	0.1	0.1
21-50	0.5	0.1	0.5	1.7	0.1	0.2	0.2	0.1	0.1
51-100	0.1	0.0	0.1	0.3	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0
'1	2509	7000	3680	2800	6510	6675	5294	6810	7233
'2	11064	1274	5822	4994	1580	2496	2570	1936	1284
'3	1554	501	3279	3687	540	1215	1104	687	558
'4	1472	348	2164	3152	376	808	680	368	328
'5	755	220	1395	2470	230	545	460	255	250
'6	672	192	1026	2394	162	480	276	228	192
'7	476	210	917	1988	182	392	336	182	126
'8	424	88	640	1744	168	296	240	152	96
'9	441	72	504	1467	126	261	126	117	153
'10	390	70	460	1470	100	280	200	70	120
11-15	1395	394	1655	5181	459	779	516	461	384
