Orthogroup	Auco.protein	ClH23.protein	Clhe.protein	Dare.protein	HoH13.protein	Neve.protein	Spla.protein	TrH1.protein	TrH2.protein	Total
OG0000000	60	34	53	196	28	55	129	40	29	624
OG0000001	1	1	0	521	0	1	0	0	1	525
OG0000002	29	64	24	82	51	75	0	60	60	445
OG0000003	23	41	20	96	39	124	1	40	39	423
OG0000004	0	132	1	14	83	10	0	90	85	415
OG0000005	312	0	63	2	0	34	0	0	0	411
OG0000006	110	0	46	37	1	53	122	18	4	391
OG0000007	53	22	34	135	20	76	5	22	21	388
OG0000008	87	18	75	38	20	87	5	21	21	372
OG0000009	2	88	1	2	145	3	2	58	59	360
OG0000010	352	0	7	0	0	0	0	0	0	359
OG0000011	30	10	30	105	10	79	67	13	11	355
OG0000012	15	26	10	73	32	40	78	40	26	340
OG0000013	17	48	17	88	43	27	6	42	41	329
OG0000014	0	102	0	0	60	0	0	73	76	311
OG0000015	37	23	67	44	29	46	2	15	15	278
OG0000016	4	65	9	7	51	12	17	56	56	277
OG0000017	141	0	24	28	0	35	45	0	0	273
OG0000018	0	0	1	259	0	0	1	0	0	261
OG0000019	1	0	0	245	0	0	0	0	0	246
OG0000020	16	17	16	92	17	24	11	21	19	233
OG0000021	0	68	0	0	46	2	0	58	59	233
OG0000022	0	0	0	228	0	0	0	0	0	228
OG0000023	5	0	2	0	0	0	220	0	0	227
OG0000024	18	4	13	20	3	38	122	3	3	224
OG0000025	15	37	7	8	44	19	7	37	47	221
OG0000026	26	25	7	18	38	37	13	26	22	212
OG0000027	22	5	20	41	5	28	77	6	4	208
OG0000028	18	30	10	8	28	47	0	32	32	205
OG0000029	36	0	50	59	0	49	9	0	0	203
OG0000030	5	27	31	37	27	24	0	27	24	202
OG0000031	22	15	8	24	17	30	52	17	15	200
OG0000032	8	18	17	28	42	5	36	23	20	197
OG0000033	26	16	18	52	15	22	14	15	15	193
OG0000034	2	29	0	56	28	9	5	31	33	193
OG0000035	27	6	19	28	6	22	66	7	7	188
OG0000036	32	4	29	77	3	33	1	4	4	187
OG0000037	21	30	6	0	29	33	0	32	34	185
OG0000038	18	18	15	47	21	18	1	23	22	183
OG0000039	9	36	0	0	38	34	0	32	31	180
OG0000040	12	27	6	25	25	16	19	25	23	178
OG0000041	26	30	3	30	33	38	0	7	11	178
OG0000042	144	0	19	0	0	10	4	0	0	177
OG0000043	14	8	17	97	4	14	9	7	6	176
OG0000044	59	1	86	0	1	23	0	2	2	174
OG0000045	51	1	5	82	1	33	0	0	0	173
OG0000046	3	33	2	5	28	7	9	47	39	173
OG0000047	16	3	53	59	3	32	2	2	2	172
OG0000048	0	0	166	0	0	0	0	0	0	166
OG0000049	15	7	13	86	7	13	9	7	7	164
OG0000050	21	11	12	65	11	10	15	8	10	163
OG0000051	0	0	0	162	0	0	0	0	0	162
OG0000052	16	3	50	18	3	12	52	4	3	161
OG0000053	37	3	53	20	3	32	4	3	3	158
OG0000054	13	8	14	34	8	11	52	8	9	157
OG0000055	9	31	6	4	26	17	5	31	28	157
OG0000056	17	11	25	41	12	25	1	12	12	156
OG0000057	3	20	7	37	24	17	1	22	22	153
OG0000058	13	10	14	62	9	13	11	10	10	152
OG0000059	43	1	73	15	2	11	2	4	1	152
OG0000060	4	25	1	4	35	4	18	32	27	150
OG0000061	24	8	20	36	9	25	12	8	7	149
OG0000062	1	31	12	15	31	4	3	30	21	148
OG0000063	0	49	0	0	87	0	0	6	5	147
OG0000064	7	13	3	76	5	13	0	15	14	146
OG0000065	7	3	12	6	3	5	102	4	3	145
OG0000066	1	1	0	2	0	140	0	0	0	144
OG0000067	2	1	1	134	1	1	2	1	1	144
OG0000068	0	0	10	4	0	6	124	0	0	144
OG0000069	9	17	22	9	17	10	16	22	20	142
OG0000070	116	1	10	1	1	7	1	1	1	139
OG0000071	24	3	35	19	4	44	3	4	3	139
OG0000072	12	7	14	59	7	11	11	9	8	138
OG0000073	11	7	6	56	7	7	26	10	8	138
OG0000074	85	0	17	13	0	21	0	0	0	136
OG0000075	10	7	9	72	7	6	12	5	7	135
OG0000076	104	0	28	0	0	1	0	0	0	133
OG0000077	32	0	83	2	0	12	4	0	0	133
OG0000078	21	3	16	44	4	30	9	3	3	133
OG0000079	0	0	0	131	0	0	0	0	0	131
OG0000080	19	0	31	29	0	50	1	0	0	130
OG0000081	15	6	13	62	5	10	6	6	6	129
OG0000082	10	19	16	19	17	14	1	17	16	129
OG0000083	0	12	0	0	15	0	0	52	50	129
OG0000084	0	0	129	0	0	0	0	0	0	129
OG0000085	5	25	0	16	18	8	11	22	23	128
OG0000086	15	22	12	21	16	10	3	15	14	128
OG0000087	7	4	5	87	4	6	6	5	4	128
OG0000088	3	11	3	74	11	2	0	12	11	127
OG0000089	0	31	3	0	44	0	0	25	24	127
OG0000090	0	0	0	127	0	0	0	0	0	127
OG0000091	4	0	13	0	0	3	106	0	0	126
OG0000092	0	0	0	0	0	0	126	0	0	126
OG0000093	61	0	44	4	0	7	8	0	0	124
OG0000094	7	19	8	2	25	13	2	24	24	124
OG0000095	17	4	15	36	4	11	27	5	4	123
OG0000096	72	0	10	40	0	1	0	0	0	123
OG0000097	0	0	0	0	0	0	123	0	0	123
OG0000098	110	1	5	2	1	1	1	0	1	122
OG0000099	18	0	29	34	0	41	0	0	0	122
OG0000100	44	3	25	28	5	9	2	3	2	121
OG0000101	14	11	9	16	8	40	0	12	11	121
OG0000102	17	4	9	34	1	52	1	1	1	120
OG0000103	0	0	119	0	0	0	0	0	0	119
OG0000104	46	3	4	21	3	30	5	3	3	118
OG0000105	24	0	19	0	0	41	32	1	1	118
OG0000106	49	0	44	5	1	16	2	1	0	118
OG0000107	68	0	12	11	0	13	12	1	0	117
OG0000108	6	2	5	26	2	3	65	5	3	117
OG0000109	60	0	39	9	0	8	0	0	0	116
OG0000110	16	3	12	33	3	12	31	3	3	116
OG0000111	8	0	11	90	0	7	0	0	0	116
OG0000112	26	1	25	31	1	28	1	1	1	115
OG0000113	7	4	10	65	5	5	9	4	5	114
OG0000114	24	2	22	12	2	47	0	2	2	113
OG0000115	10	21	10	7	15	12	3	17	17	112
OG0000116	17	10	15	26	8	10	6	11	8	111
OG0000117	106	0	5	0	0	0	0	0	0	111
OG0000118	11	4	15	50	4	12	7	4	4	111
OG0000119	8	5	7	62	4	6	6	6	5	109
OG0000120	0	0	0	108	0	0	0	0	0	108
OG0000121	13	4	18	31	6	30	0	3	2	107
OG0000122	16	5	12	41	5	10	7	5	5	106
OG0000123	1	28	0	5	29	0	1	22	20	106
OG0000124	38	3	26	19	4	6	0	3	4	103
OG0000125	12	5	5	49	4	9	6	6	7	103
OG0000126	13	16	1	9	6	8	27	12	11	103
OG0000127	8	5	7	48	2	6	19	4	3	102
OG0000128	12	8	11	29	5	9	10	9	9	102
OG0000129	7	14	5	20	10	3	5	16	22	102
OG0000130	3	0	2	94	0	3	0	0	0	102
OG0000131	1	2	5	82	2	3	3	2	2	102
OG0000132	14	7	14	30	6	5	12	6	7	101
OG0000133	6	7	7	52	3	8	3	6	9	101
OG0000134	6	1	0	2	3	27	57	3	1	100
OG0000135	7	5	13	49	5	6	5	5	5	100
OG0000136	9	5	7	16	6	5	35	7	9	99
OG0000137	6	5	5	59	4	5	5	5	5	99
OG0000138	94	0	1	3	0	0	0	0	0	98
OG0000139	5	3	7	64	3	7	3	3	3	98
OG0000140	0	0	0	97	0	0	0	0	0	97
OG0000141	43	2	29	3	2	8	5	2	2	96
OG0000142	16	0	60	0	0	18	1	0	0	95
OG0000143	9	8	9	28	16	7	3	8	7	95
OG0000144	10	6	7	47	5	5	3	6	5	94
OG0000145	2	0	0	92	0	0	0	0	0	94
OG0000146	0	0	5	46	0	2	41	0	0	94
OG0000147	7	16	6	7	21	13	2	12	9	93
OG0000148	9	4	8	51	4	4	5	4	4	93
OG0000149	48	0	38	0	0	1	6	0	0	93
OG0000150	21	1	46	10	0	12	0	1	1	92
OG0000151	0	15	0	0	39	0	0	27	11	92
OG0000152	0	27	0	1	21	0	3	19	21	92
OG0000153	11	2	7	58	3	3	2	3	2	91
OG0000154	21	3	7	29	4	10	4	9	4	91
OG0000155	0	0	0	91	0	0	0	0	0	91
OG0000156	14	9	9	17	10	8	5	9	9	90
OG0000157	0	17	0	0	18	0	0	27	28	90
OG0000158	0	23	0	0	21	0	1	23	22	90
OG0000159	0	0	5	71	0	0	14	0	0	90
OG0000160	0	0	0	89	0	0	0	0	0	89
OG0000161	2	18	3	8	19	0	1	21	16	88
OG0000162	2	1	2	72	2	2	3	2	2	88
OG0000163	0	0	0	88	0	0	0	0	0	88
OG0000164	15	2	13	33	2	15	3	2	2	87
OG0000165	5	2	6	63	2	5	0	2	2	87
OG0000166	7	2	17	14	6	18	6	9	8	87
OG0000167	6	3	5	53	3	5	6	3	3	87
OG0000168	2	26	0	3	19	8	0	13	15	86
OG0000169	8	5	11	31	5	6	8	6	5	85
OG0000170	9	1	6	32	1	8	25	1	2	85
OG0000171	7	16	4	6	14	7	1	16	14	85
OG0000172	10	4	11	35	4	5	5	6	5	85
OG0000173	0	0	1	54	0	3	27	0	0	85
OG0000174	78	0	5	0	0	1	0	0	0	84
OG0000175	82	0	2	0	0	0	0	0	0	84
OG0000176	14	3	13	33	2	9	5	3	2	84
OG0000177	0	0	0	83	0	0	1	0	0	84
OG0000178	54	0	11	0	0	7	10	1	0	83
OG0000179	18	4	9	13	4	19	7	5	4	83
OG0000180	9	5	10	28	7	6	7	6	5	83
OG0000181	6	7	5	28	7	3	15	6	6	83
OG0000182	1	12	3	6	13	7	13	15	13	83
OG0000183	31	0	37	3	0	7	4	0	0	82
OG0000184	56	0	8	0	0	12	6	0	0	82
OG0000185	1	0	67	0	0	3	11	0	0	82
OG0000186	4	13	3	27	12	8	0	9	6	82
OG0000187	0	0	0	82	0	0	0	0	0	82
OG0000188	0	0	0	82	0	0	0	0	0	82
OG0000189	81	0	0	0	0	0	0	0	0	81
OG0000190	6	16	4	2	15	6	3	14	15	81
OG0000191	13	2	20	24	4	8	3	4	3	81
OG0000192	24	5	6	12	5	16	1	5	6	80
