"rank","rank_all","bestMODULE","SCORE","genes","MEAN","SD","CV","PCC_IN","PCC_OUT","resource"
1,1,TRUE,47.4543872981175,"OG0002612,OG0005723,OG0002450,OG0002725,OG0002275,OG0000156,OG0003606,OG0000086,OG0000328,OG0000053,OG0000203,OG0005351,OG0001683,OG0002242,OG0002112,OG0000290,OG0000426",0.000815753532362361,1.45797953765505,9.11960755535012,0.238446849300297,0.0302058531982091,"Placozoa_74"
2,2,TRUE,46.3065071587403,"OG0004646,OG0004629,OG0003941,OG0003379,OG0000247,OG0004010,OG0004250,OG0002876,OG0004075,OG0002801,OG0001449,OG0003804,OG0002977,OG0000540,OG0003048,OG0003847,OG0003886,OG0004895,OG0003828,OG0003773,OG0004369,OG0003326,OG0001229,OG0004413,OG0003333,OG0004490,OG0003148,OG0005961,OG0003634,OG0003769,OG0004015,OG0004502,OG0002488,OG0004812,OG0003494,OG0003465,OG0003829,OG0003702,OG0004392,OG0004295,OG0000982,OG0004002,OG0003043,OG0003154,OG0000863,OG0002707",-0.680924255787413,1.33580865938499,-2.04613531812393,0.144503516238321,0.028272197197465,"Placozoa_236"
3,3,TRUE,44.8783220761003,"OG0000442,OG0001096,OG0003248,OG0000331,OG0001937,OG0000586,OG0001002,OG0000327,OG0000164,OG0000133,OG0002929,OG0000429,OG0001901,OG0000081,OG0000082,OG0000016",0.664344348472431,1.82234964664444,4.10863564496166,0.163547582819714,0.0265643514261223,"Placozoa_194"
4,6,TRUE,35.2920545754233,"OG0002494,OG0000237,OG0006575,OG0000132,OG0000020,OG0002579,OG0000714,OG0000260,OG0000700,OG0000128,OG0000554,OG0001150,OG0000225,OG0001036,OG0004510,OG0000036,OG0000550,OG0001644,OG0000371,OG0000072,OG0000976,OG0002183",0.526451715209257,1.4626350626058,4.04522058534844,0.151807023692806,0.0295095267107864,"Placozoa_185"
5,7,TRUE,28.2395994209513,"OG0005336,OG0003238,OG0005376,OG0000483,OG0003240,OG0000332,OG0003481,OG0000799",0.300607317032485,1.42984928261759,7.18778823537975,0.157924335861206,0.0226165200846595,"Placozoa_160"
6,8,TRUE,24.5049762287833,"OG0004979,OG0000928,OG0006748,OG0002729,OG0000112,OG0004887,OG0001352,OG0000350,OG0001312",0.339606911504082,1.49460968185931,3.85068028034776,0.150253991099951,0.0274929142235459,"Placozoa_207"
7,11,TRUE,22.3779174014658,"OG0005800,OG0004822,OG0004364,OG0001444,OG0000166,OG0000723,OG0004632,OG0001145,OG0000031,OG0002197",-0.144065988315307,1.20606352349381,6.54892360540429,0.128092026784684,0.0218309489327834,"Placozoa_64"
8,12,TRUE,20.3799846345523,"OG0000403,OG0000722,OG0001451,OG0001067,OG0000058,OG0000013,OG0003295,OG0000003,OG0000348,OG0003625,OG0000424",0.502489651085572,1.44928102974046,6.2566269129094,0.0973796255095316,0.0229674721261779,"Placozoa_140"
9,15,TRUE,17.7213353663668,"OG0001732,OG0000480,OG0000115,OG0003226,OG0004373,OG0001933,OG0005883,OG0000612,OG0000245,OG0000238,OG0000190,OG0000025,OG0000038,OG0001204,OG0000139,OG0000704,OG0003321,OG0000171",-0.551743609035913,1.059550752177,-2.22795432845294,0.114049551638119,0.0289304477062409,"Placozoa_225"
10,21,TRUE,13.6414755707795,"OG0005194,OG0004955,OG0006660,OG0002227,OG0003269,OG0001402,OG0001023,OG0006706",-0.16891925232038,0.48975084752628,-3.19938853481094,0.156126509554933,0.0158538772245597,"Placozoa_241"
