"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","GO:0022626","cytosolic ribosome","42/327","161/9993",0.260869565217391,7.97207818109294,16.4032893230051,9.52522808040299e-27,4.21491342557832e-23,3.56143264648331e-23,"XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004203#RL3-DROME#O16797/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005671#RS4-CHICK#P47836/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-009955#RS16-BOVIN#Q3T0X6/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-011870#RS24-BOVIN#Q56JU9/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-015898#RS7-XENLA#P02362/XLOC-016602#RL44-CYBJA#P52809/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-020338#RS27A-DROME#P15357/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",42
"GO:0002181","GO:0002181","cytoplasmic translation","42/327","165/9993",0.254545454545455,7.77881567973311,16.1487874033743,2.78542801296571e-26,6.16275947868663e-23,5.20728436950221e-23,"XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004203#RL3-DROME#O16797/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005671#RS4-CHICK#P47836/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-009955#RS16-BOVIN#Q3T0X6/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-011870#RS24-BOVIN#Q56JU9/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-015898#RS7-XENLA#P02362/XLOC-016602#RL44-CYBJA#P52809/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-020338#RS27A-DROME#P15357/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",42
"GO:0044391","GO:0044391","ribosomal subunit","44/327","235/9993",0.187234042553191,5.72180363068515,13.4721881550979,1.13468979753385e-21,1.67366745136243e-18,1.41418181082114e-18,"XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004203#RL3-DROME#O16797/XLOC-004345#DIC-HUMAN#Q9UBX3/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005671#RS4-CHICK#P47836/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-009955#RS16-BOVIN#Q3T0X6/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-011870#RS24-BOVIN#Q56JU9/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-015898#RS7-XENLA#P02362/XLOC-016602#RL44-CYBJA#P52809/XLOC-018162#GBLP-MACFA#Q4R7Y4/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-020338#RS27A-DROME#P15357/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",44
"GO:0003735","GO:0003735","structural constituent of ribosome","41/327","207/9993",0.198067632850242,6.05287417453353,13.5113188935966,3.36983162978201e-21,3.72787624044635e-18,3.14990577604887e-18,"XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004203#RL3-DROME#O16797/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005671#RS4-CHICK#P47836/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-009955#RS16-BOVIN#Q3T0X6/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-011870#RS24-BOVIN#Q56JU9/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-016602#RL44-CYBJA#P52809/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-020338#RS27A-DROME#P15357/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",41
"GO:0005267","GO:0005267","potassium channel activity","21/327","44/9993",0.477272727272727,14.5852793994996,16.6104688507697,3.48980309743311e-20,3.0884757412283e-17,2.60963802149103e-17,"XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-014890#TWK7-CAEEL#P34410/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-026089#SUP9-CAEEL#O17185",21
"GO:0005840","GO:0005840","ribosome","44/327","270/9993",0.162962962962963,4.98008834522596,12.1941391050739,3.37561945943993e-19,2.48951935133695e-16,2.1035439157773e-16,"XLOC-000137#RS23-ICTPU#Q90YQ1/XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-004203#RL3-DROME#O16797/XLOC-004345#DIC-HUMAN#Q9UBX3/XLOC-004502#RS15A-BOVIN#Q76I82/XLOC-004829#RS9-BOVIN#A6QLG5/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-005671#RS4-CHICK#P47836/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-009955#RS16-BOVIN#Q3T0X6/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-011870#RS24-BOVIN#Q56JU9/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-015898#RS7-XENLA#P02362/XLOC-016602#RL44-CYBJA#P52809/XLOC-018162#GBLP-MACFA#Q4R7Y4/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-020338#RS27A-DROME#P15357/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025079#RS17-ICTPU#Q90YQ6/XLOC-025494#RS15-RABIT#G1U0Q2/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",44
"GO:0022625","GO:0022625","cytosolic large ribosomal subunit","27/327","91/9993",0.296703296703297,9.067143865309,14.2185637909999,4.04862432519054e-19,2.55930894842402e-16,2.16251332377095e-16,"XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004062#RL18-MOUSE#P35980/XLOC-004203#RL3-DROME#O16797/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-009134#RLA1-RAT#P19944/XLOC-009720#RL30-SPOFR#P58375/XLOC-009835#RL19-DROME#P36241/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-016602#RL44-CYBJA#P52809/XLOC-018222#RL10A-BOVIN#Q5E9E6/XLOC-021738#RL35A-HUMAN#P18077/XLOC-022083#RL8-XENTR#Q6PBF0/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-024877#RL23A-BOVIN#Q24JY1/XLOC-025656#RL36-HUMAN#Q9Y3U8",27
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","18/327","38/9993",0.473684210526316,14.4756156446161,15.3072253255482,2.15958531052799e-17,1.1945206248858e-14,1.00932197670992e-14,"XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470",18
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","25/327","100/9993",0.25,7.63990825688073,12.2736792007705,7.86231066256875e-16,3.86563607576297e-13,3.26630730683558e-13,"XLOC-000616#RS3-BOVIN#Q3T169/XLOC-000969#RL9-ICTPU#Q90YW0/XLOC-001831#RL21A-YEAST#Q02753/XLOC-002295#RL7A-TAKRU#O57592/XLOC-002342#RL28-MOUSE#P41105/XLOC-004140#RSSA-XENTR#Q6P8D1/XLOC-005488#RL24-BRABE#Q8ISQ3/XLOC-006570#RL112-CAEBR#A8XJ93/XLOC-006619#RS26-ANOGA#Q9GT45/XLOC-009134#RLA1-RAT#P19944/XLOC-009835#RL19-DROME#P36241/XLOC-010434#RL27A-DICDI#P48160/XLOC-011597#RL22-RAT#P47198/XLOC-012851#RL12-CAEBR#P61865/XLOC-013910#RL27-HIPCM#P61359/XLOC-014309#RL23-AEDAE#Q9GNE2/XLOC-014966#RL18A-DANRE#Q7ZWJ4/XLOC-021468#RS25-BRABE#Q8ISN9/XLOC-021738#RL35A-HUMAN#P18077/XLOC-023022#RL14-DROME#P55841/XLOC-023749#RL13-DANRE#Q90Z10/XLOC-024301#RLA2-BRAFL#O01725/XLOC-024478#RL6-CHILA#Q6QMZ4/XLOC-025656#RL36-HUMAN#Q9Y3U8/XLOC-025719#RS6-HUMAN#P62753",25
"GO:0015271","GO:0015271","outward rectifier potassium channel activity","13/327","19/9993",0.684210526315789,20.9092225977789,15.9761862343088,8.86660393874125e-16,3.923472242893e-13,3.31517654635883e-13,"XLOC-003641#KCNAL-DROME#P17971/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-025480#KCNA1-HUMAN#Q09470",13
