"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"05171","05171","Coronavirus disease - COVID-19","45/251","92/3240",0.489130434782609,6.31387493504244,14.9819125549138,3.85135976009658e-27,1.06682665354675e-24,8.55407273031978e-25,"K02940/K02973/K02985/K02889/K02936/K02903/K04448/K04166/K02883/K02998/K02925/K02997/K02957/K02987/K02896/K02868/K02976/K02942/K02908/K02885/K02960/K02900/K02891/K02974/K02870/K02901/K02894/K02882/K02993/K02929/K02865/K02977/K02927/K02917/K02938/K02975/K02875/K02873/K02934/K02893/K02943/K02962/K02920/K02991/K02958",45
"03010","03010","Ribosome","44/251","114/3240",0.385964912280702,4.98217655693017,12.5417409854325,2.52744271057257e-21,3.50050815414301e-19,2.80679164174112e-19,"K02940/K02973/K02985/K02889/K02936/K02903/K02883/K02998/K02925/K02997/K02957/K02987/K02896/K02868/K02976/K02942/K02908/K02885/K02960/K02900/K02891/K02974/K02870/K02901/K02894/K02882/K02993/K02929/K14753/K02865/K02977/K02927/K02917/K02938/K02975/K02875/K02873/K02934/K02893/K02943/K02962/K02920/K02991/K02958",44
"04724","04724","Glutamatergic synapse","16/251","41/3240",0.390243902439024,5.0374113302886,7.53819179411997,1.86845803129451e-08,1.68727797945871e-06,1.35290007093212e-06,"K04534/K04630/K04632/K05613/K05614/K04603/K04604/K04605/K04607/K04608/K04536/K04537/K04538/K13576/K14207/K04539",16
"04082","04082","Neuroactive ligand signaling","19/251","58/3240",0.327586206896552,4.22860283005907,7.1888249653101,2.4365024974133e-08,1.68727797945871e-06,1.35290007093212e-06,"K04534/K04630/K04632/K04633/K04153/K04163/K04141/K04142/K05613/K05614/K04603/K04604/K04605/K04607/K04608/K04536/K04537/K04538/K04539",19
"04726","04726","Serotonergic synapse","13/251","34/3240",0.382352941176471,4.93555191000703,6.68409666274707,5.66471275333168e-07,3.13825086534575e-05,2.51632503358523e-05,"K04534/K04630/K04632/K04153/K04163/K04892/K04536/K04537/K04538/K07827/K07828/K04539/K21278",13
"04916","04916","Melanogenesis","14/251","40/3240",0.35,4.51792828685259,6.48666344963804,7.30955679442448e-07,3.37457872009263e-05,2.70581839232204e-05,"K00312/K00572/K00444/K01558/K04534/K04630/K04632/K03209/K00445/K00408/K01384/K07827/K07828/K00182",14
"04080","04080","Neuroactive ligand-receptor interaction","17/251","64/3240",0.265625,3.42878486055777,5.68614806636592,3.81390474676365e-06,0.00015092165926479,0.000121012616777012,"K04240/K04153/K04163/K04141/K04142/K04166/K04218/K04221/K04603/K04604/K04605/K04607/K04608/K08375/K04194/K04195/K08378",17
"04934","04934","Cushing syndrome","17/251","70/3240",0.242857142857143,3.1348890153671,5.23207630058337,1.42196189735562e-05,0.000492354306959382,0.000394781526765835,"K00312/K00572/K00444/K01558/K04630/K04632/K04166/K04877/K03209/K00445/K04914/K00408/K01384/K04353/K07836/K04503/K00182",17
"05205","05205","Proteoglycans in cancer","19/251","86/3240",0.22093023255814,2.8518484202724,5.04316518944564,1.91611216753873e-05,0.000589736744898032,0.000472865108012483,"K00312/K00572/K00444/K01558/K05692/K06269/K04375/K03209/K00445/K08268/K00408/K01384/K07827/K07828/K04503/K07830/K02991/K00182/K16857",19
"05200","05200","Pathways in cancer","32/251","195/3240",0.164102564102564,2.1182960465829,4.66723667001368,2.37671876669495e-05,0.0006583510983745,0.000527881747129088,"K00312/K00572/K00444/K01558/K04630/K04632/K04448/K02084/K04166/K08367/K04375/K04350/K12362/K03209/K00445/K08268/K09095/K04079/K04536/K04537/K04538/K00408/K01384/K07827/K07828/K09487/K04503/K10151/K10152/K02678/K04539/K00182",32
