"species","GO_ID","Term","Ont","GeneRatio","FoldEnrichment","pvalue","p.adjust","Count"
"Spla","GO:0004725","protein tyrosine phosphatase activity","MF","10/123",19.7825675931178,4.81239364840191e-11,7.06075039104418e-08,10
"Spla","GO:0035335","peptidyl-tyrosine dephosphorylation","BP","10/123",19.3329637841833,6.16659422798618e-11,7.06075039104418e-08,10
"Spla","GO:0005885","Arp2/3 protein complex","CC","6/123",51.0390243902439,4.71875829696784e-10,3.60198550001879e-07,6
"Spla","GO:1900273","positive regulation of long-term synaptic potentiation","BP","6/123",46.3991130820399,1.02817561555958e-09,5.88630539907859e-07,6
"Spla","GO:0034314","Arp2/3 complex-mediated actin nucleation","BP","6/123",34.0260162601626,1.07177103060511e-08,4.36310006820877e-06,6
"Spla","GO:0002429","immune response-activating cell surface receptor signaling pathway","BP","11/123",9.95441965057949,1.14317032354815e-08,4.36310006820877e-06,11
"Spla","GO:0005200","structural constituent of cytoskeleton","MF","9/123",12.976023150062,2.44732551632355e-08,8.00625061768706e-06,9
"Spla","GO:0045010","actin nucleation","BP","6/123",28.3550135501355,3.86215158841581e-08,1.10554089218403e-05,6
"Spla","GO:0006470","protein dephosphorylation","BP","11/123",8.66403191809696,4.97397074430193e-08,1.1692780853305e-05,11
"Spla","GO:1904377","positive regulation of protein localization to cell periphery","BP","9/123",11.9622713414634,5.1060178398712e-08,1.1692780853305e-05,9
"Spla","GO:0002768","immune response-regulating cell surface receptor signaling pathway","BP","11/123",8.42986889328353,6.62378544951886e-08,1.37895169812711e-05,11
"Spla","GO:1900271","regulation of long-term synaptic potentiation","BP","6/123",25.519512195122,7.91013673706801e-08,1.50951776065715e-05,6
"Spla","GO:0002431","Fc receptor mediated stimulatory signaling pathway","BP","8/123",13.3435357882991,1.2102232002668e-07,1.84760741907398e-05,8
"Spla","GO:0038094","Fc-gamma receptor signaling pathway","BP","8/123",13.3435357882991,1.2102232002668e-07,1.84760741907398e-05,8
"Spla","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","BP","8/123",13.3435357882991,1.2102232002668e-07,1.84760741907398e-05,8
"Spla","GO:0004721","phosphoprotein phosphatase activity","MF","10/123",8.95421480530595,1.51759050221746e-07,2.17205140629874e-05,10
"Spla","GO:1903829","positive regulation of protein localization","BP","15/123",5.06339527680991,2.42008396622733e-07,3.11921885929345e-05,15
"Spla","GO:0002757","immune response-activating signaling pathway","BP","11/123",7.42631307265454,2.45178774966297e-07,3.11921885929345e-05,11
"Spla","GO:0071364","cellular response to epidermal growth factor stimulus","BP","6/123",21.2662601626016,2.64316076412982e-07,3.18570428939857e-05,6
"Spla","GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","BP","8/123",11.5342428000551,3.89652190297392e-07,4.46151757890514e-05,8
"Spla","GO:0070849","response to epidermal growth factor","BP","6/123",19.6303939962477,4.43508661293109e-07,4.83635635410104e-05,6
"Spla","GO:0035254","glutamate receptor binding","MF","7/123",13.5330746489283,6.98263589134241e-07,7.26828917780642e-05,7
"Spla","GO:1904375","regulation of protein localization to cell periphery","BP","9/123",8.79983179142136,7.58166933497773e-07,7.54870555526044e-05,9
"Spla","GO:0002253","activation of immune response","BP","11/123",6.54346466541589,8.80860075306603e-07,8.06867828980848e-05,11
