"minpct","logfc","species","cluster","n_genes","genes"
0.05,0.2,"Neve","Neve_ectoderm.pharyngeal",103,"OG0001933;OG0002183;OG0000785;OG0007393;OG0000069;OG0002745;OG0000967;OG0007793;OG0007223;OG0000125;OG0003538;OG0001403;OG0002484;OG0005964;OG0004305;OG0000947;OG0000385;OG0003058;OG0000035;OG0000645;OG0000011;OG0002902;OG0000260;OG0000499;OG0005080;OG0006598;OG0001379;OG0002705;OG0000111;OG0004299;OG0002098;OG0000318;OG0000252;OG0000195;OG0005944;OG0007249;OG0003068;OG0001312;OG0005937;OG0004822;OG0004231;OG0000135;OG0000287;OG0005987;OG0000973;OG0000501;OG0003889;OG0001314;OG0003833;OG0002045;OG0000139;OG0001554;OG0006517;OG0008761;OG0004797;OG0006768;OG0005889;OG0003229;OG0002405;OG0002416;OG0001298;OG0001384;OG0000539;OG0005950;OG0001100;OG0002231;OG0002271;OG0003276;OG0006363;OG0002847;OG0007780;OG0006646;OG0004633;OG0008266;OG0004924;OG0005867;OG0004602;OG0000132;OG0004101;OG0002872;OG0004209;OG0004841;OG0004882;OG0003864;OG0002364;OG0004768;OG0005724;OG0005727;OG0000387;OG0005127;OG0003398;OG0001310;OG0001088;OG0006595;OG0001902;OG0005616;OG0004758;OG0002384;OG0007366;OG0003241;OG0000541;OG0004827;OG0005346"
0.05,0.2,"Neve","Neve_gastrodermis",124,"OG0001303;OG0000391;OG0000113;OG0004260;OG0009185;OG0001802;OG0002261;OG0000047;OG0003222;OG0000232;OG0000341;OG0001173;OG0005883;OG0004158;OG0002786;OG0004018;OG0003313;OG0001204;OG0003972;OG0001078;OG0007249;OG0004259;OG0002308;OG0010878;OG0002967;OG0001520;OG0001552;OG0001683;OG0003528;OG0004739;OG0000856;OG0000599;OG0001532;OG0000035;OG0000381;OG0003618;OG0003829;OG0003870;OG0000027;OG0000989;OG0000585;OG0003043;OG0000374;OG0003769;OG0006466;OG0003847;OG0002586;OG0002801;OG0004413;OG0004426;OG0001414;OG0000565;OG0003890;OG0002193;OG0000471;OG0001286;OG0000702;OG0008424;OG0003886;OG0003048;OG0004629;OG0001667;OG0005810;OG0004646;OG0002448;OG0000653;OG0001818;OG0002731;OG0004250;OG0004015;OG0000982;OG0002989;OG0000952;OG0003941;OG0003814;OG0003804;OG0005552;OG0005607;OG0000611;OG0002453;OG0000852;OG0005537;OG0006797;OG0000784;OG0000814;OG0002617;OG0004917;OG0005588;OG0000111;OG0000564;OG0015705;OG0000425;OG0008761;OG0000126;OG0003757;OG0004299;OG0002313;OG0005142;OG0001262;OG0001462;OG0007215;OG0003488;OG0001884;OG0003026;OG0005867;OG0004984;OG0000150;OG0003262;OG0000127;OG0001956;OG0007715;OG0004963;OG0007194;OG0004101;OG0001351;OG0005332;OG0000588;OG0000020;OG0000643;OG0000172;OG0001762;OG0000733;OG0004377;OG0003158"
0.05,0.2,"Neve","Neve_NPC",529,"OG0004331;OG0009433;OG0002121;OG0004967;OG0003451;OG0004792;OG0000285;OG0000419;OG0005684;OG0008134;OG0000447;OG0004913;OG0005939;OG0002060;OG0007217;OG0002902;OG0000198;OG0002609;OG0000209;OG0000191;OG0007701;OG0004227;OG0007393;OG0002034;OG0000246;OG0005725;OG0001403;OG0004955;OG0007796;OG0000861;OG0004744;OG0008498;OG0005190;OG0000135;OG0004884;OG0001563;OG0001694;OG0003164;OG0010958;OG0003633;OG0006346;OG0006627;OG0003702;OG0004305;OG0003819;OG0005763;OG0003039;OG0004791;OG0004561;OG0002021;OG0005856;OG0006007;OG0005357;OG0005606;OG0002969;OG0003299;OG0003267;OG0005987;OG0003859;OG0003829;OG0003465;OG0005538;OG0005950;OG0002488;OG0002801;OG0001156;OG0012477;OG0004367;OG0004576;OG0001433;OG0000919;OG0002182;OG0003185;OG0003326;OG0002424;OG0003835;OG0005418;OG0015533;OG0005471;OG0006303;OG0002965;OG0006517;OG0004483;OG0006282;OG0006276;OG0004209;OG0003491;OG0002231;OG0003276;OG0008373;OG0001933;OG0005766;OG0004413;OG0005371;OG0003857;OG0001782;OG0004564;OG0002977;OG0004477;OG0006710;OG0004291;OG0001134;OG0002687;OG0003750;OG0000621;OG0004628;OG0004502;OG0005144;OG0005609;OG0005127;OG0004810;OG0004646;OG0000308;OG0004489;OG0004411;OG0005196;OG0001100;OG0003327;OG0000539;OG0006398;OG0006840;OG0005346;OG0003804;OG0003939;OG0004236;OG0012503;OG0003241;OG0004118;OG0006692;OG0004336;OG0007621;OG0002364;OG0003263;OG0005300;OG0001360;OG0004542;OG0003222;OG0001951;OG0000195;OG0004827;OG0000853;OG0004412;OG0001671;OG0000986;OG0003279;OG0001334;OG0004139;OG0007759;OG0003304;OG0000985;OG0004264;OG0005411;OG0005177;OG0004552;OG0003379;OG0009129;OG0006531;OG0003043;OG0006348;OG0001362;OG0000385;OG0000996;OG0004428;OG0003768;OG0005588;OG0003688;OG0000738;OG0007880;OG0002018;OG0002915;OG0006381;OG0004912;OG0005016;OG0004776;OG0002665;OG0004295;OG0003864;OG0001172;OG0005254;OG0004758;OG0003628;OG0001610;OG0003907;OG0001428;OG0002053;OG0005613;OG0003774;OG0002209;OG0005786;OG0001364;OG0004714;OG0005670;OG0005309;OG0006595;OG0004378;OG0009657;OG0004373;OG0000121;OG0000216;OG0006213;OG0004332;OG0001063;OG0002745;OG0007861;OG0003388;OG0005503;OG0006286;OG0003152;OG0005574;OG0007167;OG0000480;OG0000355;OG0001528;OG0006257;OG0004859;OG0001810;OG0006984;OG0006608;OG0001228;OG0006825;OG0004968;OG0005841;OG0001378;OG0005915;OG0004768;OG0004928;OG0001278;OG0005462;OG0007691;OG0005476;OG0006501;OG0000569;OG0004618;OG0008439;OG0007964;OG0000716;OG0000706;OG0004942;OG0005962;OG0008198;OG0006648;OG0002469;OG0008426;OG0003655;OG0004508;OG0006267;OG0005703;OG0005876;OG0005688;OG0004243;OG0004675;OG0015739;OG0007295;OG0003314;OG0006546;OG0004986;OG0002218;OG0003168;OG0006363;OG0005762;OG0004389;OG0001515;OG0003747;OG0002935;OG0001695;OG0003473;OG0000631;OG0002461;OG0005775;OG0004740;OG0005849;OG0005452;OG0004425;OG0003002;OG0007366;OG0000056;OG0003306;OG0001039;OG0002480;OG0005211;OG0005562;OG0005851;OG0003950;OG0001567;OG0000444;OG0005542;OG0005944;OG0006615;OG0005923;OG0000687;OG0002705;OG0005384;OG0009031;OG0004917;OG0004422;OG0002974;OG0002110;OG0005124;OG0007121;OG0005554;OG0004923;OG0002714;OG0006542;OG0000579;OG0002280;OG0001075;OG0004816;OG0001551;OG0006171;OG0000589;OG0005833;OG0003461;OG0002921;OG0002993;OG0000318;OG0000455;OG0005366;OG0006291;OG0000497;OG0005458;OG0002716;OG0005729;OG0000133;OG0010855;OG0005347;OG0001548;OG0007769;OG0002077;OG0005028;OG0001109;OG0002242;OG0006540;OG0003814;OG0003320;OG0008130;OG0005257;OG0004972;OG0006476;OG0004944;OG0003914;OG0000975;OG0005592;OG0004339;OG0006974;OG0001913;OG0004719;OG0000801;OG0007371;OG0004678;OG0006625;OG0005388;OG0006448;OG0005639;OG0002919;OG0005164;OG0005204;OG0001101;OG0006735;OG0002491;OG0004703;OG0002996;OG0001359;OG0000541;OG0007321;OG0004344;OG0002622;OG0007192;OG0006518;OG0007028;OG0002847;OG0005868;OG0001670;OG0005937;OG0003398;OG0001379;OG0001143;OG0005539;OG0007154;OG0006489;OG0001419;OG0002384;OG0003042;OG0004921;OG0001795;OG0006260;OG0005189;OG0000929;OG0002037;OG0000307;OG0001902;OG0006686;OG0005334;OG0005727;OG0004309;OG0006824;OG0005946;OG0005925;OG0003910;OG0001234;OG0002991;OG0005259;OG0003067;OG0007208;OG0002217;OG0002071;OG0008429;OG0004072;OG0005884;OG0005889;OG0005013;OG0003757;OG0004280;OG0004008;OG0005839;OG0006732;OG0000330;OG0006598;OG0008352;OG0005383;OG0000965;OG0000779;OG0003763;OG0006280;OG0001649;OG0005136;OG0003671;OG0004729;OG0006665;OG0003353;OG0001684;OG0006455;OG0004735;OG0003334;OG0003520;OG0004136;OG0005887;OG0002262;OG0002271;OG0005724;OG0003497;OG0009370;OG0000418;OG0001265;OG0003889;OG0003439;OG0003651;OG0004334;OG0004918;OG0004074;OG0000322;OG0005711;OG0004669;OG0006848;OG0006423;OG0002976;OG0007247;OG0003601;OG0005963;OG0005566;OG0002947;OG0000811;OG0000336;OG0003036;OG0007213;OG0001518;OG0002298;OG0005767;OG0005541;OG0004953;OG0006587;OG0003229;OG0003058;OG0007070;OG0004823;OG0004554;OG0003354;OG0005490;OG0004797;OG0000718;OG0010962;OG0005526;OG0004882;OG0003861;OG0003646;OG0006514;OG0005972;OG0006584;OG0008231;OG0000125;OG0002677;OG0000902;OG0002208;OG0004635;OG0004924;OG0005504;OG0006589;OG0006341;OG0004359;OG0004048;OG0007742;OG0004901;OG0002313;OG0000275;OG0007075;OG0001105;OG0005988;OG0005565;OG0000878;OG0005658;OG0006626;OG0005291;OG0007293;OG0001383;OG0006255;OG0007308;OG0001222;OG0003657;OG0005955;OG0009386;OG0007728;OG0006768;OG0002416;OG0003779;OG0003833;OG0004516;OG0004036;OG0001205;OG0001547;OG0004455"
0.05,0.2,"Neve","Neve_retractor muscle",110,"OG0000113;OG0000381;OG0002308;OG0001204;OG0000036;OG0000224;OG0000579;OG0003488;OG0001762;OG0001946;OG0003528;OG0003538;OG0010969;OG0005142;OG0006255;OG0004231;OG0006268;OG0005762;OG0001312;OG0002469;OG0008198;OG0001559;OG0001286;OG0000503;OG0004309;OG0000599;OG0005554;OG0001667;OG0000940;OG0006065;OG0001370;OG0003249;OG0005839;OG0000528;OG0000985;OG0000814;OG0002786;OG0006501;OG0004917;OG0000311;OG0004924;OG0003688;OG0002612;OG0001818;OG0005566;OG0005810;OG0004618;OG0001518;OG0004827;OG0005541;OG0002617;OG0007780;OG0003222;OG0008429;OG0005963;OG0002280;OG0005716;OG0004299;OG0003314;OG0000736;OG0015525;OG0012503;OG0002430;OG0003388;OG0006745;OG0002208;OG0007621;OG0000426;OG0002852;OG0000349;OG0006587;OG0002218;OG0001788;OG0000611;OG0002484;OG0000716;OG0003279;OG0005309;OG0002209;OG0004477;OG0006606;OG0000924;OG0005717;OG0003295;OG0000645;OG0000809;OG0002005;OG0006546;OG0001567;OG0002622;OG0007742;OG0001162;OG0005643;OG0005724;OG0005889;OG0005384;OG0002112;OG0003870;OG0005727;OG0004972;OG0005688;OG0004735;OG0009031;OG0015739;OG0001109;OG0005849;OG0008551;OG0007070;OG0001383;OG0003058"
0.05,0.2,"Neve","Neve_secretory",57,"OG0000658;OG0016032;OG0003383;OG0003240;OG0005884;OG0005935;OG0001338;OG0001077;OG0012573;OG0001924;OG0007467;OG0004922;OG0000225;OG0000333;OG0001620;OG0000648;OG0000078;OG0009277;OG0009416;OG0004842;OG0006448;OG0004248;OG0005614;OG0001510;OG0008212;OG0001152;OG0005415;OG0007189;OG0006349;OG0000316;OG0003665;OG0000387;OG0000054;OG0005176;OG0006570;OG0001178;OG0005460;OG0005716;OG0006450;OG0000087;OG0003036;OG0001309;OG0004280;OG0006580;OG0002405;OG0005616;OG0000133;OG0000165;OG0005761;OG0001143;OG0004678;OG0002185;OG0000307;OG0000265;OG0010962;OG0000691;OG0004857"
0.05,0.2,"Neve","Neve_neuronal",203,"OG0000658;OG0000884;OG0000112;OG0000224;OG0000166;OG0000036;OG0001788;OG0000349;OG0001698;OG0002965;OG0015525;OG0001150;OG0001284;OG0007506;OG0000133;OG0001428;OG0003374;OG0000316;OG0000691;OG0009277;OG0006047;OG0000564;OG0003249;OG0000265;OG0001075;OG0000599;OG0000491;OG0000020;OG0000984;OG0005167;OG0000246;OG0002430;OG0004822;OG0006448;OG0005916;OG0004606;OG0002096;OG0000499;OG0001559;OG0002418;OG0000978;OG0001338;OG0000648;OG0002648;OG0005596;OG0002183;OG0000967;OG0001523;OG0008961;OG0003295;OG0000118;OG0000513;OG0007393;OG0007809;OG0002687;OG0005963;OG0001228;OG0002617;OG0003327;OG0000418;OG0006606;OG0004633;OG0000814;OG0001546;OG0000072;OG0000716;OG0004991;OG0001946;OG0002044;OG0000853;OG0000062;OG0000315;OG0000589;OG0000209;OG0000054;OG0001510;OG0000811;OG0000985;OG0002115;OG0007223;OG0006580;OG0000087;OG0001370;OG0004594;OG0005761;OG0001371;OG0005176;OG0007308;OG0008432;OG0006240;OG0000528;OG0006349;OG0003520;OG0002484;OG0005716;OG0007321;OG0000986;OG0001674;OG0009370;OG0003436;OG0007793;OG0006450;OG0004243;OG0002861;OG0006234;OG0006665;OG0002208;OG0003880;OG0003386;OG0000733;OG0000703;OG0003248;OG0001960;OG0007121;OG0000952;OG0005177;OG0007070;OG0000307;OG0005526;OG0010969;OG0008429;OG0007189;OG0001481;OG0001649;OG0004948;OG0005609;OG0000172;OG0008373;OG0005835;OG0006322;OG0000512;OG0006291;OG0005607;OG0001888;OG0001100;OG0005136;OG0004905;OG0001413;OG0001684;OG0004217;OG0006662;OG0005511;OG0005347;OG0005786;OG0000521;OG0005972;OG0001309;OG0005765;OG0000426;OG0003665;OG0009386;OG0005565;OG0000785;OG0002947;OG0006626;OG0001101;OG0000128;OG0000718;OG0001809;OG0005130;OG0002673;OG0001310;OG0002852;OG0003002;OG0000330;OG0001555;OG0005946;OG0003978;OG0001615;OG0007746;OG0000252;OG0004797;OG0007314;OG0005164;OG0000216;OG0001363;OG0004678;OG0005731;OG0002037;OG0004280;OG0004913;OG0006280;OG0007075;OG0004714;OG0006589;OG0001563;OG0002060;OG0001995;OG0000973;OG0001670;OG0000779;OG0000287;OG0007167;OG0005383;OG0001334;OG0000309;OG0000319;OG0000127;OG0005944;OG0006255;OG0000611;OG0000588;OG0004635"
0.05,0.2,"Neve","Neve_ectoderm.epidermis",123,"OG0000261;OG0004259;OG0010969;OG0003819;OG0000247;OG0000464;OG0006646;OG0003379;OG0002977;OG0004629;OG0004618;OG0004895;OG0003048;OG0002801;OG0001239;OG0004010;OG0003769;OG0004502;OG0003804;OG0000785;OG0004295;OG0003702;OG0007101;OG0003465;OG0003890;OG0004564;OG0000165;OG0004426;OG0003313;OG0002969;OG0003634;OG0004413;OG0004250;OG0004646;OG0003886;OG0002673;OG0004015;OG0003829;OG0004483;OG0003972;OG0008961;OG0001528;OG0001895;OG0003326;OG0001338;OG0001461;OG0002488;OG0003618;OG0001314;OG0008424;OG0003043;OG0002745;OG0002465;OG0000770;OG0004812;OG0004602;OG0004490;OG0000540;OG0003249;OG0003818;OG0000982;OG0003320;OG0000558;OG0003240;OG0001019;OG0005503;OG0000947;OG0005964;OG0006234;OG0000376;OG0001145;OG0008212;OG0002112;OG0001462;OG0003295;OG0003307;OG0003910;OG0008266;OG0000102;OG0004628;OG0004737;OG0004036;OG0002476;OG0004909;OG0005130;OG0007154;OG0002384;OG0003847;OG0001830;OG0005403;OG0000368;OG0003774;OG0000128;OG0000949;OG0000568;OG0004299;OG0005465;OG0005537;OG0006506;OG0005189;OG0003751;OG0000287;OG0002005;OG0006007;OG0004579;OG0002648;OG0009129;OG0000330;OG0005709;OG0003870;OG0000318;OG0002847;OG0006665;OG0001946;OG0006768;OG0001810;OG0005190;OG0004117;OG0003158;OG0001228;OG0000814;OG0001610;OG0004705"
0.05,0.2,"Neve","Neve_gland.mucous",100,"OG0005722;OG0000298;OG0007189;OG0001620;OG0000658;OG0005884;OG0003820;OG0005935;OG0009416;OG0004483;OG0000967;OG0005176;OG0000419;OG0000579;OG0008212;OG0011015;OG0001152;OG0004897;OG0000309;OG0001559;OG0002185;OG0001924;OG0004334;OG0001510;OG0003036;OG0005762;OG0000316;OG0004922;OG0003307;OG0003763;OG0000054;OG0000260;OG0000333;OG0009386;OG0007467;OG0001610;OG0012573;OG0002987;OG0006570;OG0002013;OG0002645;OG0005765;OG0005716;OG0003779;OG0005972;OG0005439;OG0000426;OG0004739;OG0004606;OG0001178;OG0001554;OG0005403;OG0004842;OG0001150;OG0005415;OG0002112;OG0000216;OG0003240;OG0005334;OG0005651;OG0000062;OG0003248;OG0005465;OG0004509;OG0003905;OG0001027;OG0001485;OG0002617;OG0004361;OG0005460;OG0006665;OG0003388;OG0004291;OG0000225;OG0004134;OG0004857;OG0001830;OG0001481;OG0001284;OG0009370;OG0007809;OG0001574;OG0000128;OG0004556;OG0004579;OG0001615;OG0002021;OG0006171;OG0002513;OG0000540;OG0008266;OG0001821;OG0004332;OG0010962;OG0004991;OG0006047;OG0002612;OG0001409;OG0001440;OG0004243"
0.05,0.2,"Neve","Neve_ectoderm.embryonic",20,"OG0000150;OG0010969;OG0003941;OG0003818;OG0008212;OG0003886;OG0003618;OG0004250;OG0000128;OG0002477;OG0004015;OG0006797;OG0008424;OG0003890;OG0000333;OG0003804;OG0004897;OG0001554;OG0000247;OG0004629"
0.05,0.2,"Neve","Neve_cnidocyte",272,"OG0015470;OG0005991;OG0002310;OG0000073;OG0001213;OG0001479;OG0005180;OG0000353;OG0006448;OG0000180;OG0001958;OG0000024;OG0005460;OG0004950;OG0001088;OG0006450;OG0000118;OG0002597;OG0005167;OG0000648;OG0001284;OG0006234;OG0003036;OG0004948;OG0007189;OG0004842;OG0005767;OG0005516;OG0004922;OG0000316;OG0005614;OG0003279;OG0004334;OG0000471;OG0005935;OG0005962;OG0005211;OG0003763;OG0007746;OG0001078;OG0000309;OG0005592;OG0005761;OG0003779;OG0005383;OG0005541;OG0004509;OG0009386;OG0005215;OG0000341;OG0006291;OG0006171;OG0002645;OG0006606;OG0010962;OG0002021;OG0001077;OG0004483;OG0003423;OG0004552;OG0003240;OG0007321;OG0006047;OG0005136;OG0001178;OG0002987;OG0004113;OG0002185;OG0005884;OG0005841;OG0012573;OG0003524;OG0000165;OG0000691;OG0005434;OG0006561;OG0005316;OG0004542;OG0004360;OG0004556;OG0009129;OG0004291;OG0004928;OG0001924;OG0008429;OG0006570;OG0002202;OG0001551;OG0009370;OG0007467;OG0005452;OG0004248;OG0005731;OG0005722;OG0002448;OG0004857;OG0004493;OG0009031;OG0005471;OG0005259;OG0005963;OG0005944;OG0004606;OG0004700;OG0001821;OG0002242;OG0005937;OG0001378;OG0003454;OG0001555;OG0007070;OG0010855;OG0002200;OG0004422;OG0004139;OG0002915;OG0002513;OG0005946;OG0005257;OG0004561;OG0001288;OG0006587;OG0005958;OG0001620;OG0000062;OG0003362;OG0003774;OG0010969;OG0005805;OG0003665;OG0003436;OG0000986;OG0001532;OG0002746;OG0003628;OG0004477;OG0003520;OG0005659;OG0001995;OG0012503;OG0006517;OG0009134;OG0005916;OG0006489;OG0015705;OG0005950;OG0004332;OG0002617;OG0008198;OG0000801;OG0002640;OG0007156;OG0002220;OG0003804;OG0004942;OG0005367;OG0002861;OG0006968;OG0003233;OG0006686;OG0003354;OG0000540;OG0000811;OG0006065;OG0005366;OG0015533;OG0000216;OG0000989;OG0004768;OG0004425;OG0007217;OG0001265;OG0005851;OG0006627;OG0006518;OG0002381;OG0007083;OG0002991;OG0005613;OG0005224;OG0008961;OG0005388;OG0000579;OG0005130;OG0004243;OG0005177;OG0007075;OG0007621;OG0005972;OG0005799;OG0005156;OG0004823;OG0002687;OG0003019;OG0005574;OG0009657;OG0006514;OG0005766;OG0004841;OG0005876;OG0002724;OG0000784;OG0003907;OG0004344;OG0003883;OG0000047;OG0000821;OG0001152;OG0004740;OG0005895;OG0003267;OG0004339;OG0003889;OG0004678;OG0005384;OG0006255;OG0006423;OG0001649;OG0001462;OG0000150;OG0000878;OG0003651;OG0004280;OG0002801;OG0002018;OG0006828;OG0004968;OG0003386;OG0007271;OG0005694;OG0005476;OG0004511;OG0004564;OG0005334;OG0002480;OG0005819;OG0000322;OG0006280;OG0001658;OG0000539;OG0004136;OG0006825;OG0000480;OG0003682;OG0006662;OG0003494;OG0003355;OG0005411;OG0004236;OG0005415;OG0007018;OG0005201;OG0004719;OG0005839;OG0004628;OG0007880;OG0001782;OG0002993;OG0003222;OG0000020;OG0007154;OG0004986;OG0001693;OG0003939;OG0003457;OG0006824;OG0003618;OG0006348;OG0004703;OG0005968;OG0004921;OG0005763"
