"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.804265066881,0.564,0.298,0,"Auco_EM, Epidermal/Muscle cell","OG0009737"
0,1.5854927314402,0.611,0.349,0,"Auco_EM, Epidermal/Muscle cell","OG0013520"
0,2.49064591389087,0.504,0.252,0,"Auco_EM, Epidermal/Muscle cell","OG0014047"
0,1.47808859452616,0.52,0.278,0,"Auco_EM, Epidermal/Muscle cell","gene-evm.model.ptg000005l.236-1"
0,1.73987672923834,0.521,0.3,0,"Auco_EM, Epidermal/Muscle cell","OG0013480"
0,1.98442870957314,0.371,0.15,0,"Auco_EM, Epidermal/Muscle cell","OG0011452"
0,1.76717268566719,0.645,0.43,0,"Auco_EM, Epidermal/Muscle cell","OG0001632"
0,2.00653937415082,0.763,0.549,0,"Auco_EM, Epidermal/Muscle cell","OG0007069"
0,1.34891679168761,0.617,0.407,0,"Auco_EM, Epidermal/Muscle cell","OG0006689"
0,1.54773331265039,0.776,0.569,0,"Auco_EM, Epidermal/Muscle cell","OG0002736"
0,5.69383009087637,0.834,0.63,0,"Auco_EM, Epidermal/Muscle cell","OG0007037"
0,1.8231693162213,0.388,0.191,0,"Auco_EM, Epidermal/Muscle cell","OG0006696"
0,1.88799710418191,0.398,0.203,0,"Auco_EM, Epidermal/Muscle cell","OG0002414"
0,1.95410830857191,0.85,0.656,0,"Auco_EM, Epidermal/Muscle cell","OG0009694"
0,1.25107842309863,0.75,0.557,0,"Auco_EM, Epidermal/Muscle cell","OG0000108"
0,2.07008877932569,0.493,0.301,0,"Auco_EM, Epidermal/Muscle cell","gene-evm.model.ptg000006l.267-1"
0,1.68744073403448,0.491,0.301,0,"Auco_EM, Epidermal/Muscle cell","OG0000651"
0,1.36734440816282,0.707,0.518,0,"Auco_EM, Epidermal/Muscle cell","OG0000081"
0,1.77406337207439,0.332,0.147,0,"Auco_EM, Epidermal/Muscle cell","OG0002999"
0,2.02357324587554,0.317,0.132,0,"Auco_EM, Epidermal/Muscle cell","OG0008944"
0,2.6031946989116,0.254,0.07,0,"Auco_EM, Epidermal/Muscle cell","OG0003689"
0,0.798912704302366,0.841,0.66,0,"Auco_EM, Epidermal/Muscle cell","OG0014042"
0,2.34337469096168,0.25,0.078,0,"Auco_EM, Epidermal/Muscle cell","OG0011326"
0,1.48160355784392,0.319,0.151,0,"Auco_EM, Epidermal/Muscle cell","OG0013910"
0,0.957502495279587,0.73,0.564,0,"Auco_EM, Epidermal/Muscle cell","OG0002249"
0,2.03847604494846,0.237,0.078,0,"Auco_EM, Epidermal/Muscle cell","OG0013722"
0,1.34567537274323,0.884,0.736,0,"Auco_EM, Epidermal/Muscle cell","OG0000432"
0,1.01272905121336,0.898,0.754,0,"Auco_EM, Epidermal/Muscle cell","OG0000753"
0,1.05454696514383,0.718,0.585,0,"Auco_EM, Epidermal/Muscle cell","OG0013519"
0,2.54858246356994,0.159,0.036,0,"Auco_EM, Epidermal/Muscle cell","OG0013567"
0,0.572312670161514,0.866,0.744,0,"Auco_EM, Epidermal/Muscle cell","OG0001780"
0,1.44491956037366,0.904,0.786,0,"Auco_EM, Epidermal/Muscle cell","OG0013521"
0,1.95040483416313,0.935,0.833,0,"Auco_EM, Epidermal/Muscle cell","OG0000113"
0,0.901923077796395,0.856,0.758,0,"Auco_EM, Epidermal/Muscle cell","OG0013752"
0,6.9067427356762,0.918,0.842,0,"Auco_EM, Epidermal/Muscle cell","OG0005680"
0,0.63086330021202,0.886,0.822,0,"Auco_EM, Epidermal/Muscle cell","OG0002964"
0,0.789945316443678,0.891,0.834,0,"Auco_EM, Epidermal/Muscle cell","OG0006501"
0,1.77166937201807,0.974,0.92,0,"Auco_EM, Epidermal/Muscle cell","OG0002626"
0,0.676293230601522,0.897,0.845,0,"Auco_EM, Epidermal/Muscle cell","OG0002243"
0,0.617282294365312,0.932,0.88,0,"Auco_EM, Epidermal/Muscle cell","OG0002256"
0,0.763017639634432,0.949,0.912,0,"Auco_EM, Epidermal/Muscle cell","OG0011451"
0,0.964186373850835,0.979,0.964,0,"Auco_EM, Epidermal/Muscle cell","OG0000579"
0,0.399271672419483,0.987,0.977,0,"Auco_EM, Epidermal/Muscle cell","OG0013807"
