"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,5.02189986601898,0.934,0.055,0,"ClH23_lipophil","OG0010370"
0,4.26401937615222,0.94,0.069,0,"ClH23_lipophil","OG0010178"
0,4.83867302330163,0.926,0.057,0,"ClH23_lipophil","OG0010601"
0,5.29203522654367,0.929,0.066,0,"ClH23_lipophil","OG0001701"
0,5.19503014400357,0.88,0.052,0,"ClH23_lipophil","OG0009971"
0,5.17307070301394,0.822,0.041,0,"ClH23_lipophil","OG0010164"
0,4.08658601531974,0.955,0.218,0,"ClH23_lipophil","OG0006047"
0,5.00503316911886,0.771,0.043,0,"ClH23_lipophil","HoiH23-orphan-49"
0,9.03479448778938,0.995,0.267,0,"ClH23_lipophil","OG0000657"
0,5.76841917367896,0.735,0.037,0,"ClH23_lipophil","OG0009965"
0,4.08060465553509,0.95,0.276,0,"ClH23_lipophil","OG0001142"
0,5.52015829563436,0.693,0.026,0,"ClH23_lipophil","OG0010055"
0,3.75882312570404,0.891,0.225,0,"ClH23_lipophil","OG0004771"
0,4.05559628756842,0.84,0.177,0,"ClH23_lipophil","OG0000316"
0,3.35806079416486,0.773,0.135,0,"ClH23_lipophil","OG0000166"
0,2.17734213200935,0.849,0.214,0,"ClH23_lipophil","OG0002431"
0,3.27609160820648,0.846,0.235,0,"ClH23_lipophil","OG0004493"
0,3.14506553393517,0.802,0.191,0,"ClH23_lipophil","OG0004568"
0,3.63147303807731,0.658,0.05,0,"ClH23_lipophil","OG0010252"
0,3.56531766227812,0.777,0.182,0,"ClH23_lipophil","OG0002210"
0,5.105649981894,0.615,0.027,0,"ClH23_lipophil","HoiH23-orphan-1486"
0,3.27408077863667,0.906,0.322,0,"ClH23_lipophil","OG0004948"
0,5.27626742173917,0.603,0.025,0,"ClH23_lipophil","OG0010324"
0,2.19046615512863,0.918,0.354,0,"ClH23_lipophil","OG0002625"
0,3.22707378166161,0.617,0.056,0,"ClH23_lipophil","OG0001454"
0,5.19010054827924,0.578,0.022,0,"ClH23_lipophil","OG0002435"
0,2.70543978239546,0.856,0.317,0,"ClH23_lipophil","OG0005819"
0,3.23633335061283,0.669,0.133,0,"ClH23_lipophil","OG0000087"
0,2.47029557106305,0.82,0.286,0,"ClH23_lipophil","OG0003436"
0,4.695898945092,0.608,0.077,0,"ClH23_lipophil","OG0000064"
0,3.88609103552214,0.699,0.168,0,"ClH23_lipophil","OG0001692"
0,3.99691597531865,0.942,0.412,0,"ClH23_lipophil","OG0001575"
0,2.20108496561864,0.855,0.331,0,"ClH23_lipophil","OG0003539"
0,0.790188732213536,0.781,0.259,0,"ClH23_lipophil","OG0000143"
0,3.45132536995036,0.741,0.223,0,"ClH23_lipophil","OG0000553"
0,2.44444472462882,0.7,0.183,0,"ClH23_lipophil","OG0000426"
0,4.44594596524415,0.537,0.024,0,"ClH23_lipophil","OG0014188"
0,2.90123600645008,0.935,0.432,0,"ClH23_lipophil","OG0006606"
0,2.57142267400897,0.656,0.155,0,"ClH23_lipophil","OG0001765"
0,4.46723059009368,0.692,0.191,0,"ClH23_lipophil","OG0000147"
0,3.67224687823409,0.541,0.042,0,"ClH23_lipophil","OG0000464"
0,2.50033488607859,0.81,0.314,0,"ClH23_lipophil","OG0009104"
0,2.3001781949562,0.837,0.342,0,"ClH23_lipophil","OG0002814"
0,1.60586874255774,0.736,0.245,0,"ClH23_lipophil","OG0001099"
0,3.36562571439884,0.835,0.347,0,"ClH23_lipophil","OG0001578"
0,2.3868144120471,0.835,0.347,0,"ClH23_lipophil","OG0002690"
0,4.23276171564949,0.706,0.223,0,"ClH23_lipophil","OG0006831"
0,5.10894374612664,0.502,0.019,0,"ClH23_lipophil","OG0011731"
0,2.4185041306497,0.692,0.21,0,"ClH23_lipophil","OG0003651"
0,2.20710832870883,0.674,0.196,0,"ClH23_lipophil","OG0007906"
0,2.5698150552483,0.894,0.418,0,"ClH23_lipophil","OG0004606"
0,2.30923946022558,0.915,0.442,0,"ClH23_lipophil","OG0004153"
0,2.54321472989641,0.662,0.19,0,"ClH23_lipophil","OG0003151"
0,4.38058454643963,0.508,0.04,0,"ClH23_lipophil","OG0001321"
0,2.73752181127355,0.907,0.439,0,"ClH23_lipophil","OG0005235"
0,2.48616877744165,0.566,0.1,0,"ClH23_lipophil","OG0001141"
0,3.02027515168903,0.687,0.224,0,"ClH23_lipophil","OG0005182"
0,3.15478462275167,0.595,0.134,0,"ClH23_lipophil","OG0005280"
0,1.95543450396274,0.641,0.187,0,"ClH23_lipophil","OG0000930"
0,2.16107452545214,0.766,0.315,0,"ClH23_lipophil","OG0004116"
0,2.92173023951122,0.645,0.204,0,"ClH23_lipophil","OG0002184"
0,2.51569055567521,0.933,0.492,0,"ClH23_lipophil","OG0003759"
0,2.00299942583747,0.689,0.248,0,"ClH23_lipophil","OG0002209"
0,2.10669399074576,0.574,0.134,0,"ClH23_lipophil","OG0003481"
0,5.5797271165959,0.817,0.38,0,"ClH23_lipophil","OG0000645"
0,1.99785088510119,0.712,0.275,0,"ClH23_lipophil","OG0007070"
0,2.95896466153805,0.519,0.083,0,"ClH23_lipophil","HoiH23-orphan-2410"
0,4.36307252032254,0.46,0.026,0,"ClH23_lipophil","OG0007853"
0,5.18571074238243,0.448,0.015,0,"ClH23_lipophil","HoiH23-orphan-2797"
0,4.936671255049,0.903,0.472,0,"ClH23_lipophil","OG0000599"
0,4.85099662531169,0.448,0.017,0,"ClH23_lipophil","OG0010010"
0,2.32720283057599,0.83,0.399,0,"ClH23_lipophil","OG0001486"
0,3.88639279111479,0.461,0.032,0,"ClH23_lipophil","OG0001022"
0,1.89638087001941,0.784,0.356,0,"ClH23_lipophil","OG0002290"
0,1.95275624322049,0.8,0.375,0,"ClH23_lipophil","OG0005810"
0,2.43538179594376,0.595,0.17,0,"ClH23_lipophil","OG0001101"
0,1.91445467844756,0.639,0.216,0,"ClH23_lipophil","OG0001416"
0,2.04729164490915,0.573,0.152,0,"ClH23_lipophil","OG0006051"
0,4.39531856480412,0.442,0.023,0,"ClH23_lipophil","OG0005244"
0,2.77277508451885,0.816,0.397,0,"ClH23_lipophil","OG0001298"
0,2.56649808365714,0.561,0.143,0,"ClH23_lipophil","OG0000503"
0,1.68339940884165,0.77,0.352,0,"ClH23_lipophil","OG0004555"
0,2.80324830100135,0.752,0.334,0,"ClH23_lipophil","OG0000840"
0,3.37202039174856,0.698,0.281,0,"ClH23_lipophil","OG0000575"
0,3.81410735464154,0.472,0.056,0,"ClH23_lipophil","OG0000335"
0,5.47450797602496,0.426,0.013,0,"ClH23_lipophil","OG0006560"
0,3.54042799833296,0.446,0.034,0,"ClH23_lipophil","OG0009948"
0,5.22051911518298,0.422,0.011,0,"ClH23_lipophil","OG0006586"
0,1.83475145426828,0.743,0.332,0,"ClH23_lipophil","OG0007407"
0,1.55119000107621,0.801,0.392,0,"ClH23_lipophil","OG0005883"
0,1.79758575772218,0.756,0.348,0,"ClH23_lipophil","OG0001627"
0,1.81165796300162,0.784,0.378,0,"ClH23_lipophil","OG0005921"
