"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.77886719610078,0.784,0.168,0,"Clhe_Nematocyte","OG0014746"
0,5.95349586774418,0.671,0.07,0,"Clhe_Nematocyte","XLOC-001126"
0,4.14112502904444,0.691,0.095,0,"Clhe_Nematocyte","OG0003019"
0,4.85043042354174,0.68,0.105,0,"Clhe_Nematocyte","OG0000567"
0,5.88831787508679,0.529,0.074,0,"Clhe_Nematocyte","XLOC-042133"
0,5.44846765484724,0.494,0.04,0,"Clhe_Nematocyte","XLOC-021311"
0,4.53054829405755,0.582,0.157,0,"Clhe_Nematocyte","OG0000861"
0,4.59567913820931,0.498,0.074,0,"Clhe_Nematocyte","OG0014641"
0,4.35895017132124,0.573,0.156,0,"Clhe_Nematocyte","OG0005733"
0,4.86423570635919,0.462,0.053,0,"Clhe_Nematocyte","OG0008508"
0,7.76671199026922,0.485,0.08,0,"Clhe_Nematocyte","OG0007195"
0,1.57330953206171,0.634,0.234,0,"Clhe_Nematocyte","OG0000477"
0,6.50701423152034,0.423,0.024,0,"Clhe_Nematocyte","OG0008192"
0,5.27472008432172,0.629,0.233,0,"Clhe_Nematocyte","OG0000036"
0,3.59295777184817,0.524,0.134,0,"Clhe_Nematocyte","OG0000129"
0,5.33732752176684,0.475,0.087,0,"Clhe_Nematocyte","OG0015177"
0,4.87192563626991,0.441,0.055,0,"Clhe_Nematocyte","XLOC-008047"
0,4.11694726275126,0.463,0.081,0,"Clhe_Nematocyte","XLOC-004733"
0,4.70368367379489,0.443,0.066,0,"Clhe_Nematocyte","XLOC-043730"
0,5.21608775162391,0.396,0.03,0,"Clhe_Nematocyte","OG0011560"
0,4.44948354201667,0.403,0.041,0,"Clhe_Nematocyte","OG0002853"
0,4.79336750612854,0.422,0.061,0,"Clhe_Nematocyte","OG0011646"
0,5.98093948187542,0.384,0.024,0,"Clhe_Nematocyte","XLOC-030212"
0,4.68775854679587,0.49,0.135,0,"Clhe_Nematocyte","OG0001456"
0,4.94367622486234,0.389,0.035,0,"Clhe_Nematocyte","OG0009847"
0,4.78374876650409,0.404,0.052,0,"Clhe_Nematocyte","OG0008451"
0,10.4947809333038,0.509,0.158,0,"Clhe_Nematocyte","OG0002688"
0,4.43819056022381,0.386,0.038,0,"Clhe_Nematocyte","OG0011626"
0,5.00288552356954,0.462,0.115,0,"Clhe_Nematocyte","OG0006573"
0,4.19252772145683,0.388,0.043,0,"Clhe_Nematocyte","OG0011461"
0,5.8245461699568,0.405,0.064,0,"Clhe_Nematocyte","OG0000494"
0,5.19964788592911,0.37,0.029,0,"Clhe_Nematocyte","OG0009799"
0,3.80712041731772,0.394,0.058,0,"Clhe_Nematocyte","OG0011616"
0,4.86019551535656,0.385,0.049,0,"Clhe_Nematocyte","OG0015063"
0,4.58845830051958,0.368,0.038,0,"Clhe_Nematocyte","OG0014522"
0,5.12817406167642,0.366,0.037,0,"Clhe_Nematocyte","OG0009744"
0,3.45355936357246,0.408,0.079,0,"Clhe_Nematocyte","OG0002021"
0,3.93534759050149,0.396,0.068,0,"Clhe_Nematocyte","OG0007743"
0,4.92371168893264,0.354,0.026,0,"Clhe_Nematocyte","OG0009792"
0,5.34142909461707,0.353,0.025,0,"Clhe_Nematocyte","OG0009800"
0,4.99821023645287,0.567,0.242,0,"Clhe_Nematocyte","OG0014792"
0,2.44250409096396,0.519,0.195,0,"Clhe_Nematocyte","OG0001963"
0,3.103346713267,0.564,0.242,0,"Clhe_Nematocyte","OG0000006"
0,4.9823152244905,0.663,0.343,0,"Clhe_Nematocyte","XLOC-001436"
0,4.9859898532304,0.36,0.045,0,"Clhe_Nematocyte","OG0001074"
0,5.24464500425849,0.339,0.026,0,"Clhe_Nematocyte","OG0011443"
0,3.23034421263831,0.499,0.188,0,"Clhe_Nematocyte","OG0003481"
0,4.51070751267267,0.35,0.039,0,"Clhe_Nematocyte","OG0014931"
0,6.26621039333272,0.337,0.026,0,"Clhe_Nematocyte","XLOC-013310"
0,6.2471204503575,0.333,0.024,0,"Clhe_Nematocyte","OG0010721"
0,3.78563150593425,0.359,0.05,0,"Clhe_Nematocyte","XLOC-012088"
0,3.77051633858652,0.413,0.106,0,"Clhe_Nematocyte","XLOC-013059"
0,4.76534990811759,0.338,0.032,0,"Clhe_Nematocyte","XLOC-019310"
0,5.77980638350216,0.322,0.017,0,"Clhe_Nematocyte","XLOC-005159"
0,6.29534377721013,0.32,0.016,0,"Clhe_Nematocyte","OG0012000"
0,4.69519217286237,0.337,0.034,0,"Clhe_Nematocyte","OG0014327"
0,4.97850726548158,0.341,0.039,0,"Clhe_Nematocyte","OG0014857"
0,4.63292578061558,0.366,0.066,0,"Clhe_Nematocyte","OG0000303"
0,4.35167358854702,0.331,0.032,0,"Clhe_Nematocyte","OG0009743"
0,5.04974027456222,0.556,0.257,0,"Clhe_Nematocyte","OG0012198"
0,2.50439673574889,0.402,0.105,0,"Clhe_Nematocyte","OG0000531"
0,4.84700617052988,0.314,0.019,0,"Clhe_Nematocyte","OG0014631"
0,5.58291276717501,0.314,0.019,0,"Clhe_Nematocyte","XLOC-033962"
0,5.31747996868723,0.347,0.052,0,"Clhe_Nematocyte","XLOC-043215"
0,3.93086052792726,0.338,0.046,0,"Clhe_Nematocyte","OG0004069"
0,3.47305771234524,0.382,0.093,0,"Clhe_Nematocyte","OG0007155"
0,5.02792587005449,0.319,0.036,0,"Clhe_Nematocyte","XLOC-009637"
0,4.22441267490064,0.309,0.028,0,"Clhe_Nematocyte","XLOC-002946"
0,3.47982795263457,0.369,0.092,0,"Clhe_Nematocyte","TRINITY-DN5884-c0-g1-i1.mrna1"
0,4.40588166223577,0.346,0.069,0,"Clhe_Nematocyte","OG0003929"
0,4.329595857291,0.302,0.025,0,"Clhe_Nematocyte","XLOC-040177"
0,5.9905939032931,0.291,0.015,0,"Clhe_Nematocyte","OG0014903"
