"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.28353117024561,0.521,0.064,0,"Dare_Mesoderm","anxa11a"
0,7.24745097533316,0.474,0.034,0,"Dare_Mesoderm","LOC100537766"
0,5.65965570061402,0.418,0.018,0,"Dare_Mesoderm","aqp1a.1"
0,4.78185733750338,0.469,0.089,0,"Dare_Mesoderm","OG0006069"
0,6.42012410010588,0.395,0.019,0,"Dare_Mesoderm","OG0002854"
0,8.10892516357261,0.381,0.01,0,"Dare_Mesoderm","hbbe2"
0,7.88499698886132,0.388,0.017,0,"Dare_Mesoderm","slc4a1a"
0,6.17796459725708,0.402,0.032,0,"Dare_Mesoderm","OG0008486"
0,7.23230136645276,0.384,0.017,0,"Dare_Mesoderm","cahz"
0,8.51544898214452,0.389,0.022,0,"Dare_Mesoderm","hbae1"
0,7.55008049323642,0.37,0.006,0,"Dare_Mesoderm","nmt1b"
0,7.47627388145168,0.371,0.008,0,"Dare_Mesoderm","nt5c2l1"
0,4.66193504387983,0.426,0.064,0,"Dare_Mesoderm","hmbsa"
0,3.53433619222923,0.434,0.073,0,"Dare_Mesoderm","OG0002438"
0,8.46297336173665,0.414,0.053,0,"Dare_Mesoderm","si:ch211-5k11.2"
0,6.66057943670947,0.382,0.021,0,"Dare_Mesoderm","si:dkey-25o16.2"
0,4.92292424110082,0.388,0.03,0,"Dare_Mesoderm","OG0001572"
0,7.27041006471779,0.362,0.006,0,"Dare_Mesoderm","epb41b"
0,6.38445396831067,0.364,0.008,0,"Dare_Mesoderm","f13a1b"
0,5.48172721984817,0.383,0.028,0,"Dare_Mesoderm","hmbsb"
0,8.14039640908577,0.356,0.003,0,"Dare_Mesoderm","si:dkey-261j4.4"
0,3.46836971633153,0.419,0.068,0,"Dare_Mesoderm","OG0005869"
0,5.31852904394234,0.393,0.043,0,"Dare_Mesoderm","tmem14ca"
0,2.93341208965522,0.392,0.045,0,"Dare_Mesoderm","OG0000972"
0,7.99823803892032,0.45,0.105,0,"Dare_Mesoderm","MGC173646"
0,2.17863741316198,0.747,0.403,0,"Dare_Mesoderm","ap2m1a"
0,3.46559914211341,0.445,0.104,0,"Dare_Mesoderm","si:dkey-261h17.1"
0,2.78045576967466,0.464,0.124,0,"Dare_Mesoderm","arl4aa"
0,7.78703778489335,0.343,0.003,0,"Dare_Mesoderm","zgc:163057"
0,3.87215477650395,0.393,0.055,0,"Dare_Mesoderm","OG0000244"
0,3.63607660356046,0.375,0.038,0,"Dare_Mesoderm","zgc:66433"
0,5.12730980606721,0.411,0.075,0,"Dare_Mesoderm","OG0004056"
0,8.07007995854632,0.462,0.128,0,"Dare_Mesoderm","hbbe1.1"
0,8.15760662411165,0.436,0.104,0,"Dare_Mesoderm","LOC100334599"
0,8.08999754110952,0.488,0.156,0,"Dare_Mesoderm","si:ch211-5k11.12"
0,6.14949273040752,0.34,0.009,0,"Dare_Mesoderm","hdr"
0,8.11390129822048,0.448,0.118,0,"Dare_Mesoderm","hbbe3"
0,4.52776408152925,0.374,0.047,0,"Dare_Mesoderm","blf"
0,2.37828303595677,0.505,0.18,0,"Dare_Mesoderm","OG0003734"
0,4.14134313928178,0.366,0.042,0,"Dare_Mesoderm","OG0008436"
0,8.07899110818812,0.507,0.184,0,"Dare_Mesoderm","hbae3"
0,7.4083427766791,0.325,0.004,0,"Dare_Mesoderm","gata1a"
0,1.54917426787978,0.504,0.183,0,"Dare_Mesoderm","ppp1r14bb"
0,4.70271012733396,0.352,0.031,0,"Dare_Mesoderm","rhd"
0,3.00698963405821,0.402,0.089,0,"Dare_Mesoderm","OG0001968"
0,2.65792703949276,0.369,0.056,0,"Dare_Mesoderm","OG0012407"
0,3.58378481589125,0.374,0.062,0,"Dare_Mesoderm","OG0002843"
0,3.63673382965647,0.391,0.079,0,"Dare_Mesoderm","OG0005607"
0,7.68886206833226,0.315,0.003,0,"Dare_Mesoderm","drl"
0,1.39776020276101,0.886,0.577,0,"Dare_Mesoderm","qkia"
0,1.3773699891449,0.521,0.213,0,"Dare_Mesoderm","adam10a"
0,5.70687558716935,0.309,0.01,0,"Dare_Mesoderm","wu:fj58g06"
0,3.10804412211672,0.358,0.06,0,"Dare_Mesoderm","OG0006248"
0,3.26080026864107,0.391,0.095,0,"Dare_Mesoderm","pmp22a"
0,1.48829178466453,0.507,0.214,0,"Dare_Mesoderm","OG0001148"
0,4.02586159069179,0.326,0.033,0,"Dare_Mesoderm","OG0001850"
0,2.44853584333339,0.363,0.07,0,"Dare_Mesoderm","OG0015719"
0,3.78236504829862,0.323,0.031,0,"Dare_Mesoderm","LOC557898"
0,4.06034612660453,0.516,0.224,0,"Dare_Mesoderm","OG0002955"
0,2.07596087824013,0.392,0.1,0,"Dare_Mesoderm","dnm2b"
0,4.51180344550582,0.309,0.017,0,"Dare_Mesoderm","ampd3b"
0,3.47186281591359,0.562,0.271,0,"Dare_Mesoderm","OG0000708"
0,2.08778613234522,0.474,0.186,0,"Dare_Mesoderm","OG0004746"
0,4.23649774631904,0.314,0.029,0,"Dare_Mesoderm","LOC568465"
0,5.64986371603394,0.294,0.009,0,"Dare_Mesoderm","OG0001904"
0,3.44786661869879,0.301,0.019,0,"Dare_Mesoderm","NP-998402.1"
0,2.3348511754244,0.411,0.131,0,"Dare_Mesoderm","OG0000911"
0,8.11092479067107,0.279,0.002,0,"Dare_Mesoderm","si:dkey-261j4.3"
0,2.00876504494689,0.376,0.1,0,"Dare_Mesoderm","OG0012306"
0,0.682432940786294,0.416,0.141,0,"Dare_Mesoderm","OG0000728"
0,3.96201200307066,0.299,0.024,0,"Dare_Mesoderm","OG0006851"
0,1.51608565886639,0.45,0.176,0,"Dare_Mesoderm","si:dkey-42i9.6"
0,1.1528976612649,0.472,0.198,0,"Dare_Mesoderm","si:ch211-67f24.5"
0,2.70275169343424,0.335,0.062,0,"Dare_Mesoderm","LOC100333269"
0,0.254019080811116,0.394,0.666,0,"Dare_Mesoderm","OG0000029"
0,5.77133106551594,0.275,0.005,0,"Dare_Mesoderm","si:ch211-29n12.1"
0,3.20269032318212,0.322,0.052,0,"Dare_Mesoderm","znfl2a"
0,1.59105518360931,0.4,0.131,0,"Dare_Mesoderm","si:dkey-13i19.8"
0,1.22680968144001,0.592,0.325,0,"Dare_Mesoderm","OG0001193"
0,2.40104948838496,0.336,0.07,0,"Dare_Mesoderm","jak2a"
0,1.74757376180102,0.403,0.138,0,"Dare_Mesoderm","OG0003045"
0,1.93137534273098,0.491,0.23,0,"Dare_Mesoderm","LOC100331639"
0,2.23681582753779,0.309,0.052,0,"Dare_Mesoderm","si:ch211-251j10.3"
0,2.68675508436678,0.291,0.036,0,"Dare_Mesoderm","rbm24a"
0,2.48548625562786,0.317,0.066,0,"Dare_Mesoderm","zgc:73185"
0,4.90263541461144,0.259,0.009,0,"Dare_Mesoderm","slc20a1a"
0,3.00396771534092,0.287,0.037,0,"Dare_Mesoderm","csrnp1a"
0,6.88023907471716,0.254,0.005,0,"Dare_Mesoderm","OG0002228"
0,1.90538493301534,0.552,0.304,0,"Dare_Mesoderm","OG0000058"
