"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.95779230115357,0.898,0.021,0,"HoH13_lipophil","OG0001701"
0,6.21058652931151,0.898,0.024,0,"HoH13_lipophil","OG0010370"
0,5.86564380113973,0.855,0.026,0,"HoH13_lipophil","OG0010601"
0,6.16789206019544,0.849,0.026,0,"HoH13_lipophil","OG0009971"
0,6.70071499893368,0.763,0.014,0,"HoH13_lipophil","OG0010055"
0,4.04336598570947,0.969,0.224,0,"HoH13_lipophil","OG0006047"
0,10.8521720951699,0.998,0.265,0,"HoH13_lipophil","OG0000657"
0,4.28975417424392,0.82,0.111,0,"HoH13_lipophil","OG0000316"
0,11.2214688095623,0.978,0.293,0,"HoH13_lipophil","OG0001142"
0,3.79711878145966,0.849,0.196,0,"HoH13_lipophil","OG0004771"
0,4.1952674133589,0.749,0.099,0,"HoH13_lipophil","OG0000143"
0,3.73009670169891,0.779,0.131,0,"HoH13_lipophil","OG0004493"
0,3.66600513514195,0.873,0.226,0,"HoH13_lipophil","OG0004948"
0,3.73942383135177,0.754,0.11,0,"HoH13_lipophil","OG0004568"
0,3.35983706045484,0.857,0.234,0,"HoH13_lipophil","OG0006606"
0,3.38537734398214,0.883,0.262,0,"HoH13_lipophil","OG0004606"
0,3.46607521867843,0.778,0.159,0,"HoH13_lipophil","OG0003651"
0,5.1984694962332,0.748,0.133,0,"HoH13_lipophil","OG0000840"
0,2.98638353178591,0.855,0.24,0,"HoH13_lipophil","OG0005819"
0,4.26205613908601,0.765,0.155,0,"HoH13_lipophil","OG0000553"
0,2.5160589021186,0.708,0.104,0,"HoH13_lipophil","OG0002431"
0,4.11471398044415,0.679,0.088,0,"HoH13_lipophil","OG0002210"
0,6.77301412209554,0.597,0.009,0,"HoH13_lipophil","OG0009965"
0,2.6161326091963,0.765,0.189,0,"HoH13_lipophil","OG0003436"
0,3.64771664126176,0.668,0.097,0,"HoH13_lipophil","OG0000087"
0,3.9053836139801,0.601,0.036,0,"HoH13_lipophil","OG0001022"
0,2.55185929837322,0.747,0.182,0,"HoH13_lipophil","OG0002814"
0,2.95744580558282,0.886,0.326,0,"HoH13_lipophil","OG0000131"
0,2.8701332979434,0.792,0.243,0,"HoH13_lipophil","OG0001558"
0,6.36542510958145,0.557,0.009,0,"HoH13_lipophil","Hhon-orphan-546"
0,2.72111493262112,0.715,0.173,0,"HoH13_lipophil","OG0004116"
0,2.04585945835895,0.694,0.154,0,"HoH13_lipophil","OG0001099"
0,3.77912781949925,0.752,0.214,0,"HoH13_lipophil","OG0001298"
0,4.65562296314552,0.549,0.018,0,"HoH13_lipophil","Hhon-orphan-384"
0,2.6859869330488,0.926,0.408,0,"HoH13_lipophil","OG0005235"
0,1.86219836935586,0.794,0.279,0,"HoH13_lipophil","OG0002112"
0,3.16023289588186,0.782,0.271,0,"HoH13_lipophil","OG0003151"
0,1.80114690318487,0.879,0.368,0,"HoH13_lipophil","OG0003759"
0,6.39561752169342,0.94,0.429,0,"HoH13_lipophil","OG0000599"
0,3.45881716231102,0.595,0.085,0,"HoH13_lipophil","OG0001101"
0,2.18089975127138,0.823,0.316,0,"HoH13_lipophil","OG0004278"
0,2.16249166283482,0.77,0.267,0,"HoH13_lipophil","OG0005830"
0,6.09445714770303,0.509,0.009,0,"HoH13_lipophil","OG0002435"
0,2.02576282929146,0.763,0.267,0,"HoH13_lipophil","OG0005921"
0,2.26496825424101,0.695,0.2,0,"HoH13_lipophil","OG0009104"
0,2.44894864181496,0.981,0.489,0,"HoH13_lipophil","OG0001178"
0,3.02741361776007,0.965,0.475,0,"HoH13_lipophil","OG0005167"
0,4.93529604720036,0.503,0.016,0,"HoH13_lipophil","OG0005244"
0,2.14076412485213,0.855,0.369,0,"HoH13_lipophil","OG0002469"
0,2.15874838379326,0.67,0.185,0,"HoH13_lipophil","OG0007016"
0,2.17462439298945,0.721,0.237,0,"HoH13_lipophil","OG0004153"
0,2.22683403686648,0.706,0.228,0,"HoH13_lipophil","OG0002290"
0,2.01298116873694,0.762,0.286,0,"HoH13_lipophil","OG0002260"
0,3.11079135181564,0.704,0.228,0,"HoH13_lipophil","OG0000749"
0,4.48575704609356,0.495,0.02,0,"HoH13_lipophil","OG0010252"
0,1.91258754085385,0.77,0.298,0,"HoH13_lipophil","OG0003236"
0,1.93322466074304,0.818,0.349,0,"HoH13_lipophil","OG0005541"
