"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.30651299882082,0.7,0.164,0,"Neve_ectoderm.pharyngeal","NV2.18216"
0,3.02336418542745,0.744,0.211,0,"Neve_ectoderm.pharyngeal","NVE23457"
0,1.94748347103945,0.548,0.262,0,"Neve_ectoderm.pharyngeal","NV2.24723"
0,2.22219758836742,0.626,0.359,0,"Neve_ectoderm.pharyngeal","NV2.20680"
0,1.89184832784552,0.504,0.239,0,"Neve_ectoderm.pharyngeal","NV2.20546"
0,1.81505788084432,0.489,0.264,0,"Neve_ectoderm.pharyngeal","OG0001933"
0,1.37488219824724,0.827,0.624,0,"Neve_ectoderm.pharyngeal","OG0003040"
0,2.87479410753176,0.27,0.071,0,"Neve_ectoderm.pharyngeal","NV2.6402"
0,1.31344797868455,0.836,0.673,0,"Neve_ectoderm.pharyngeal","NVE12092"
0,0.737702812173677,0.89,0.77,0,"Neve_ectoderm.pharyngeal","OG0002183"
0,0.54948563242673,0.991,0.891,0,"Neve_ectoderm.pharyngeal","OG0012823"
0,1.0094783323002,0.914,0.834,0,"Neve_ectoderm.pharyngeal","NVE448"
0,0.78236977779711,0.913,0.851,0,"Neve_ectoderm.pharyngeal","NV2.24061"
0,0.706017275086491,0.966,0.908,0,"Neve_ectoderm.pharyngeal","OG0000785"
1.9932021120602e-275,2.21780374370531,0.317,0.117,2.64079347826856e-271,"Neve_ectoderm.pharyngeal","NV2.5747"
1.34852749160776e-272,1.73038245453812,0.463,0.259,1.78666407363112e-268,"Neve_ectoderm.pharyngeal","OG0016444"
5.51538641064235e-260,0.893678614423684,0.769,0.678,7.30733545546004e-256,"Neve_ectoderm.pharyngeal","OG0007393"
6.14447003178462e-258,2.06543865148224,0.353,0.152,8.14080834511144e-254,"Neve_ectoderm.pharyngeal","NV2.14266"
3.82850449806866e-255,1.04002837173916,0.669,0.476,5.07238560949117e-251,"Neve_ectoderm.pharyngeal","OG0000323"
1.93468897948883e-251,0.883198536243773,0.732,0.576,2.56326942892475e-247,"Neve_ectoderm.pharyngeal","NV2.6961"
1.5992728491668e-250,0.42290482724673,0.958,0.955,2.1188765978611e-246,"Neve_ectoderm.pharyngeal","OG0003363"
1.97107964200039e-250,0.661642453427527,0.873,0.81,2.61148341768631e-246,"Neve_ectoderm.pharyngeal","NV2.19104"
4.32628135633232e-249,1.89335767478003,0.368,0.173,5.73189016900469e-245,"Neve_ectoderm.pharyngeal","OG0001950"
2.59545900640277e-230,3.03043782279088,0.199,0.051,3.43872363758303e-226,"Neve_ectoderm.pharyngeal","NV2.8652"
1.07114565179968e-229,0.683839574179474,0.95,0.911,1.41916087406939e-225,"Neve_ectoderm.pharyngeal","OG0009514"
1.18849339996405e-213,1.46796320341881,0.975,0.92,1.57463490561237e-209,"Neve_ectoderm.pharyngeal","OG0000058"
8.77440538126954e-196,2.2912512322395,0.329,0.162,1.1625209689644e-191,"Neve_ectoderm.pharyngeal","OG0000292"
3.29826268333662e-187,1.24762371357878,0.97,0.947,4.36986822915269e-183,"Neve_ectoderm.pharyngeal","OG0012890"
3.82786321032956e-186,0.690873338429012,0.772,0.738,5.07153596736564e-182,"Neve_ectoderm.pharyngeal","NV2.11981"
5.16089148030857e-172,1.95776729515571,0.387,0.232,6.83766512226082e-168,"Neve_ectoderm.pharyngeal","OG0000618"
7.78677892651938e-169,1.29505888300462,0.389,0.224,1.03167033997455e-164,"Neve_ectoderm.pharyngeal","OG0002819"
2.40760512409458e-162,0.684262242048862,0.763,0.72,3.18983602891291e-158,"Neve_ectoderm.pharyngeal","OG0003721"
3.43095878216871e-157,1.96747299788704,0.391,0.238,4.54567729049532e-153,"Neve_ectoderm.pharyngeal","OG0007630"
1.78222287194184e-155,0.403259880014984,0.948,0.924,2.36126708303574e-151,"Neve_ectoderm.pharyngeal","OG0003324"
5.22832647376133e-155,2.34535025385734,0.183,0.061,6.92700974508639e-151,"Neve_ectoderm.pharyngeal","OG0012225"
4.15347337193056e-144,2.57636580002806,0.906,0.838,5.5029368704708e-140,"Neve_ectoderm.pharyngeal","OG0000069"
3.36895761157117e-142,2.18376799098663,0.213,0.088,4.46353193957064e-138,"Neve_ectoderm.pharyngeal","NV2.23486"
4.68216190748955e-142,2.05729050874675,0.84,0.791,6.2033963112329e-138,"Neve_ectoderm.pharyngeal","OG0001223"
2.3182793845265e-133,1.53229455025865,0.306,0.17,3.07148835655916e-129,"Neve_ectoderm.pharyngeal","OG0002745"
4.24628804193326e-130,1.99332862994509,0.205,0.086,5.62590702675738e-126,"Neve_ectoderm.pharyngeal","OG0002398"
1.82623883794375e-124,0.513286988554878,0.803,0.749,2.41958383639168e-120,"Neve_ectoderm.pharyngeal","NV2.23463"
3.36037922523488e-120,0.56531546474719,0.825,0.779,4.45216643551369e-116,"Neve_ectoderm.pharyngeal","OG0004666"
3.72318185046684e-116,0.884803980705342,0.588,0.481,4.93284363368352e-112,"Neve_ectoderm.pharyngeal","NVE10283"
2.20900862001223e-113,2.64816589580637,0.123,0.037,2.9267155206542e-109,"Neve_ectoderm.pharyngeal","NV2.16504"
9.90514330538431e-113,2.17527755581098,0.182,0.077,1.31233243653037e-108,"Neve_ectoderm.pharyngeal","OG0006725"
5.0129224869264e-110,1.53331796435683,0.263,0.142,6.64162100292879e-106,"Neve_ectoderm.pharyngeal","OG0008683"
1.86251277148759e-108,0.384822598930865,0.854,0.776,2.46764317094391e-104,"Neve_ectoderm.pharyngeal","OG0001644"
1.61894548836767e-107,0.828284480098843,0.389,0.248,2.14494087753832e-103,"Neve_ectoderm.pharyngeal","NV2.11442"
2.85862400219253e-107,0.569219988498824,0.778,0.696,3.78739094050488e-103,"Neve_ectoderm.pharyngeal","NV2.20248"
4.15699389346037e-104,1.73350370641354,0.242,0.13,5.50760120944565e-100,"Neve_ectoderm.pharyngeal","OG0003310"
4.56561410993508e-104,0.473920941611566,0.795,0.795,6.04898213425298e-100,"Neve_ectoderm.pharyngeal","OG0002964"
5.35744198832349e-103,2.45079347608049,0.152,0.059,7.09807489032979e-99,"Neve_ectoderm.pharyngeal","OG0002358"
1.53546892788286e-101,0.810631379364498,0.976,0.946,2.03434278255201e-97,"Neve_ectoderm.pharyngeal","OG0000967"
5.80074968295139e-101,1.11414478359366,0.455,0.377,7.6854132549423e-97,"Neve_ectoderm.pharyngeal","OG0001781"
9.3366518470226e-100,1.7557413425882,0.442,0.32,1.23701300321202e-95,"Neve_ectoderm.pharyngeal","OG0007741"
1.67672674829213e-97,1.1970625280209,0.393,0.293,2.22149526881225e-93,"Neve_ectoderm.pharyngeal","NV2.4122"
9.65368133371603e-95,1.37525079133633,0.337,0.233,1.27901623990404e-90,"Neve_ectoderm.pharyngeal","OG0004382"
4.96965581057247e-93,2.72622742576985,0.098,0.028,6.58429698342746e-89,"Neve_ectoderm.pharyngeal","NV2.7469"
4.89579013825006e-91,2.58244535697582,0.125,0.045,6.4864323541675e-87,"Neve_ectoderm.pharyngeal","NV2.5164"
2.14335460844749e-87,2.97429442985653,0.081,0.02,2.83973052073209e-83,"Neve_ectoderm.pharyngeal","NVE25469"
8.09480678913221e-85,0.491783549595334,0.744,0.739,1.07248095149213e-80,"Neve_ectoderm.pharyngeal","OG0007793"
3.47244800028303e-84,2.05811529931334,0.152,0.067,4.60064635557499e-80,"Neve_ectoderm.pharyngeal","OG0009598"
2.22164096737261e-83,0.886482617698252,0.414,0.31,2.94345211767198e-79,"Neve_ectoderm.pharyngeal","NV2.6557"
6.33271277719874e-81,1.63430213710379,0.225,0.13,8.39021115851061e-77,"Neve_ectoderm.pharyngeal","OG0004346"
3.33941191891383e-78,1.44836990695847,0.269,0.174,4.42438685136893e-74,"Neve_ectoderm.pharyngeal","OG0002371"
5.75856719682378e-76,2.4308084236376,0.095,0.031,7.62952567907182e-72,"Neve_ectoderm.pharyngeal","NV2.12332"
9.28700319612545e-76,2.77910082736987,0.08,0.023,1.23043505345466e-71,"Neve_ectoderm.pharyngeal","NV2.3700"
1.44027599870119e-75,0.922352297279348,0.462,0.402,1.90822167067921e-71,"Neve_ectoderm.pharyngeal","OG0007223"
3.02380945896095e-75,1.49134407825217,0.506,0.434,4.00624515217736e-71,"Neve_ectoderm.pharyngeal","OG0011175"
1.72092799578038e-74,2.93758595944823,0.065,0.015,2.28005750160942e-70,"Neve_ectoderm.pharyngeal","NV2.13410"
2.13473821430226e-74,0.880704660421443,0.735,0.677,2.82831466012906e-70,"Neve_ectoderm.pharyngeal","OG0016472"
9.70981373603275e-74,0.16252317733024,0.274,0.174,1.28645322188698e-69,"Neve_ectoderm.pharyngeal","OG0002773"
4.76913385949892e-73,2.17447160266293,0.127,0.054,6.31862545045012e-69,"Neve_ectoderm.pharyngeal","OG0007015"
7.28418779951862e-73,1.32933334513894,0.259,0.164,9.65082041558222e-69,"Neve_ectoderm.pharyngeal","OG0002197"
8.26132082999604e-72,1.77749162199612,0.156,0.075,1.09454239676618e-67,"Neve_ectoderm.pharyngeal","NV2.15523"
