"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.87240582327946,0.821,0.198,0,"Spla_Archeocytes and relatives","OG0003491"
0,3.57448953122438,0.78,0.17,0,"Spla_Archeocytes and relatives","OG0013963"
0,2.68252159932724,0.821,0.213,0,"Spla_Archeocytes and relatives","OG0006293"
0,3.02849453809182,0.711,0.119,0,"Spla_Archeocytes and relatives","c98556-g1"
0,2.69457184011641,0.837,0.254,0,"Spla_Archeocytes and relatives","c103814-g2"
0,2.78196463842589,0.87,0.289,0,"Spla_Archeocytes and relatives","OG0005988"
0,2.72536748731556,0.868,0.289,0,"Spla_Archeocytes and relatives","OG0005357"
0,2.4795510086029,0.767,0.192,0,"Spla_Archeocytes and relatives","c100529-g1"
0,2.24359404348495,0.796,0.231,0,"Spla_Archeocytes and relatives","c103160-g2"
0,2.25334597297691,0.775,0.216,0,"Spla_Archeocytes and relatives","OG0006324"
0,2.17740225623137,0.803,0.249,0,"Spla_Archeocytes and relatives","OG0004136"
0,2.53281474085933,0.705,0.152,0,"Spla_Archeocytes and relatives","OG0005270"
0,2.82589786083135,0.676,0.125,0,"Spla_Archeocytes and relatives","OG0007034"
0,2.73443173561674,0.887,0.342,0,"Spla_Archeocytes and relatives","OG0005763"
0,2.2863970044877,0.835,0.291,0,"Spla_Archeocytes and relatives","OG0002110"
0,2.64814460346471,0.863,0.321,0,"Spla_Archeocytes and relatives","OG0001156"
0,2.2413349293905,0.853,0.311,0,"Spla_Archeocytes and relatives","OG0003973"
0,2.21043963447188,0.749,0.207,0,"Spla_Archeocytes and relatives","c102127-g1"
0,2.12103740457277,0.786,0.244,0,"Spla_Archeocytes and relatives","c92205-g1"
0,2.8116268873727,0.65,0.111,0,"Spla_Archeocytes and relatives","OG0006259"
0,2.1612429373752,0.806,0.271,0,"Spla_Archeocytes and relatives","OG0006458"
0,2.08887237424628,0.793,0.26,0,"Spla_Archeocytes and relatives","OG0004890"
0,2.26608773500523,0.725,0.192,0,"Spla_Archeocytes and relatives","OG0001655"
0,2.25506500550341,0.71,0.179,0,"Spla_Archeocytes and relatives","c102244-g1"
0,2.09122270892641,0.819,0.289,0,"Spla_Archeocytes and relatives","c100725-g1"
0,2.05198279673868,0.846,0.318,0,"Spla_Archeocytes and relatives","OG0004924"
0,2.14068587701169,0.849,0.322,0,"Spla_Archeocytes and relatives","OG0003437"
0,2.19228565392747,0.773,0.247,0,"Spla_Archeocytes and relatives","OG0005729"
0,1.9977212106726,0.767,0.242,0,"Spla_Archeocytes and relatives","OG0004984"
0,2.75609315956233,0.647,0.122,0,"Spla_Archeocytes and relatives","OG0008377"
0,2.52225454721766,0.649,0.125,0,"Spla_Archeocytes and relatives","OG0008130"
0,1.97571051301043,0.779,0.258,0,"Spla_Archeocytes and relatives","OG0006441"
0,2.30423346518192,0.716,0.196,0,"Spla_Archeocytes and relatives","OG0000184"
0,2.09848245886436,0.76,0.242,0,"Spla_Archeocytes and relatives","OG0003267"
0,2.027324077304,0.721,0.205,0,"Spla_Archeocytes and relatives","OG0004407"
0,1.82146737561493,0.755,0.24,0,"Spla_Archeocytes and relatives","OG0006423"
0,2.25350834747656,0.669,0.155,0,"Spla_Archeocytes and relatives","c104116-g1"
0,2.12870271730227,0.68,0.168,0,"Spla_Archeocytes and relatives","OG0005229"
0,2.15303132074468,0.684,0.175,0,"Spla_Archeocytes and relatives","OG0005572"
0,2.13115982891008,0.677,0.17,0,"Spla_Archeocytes and relatives","c99212-g3"
0,2.61256791497252,0.901,0.395,0,"Spla_Archeocytes and relatives","OG0005588"
0,1.74547275468181,0.792,0.287,0,"Spla_Archeocytes and relatives","c104725-g1"
0,2.12109011103513,0.647,0.143,0,"Spla_Archeocytes and relatives","c104577-g1"
0,2.05731911425524,0.721,0.218,0,"Spla_Archeocytes and relatives","c104074-g2"
0,2.13479326834464,0.871,0.37,0,"Spla_Archeocytes and relatives","OG0005447"
0,2.41468913920283,0.877,0.376,0,"Spla_Archeocytes and relatives","OG0006007"
0,1.89445414122109,0.77,0.269,0,"Spla_Archeocytes and relatives","OG0006344"
0,1.85480586246305,0.745,0.246,0,"Spla_Archeocytes and relatives","OG0004118"
0,2.11660696784217,0.659,0.16,0,"Spla_Archeocytes and relatives","c99741-g1"
0,1.77295711568774,0.797,0.3,0,"Spla_Archeocytes and relatives","OG0005181"
0,2.36914766473055,0.623,0.126,0,"Spla_Archeocytes and relatives","OG0005458"
0,1.81306881226415,0.826,0.329,0,"Spla_Archeocytes and relatives","c97636-g1"
0,1.8368628332765,0.755,0.259,0,"Spla_Archeocytes and relatives","OG0005174"
0,1.88947277543823,0.835,0.339,0,"Spla_Archeocytes and relatives","OG0006286"
0,1.71982072816596,0.751,0.256,0,"Spla_Archeocytes and relatives","c97880-g1"
0,2.07029796447814,0.724,0.23,0,"Spla_Archeocytes and relatives","c25729-g1"
0,1.72198185253246,0.832,0.339,0,"Spla_Archeocytes and relatives","OG0005490"
0,2.33056287153062,0.618,0.127,0,"Spla_Archeocytes and relatives","c103541-g2"
0,1.8853177202363,0.699,0.208,0,"Spla_Archeocytes and relatives","c93225-g1"
0,1.71217412575551,0.81,0.32,0,"Spla_Archeocytes and relatives","c6765-g1"
0,1.71328440219414,0.762,0.273,0,"Spla_Archeocytes and relatives","OG0007417"
0,1.97140591254154,0.686,0.198,0,"Spla_Archeocytes and relatives","c101527-g1"
0,2.42168019072426,0.603,0.115,0,"Spla_Archeocytes and relatives","OG0006271"
0,2.7460615261342,0.878,0.39,0,"Spla_Archeocytes and relatives","c96925-g1"
0,2.30796647204421,0.618,0.131,0,"Spla_Archeocytes and relatives","OG0004710"
0,1.95275828296274,0.859,0.372,0,"Spla_Archeocytes and relatives","c100469-g1"
0,1.78702519954976,0.75,0.264,0,"Spla_Archeocytes and relatives","OG0000992"
0,1.71856974397024,0.726,0.241,0,"Spla_Archeocytes and relatives","OG0004422"
0,1.88912104933749,0.844,0.359,0,"Spla_Archeocytes and relatives","c104017-g1"
0,1.8582379877664,0.723,0.238,0,"Spla_Archeocytes and relatives","c104126-g1"
0,1.73528854528008,0.769,0.285,0,"Spla_Archeocytes and relatives","OG0004066"
0,1.73326921131684,0.888,0.404,0,"Spla_Archeocytes and relatives","OG0001193"
0,2.23699070772054,0.798,0.316,0,"Spla_Archeocytes and relatives","OG0004451"
0,1.89923679316758,0.709,0.227,0,"Spla_Archeocytes and relatives","OG0003037"
0,1.69894259509375,0.743,0.261,0,"Spla_Archeocytes and relatives","OG0006745"
0,1.69985760263535,0.778,0.297,0,"Spla_Archeocytes and relatives","c101591-g1"
0,2.43240781348457,0.596,0.115,0,"Spla_Archeocytes and relatives","OG0001782"
0,2.1529398067066,0.635,0.155,0,"Spla_Archeocytes and relatives","OG0004374"
0,1.88771997582848,0.683,0.204,0,"Spla_Archeocytes and relatives","c98254-g1"
0,1.76761124795151,0.794,0.316,0,"Spla_Archeocytes and relatives","OG0005876"
0,1.99580221183224,0.888,0.41,0,"Spla_Archeocytes and relatives","c88991-g1"
0,1.68130691577593,0.831,0.353,0,"Spla_Archeocytes and relatives","OG0000483"
0,2.12115225258136,0.637,0.159,0,"Spla_Archeocytes and relatives","c104223-g1"
0,1.69156949681541,0.835,0.357,0,"Spla_Archeocytes and relatives","c94023-g1"
0,1.78263686215784,0.727,0.249,0,"Spla_Archeocytes and relatives","c97332-g1"
0,2.89781768280715,0.909,0.432,0,"Spla_Archeocytes and relatives","OG0002730"
0,2.15002663542958,0.619,0.142,0,"Spla_Archeocytes and relatives","OG0004700"
0,1.76822942937782,0.703,0.226,0,"Spla_Archeocytes and relatives","OG0005189"
0,1.64081098056102,0.792,0.318,0,"Spla_Archeocytes and relatives","OG0006518"
0,1.66751742429307,0.777,0.303,0,"Spla_Archeocytes and relatives","c102430-g2"
0,1.40850732754277,0.787,0.314,0,"Spla_Archeocytes and relatives","OG0008234"
0,1.71817121159547,0.724,0.251,0,"Spla_Archeocytes and relatives","OG0003443"
0,1.64208310890926,0.746,0.273,0,"Spla_Archeocytes and relatives","OG0004554"
0,2.15259003980976,0.608,0.135,0,"Spla_Archeocytes and relatives","OG0006641"
0,1.63541257269986,0.76,0.288,0,"Spla_Archeocytes and relatives","OG0005905"
0,1.62843809273267,0.742,0.271,0,"Spla_Archeocytes and relatives","OG0005514"
0,1.68819251083409,0.724,0.253,0,"Spla_Archeocytes and relatives","OG0007301"
0,1.97147148544996,0.889,0.419,0,"Spla_Archeocytes and relatives","OG0005681"
0,1.98670647851111,0.878,0.408,0,"Spla_Archeocytes and relatives","OG0005964"
0,2.40277603011247,0.603,0.133,0,"Spla_Archeocytes and relatives","OG0002071"
0,1.69340335266984,0.698,0.228,0,"Spla_Archeocytes and relatives","OG0003989"
0,1.69935832561462,0.796,0.327,0,"Spla_Archeocytes and relatives","c101416-g2"
0,1.68370940470774,0.74,0.271,0,"Spla_Archeocytes and relatives","OG0002005"
0,3.02866385808985,0.881,0.413,0,"Spla_Archeocytes and relatives","c80692-g1"
0,2.18151392032413,0.593,0.125,0,"Spla_Archeocytes and relatives","c89479-g1"
