"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.982531895869,0.967,0.135,0,"TrH2_lipophil","OG0010178"
0,4.8821763473508,0.878,0.07,0,"TrH2_lipophil","OG0001701"
0,3.71156503211252,0.87,0.111,0,"TrH2_lipophil","OG0010370"
0,4.6486677128292,0.84,0.087,0,"TrH2_lipophil","OG0001214"
0,3.43458226377956,0.807,0.102,0,"TrH2_lipophil","OG0010601"
0,6.08072161817191,0.992,0.303,0,"TrH2_lipophil","OG0000657"
0,4.16212926998459,0.72,0.062,0,"TrH2_lipophil","OG0009971"
0,2.78374932525756,0.828,0.199,0,"TrH2_lipophil","OG0000553"
0,3.39946726757712,0.857,0.234,0,"TrH2_lipophil","OG0004948"
0,3.16900586896929,0.78,0.178,0,"TrH2_lipophil","OG0004771"
0,3.91291225926918,0.671,0.073,0,"TrH2_lipophil","OG0003539"
0,3.48801793278745,0.784,0.187,0,"TrH2_lipophil","OG0006606"
0,3.24660331201989,0.675,0.104,0,"TrH2_lipophil","OG0002431"
0,2.15535517896267,0.823,0.256,0,"TrH2_lipophil","OG0000143"
0,3.41701557230264,0.688,0.125,0,"TrH2_lipophil","OG0004568"
0,3.40321016778238,0.691,0.129,0,"TrH2_lipophil","OG0004493"
0,3.04759875167151,0.844,0.284,0,"TrH2_lipophil","OG0005235"
0,3.45528591509957,0.902,0.347,0,"TrH2_lipophil","OG0004706"
0,6.1817930355448,0.94,0.385,0,"TrH2_lipophil","OG0001142"
0,3.09383492498215,0.912,0.358,0,"TrH2_lipophil","OG0006047"
0,3.46579522552915,0.899,0.36,0,"TrH2_lipophil","OG0005872"
0,2.45640323620617,0.797,0.276,0,"TrH2_lipophil","OG0005400"
0,2.68031218574601,0.83,0.319,0,"TrH2_lipophil","OG0003759"
0,3.01766411919471,0.62,0.111,0,"TrH2_lipophil","OG0001454"
0,3.13737903812929,0.64,0.132,0,"TrH2_lipophil","OG0000316"
0,2.94632055100292,0.818,0.319,0,"TrH2_lipophil","OG0004606"
0,5.99125895865395,0.508,0.014,0,"TrH2_lipophil","OG0009965"
0,2.54025976924168,0.692,0.214,0,"TrH2_lipophil","OG0005819"
0,2.68877504907954,0.663,0.187,0,"TrH2_lipophil","OG0002814"
0,4.69200666533659,0.486,0.025,0,"TrH2_lipophil","TrH2-TrispH2-004681"
0,2.499626157145,0.749,0.294,0,"TrH2_lipophil","OG0001627"
0,3.49511838373311,0.936,0.489,0,"TrH2_lipophil","OG0005167"
0,2.2279624429203,0.537,0.097,0,"TrH2_lipophil","OG0000064"
0,5.13146228539021,0.453,0.017,0,"TrH2_lipophil","OG0010324"
0,2.51041679315778,0.574,0.151,0,"TrH2_lipophil","OG0003436"
0,1.69886961558578,0.6,0.18,0,"TrH2_lipophil","OG0001141"
0,2.41643972147061,0.797,0.383,0,"TrH2_lipophil","OG0000406"
0,2.25108986143543,0.731,0.317,0,"TrH2_lipophil","OG0001827"
0,2.9755885481738,0.636,0.232,0,"TrH2_lipophil","OG0000426"
0,3.54310191671234,0.627,0.225,0,"TrH2_lipophil","OG0001298"
0,2.81219333801695,0.514,0.118,0,"TrH2_lipophil","OG0003651"
0,3.56319996946565,0.436,0.04,0,"TrH2_lipophil","OG0011796"
0,3.30195140854741,0.56,0.165,0,"TrH2_lipophil","OG0001578"
0,2.13278644965384,0.782,0.388,0,"TrH2_lipophil","OG0004332"
0,2.10754668472181,0.654,0.262,0,"TrH2_lipophil","OG0009104"
0,2.09145970184531,0.8,0.409,0,"TrH2_lipophil","OG0003388"
0,1.06117991016217,0.647,0.257,0,"TrH2_lipophil","OG0001099"
0,2.16126001525771,0.784,0.394,0,"TrH2_lipophil","OG0002469"
0,2.12701133399725,0.719,0.329,0,"TrH2_lipophil","OG0009129"
0,2.08956114864655,0.559,0.171,0,"TrH2_lipophil","OG0002210"
0,2.91627704748621,0.479,0.096,0,"TrH2_lipophil","OG0002995"
0,4.33335794341717,0.409,0.027,0,"TrH2_lipophil","OG0010164"
0,3.8623299675164,0.553,0.172,0,"TrH2_lipophil","OG0001692"
0,4.45691784323834,0.697,0.32,0,"TrH2_lipophil","OG0000190"
0,3.37489173232962,0.58,0.205,0,"TrH2_lipophil","OG0003151"
0,1.97579143273308,0.81,0.436,0,"TrH2_lipophil","OG0012503"
0,1.97846336257018,0.882,0.512,0,"TrH2_lipophil","OG0000480"
0,1.82629165164815,0.843,0.476,0,"TrH2_lipophil","OG0005883"
0,2.01051314285547,0.753,0.387,0,"TrH2_lipophil","OG0005809"
0,2.04625993714759,0.684,0.319,0,"TrH2_lipophil","OG0004278"
0,2.31836921602206,0.82,0.458,0,"TrH2_lipophil","OG0000540"
0,2.30014152168353,0.741,0.381,0,"TrH2_lipophil","OG0001486"
0,1.9859488940402,0.814,0.455,0,"TrH2_lipophil","OG0005351"
0,2.00988420673196,0.893,0.541,0,"TrH2_lipophil","OG0006501"
0,2.7568267012242,0.392,0.042,0,"TrH2_lipophil","OG0009948"
0,1.74484234210889,0.639,0.29,0,"TrH2_lipophil","OG0005541"
0,1.9496452688253,0.684,0.339,0,"TrH2_lipophil","OG0002964"
