"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0000981","GO:0000981","47/222","251/9466",0.187250996015936,7.98431499228312,17.3788020595332,7.93669361071216e-30,1.54685274460379e-26,1.21933225763674e-26,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001179",47,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"GO:0003700","GO:0003700","51/222","307/9466",0.166123778501629,7.08345805088476,16.7920030275984,8.86956848970061e-30,1.54685274460379e-26,1.21933225763674e-26,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-004570/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-001303/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001179",51,"DNA-binding transcription factor activity","MF"
"GO:0140110","GO:0140110","58/222","465/9466",0.124731182795699,5.31849268623462,14.798582296034,3.99423333582411e-27,3.97600591443194e-24,3.13415241685666e-24,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-004570/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-001303/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-009395/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004067/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001696/HoiH23-PlH23-007573/HoiH23-PlH23-004980/HoiH23-PlH23-000693/HoiH23-PlH23-001179/HoiH23-PlH23-006086",58,"transcription regulator activity","MF"
"GO:0000976","GO:0000976","40/222","194/9466",0.206185567010309,8.79167827621436,16.9922932083938,4.55963981012837e-27,3.97600591443194e-24,3.13415241685666e-24,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",40,"transcription cis-regulatory region binding","MF"
"GO:0043565","GO:0043565","45/222","269/9466",0.16728624535316,7.13302521852708,15.8137411322648,2.31960149101414e-26,1.61815400013147e-23,1.27553665147978e-23,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",45,"sequence-specific DNA binding","MF"
"GO:1990837","GO:1990837","41/222","221/9466",0.18552036199095,7.91052138110962,16.1086936412034,7.71643601121353e-26,4.48582146785213e-23,3.53602295812101e-23,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",41,"sequence-specific double-stranded DNA binding","MF"
"GO:0044212","GO:0044212","40/222","238/9466",0.168067226890756,7.1663259898554,14.9302814286784,1.62062837722709e-23,8.07535968538299e-21,6.36553582152957e-21,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",40,NA,NA
"GO:0001067","GO:0001067","40/222","241/9466",0.16597510373444,7.07711861238832,14.8091412267947,2.64236973051475e-23,1.15207320250443e-20,9.08140754750596e-21,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",40,"transcription regulatory region nucleic acid binding","MF"
"GO:0003690","GO:0003690","41/222","268/9466",0.152985074626866,6.52322845233293,14.2141380575136,1.7614374499734e-22,6.82654869500802e-20,5.38113990564973e-20,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",41,"double-stranded DNA binding","MF"
"GO:0000977","GO:0000977","34/222","172/9466",0.197674418604651,8.4287659752776,15.2365413476146,1.97318038555871e-22,6.88245318482877e-20,5.42520754429404e-20,"HoiH23-PlH23-000096/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-008152/HoiH23-PlH23-002814",34,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
