"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0005245","GO:0005245","8/218","19/13513",0.421052631578947,26.0994688556253,14.0189301881657,2.61860139347081e-10,7.36612571983339e-07,6.09445019048838e-07,"TRINITY-DN13753-c0-g1-i1/TRINITY-DN20892-c0-g1-i3/TRINITY-DN8417-c0-g1-i2/XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914/TRINITY-DN8986-c0-g1-i1",8,"voltage-gated calcium channel activity","MF"
"GO:0000900","GO:0000900","7/218","17/13513",0.411764705882353,25.5237452779277,12.9554534057652,4.38016550004308e-09,3.08035138790529e-06,2.54856471594612e-06,"TRINITY-DN3872-c0-g1-i2/TRINITY-DN3872-c0-g1-i3/TRINITY-DN40632-c0-g1-i1/TRINITY-DN7462-c0-g1-i2/XLOC-004785/XLOC-013065/XLOC-030971",7,"mRNA regulatory element binding translation repressor activity","MF"
"GO:0050961","GO:0050961","7/218","17/13513",0.411764705882353,25.5237452779277,12.9554534057652,4.38016550004308e-09,3.08035138790529e-06,2.54856471594612e-06,"TRINITY-DN13753-c0-g1-i1/TRINITY-DN20892-c0-g1-i3/TRINITY-DN8417-c0-g1-i2/XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914",7,"detection of temperature stimulus involved in sensory perception","BP"
"GO:0050965","GO:0050965","7/218","17/13513",0.411764705882353,25.5237452779277,12.9554534057652,4.38016550004308e-09,3.08035138790529e-06,2.54856471594612e-06,"TRINITY-DN13753-c0-g1-i1/TRINITY-DN20892-c0-g1-i3/TRINITY-DN8417-c0-g1-i2/XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914",7,"detection of temperature stimulus involved in sensory perception of pain","BP"
"GO:0050951","GO:0050951","7/218","18/13513",0.388888888888889,24.1057594291539,12.5607030828898,7.06971810672105e-09,3.33299726330924e-06,2.7575942332317e-06,"TRINITY-DN13753-c0-g1-i1/TRINITY-DN20892-c0-g1-i3/TRINITY-DN8417-c0-g1-i2/XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914",7,"sensory perception of temperature stimulus","BP"
"GO:0036093","GO:0036093","6/218","11/13513",0.545454545454545,33.8106755629691,13.9397940516998,7.1091303163368e-09,3.33299726330924e-06,2.7575942332317e-06,"TRINITY-DN3872-c0-g1-i2/TRINITY-DN3872-c0-g1-i3/TRINITY-DN7462-c0-g1-i2/XLOC-004785/XLOC-013065/XLOC-030971",6,"germ cell proliferation","BP"
"GO:0032482","GO:0032482","9/218","39/13513",0.230769230769231,14.3045165843331,10.6543516197177,8.73867529566342e-09,3.5116990866716e-06,2.90544527499426e-06,"TRINITY-DN3183-c1-g1-i4/TRINITY-DN3183-c1-g1-i8/TRINITY-DN4497-c1-g2-i1/XLOC-011802/XLOC-0118020/XLOC-031237/XLOC-032568/XLOC-033362/XLOC-036813",9,"Rab protein signal transduction","BP"
"GO:0060856","GO:0060856","7/218","19/13513",0.368421052631579,22.8370352486721,12.1967470478579,1.10409685876892e-08,3.88228057964622e-06,3.21205020360275e-06,"XLOC-011193/TRINITY-DN3872-c0-g1-i2/TRINITY-DN3872-c0-g1-i3/TRINITY-DN7462-c0-g1-i2/XLOC-004785/XLOC-013065/XLOC-030971",7,"establishment of blood-brain barrier","BP"
"GO:0060965","GO:0060965","6/218","12/13513",0.5,30.993119266055,13.3098506754901,1.40271889563154e-08,4.24279787448306e-06,3.51032840027768e-06,"TRINITY-DN3872-c0-g1-i2/TRINITY-DN3872-c0-g1-i3/TRINITY-DN7462-c0-g1-i2/XLOC-004785/XLOC-013065/XLOC-030971",6,"negative regulation of miRNA-mediated gene silencing","BP"
"GO:0050769","GO:0050769","24/218","387/13513",0.062015503875969,3.84410781594481,7.26907638657388,1.61883876892037e-08,4.24279787448306e-06,3.51032840027768e-06,"TRINITY-DN5893-c0-g1-i8/XLOC-004520/XLOC-005308/TRINITY-DN4497-c1-g2-i1/XLOC-018937/XLOC-030607/XLOC-031713/TRINITY-DN1227-c0-g1-i1/TRINITY-DN1227-c0-g1-i3/TRINITY-DN1227-c0-g1-i4/XLOC-011216/TRINITY-DN3872-c0-g1-i2/TRINITY-DN3872-c0-g1-i3/TRINITY-DN7462-c0-g1-i2/XLOC-004785/XLOC-013065/XLOC-030971/XLOC-008328/XLOC-011872/XLOC-001017/XLOC-008234/XLOC-034177/TRINITY-DN5980-c0-g1-i1/XLOC-023657",24,"positive regulation of neurogenesis","BP"
