"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0140110","GO:0140110","53/304","437/9332",0.121281464530892,3.72302179934963,10.6985266224049,2.9493791465726e-17,1.22458222165694e-13,8.8605558782297e-14,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g08629.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03181.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g04801.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g05246.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g03531.t1/Hhon-g06894.t1/Hhon-g08741.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g03869.t1/Hhon-g04459.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02469.t1/Hhon-g06564.t1/Hhon-g10909.t1/Hhon-g03354.t1/Hhon-g02746.t1/Hhon-g03688.t1",53,"transcription regulator activity","MF"
"GO:0000977","GO:0000977","32/304","167/9332",0.191616766467066,5.88213047589032,11.6817119759896,2.15329080064048e-16,3.15145635637327e-13,2.28025972038569e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",32,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF"
"GO:0000981","GO:0000981","38/304","240/9332",0.158333333333333,4.86041666666667,11.1177063929324,2.27706384131016e-16,3.15145635637327e-13,2.28025972038569e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g07460.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02746.t1/Hhon-g03688.t1",38,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF"
"GO:0001012","GO:0001012","32/304","169/9332",0.189349112426035,5.81251946434133,11.585162221143,3.09594716062176e-16,3.21359315272539e-13,2.32521926221435e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",32,NA,NA
"GO:0000976","GO:0000976","33/304","185/9332",0.178378378378378,5.47574679943101,11.2828066478641,6.62161493852946e-16,5.13535583642657e-13,3.71572496632223e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",33,"transcription cis-regulatory region binding","MF"
"GO:1990837","GO:1990837","35/304","210/9332",0.166666666666667,5.11622807017544,11.0705489021328,7.42103444570313e-16,5.13535583642657e-13,3.71572496632223e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g09811.t1/Hhon-g00226.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",35,"sequence-specific double-stranded DNA binding","MF"
"GO:0044212","GO:0044212","36/304","225/9332",0.16,4.91157894736842,10.8983512792382,1.06015099443561e-15,6.24290272542581e-13,4.517098767459e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g10239.t1/Hhon-g00092.t1",36,NA,NA
"GO:0003700","GO:0003700","41/304","293/9332",0.139931740614334,4.2955361954374,10.5173133709332,1.20287143071788e-15,6.24290272542581e-13,4.517098767459e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g08629.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02746.t1/Hhon-g03688.t1",41,"DNA-binding transcription factor activity","MF"
"GO:0001067","GO:0001067","36/304","228/9332",0.157894736842105,4.84695290858726,10.7912879280615,1.6319325956212e-15,7.52864904113248e-13,5.44741009111452e-13,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g10239.t1/Hhon-g00092.t1",36,"transcription regulatory region nucleic acid binding","MF"
"GO:0000978","GO:0000978","26/304","119/9332",0.218487394957983,6.70698805838125,11.497012941977,5.8585013062598e-15,2.43244974235907e-12,1.76001712927005e-12,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g00241.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g10567.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",26,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF"
