"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0016071","GO:0016071","134/1230","484/14418",0.276859504132231,3.24533360209635,15.3449751404351,1.54760839343768e-36,9.27791231865888e-33,6.49180994510437e-33,"NV2.413/NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.9896/NV2.16774/NV2.16775/NV2.7521/NV2.17534/NV2.9771/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.23936/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.3707/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.2658/NV2.3795/NV2.4386/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.8489/NV2.2789/NV2.18304/NV2.3933/NV2.7789/NV2.22512/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.19411/NV2.17007/NV2.23785/NV2.25210/NV2.15684/NV2.10355/NV2.18108/NV2.7107/NV2.8840/NV2.11282/NV2.18279/NV2.14141/NV2.16725/NV2.19573/NV2.4360/NV2.22474/NV2.24592/NV2.8986/NV2.5735/NV2.6333/NV2.15081/NV2.13567/NV2.13570/NV2.25320/NV2.25357/NV2.9355/NV2.6419/NV2.6168/NV2.6672/NV2.18283/NV2.13507/NV2.13311/NV2.13111/NV2.132/NV2.1450/NV2.22268/NV2.16459/NV2.16466/NV2.16181/NV2.17170/NV2.24056/NV2.17983/NV2.6934/NV2.1833/NV2.11045/NV2.686/NV2.14662/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.15741/NV2.23536/NV2.7372/NV2.1096/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.20896/NV2.20856/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",134,"mRNA metabolic process","BP"
"GO:0000377","GO:0000377","88/1230","262/14418",0.33587786259542,3.93714392105753,14.6523111309632,5.84149086466407e-31,1.16732459112204e-27,8.16783898094257e-28,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13567/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16459/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",88,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP"
"GO:0000398","GO:0000398","88/1230","262/14418",0.33587786259542,3.93714392105753,14.6523111309632,5.84149086466407e-31,1.16732459112204e-27,8.16783898094257e-28,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13567/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16459/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",88,"mRNA splicing, via spliceosome","BP"
"GO:0000375","GO:0000375","88/1230","265/14418",0.332075471698113,3.89257248044178,14.5138780407708,1.5373415528046e-30,2.30409065226589e-27,1.61218581261219e-27,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13567/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16459/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",88,"RNA splicing, via transesterification reactions","BP"
"GO:0008380","GO:0008380","90/1230","288/14418",0.3125,3.66310975609756,13.9416688932521,5.75559069000333e-29,6.33175250169547e-26,4.43036455278635e-26,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13567/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.22268/NV2.16459/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.1098/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",90,"RNA splicing","BP"
"GO:0006397","GO:0006397","96/1230","323/14418",0.297213622291022,3.48392358226988,13.7881972427832,6.33703336283116e-29,6.33175250169547e-26,4.43036455278635e-26,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.2789/NV2.18304/NV2.3933/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.18279/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13567/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.1450/NV2.16459/NV2.16466/NV2.16181/NV2.17170/NV2.17983/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.20896/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",96,"mRNA processing","BP"
"GO:0098798","GO:0098798","67/1230","170/14418",0.394117647058824,4.61982783357245,14.4989301718642,1.65827719547893e-28,1.4201959695566e-25,9.93719492328351e-26,"NV2.8814/NV2.11986/NV2.1523/NV2.1543/NV2.18575/NV2.22618/NV2.23915/NV2.1900/NV2.2203/NV2.11810/NV2.21390/NV2.6056/NV2.22025/NV2.12122/NV2.9877/NV2.21166/NV2.24725/NV2.7285/NV2.746/NV2.1708/NV2.3786/NV2.19732/NV2.3244/NV2.350/NV2.2051/NV2.2052/NV2.7760/NV2.9051/NV2.13475/NV2.16044/NV2.23470/NV2.13414/NV2.23794/NV2.8303/NV2.6094/NV2.12245/NV2.25137/NV2.7399/NV2.18633/NV2.8673/NV2.20039/NV2.23672/NV2.15031/NV2.11097/NV2.9616/NV2.17016/NV2.3995/NV2.4591/NV2.5306/NV2.16780/NV2.24238/NV2.23630/NV2.23557/NV2.22825/NV2.3621/NV2.6852/NV2.7796/NV2.11083/NV2.11682/NV2.1849/NV2.3748/NV2.1231/NV2.3565/NV2.16503/NV2.14660/NV2.3774/NV2.2635",67,"mitochondrial protein-containing complex","CC"
"GO:0003700","GO:0003700","119/1230","476/14418",0.25,2.93048780487805,13.0800238341305,5.43192594373542e-28,4.07054950408673e-25,2.8481874849718e-25,"NV2.11441/NV2.11642/NV2.13108/NV2.13336/NV2.13429/NV2.13437/NV2.14459/NV2.20035/NV2.23089/NV2.23888/NV2.25991/NV2.25999/NV2.30002/NV2.413/NV2.645/NV2.7345/NV2.7400/NV2.7956/NV2.10193/NV2.10382/NV2.10861/NV2.10862/NV2.10864/NV2.10867/NV2.12488/NV2.12812/NV2.2257/NV2.2258/NV2.2675/NV2.6608/NV2.6610/NV2.6620/NV2.22721/NV2.24934/NV2.4941/NV2.9042/NV2.9045/NV2.15429/NV2.23552/NV2.24744/NV2.25048/NV2.25478/NV2.13560/NV2.15571/NV2.16402/NV2.18482/NV2.21719/NV2.21749/NV2.4477/NV2.8134/NV2.9896/NV2.16941/NV2.19648/NV2.22282/NV2.6559/NV2.21205/NV2.19776/NV2.4494/NV2.472/NV2.11403/NV2.146/NV2.15042/NV2.15947/NV2.16294/NV2.18456/NV2.18659/NV2.23936/NV2.12688/NV2.22580/NV2.3801/NV2.12565/NV2.2966/NV2.9137/NV2.18154/NV2.20741/NV2.23307/NV2.1451/NV2.21508/NV2.25634/NV2.5664/NV2.13647/NV2.14227/NV2.17611/NV2.13645/NV2.14672/NV2.19339/NV2.19340/NV2.20774/NV2.18158/NV2.19989/NV2.3802/NV2.25289/NV2.13643/NV2.25170/NV2.13006/NV2.17242/NV2.24395/NV2.4965/NV2.24245/NV2.4847/NV2.12897/NV2.1654/NV2.19411/NV2.12102/NV2.22659/NV2.1757/NV2.18108/NV2.2784/NV2.12090/NV2.14141/NV2.21072/NV2.21090/NV2.16181/NV2.12468/NV2.2269/NV2.15741/NV2.1098/NV2.8174/NV2.12041",119,"DNA-binding transcription factor activity","MF"
"GO:0006351","GO:0006351","121/1230","495/14418",0.244444444444444,2.86536585365854,12.8973577378159,1.71612366684974e-27,1.02881613827642e-24,7.1986871709434e-25,"NV2.11441/NV2.13336/NV2.14459/NV2.413/NV2.7400/NV2.7956/NV2.10193/NV2.10861/NV2.10862/NV2.10867/NV2.12488/NV2.2257/NV2.2258/NV2.2675/NV2.6620/NV2.24934/NV2.4941/NV2.15429/NV2.23552/NV2.24744/NV2.25478/NV2.25740/NV2.16402/NV2.18482/NV2.4477/NV2.8134/NV2.9896/NV2.19648/NV2.22282/NV2.6559/NV2.11403/NV2.15947/NV2.18456/NV2.18659/NV2.23936/NV2.12688/NV2.22580/NV2.3801/NV2.12565/NV2.2966/NV2.9137/NV2.18154/NV2.13768/NV2.20741/NV2.23307/NV2.1451/NV2.21508/NV2.25634/NV2.5664/NV2.13647/NV2.13645/NV2.14672/NV2.19339/NV2.19340/NV2.20774/NV2.5905/NV2.19989/NV2.13536/NV2.7890/NV2.25289/NV2.13006/NV2.17242/NV2.24395/NV2.10684/NV2.2789/NV2.18304/NV2.22512/NV2.6603/NV2.24081/NV2.19029/NV2.15486/NV2.10680/NV2.24817/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.4847/NV2.12897/NV2.1654/NV2.4895/NV2.19411/NV2.10355/NV2.21640/NV2.18108/NV2.8840/NV2.12090/NV2.14141/NV2.21072/NV2.21090/NV2.8755/NV2.23498/NV2.23504/NV2.7760/NV2.13507/NV2.10113/NV2.20070/NV2.19415/NV2.4849/NV2.16459/NV2.16466/NV2.16181/NV2.17983/NV2.12468/NV2.19013/NV2.1833/NV2.14662/NV2.10092/NV2.22563/NV2.22576/NV2.5310/NV2.15741/NV2.23536/NV2.11355/NV2.20896/NV2.4332/NV2.18884/NV2.16289/NV2.9721/NV2.6564",121,"DNA-templated transcription","BP"
"GO:0097659","GO:0097659","121/1230","495/14418",0.244444444444444,2.86536585365854,12.8973577378159,1.71612366684974e-27,1.02881613827642e-24,7.1986871709434e-25,"NV2.11441/NV2.13336/NV2.14459/NV2.413/NV2.7400/NV2.7956/NV2.10193/NV2.10861/NV2.10862/NV2.10867/NV2.12488/NV2.2257/NV2.2258/NV2.2675/NV2.6620/NV2.24934/NV2.4941/NV2.15429/NV2.23552/NV2.24744/NV2.25478/NV2.25740/NV2.16402/NV2.18482/NV2.4477/NV2.8134/NV2.9896/NV2.19648/NV2.22282/NV2.6559/NV2.11403/NV2.15947/NV2.18456/NV2.18659/NV2.23936/NV2.12688/NV2.22580/NV2.3801/NV2.12565/NV2.2966/NV2.9137/NV2.18154/NV2.13768/NV2.20741/NV2.23307/NV2.1451/NV2.21508/NV2.25634/NV2.5664/NV2.13647/NV2.13645/NV2.14672/NV2.19339/NV2.19340/NV2.20774/NV2.5905/NV2.19989/NV2.13536/NV2.7890/NV2.25289/NV2.13006/NV2.17242/NV2.24395/NV2.10684/NV2.2789/NV2.18304/NV2.22512/NV2.6603/NV2.24081/NV2.19029/NV2.15486/NV2.10680/NV2.24817/NV2.2374/NV2.20462/NV2.20463/NV2.20465/NV2.20467/NV2.4847/NV2.12897/NV2.1654/NV2.4895/NV2.19411/NV2.10355/NV2.21640/NV2.18108/NV2.8840/NV2.12090/NV2.14141/NV2.21072/NV2.21090/NV2.8755/NV2.23498/NV2.23504/NV2.7760/NV2.13507/NV2.10113/NV2.20070/NV2.19415/NV2.4849/NV2.16459/NV2.16466/NV2.16181/NV2.17983/NV2.12468/NV2.19013/NV2.1833/NV2.14662/NV2.10092/NV2.22563/NV2.22576/NV2.5310/NV2.15741/NV2.23536/NV2.11355/NV2.20896/NV2.4332/NV2.18884/NV2.16289/NV2.9721/NV2.6564",121,NA,NA
