"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0004725","GO:0004725","10/123","43/10463",0.232558139534884,19.7825675931178,13.460307235813,4.81239364840191e-11,7.06075039104418e-08,5.82905433340168e-08,"c101113-g1/c102723-g1/c102772-g1/c102906-g2/c103210-g1/c103280-g1/c103611-g2/c1854-g1/c98789-g1/c99521-g1",10,"protein tyrosine phosphatase activity","MF"
"GO:0035335","GO:0035335","10/123","44/10463",0.227272727272727,19.3329637841833,13.2906323304235,6.16659422798618e-11,7.06075039104418e-08,5.82905433340168e-08,"c101113-g1/c102723-g1/c102772-g1/c102906-g2/c103210-g1/c103280-g1/c103611-g2/c1854-g1/c98789-g1/c99521-g1",10,"peptidyl-tyrosine dephosphorylation","BP"
"GO:0005885","GO:0005885","6/123","10/10463",0.6,51.0390243902439,17.265851553586,4.71875829696784e-10,3.60198550001879e-07,2.97364557942254e-07,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6,"Arp2/3 protein complex","CC"
"GO:1900273","GO:1900273","6/123","11/10463",0.545454545454545,46.3991130820399,16.4302304466376,1.02817561555958e-09,5.88630539907859e-07,4.85948264617106e-07,"c102772-g1/c98789-g1/c102000-g1/c98750-g1/c98854-g1/c98854-g3",6,"positive regulation of long-term synaptic potentiation","BP"
"GO:0034314","GO:0034314","6/123","15/10463",0.4,34.0260162601626,13.9599827658883,1.07177103060511e-08,4.36310006820877e-06,3.60198930016224e-06,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6,"Arp2/3 complex-mediated actin nucleation","BP"
"GO:0002429","GO:0002429","11/123","94/10463",0.117021276595745,9.95441965057949,9.51114007031791,1.14317032354815e-08,4.36310006820877e-06,3.60198930016224e-06,"c102906-g2/c99521-g1/c102902-g1/c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",11,"immune response-activating cell surface receptor signaling pathway","BP"
"GO:0005200","GO:0005200","9/123","59/10463",0.152542372881356,12.976023150062,10.0609294840294,2.44732551632355e-08,8.00625061768706e-06,6.60961898844678e-06,"c103219-g2/c103330-g1/c96210-g1/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",9,"structural constituent of cytoskeleton","MF"
"GO:0045010","GO:0045010","6/123","18/10463",0.333333333333333,28.3550135501355,12.6683078583897,3.86215158841581e-08,1.10554089218403e-05,9.12687401683526e-06,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6,"actin nucleation","BP"
"GO:0006470","GO:0006470","11/123","108/10463",0.101851851851852,8.66403191809696,8.73159885168975,4.97397074430193e-08,1.1692780853305e-05,9.65306109516703e-06,"c101113-g1/c102723-g1/c102772-g1/c102906-g2/c103210-g1/c103280-g1/c103611-g2/c1854-g1/c98789-g1/c99521-g1/c103003-g5",11,"protein dephosphorylation","BP"
"GO:1904377","GO:1904377","9/123","64/10463",0.140625,11.9622713414634,9.59388237946624,5.1060178398712e-08,1.1692780853305e-05,9.65306109516703e-06,"c102723-g1/c103330-g1/c96210-g1/c101822-g1/c104424-g4/c102000-g1/c98750-g1/c98854-g1/c98854-g3",9,"positive regulation of protein localization to cell periphery","BP"
"GO:0002768","GO:0002768","11/123","111/10463",0.0990990990990991,8.42986889328353,8.58282291871247,6.62378544951886e-08,1.37895169812711e-05,1.13840370022353e-05,"c102906-g2/c99521-g1/c102902-g1/c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",11,"immune response-regulating cell surface receptor signaling pathway","BP"
"GO:1900271","GO:1900271","6/123","20/10463",0.3,25.519512195122,11.9705423884854,7.91013673706801e-08,1.50951776065715e-05,1.24619347191001e-05,"c102772-g1/c98789-g1/c102000-g1/c98750-g1/c98854-g1/c98854-g3",6,"regulation of long-term synaptic potentiation","BP"
"GO:0002431","GO:0002431","8/123","51/10463",0.156862745098039,13.3435357882991,9.63734115726051,1.2102232002668e-07,1.84760741907398e-05,1.52530587205556e-05,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8,"Fc receptor mediated stimulatory signaling pathway","BP"
"GO:0038094","GO:0038094","8/123","51/10463",0.156862745098039,13.3435357882991,9.63734115726051,1.2102232002668e-07,1.84760741907398e-05,1.52530587205556e-05,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8,"Fc-gamma receptor signaling pathway","BP"
"GO:0038096","GO:0038096","8/123","51/10463",0.156862745098039,13.3435357882991,9.63734115726051,1.2102232002668e-07,1.84760741907398e-05,1.52530587205556e-05,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8,"Fc-gamma receptor signaling pathway involved in phagocytosis","BP"
"GO:0004721","GO:0004721","10/123","95/10463",0.105263157894737,8.95421480530595,8.49398065580109,1.51759050221746e-07,2.17205140629874e-05,1.79315298814642e-05,"c101113-g1/c102723-g1/c102772-g1/c102906-g2/c103210-g1/c103280-g1/c103611-g2/c1854-g1/c98789-g1/c99521-g1",10,"phosphoprotein phosphatase activity","MF"
