"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","term","Ont"
"GO:0031152","GO:0031152","11/202","13/9536",0.846153846153846,39.9451637471439,20.6699988908554,2.20785402453262e-17,3.82952280555184e-14,2.70636422270341e-14,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"aggregation involved in sorocarp development","BP"
"GO:0098630","GO:0098630","11/202","13/9536",0.846153846153846,39.9451637471439,20.6699988908554,2.20785402453262e-17,3.82952280555184e-14,2.70636422270341e-14,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"aggregation of unicellular organisms","BP"
"GO:0002031","GO:0002031","11/202","17/9536",0.647058823529412,30.5463016889924,17.9363496066543,3.25260279266402e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"G protein-coupled receptor internalization","BP"
"GO:0071496","GO:0071496","28/202","214/9536",0.130841121495327,6.17673729989821,11.2670597971043,6.4121323765427e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-003510/TrH2-TrispH2-010455/TrH2-TrispH2-011702/TrH2-TrispH2-011821/TrH2-TrispH2-011879/TrH2-TrispH2-011880/TrH2-TrispH2-011883/TrH2-TrispH2-001435/TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758/TrH2-TrispH2-008428/TrH2-TrispH2-008429/TrH2-TrispH2-009536/TrH2-TrispH2-004957/TrH2-TrispH2-001426/TrH2-TrispH2-004582/TrH2-TrispH2-010405/TrH2-TrispH2-009879/TrH2-TrispH2-000596",28,"cellular response to external stimulus","BP"
"GO:0002029","GO:0002029","11/202","18/9536",0.611111111111111,28.8492849284928,17.3972092042651,8.21012870344207e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"desensitization of G protein-coupled receptor signaling pathway","BP"
"GO:0030587","GO:0030587","11/202","18/9536",0.611111111111111,28.8492849284928,17.3972092042651,8.21012870344207e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"sorocarp development","BP"
"GO:0090702","GO:0090702","11/202","18/9536",0.611111111111111,28.8492849284928,17.3972092042651,8.21012870344207e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,NA,NA
"GO:0099120","GO:0099120","11/202","18/9536",0.611111111111111,28.8492849284928,17.3972092042651,8.21012870344207e-15,3.56011705903007e-12,2.51597233556797e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"socially cooperative development","BP"
"GO:0023058","GO:0023058","12/202","24/9536",0.5,23.6039603960396,16.3100905779549,1.27448050130124e-14,4.91241428779334e-12,3.4716550731352e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758/TrH2-TrispH2-007855",12,"adaptation of signaling pathway","BP"
"GO:0098743","GO:0098743","11/202","19/9536",0.578947368421053,27.3309015112038,16.9003083929964,1.91407233012685e-14,6.63991691321004e-12,4.6924994282794e-12,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11,"cell aggregation","BP"
