term	gene
GO:0000228	Tadh-TriadG51258
GO:0000785	Tadh-TriadG51258
GO:0003674	Tadh-TriadG51258
GO:0005488	Tadh-TriadG51258
GO:0005515	Tadh-TriadG51258
GO:0005575	Tadh-TriadG51258
GO:0005622	Tadh-TriadG51258
GO:0005634	Tadh-TriadG51258
GO:0005654	Tadh-TriadG51258
GO:0005694	Tadh-TriadG51258
GO:0005700	Tadh-TriadG51258
GO:0005705	Tadh-TriadG51258
GO:0006139	Tadh-TriadG51258
GO:0006325	Tadh-TriadG51258
GO:0006334	Tadh-TriadG51258
GO:0006338	Tadh-TriadG51258
GO:0006351	Tadh-TriadG51258
GO:0006352	Tadh-TriadG51258
GO:0006355	Tadh-TriadG51258
GO:0006996	Tadh-TriadG51258
GO:0008150	Tadh-TriadG51258
GO:0008152	Tadh-TriadG51258
GO:0009058	Tadh-TriadG51258
GO:0009059	Tadh-TriadG51258
GO:0009889	Tadh-TriadG51258
GO:0009890	Tadh-TriadG51258
GO:0009891	Tadh-TriadG51258
GO:0009892	Tadh-TriadG51258
GO:0009893	Tadh-TriadG51258
GO:0009987	Tadh-TriadG51258
GO:0010467	Tadh-TriadG51258
GO:0010468	Tadh-TriadG51258
GO:0010556	Tadh-TriadG51258
GO:0010557	Tadh-TriadG51258
GO:0010558	Tadh-TriadG51258
GO:0010604	Tadh-TriadG51258
GO:0010605	Tadh-TriadG51258
GO:0010628	Tadh-TriadG51258
GO:0010629	Tadh-TriadG51258
GO:0016043	Tadh-TriadG51258
GO:0016070	Tadh-TriadG51258
GO:0019219	Tadh-TriadG51258
GO:0019222	Tadh-TriadG51258
GO:0022607	Tadh-TriadG51258
GO:0031010	Tadh-TriadG51258
GO:0031213	Tadh-TriadG51258
GO:0031974	Tadh-TriadG51258
GO:0031981	Tadh-TriadG51258
GO:0032774	Tadh-TriadG51258
GO:0032991	Tadh-TriadG51258
GO:0034080	Tadh-TriadG51258
GO:0034654	Tadh-TriadG51258
GO:0034728	Tadh-TriadG51258
GO:0040029	Tadh-TriadG51258
GO:0042393	Tadh-TriadG51258
GO:0043170	Tadh-TriadG51258
GO:0043226	Tadh-TriadG51258
GO:0043227	Tadh-TriadG51258
GO:0043228	Tadh-TriadG51258
GO:0043229	Tadh-TriadG51258
GO:0043231	Tadh-TriadG51258
GO:0043232	Tadh-TriadG51258
GO:0043233	Tadh-TriadG51258
GO:0043392	Tadh-TriadG51258
GO:0043903	Tadh-TriadG51258
GO:0043933	Tadh-TriadG51258
GO:0044085	Tadh-TriadG51258
GO:0044092	Tadh-TriadG51258
GO:0044238	Tadh-TriadG51258
GO:0045814	Tadh-TriadG51258
GO:0045892	Tadh-TriadG51258
GO:0045893	Tadh-TriadG51258
GO:0045934	Tadh-TriadG51258
GO:0046782	Tadh-TriadG51258
GO:0048518	Tadh-TriadG51258
GO:0048519	Tadh-TriadG51258
GO:0048522	Tadh-TriadG51258
GO:0048523	Tadh-TriadG51258
GO:0048524	Tadh-TriadG51258
GO:0050434	Tadh-TriadG51258
GO:0050789	Tadh-TriadG51258
GO:0050792	Tadh-TriadG51258
GO:0050794	Tadh-TriadG51258
GO:0051098	Tadh-TriadG51258
GO:0051100	Tadh-TriadG51258
GO:0051101	Tadh-TriadG51258
GO:0051252	Tadh-TriadG51258
GO:0051253	Tadh-TriadG51258
GO:0051254	Tadh-TriadG51258
GO:0051276	Tadh-TriadG51258
GO:0060255	Tadh-TriadG51258
GO:0065003	Tadh-TriadG51258
GO:0065004	Tadh-TriadG51258
GO:0065007	Tadh-TriadG51258
GO:0065009	Tadh-TriadG51258
GO:0070013	Tadh-TriadG51258
GO:0070603	Tadh-TriadG51258
GO:0070828	Tadh-TriadG51258
