"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005267","GO:0005267","potassium channel activity","18/41","36/6213",0.5,75.7682926829268,36.6669348292828,5.93595254431141e-32,6.7610499479707e-29,4.34886628509552e-29,"XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",18
"GO:0015079","GO:0015079","potassium ion transmembrane transporter activity","18/41","54/6213",0.333333333333333,50.5121951219512,29.7816429262963,5.9488066664645e-28,3.34545437429571e-25,2.15187490828503e-25,"XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",18
"GO:0071805","GO:0071805","potassium ion transmembrane transport","18/41","55/6213",0.327272727272727,49.5937915742794,29.5010166209778,8.81155673651196e-28,3.34545437429571e-25,2.15187490828503e-25,"XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",18
"GO:0006813","GO:0006813","potassium ion transport","18/41","60/6213",0.3,45.4609756097561,28.2036845813002,5.5579062342785e-27,1.55253042234436e-24,9.98624069083386e-25,"XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",18
"GO:0022843","GO:0022843","voltage-gated monoatomic cation channel activity","17/41","48/6213",0.354166666666667,53.6692073170732,29.854207951195,6.81532231055471e-27,1.55253042234436e-24,9.98624069083386e-25,"XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5",17
"GO:0005261","GO:0005261","monoatomic cation channel activity","20/41","94/6213",0.212765957446809,32.2418266735859,24.8745259027369,9.7619583360899e-27,1.85314509080107e-24,1.19198649156466e-24,"XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",20
"GO:0005249","GO:0005249","voltage-gated potassium channel activity","15/41","30/6213",0.5,75.7682926829268,33.455934179027,1.55453784948853e-26,2.52945515795349e-24,1.62700502743462e-24,"XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5",15
"GO:0005244","GO:0005244","voltage-gated monoatomic ion channel activity","17/41","55/6213",0.309090909090909,46.8385809312639,27.8283437889011,1.06798199794898e-25,1.35159055073765e-23,8.69374819383028e-24,"XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5",17
"GO:0022832","GO:0022832","voltage-gated channel activity","17/41","55/6213",0.309090909090909,46.8385809312639,27.8283437889011,1.06798199794898e-25,1.35159055073765e-23,8.69374819383028e-24,"XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5",17
"GO:0005216","GO:0005216","monoatomic ion channel activity","20/41","124/6213",0.161290322580645,24.441384736428,21.4889804921401,3.93625080112901e-24,4.48338966248595e-22,2.88382163956399e-22,"XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-003641#KCNAL-DROME#P17971/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185",20
