"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","47/177","251/6250",0.187250996015936,6.61197019830283,15.4918413513196,8.15178814307281e-27,2.13773064123029e-23,1.81810029143019e-23,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001179",47
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","51/177","307/6250",0.166123778501629,5.86595263070723,14.9253476027959,1.33943022633477e-26,2.13773064123029e-23,1.81810029143019e-23,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-004570/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-001303/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001179",51
"GO:0000976","GO:0000976","transcription cis-regulatory region binding","40/177","194/6250",0.206185567010309,7.2805638068612,15.170392552011,2.06019433092116e-24,2.19204676810011e-21,1.86429515068269e-21,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",40
"GO:0140110","GO:0140110","transcription regulator activity","58/177","465/6250",0.124731182795699,4.40434967498937,13.0256442169418,1.00111727882054e-23,7.9889158849879e-21,6.79442490020571e-21,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-004570/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-001303/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009346/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-009395/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008308/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-007440/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004067/HoiH23-PlH23-004228/HoiH23-PlH23-001639/HoiH23-PlH23-006569/HoiH23-PlH23-001895/HoiH23-PlH23-002814/HoiH23-PlH23-001696/HoiH23-PlH23-007573/HoiH23-PlH23-004980/HoiH23-PlH23-000693/HoiH23-PlH23-001179/HoiH23-PlH23-006086",58
"GO:0043565","GO:0043565","sequence-specific DNA binding","45/177","269/6250",0.16728624535316,5.90700018902401,14.0441535285016,1.72296353385968e-23,1.09993992001602e-20,9.35478516594552e-21,"HoiH23-PlH23-000096/HoiH23-PlH23-000554/HoiH23-PlH23-002310/HoiH23-PlH23-002403/HoiH23-PlH23-002591/HoiH23-PlH23-005230/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-002366/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",45
"GO:1990837","GO:1990837","sequence-specific double-stranded DNA binding","41/177","221/6250",0.18552036199095,6.55086023979344,14.3424730537853,3.72162917568547e-23,1.97990672146467e-20,1.68387397264787e-20,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",41
"GO:0001067","GO:0001067","transcription regulatory region nucleic acid binding","40/177","241/6250",0.16597510373444,5.86070281548163,13.1370164355762,1.03710775508811e-20,4.72921136320178e-18,4.0221066171011e-18,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",40
"GO:0000977","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","34/177","172/6250",0.197674418604651,6.98002890553147,13.5761745707097,3.88393983484662e-20,1.5496919941038e-17,1.31798432027229e-17,"HoiH23-PlH23-000096/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-008152/HoiH23-PlH23-002814",34
"GO:0003690","GO:0003690","double-stranded DNA binding","41/177","268/6250",0.152985074626866,5.40201534699384,12.574363185983,7.3847259878196e-20,2.61911615034668e-17,2.22750974533178e-17,"HoiH23-PlH23-000096/HoiH23-PlH23-002310/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009381/HoiH23-PlH23-009490/HoiH23-PlH23-010243/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-009413/HoiH23-PlH23-004895/HoiH23-PlH23-006561/HoiH23-PlH23-006562/HoiH23-PlH23-006563/HoiH23-PlH23-006564/HoiH23-PlH23-008331/HoiH23-PlH23-005936/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-011060/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-004536/HoiH23-PlH23-009723/HoiH23-PlH23-000744/HoiH23-PlH23-010430/HoiH23-PlH23-006553/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-000867/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-004228/HoiH23-PlH23-002132/HoiH23-PlH23-008152/HoiH23-PlH23-002814",41
"GO:0000978","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","24/177","120/6250",0.2,7.06214689265537,11.4466155400635,1.56896667392083e-14,5.00814162315529e-12,4.25933163372823e-12,"HoiH23-PlH23-000096/HoiH23-PlH23-002591/HoiH23-PlH23-006379/HoiH23-PlH23-009380/HoiH23-PlH23-009490/HoiH23-PlH23-000960/HoiH23-PlH23-002456/HoiH23-PlH23-008074/HoiH23-PlH23-009412/HoiH23-PlH23-004895/HoiH23-PlH23-006133/HoiH23-PlH23-010696/HoiH23-PlH23-001264/HoiH23-PlH23-004136/HoiH23-PlH23-009624/HoiH23-PlH23-009723/HoiH23-PlH23-010430/HoiH23-PlH23-002679/HoiH23-PlH23-003125/HoiH23-PlH23-009657/HoiH23-PlH23-006938/HoiH23-PlH23-010122/HoiH23-PlH23-008152/HoiH23-PlH23-002814",24
