"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04950","04950","Maturity onset diabetes of the young","5/125","16/3105",0.3125,7.7625,5.55349066324785,0.000298310761948399,0.0546263096694405,0.0517772594628181,"K08031/K08028/K08040/K08033/K19521",5
"04915","04915","Estrogen signaling pathway","7/125","39/3105",0.179487179487179,4.45846153846154,4.45078800833438,0.000759949379689702,0.0546263096694405,0.0517772594628181,"K09571/K07827/K07828/K04379/K04448/K04079/K09487",7
"04517","04517","IgSF CAM signaling","11/125","95/3105",0.115789473684211,2.87621052631579,3.80336367041669,0.00126753795973023,0.0546263096694405,0.0517772594628181,"K05755/K08810/K08018/K08020/K04353/K07836/K04874/K04875/K04877/K04879/K07941",11
"04320","04320","Dorso-ventral axis formation","4/125","13/3105",0.307692307692308,7.64307692307692,4.91506137898205,0.00134925596485841,0.0546263096694405,0.0517772594628181,"K02602/K07827/K03102/K02360",4
"04130","04130","SNARE interactions in vesicular transport","5/125","22/3105",0.227272727272727,5.64545454545454,4.47775702370171,0.00148017388089498,0.0546263096694405,0.0517772594628181,"K08513/K08510/K13504/K13505/K08515",5
"05417","05417","Lipid and atherosclerosis","9/125","69/3105",0.130434782608696,3.24,3.85326973029387,0.00152434672641411,0.0546263096694405,0.0517772594628181,"K07827/K07828/K09490/K04379/K04448/K04079/K04353/K07836/K09487",9
"04550","04550","Signaling pathways regulating pluripotency of stem cells","8/125","57/3105",0.140350877192982,3.48631578947368,3.87966266261211,0.00173024510265196,0.0546263096694405,0.0517772594628181,"K18493/K08031/K15613/K07827/K07828/K16796/K09081/K09370",8
"04657","04657","IL-17 signaling pathway","5/125","24/3105",0.208333333333333,5.175,4.20459318721877,0.00223934385247408,0.0618618739245966,0.0586354508739925,"K04379/K04448/K04449/K04079/K09487",5
"04720","04720","Long-term potentiation","5/125","26/3105",0.192307692307692,4.77692307692308,3.96029648312733,0.00324883361966059,0.0774355438338447,0.0733968717453446,"K06269/K07827/K07828/K04353/K07836",5
"04921","04921","Oxytocin signaling pathway","8/125","64/3105",0.125,3.105,3.48450913857333,0.0036596425876663,0.0774355438338447,0.0733968717453446,"K06269/K07827/K07828/K04858/K04860/K04861/K04379/K04448",8
"04010","04010","MAPK signaling pathway","11/125","109/3105",0.100917431192661,2.50678899082569,3.27946132534323,0.00385425783788367,0.0774355438338447,0.0733968717453446,"K07827/K07828/K08018/K04858/K04860/K04861/K04379/K04448/K04449/K04353/K07836",11
"05211","05211","Renal cell carcinoma","5/125","36/3105",0.138888888888889,3.45,3.02779607243777,0.013502889738971,0.248678219359383,0.235708338425898,"K07827/K07828/K04448/K04353/K07836",5
"04722","04722","Neurotrophin signaling pathway","6/125","53/3105",0.113207547169811,2.81207547169811,2.72476895653456,0.01837866838851,0.296843813810252,0.281361843049489,"K07827/K07828/K16172/K04448/K04353/K07836",6
"05207","05207","Chemical carcinogenesis - receptor activation","7/125","69/3105",0.101449275362319,2.52,2.61471874555656,0.019624396084268,0.296843813810252,0.281361843049489,"K07827/K07828/K17767/K04379/K04448/K04079/K09487",7
"04141","04141","Protein processing in endoplasmic reticulum","9/125","102/3105",0.0882352941176471,2.19176470588235,2.5062285337976,0.0201477701681166,0.296843813810252,0.281361843049489,"K11519/K13989/K09490/K14010/K07765/K04079/K12669/K19478/K09487",9
"04213","04213","Longevity regulating pathway - multiple species","4/125","29/3105",0.137931034482759,3.42620689655172,2.68807509424113,0.0272536495096141,0.376441033851544,0.356807648185079,"K07827/K07828/K07187/K16172",4
"05034","05034","Alcoholism","5/125","45/3105",0.111111111111111,2.76,2.43537555339294,0.0328577192499101,0.416879941193795,0.395137453191546,"K06269/K07827/K07828/K11253/K11254",5
"04662","04662","B cell receptor signaling pathway","4/125","31/3105",0.129032258064516,3.20516129032258,2.52683571269456,0.0339540223596756,0.416879941193795,0.395137453191546,"K07827/K07828/K04379/K04448",4
"04934","04934","Cushing syndrome","6/125","64/3105",0.09375,2.32875,2.19954466407569,0.0420096594052801,0.488638669924574,0.463153585687022,"K04914/K17767/K13298/K04353/K07836/K04877",6
