"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048934","GO:0048934","peripheral nervous system neuron differentiation","5/138","11/5073",0.454545454545455,16.7094861660079,8.72133240368097,5.61308720750598e-06,0.00643965733549003,0.00613485360998749,"XLOC-000456/XLOC-018937/XLOC-030607/XLOC-001017/XLOC-034177",5
"GO:0048935","GO:0048935","peripheral nervous system neuron development","5/138","11/5073",0.454545454545455,16.7094861660079,8.72133240368097,5.61308720750598e-06,0.00643965733549003,0.00613485360998749,"XLOC-000456/XLOC-018937/XLOC-030607/XLOC-001017/XLOC-034177",5
"GO:0070888","GO:0070888","E-box binding","6/138","19/5073",0.315789473684211,11.6086956521739,7.74652200956009,7.36802898797486e-06,0.00643965733549003,0.00613485360998749,"XLOC-000456/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-008234",6
"GO:0000976","GO:0000976","transcription cis-regulatory region binding","18/138","208/5073",0.0865384615384615,3.18122909698997,5.37127161941991,1.06086086414484e-05,0.0069539429644694,0.00662479692267288,"XLOC-000456/XLOC-000488/XLOC-000539/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-045293/XLOC-039189/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234/XLOC-035249",18
"GO:0001067","GO:0001067","transcription regulatory region nucleic acid binding","19/138","240/5073",0.0791666666666667,2.91023550724638,5.06955365446249,2.13399204927934e-05,0.0111906543064209,0.0106609750167155,"XLOC-000456/XLOC-000488/XLOC-000539/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-040606/XLOC-045293/XLOC-039189/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234/XLOC-035249",19
"GO:0000977","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","16/138","192/5073",0.0833333333333333,3.06340579710145,4.87378586425042,5.43125220588686e-05,0.0233419563921125,0.0222371281538733,"XLOC-000456/XLOC-000488/XLOC-000539/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-045293/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234",16
"GO:1990837","GO:1990837","sequence-specific double-stranded DNA binding","18/138","237/5073",0.0759493670886076,2.79196477710512,4.72439371359599,6.23164358294385e-05,0.0233419563921125,0.0222371281538733,"XLOC-000456/XLOC-000488/XLOC-000539/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-045293/XLOC-039189/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234/XLOC-035249",18
"GO:0043565","GO:0043565","sequence-specific DNA binding","20/138","288/5073",0.0694444444444444,2.55283816425121,4.53698199910586,8.44099657823819e-05,0.0276653662851757,0.0263559011581042,"XLOC-000456/XLOC-000488/XLOC-000539/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-041785/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-040606/XLOC-045293/XLOC-039189/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234/XLOC-035249",20
"GO:0000978","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","13/138","142/5073",0.0915492957746479,3.36543172075934,4.78049286706242,0.000109433742854179,0.0300812182479831,0.028657405316337,"XLOC-000456/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-045293/XLOC-011872/XLOC-001017/XLOC-008234",13
"GO:0000987","GO:0000987","cis-regulatory region sequence-specific DNA binding","13/138","146/5073",0.089041095890411,3.27322811197141,4.66029868391858,0.000145359088966961,0.0300812182479831,0.028657405316337,"XLOC-000456/XLOC-005675/XLOC-018937/XLOC-030607/XLOC-039389/XLOC-039644/XLOC-031713/XLOC-037144/XLOC-039364/XLOC-045293/XLOC-011872/XLOC-001017/XLOC-008234",13
"GO:0050961","GO:0050961","detection of temperature stimulus involved in sensory perception","4/138","11/5073",0.363636363636364,13.3675889328063,6.86603323465033,0.000149144102678787,0.0300812182479831,0.028657405316337,"XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914",4
"GO:0050965","GO:0050965","detection of temperature stimulus involved in sensory perception of pain","4/138","11/5073",0.363636363636364,13.3675889328063,6.86603323465033,0.000149144102678787,0.0300812182479831,0.028657405316337,"XLOC-000065/XLOC-009603/XLOC-029939/XLOC-040914",4
"GO:0060856","GO:0060856","establishment of blood-brain barrier","4/138","11/5073",0.363636363636364,13.3675889328063,6.86603323465033,0.000149144102678787,0.0300812182479831,0.028657405316337,"XLOC-011193/XLOC-004785/XLOC-013065/XLOC-030971",4
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","12/138","129/5073",0.0930232558139535,3.41961577350859,4.65465630085841,0.000174603412398489,0.0327007248077741,0.0311529246332041,"XLOC-000456/XLOC-005675/XLOC-030607/XLOC-039644/XLOC-037144/XLOC-039364/XLOC-040606/XLOC-045293/XLOC-011872/XLOC-019316/XLOC-001017/XLOC-008234",12
"GO:0007422","GO:0007422","peripheral nervous system development","8/138","61/5073",0.131147540983607,4.82109764789736,5.02033975909047,0.000213464788140132,0.0337790489091577,0.0321802091860095,"XLOC-000456/XLOC-018937/XLOC-030607/XLOC-041785/XLOC-001017/XLOC-008234/XLOC-035249/XLOC-034177",8
