"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04530","04530","Tight junction","7/62","65/2579",0.107692307692308,4.47965260545906,4.45867300773725,0.000766179229223039,0.0479287738836908,0.046207770197754,"K10591/K13305/K07374/K06109/K07901/K07902/K21111",7
"04340","04340","Hedgehog signaling pathway","4/62","19/2579",0.210526315789474,8.7572156196944,5.32547529805291,0.000895864932405435,0.0479287738836908,0.046207770197754,"K04678/K06230/K16797/K16798",4
"04260","04260","Cardiac muscle contraction","3/62","20/2579",0.15,6.23951612903226,3.69119279938257,0.0112698717412812,0.401958758772364,0.3875254142616,"K04860/K04861/K00411",3
"05217","05217","Basal cell carcinoma","3/62","26/2579",0.115384615384615,4.79962779156328,3.05561065414941,0.023208594630432,0.534704305346938,0.515504396694539,"K06230/K16797/K16798",3
"04341","04341","Hedgehog signaling pathway - fly","2/62","12/2579",0.166666666666667,6.93279569892473,3.23245714212662,0.0321452654389538,0.534704305346938,0.515504396694539,"K04678/K16799",2
"04960","04960","Aldosterone-regulated sodium reabsorption","2/62","12/2579",0.166666666666667,6.93279569892473,3.23245714212662,0.0321452654389538,0.534704305346938,0.515504396694539,"K13305/K13302",2
"04070","04070","Phosphatidylinositol signaling system","3/62","31/2579",0.0967741935483871,4.025494276795,2.65933570335465,0.0368691591443747,0.534704305346938,0.515504396694539,"K01092/K13711/K00901",3
"04972","04972","Pancreatic secretion","3/62","33/2579",0.0909090909090909,3.78152492668622,2.52351807633027,0.0432678426216957,0.534704305346938,0.515504396694539,"K13855/K01047/K07901",3
"04514","04514","Cell adhesion molecules","2/62","15/2579",0.133333333333333,5.54623655913978,2.77098607076463,0.0488393991114511,0.534704305346938,0.515504396694539,"K05695/K07377",2
"04520","04520","Adherens junction","3/62","35/2579",0.0857142857142857,3.56543778801843,2.39790873448706,0.0501867858577629,0.534704305346938,0.515504396694539,"K04678/K05695/K06082",3
"05412","05412","Arrhythmogenic right ventricular cardiomyopathy","2/62","16/2579",0.125,5.19959677419355,2.64416757459764,0.0549696014842646,0.534704305346938,0.515504396694539,"K04860/K04861",2
