"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0038083","GO:0038083","peptidyl-tyrosine autophosphorylation","19/2699","30/8918",0.633333333333333,2.09265159935779,3.94903385873833,0.000180151079086411,0.481216529159276,0.481216529159276,"NP-001001596.1/NP-001003837.2/NP-001004543.1/NP-001013288.2/NP-001018425.1/NP-001025391.1/NP-001071067.1/NP-001108215.2/NP-001116177.1/NP-001334810.1/NP-998008.2/XP-005172104.1/XP-005174178.1/XP-009290548.1/XP-009300152.1/XP-021324228.1/XP-021336920.1/XP-068072499.1/NP-958915.1",19
"GO:0008373","GO:0008373","sialyltransferase activity","11/2699","14/8918",0.785714285714286,2.59614672100778,3.93726638899535,0.000265816532402473,0.481216529159276,0.481216529159276,"NP-001076498.1/NP-001092886.1/NP-001106903.1/NP-001164693.1/NP-001314770.1/NP-705948.1/XP-002664759.1/XP-005157196.1/XP-005161038.1/XP-021327056.1/XP-068070859.1",11
"GO:0097503","GO:0097503","sialylation","11/2699","14/8918",0.785714285714286,2.59614672100778,3.93726638899535,0.000265816532402473,0.481216529159276,0.481216529159276,"NP-001076498.1/NP-001092886.1/NP-001106903.1/NP-001164693.1/NP-001314770.1/NP-705948.1/XP-002664759.1/XP-005157196.1/XP-005161038.1/XP-021327056.1/XP-068070859.1",11
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","17/2699","27/8918",0.62962962962963,2.08041387070657,3.70379785055979,0.000438708286757246,0.595656176344651,0.595656176344651,"NP-001001596.1/NP-001003837.2/NP-001004543.1/NP-001013288.2/NP-001018425.1/NP-001025391.1/NP-001071067.1/NP-001108215.2/NP-001116177.1/NP-001334810.1/NP-998008.2/XP-005172104.1/XP-005174178.1/XP-009300152.1/XP-021324228.1/XP-021336920.1/XP-068072499.1",17
"GO:0070888","GO:0070888","E-box binding","16/2699","28/8918",0.571428571428571,1.88810670618748,3.10058635777566,0.00277139611239928,1,1,"NP-001032770.2/NP-001073460.2/NP-571053.1/NP-571116.1/NP-571701.3/NP-997524.1/XP-068080587.1/NP-571186.1/XP-005166565.1/XP-021324617.1/NP-001116257.1/NP-001038723.1/NP-963873.1/NP-998443.2/NP-001002042.2/NP-001007184.2",16
"GO:0021781","GO:0021781","glial cell fate commitment","7/2699","10/8918",0.7,2.31293071507966,2.73654284092951,0.0111193956023346,1,1,"NP-571024.1/NP-571359.2/NP-998283.1/NP-001116481.2/NP-001108566.2/NP-571624.2/NP-001001889.1",7
"GO:0046112","GO:0046112","nucleobase biosynthetic process","11/2699","19/8918",0.578947368421053,1.91295021547942,2.62424174509746,0.011235691855088,1,1,"NP-001018348.1/NP-001018353.1/NP-001018561.1/NP-001116535.1/NP-001295754.1/NP-998151.1/NP-957340.1/NP-956468.2/NP-956881.2/NP-571692.1/NP-001076346.2",11
"GO:0021593","GO:0021593","rhombomere morphogenesis","8/2699","13/8918",0.615384615384615,2.03334568358651,2.45612740638387,0.0191714255782611,1,1,"NP-001038444.2/NP-001314672.1/NP-001352511.1/XP-001338064.4/XP-017207747.1/NP-775393.2/NP-001001830.2/NP-571046.1",8
"GO:0048936","GO:0048936","peripheral nervous system neuron axonogenesis","8/2699","13/8918",0.615384615384615,2.03334568358651,2.45612740638387,0.0191714255782611,1,1,"NP-571037.1/NP-001018348.1/NP-001018561.1/NP-001116535.1/NP-001030157.1/NP-001315426.1/NP-001108566.2/NP-571624.2",8
"GO:0014029","GO:0014029","neural crest formation","7/2699","12/8918",0.583333333333333,1.92744226256638,2.11780859812234,0.0403239534272657,1,1,"NP-571365.2/NP-571950.1/NP-001001950.1/NP-001003643.1/NP-957244.1/NP-001243581.1/NP-694499.1",7
