"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04014","04014","Ras signaling pathway","34/411","131/4251",0.259541984732824,2.68445979829498,6.40615517171092,3.72401739927166e-08,6.16135399925686e-06,4.91937680570813e-06,"K04353/K07836/K04543/K04547/K02833/K07827/K07828/K07829/K07830/K07360/K07826/K06619/K08887/K17631/K17633/K04362/K05093/K05094/K05095/K04544/K03176/K04360/K04542/K04545/K05466/K08732/K17635/K05465/K04540/K04371/K05103/K05467/K04361/K04541",34
"04360","04360","Axon guidance","28/411","96/4251",0.291666666666667,3.01672749391728,6.5380326534451,4.19139727840603e-08,6.16135399925686e-06,4.91937680570813e-06,"K02833/K07827/K07828/K05703/K05704/K05104/K05105/K05106/K05108/K05110/K05111/K05113/K07829/K07528/K06765/K06766/K03083/K05128/K06619/K06753/K06754/K06755/K05112/K04371/K05107/K05103/K07527/K05109",28
"04550","04550","Signaling pathways regulating pluripotency of stem cells","25/411","85/4251",0.294117647058824,3.04207814512666,6.22116831233147,1.90595587140788e-07,1.86783675397972e-05,1.4913268748209e-05,"K16796/K02105/K18487/K09370/K04441/K02833/K07827/K07828/K17695/K03083/K11138/K04670/K13596/K11305/K04362/K05093/K05094/K05095/K09378/K09081/K18493/K04680/K17693/K17694/K04371",25
"04520","04520","Adherens junction","17/411","52/4251",0.326923076923077,3.38138686131387,5.65208196788547,3.67336190945569e-06,0.000269992100344993,0.000215568343633847,"K02105/K04353/K07836/K05703/K05704/K05705/K05706/K05748/K05753/K06083/K05695/K04362/K04371/K04361/K05083/K08889/K04388",17
"04010","04010","MAPK signaling pathway","36/411","182/4251",0.197802197802198,2.0458811261731,4.71763067548398,1.6993351682671e-05,0.000999209078941053,0.000797793142154869,"K04441/K04353/K07836/K04459/K02833/K07827/K07828/K07829/K07830/K04464/K04460/K17614/K04449/K04362/K05093/K05094/K05095/K03176/K04360/K05466/K04448/K05465/K04371/K20216/K21946/K04379/K21278/K05103/K05467/K04361/K05083/K05084/K05085/K04458/K18018/K04388",36
"05210","05210","Colorectal cancer","16/411","54/4251",0.296296296296296,3.06461205731279,4.99477142397624,2.89768663406911e-05,0.00141986645069387,0.00113365634982002,"K02105/K02833/K07827/K07828/K06765/K03083/K08736/K06625/K08732/K04448/K08737/K04371/K04379/K08735/K04361/K04388",16
"04015","04015","Rap1 signaling pathway","26/411","120/4251",0.216666666666667,2.24099756690998,4.51111313872036,5.31020931258033e-05,0.00223028791128374,0.00178071680707581,"K02105/K04441/K04353/K07836/K04289/K02833/K07827/K07828/K05704/K07829/K04362/K05093/K05094/K05095/K08013/K17701/K17702/K05466/K04294/K08732/K04680/K05465/K04371/K05103/K05467/K04361",26
"04926","04926","Relaxin signaling pathway","18/411","69/4251",0.260869565217391,2.69819105046017,4.65231211137446,6.16750491090948e-05,0.00226655805475923,0.00180967578306949,"K04441/K04543/K04547/K02833/K07827/K07828/K05704/K07826/K04544/K04542/K04545/K04448/K04540/K04371/K04379/K04361/K04541/K04388",18
"05167","05167","Kaposi sarcoma-associated herpesvirus infection","23/411","102/4251",0.225490196078431,2.33225991126378,4.45519884279912,7.49900072326638e-05,0.00244967356960035,0.00195587972080515,"K02105/K04441/K04543/K04547/K02833/K07827/K07828/K05704/K05854/K05855/K07826/K03083/K06625/K04544/K04542/K04545/K05466/K04448/K04540/K04371/K04379/K08893/K04541",23
"04727","04727","GABAergic synapse","14/411","47/4251",0.297872340425532,3.08091318527722,4.69268390054323,8.6063939481112e-05,0.00253027982074469,0.00202023773729347,"K04543/K04547/K14992/K05704/K13576/K14207/K01580/K08341/K07826/K04544/K04542/K04545/K04540/K04541",14
