"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000977","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","32/251","167/6106",0.191616766467066,4.66140229501157,9.93265309143176,1.01651537370612e-13,3.08466003931661e-10,2.51994023510252e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",32
"GO:0140110","GO:0140110","transcription regulator activity","53/251","437/6106",0.121281464530892,2.95037698177542,8.76036694777511,2.22419374441838e-13,3.08466003931661e-10,2.51994023510252e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g08629.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03181.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g04801.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g05246.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g03531.t1/Hhon-g06894.t1/Hhon-g08741.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g03869.t1/Hhon-g04459.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02469.t1/Hhon-g06564.t1/Hhon-g10909.t1/Hhon-g03354.t1/Hhon-g02746.t1/Hhon-g03688.t1",53
"GO:0000981","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific","38/251","240/6106",0.158333333333333,3.85172642762284,9.33165549246619,2.43782405636191e-13,3.08466003931661e-10,2.51994023510252e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g07460.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02746.t1/Hhon-g03688.t1",38
"GO:0000976","GO:0000976","transcription cis-regulatory region binding","33/251","185/6106",0.178378378378378,4.33935608915689,9.54920707090349,3.43745789533031e-13,3.26214754266846e-10,2.66493446306397e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",33
"GO:1990837","GO:1990837","sequence-specific double-stranded DNA binding","35/251","210/6106",0.166666666666667,4.05444887118194,9.32566938962679,5.03878033204656e-13,3.82544202808975e-10,3.12510460172825e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g09811.t1/Hhon-g00226.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",35
"GO:0000978","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding","26/251","119/6106",0.218487394957983,5.31507583112926,9.84177719632317,1.01680446007496e-12,6.43298288407424e-10,5.2552735778611e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g00241.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g10567.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",26
"GO:0001067","GO:0001067","transcription regulatory region nucleic acid binding","36/251","228/6106",0.157894736842105,3.84105682533026,9.05208864293236,1.21900208676808e-12,6.61047417338804e-10,5.40027089867483e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g10239.t1/Hhon-g00092.t1",36
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","41/251","293/6106",0.139931740614334,3.40407652665787,8.73168745248355,1.72942543247762e-12,8.20612367710632e-10,6.70379911063036e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g04657.t1/Hhon-g08629.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g09380.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08174.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g07460.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g00976.t1/Hhon-g06160.t1/Hhon-g00092.t1/Hhon-g02746.t1/Hhon-g03688.t1",41
"GO:0000987","GO:0000987","cis-regulatory region sequence-specific DNA binding","26/251","124/6106",0.209677419354839,5.10075825729341,9.55142239650275,2.80676821113511e-12,1.18383245882987e-09,9.67103994152517e-10,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g00241.t1/Hhon-g07787.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g10567.t1/Hhon-g09473.t1/Hhon-g00226.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",26
"GO:0043565","GO:0043565","sequence-specific DNA binding","36/251","254/6106",0.141732283464567,3.44787778021771,8.25031774610002,3.19202219556654e-11,1.21169162543706e-08,9.89862882962004e-09,"Hhon-g00684.t1/Hhon-g00902.t1/Hhon-g00903.t1/Hhon-g00914.t1/Hhon-g09437.t1/Hhon-g01603.t1/Hhon-g09981.t1/Hhon-g11170.t1/Hhon-g03907.t1/Hhon-g05322.t1/Hhon-g09266.t1/Hhon-g00241.t1/Hhon-g05242.t1/Hhon-g07787.t1/Hhon-g08561.t1/Hhon-g04244.t1/Hhon-g04246.t1/Hhon-g04829.t1/Hhon-g05189.t1/Hhon-g06747.t1/Hhon-g10567.t1/Hhon-g11664.t1/Hhon-g04500.t1/Hhon-g04501.t1/Hhon-g09473.t1/Hhon-g09811.t1/Hhon-g00226.t1/Hhon-g04016.t1/Hhon-g04000.t1/Hhon-g04001.t1/Hhon-g06017.t1/Hhon-g06018.t1/Hhon-g09672.t1/Hhon-g08814.t1/Hhon-g08787.t1/Hhon-g00092.t1",36
