"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","GO:0016071","mRNA metabolic process","131/917","449/7187",0.291759465478842,2.28666878778237,10.7676005736146,8.6170578592847e-22,4.52826390505411e-18,3.99922190543013e-18,"NV2.413/NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.9896/NV2.16774/NV2.16775/NV2.7521/NV2.17534/NV2.9771/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.23936/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.3707/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.2658/NV2.3795/NV2.4386/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.8489/NV2.2789/NV2.18304/NV2.3933/NV2.7789/NV2.22512/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.19411/NV2.17007/NV2.23785/NV2.25210/NV2.15684/NV2.10355/NV2.18108/NV2.7107/NV2.8840/NV2.11282/NV2.18279/NV2.14141/NV2.16725/NV2.19573/NV2.4360/NV2.22474/NV2.24592/NV2.8986/NV2.5735/NV2.6333/NV2.15081/NV2.13570/NV2.25320/NV2.25357/NV2.9355/NV2.6419/NV2.6168/NV2.6672/NV2.18283/NV2.13507/NV2.13311/NV2.13111/NV2.132/NV2.1450/NV2.22268/NV2.16466/NV2.16181/NV2.17170/NV2.24056/NV2.17983/NV2.6934/NV2.1833/NV2.11045/NV2.686/NV2.14662/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.15741/NV2.23536/NV2.7372/NV2.1096/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.20896/NV2.20856/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",131
"GO:0000377","GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","85/917","246/7187",0.345528455284553,2.7080839783316,10.4246205114926,2.35951924303801e-19,4.13309120738825e-16,3.65021766405424e-16,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",85
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","85/917","246/7187",0.345528455284553,2.7080839783316,10.4246205114926,2.35951924303801e-19,4.13309120738825e-16,3.65021766405424e-16,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",85
"GO:0000375","GO:0000375","RNA splicing, via transesterification reactions","85/917","249/7187",0.34136546184739,2.67545646052038,10.2898768260255,5.70234447664159e-19,7.49145505618788e-16,6.61622020987178e-16,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",85
"GO:0098798","GO:0098798","mitochondrial protein-containing complex","65/917","162/7187",0.401234567901235,3.14468139531753,10.558242466848,7.53499059417037e-19,7.91927511447306e-16,6.9940575851994e-16,"NV2.8814/NV2.11986/NV2.1523/NV2.1543/NV2.18575/NV2.22618/NV2.23915/NV2.1900/NV2.2203/NV2.11810/NV2.21390/NV2.6056/NV2.22025/NV2.12122/NV2.9877/NV2.21166/NV2.24725/NV2.7285/NV2.746/NV2.1708/NV2.3786/NV2.19732/NV2.3244/NV2.350/NV2.2052/NV2.7760/NV2.9051/NV2.13475/NV2.16044/NV2.23470/NV2.13414/NV2.23794/NV2.6094/NV2.12245/NV2.25137/NV2.7399/NV2.18633/NV2.8673/NV2.20039/NV2.23672/NV2.15031/NV2.11097/NV2.9616/NV2.17016/NV2.3995/NV2.4591/NV2.5306/NV2.16780/NV2.24238/NV2.23630/NV2.23557/NV2.22825/NV2.3621/NV2.6852/NV2.7796/NV2.11083/NV2.11682/NV2.1849/NV2.3748/NV2.1231/NV2.3565/NV2.16503/NV2.14660/NV2.3774/NV2.2635",65
"GO:0098800","GO:0098800","inner mitochondrial membrane protein complex","40/917","72/7187",0.555555555555556,4.35417423967042,10.9385289125247,3.86292491538388e-18,3.38327840505705e-15,2.98800630735571e-15,"NV2.11986/NV2.1523/NV2.1543/NV2.18575/NV2.11810/NV2.21390/NV2.12122/NV2.9877/NV2.24725/NV2.7285/NV2.746/NV2.1708/NV2.3786/NV2.19732/NV2.3244/NV2.350/NV2.2052/NV2.23470/NV2.23794/NV2.6094/NV2.25137/NV2.8673/NV2.23672/NV2.11097/NV2.9616/NV2.3995/NV2.4591/NV2.5306/NV2.24238/NV2.23630/NV2.22825/NV2.3621/NV2.11083/NV2.11682/NV2.3748/NV2.1231/NV2.16503/NV2.14660/NV2.3774/NV2.2635",40
"GO:0008380","GO:0008380","RNA splicing","87/917","271/7187",0.321033210332103,2.51610216211213,9.72926704916906,1.81697172865037e-17,1.36402663343681e-14,1.20466591753676e-14,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.18304/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.22268/NV2.16466/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.1098/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",87
"GO:0006397","GO:0006397","mRNA processing","93/917","301/7187",0.308970099667774,2.42155736784329,9.63515339296149,2.21583893812247e-17,1.4555292024792e-14,1.28547814186605e-14,"NV2.25740/NV2.14368/NV2.15995/NV2.17180/NV2.16774/NV2.16775/NV2.7521/NV2.252/NV2.11218/NV2.12274/NV2.18666/NV2.4121/NV2.4790/NV2.23313/NV2.4241/NV2.13768/NV2.23108/NV2.17976/NV2.8373/NV2.13536/NV2.3514/NV2.10752/NV2.7890/NV2.20555/NV2.5061/NV2.22276/NV2.22594/NV2.21196/NV2.2789/NV2.18304/NV2.3933/NV2.7789/NV2.24081/NV2.6803/NV2.10680/NV2.10722/NV2.2374/NV2.20462/NV2.20465/NV2.20467/NV2.14986/NV2.1419/NV2.5707/NV2.15004/NV2.4895/NV2.14328/NV2.18108/NV2.8840/NV2.18279/NV2.14141/NV2.19573/NV2.24592/NV2.8986/NV2.15081/NV2.13570/NV2.25357/NV2.6168/NV2.18283/NV2.13507/NV2.1450/NV2.16466/NV2.16181/NV2.17170/NV2.17983/NV2.1833/NV2.11045/NV2.686/NV2.19423/NV2.20304/NV2.20155/NV2.22563/NV2.21987/NV2.22576/NV2.5310/NV2.5043/NV2.23536/NV2.7372/NV2.8174/NV2.10810/NV2.11313/NV2.13629/NV2.13730/NV2.20896/NV2.4332/NV2.16116/NV2.356/NV2.1648/NV2.1469/NV2.18884/NV2.24248/NV2.16289/NV2.9721/NV2.15233",93
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","110/917","425/7187",0.258823529411765,2.02853293989351,8.35929382385803,2.99301093822083e-14,1.74758583115005e-11,1.54341347679715e-11,"NV2.11642/NV2.13108/NV2.13437/NV2.14459/NV2.20035/NV2.23089/NV2.23888/NV2.25991/NV2.25999/NV2.30002/NV2.413/NV2.645/NV2.7345/NV2.7400/NV2.7956/NV2.10193/NV2.10382/NV2.10861/NV2.10862/NV2.10864/NV2.10867/NV2.12488/NV2.2675/NV2.6608/NV2.6610/NV2.6620/NV2.22721/NV2.24934/NV2.4941/NV2.9042/NV2.9045/NV2.15429/NV2.23552/NV2.24744/NV2.25048/NV2.25478/NV2.13560/NV2.15571/NV2.16402/NV2.18482/NV2.21719/NV2.21749/NV2.4477/NV2.9896/NV2.16941/NV2.19648/NV2.22282/NV2.6559/NV2.21205/NV2.19776/NV2.472/NV2.11403/NV2.146/NV2.15042/NV2.15947/NV2.16294/NV2.18456/NV2.18659/NV2.23936/NV2.12688/NV2.3801/NV2.12565/NV2.2966/NV2.9137/NV2.18154/NV2.20741/NV2.23307/NV2.1451/NV2.21508/NV2.25634/NV2.5664/NV2.13647/NV2.14227/NV2.17611/NV2.13645/NV2.14672/NV2.19339/NV2.19340/NV2.20774/NV2.18158/NV2.19989/NV2.3802/NV2.25289/NV2.13643/NV2.25170/NV2.13006/NV2.17242/NV2.24395/NV2.4965/NV2.24245/NV2.4847/NV2.12897/NV2.1654/NV2.19411/NV2.12102/NV2.22659/NV2.1757/NV2.18108/NV2.2784/NV2.12090/NV2.14141/NV2.21072/NV2.21090/NV2.16181/NV2.12468/NV2.2269/NV2.15741/NV2.1098/NV2.8174/NV2.12041",110
"GO:0000122","GO:0000122","negative regulation of transcription by RNA polymerase II","104/917","400/7187",0.26,2.03775354416576,8.16732429483912,1.19506470078275e-13,6.28006500261333e-11,5.54635817447487e-11,"NV2.14459/NV2.23089/NV2.23888/NV2.25991/NV2.645/NV2.7956/NV2.10193/NV2.10861/NV2.10862/NV2.10864/NV2.10867/NV2.6610/NV2.24934/NV2.9042/NV2.23552/NV2.3769/NV2.6646/NV2.18482/NV2.21749/NV2.4477/NV2.9896/NV2.7161/NV2.6314/NV2.16941/NV2.19648/NV2.1589/NV2.19776/NV2.472/NV2.146/NV2.5400/NV2.16294/NV2.528/NV2.9343/NV2.9348/NV2.18456/NV2.18659/NV2.23936/NV2.15812/NV2.15813/NV2.12688/NV2.3801/NV2.12565/NV2.2966/NV2.9137/NV2.23307/NV2.20509/NV2.21508/NV2.25634/NV2.14227/NV2.10849/NV2.10851/NV2.17611/NV2.3637/NV2.14672/NV2.19339/NV2.19340/NV2.20774/NV2.12456/NV2.18158/NV2.19989/NV2.3514/NV2.7890/NV2.3802/NV2.22403/NV2.13643/NV2.25170/NV2.13006/NV2.17242/NV2.9546/NV2.3369/NV2.2865/NV2.2374/NV2.3194/NV2.10401/NV2.24245/NV2.15083/NV2.4847/NV2.12897/NV2.1654/NV2.1757/NV2.10355/NV2.19562/NV2.18108/NV2.8759/NV2.12090/NV2.14141/NV2.954/NV2.8755/NV2.13311/NV2.11252/NV2.11592/NV2.19668/NV2.19415/NV2.4162/NV2.16181/NV2.12468/NV2.18847/NV2.20866/NV2.17/NV2.12722/NV2.20896/NV2.4339/NV2.4332/NV2.12041",104
