"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005885","GO:0005885","Arp2/3 protein complex","6/62","10/5248",0.6,50.7870967741935,17.2293611971574,4.30076848269163e-10,9.05741842454857e-07,7.48786428460206e-07,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","6/62","14/5248",0.428571428571429,36.2764976958525,14.4499964535668,5.92794534498039e-09,6.24212644826435e-06,5.16043242136714e-06,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6
"GO:0045010","GO:0045010","actin nucleation","6/62","15/5248",0.4,33.858064516129,13.9330873812995,9.78946028602906e-09,6.8722011207924e-06,5.68132186424283e-06,"c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",6
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","8/62","42/5248",0.19047619047619,16.1228878648233,10.7582694126822,2.05557692308502e-08,7.52819273538437e-06,6.22363711917117e-06,"c103219-g2/c103330-g1/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8
"GO:0002431","GO:0002431","Fc receptor mediated stimulatory signaling pathway","8/62","43/5248",0.186046511627907,15.7479369842461,10.6167173382019,2.50224829761114e-08,7.52819273538437e-06,6.22363711917117e-06,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8
"GO:0038094","GO:0038094","Fc-gamma receptor signaling pathway","8/62","43/5248",0.186046511627907,15.7479369842461,10.6167173382019,2.50224829761114e-08,7.52819273538437e-06,6.22363711917117e-06,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8
"GO:0038096","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","8/62","43/5248",0.186046511627907,15.7479369842461,10.6167173382019,2.50224829761114e-08,7.52819273538437e-06,6.22363711917117e-06,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","8/62","49/5248",0.163265306122449,13.8196181698486,9.8570813758103,7.36318715698372e-08,1.8222868533676e-05,1.50650395135203e-05,"c102723-g1/c103330-g1/c101822-g1/c104424-g4/c102000-g1/c98750-g1/c98854-g1/c98854-g3",8
"GO:1900271","GO:1900271","regulation of long-term synaptic potentiation","5/62","11/5248",0.454545454545455,38.475073313783,13.6029363959205,8.54956936356441e-08,1.8222868533676e-05,1.50650395135203e-05,"c98789-g1/c102000-g1/c98750-g1/c98854-g1/c98854-g3",5
"GO:0002433","GO:0002433","immune response-regulating cell surface receptor signaling pathway involved in phagocytosis","8/62","50/5248",0.16,13.5432258064516,9.743415561983,8.68523306076284e-08,1.8222868533676e-05,1.50650395135203e-05,"c104424-g3/c104424-g4/c105908-g1/c12761-g1/c78092-g1/c105479-g1/c110137-g1/c40816-g1",8
