"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04666","04666","Fc gamma R-mediated phagocytosis","11/51","48/2624",0.229166666666667,11.7908496732026,10.6210553481384,6.38867121310029e-10,1.18829284563665e-07,7.86815296771299e-08,"K04456/K02677/K19662/K19663/K06068/K18050/K05765/K05755/K05757/K05756/K05758",11
"04517","04517","IgSF CAM signaling","13/51","80/2624",0.1625,8.36078431372549,9.41184729930013,1.37194021809355e-09,1.275904402827e-07,8.44826344826027e-08,"K05695/K06777/K04456/K02677/K19662/K19663/K06069/K06778/K18052/K05755/K05757/K05756/K05758",13
"04750","04750","Inflammatory mediator regulation of TRP channels","7/51","27/2624",0.259259259259259,13.3391430646333,9.07183718353029,4.53266606146411e-07,2.81025295810775e-05,1.86077869891685e-05,"K02677/K19662/K19663/K06068/K18052/K18050/K18051",7
"04270","04270","Vascular smooth muscle contraction","7/51","34/2624",0.205882352941176,10.5928489042676,7.92504105509982,2.47471075823744e-06,0.000115074050258041,7.61950417667844e-05,"K02677/K19662/K19663/K06068/K18052/K18050/K18051",7
"05131","05131","Shigellosis","10/51","104/2624",0.0961538461538462,4.94720965309201,5.78190476096866,2.03385745943704e-05,0.000756594974910578,0.000500971205798176,"K04456/K14381/K06068/K18052/K18050/K05755/K05757/K11253/K05756/K05758",10
"04931","04931","Insulin resistance","6/51","36/2624",0.166666666666667,8.57516339869281,6.44207029942168,4.98498091185192e-05,0.00154534408267409,0.00102323292401171,"K05695/K04456/K19662/K06068/K18052/K18050",6
"04613","04613","Neutrophil extracellular trap formation","6/51","44/2624",0.136363636363636,7.01604278074866,5.66489339397394,0.000160433736496807,0.00426295356977231,0.00282266874738744,"K04456/K02677/K19662/K19663/K11253/K11251",6
"04933","04933","AGE-RAGE signaling pathway in diabetic complications","5/51","29/2624",0.172413793103448,8.87085868830291,5.99952370085021,0.000189703881343456,0.00441061524123534,0.00292044133120846,"K04456/K02677/K19662/K06068/K18050",5
"04727","04727","GABAergic synapse","4/51","17/2624",0.235294117647059,12.1061130334487,6.46666516817627,0.00025016655562964,0.0051701088163459,0.00342333181387929,"K02677/K19662/K19663/K08341",4
"04929","04929","GnRH secretion","4/51","20/2624",0.2,10.2901960784314,5.87061673710823,0.00048774673146066,0.00907208920516829,0.00600698606114708,"K04456/K02677/K19662/K19663",4
"04925","04925","Aldosterone synthesis and secretion","4/51","23/2624",0.173913043478261,8.94799658994032,5.38909394233476,0.000853800243419309,0.014436985934181,0.00955929459139322,"K02677/K19662/K19663/K18050",4
"04960","04960","Aldosterone-regulated sodium reabsorption","3/51","12/2624",0.25,12.8627450980392,5.797671115793,0.00134537677744806,0.0185733715613184,0.012298157740092,"K02677/K19662/K19663",3
"04530","04530","Tight junction","6/51","66/2624",0.0909090909090909,4.67736185383244,4.25914479443222,0.00148992752902735,0.0185733715613184,0.012298157740092,"K06069/K18050/K05755/K05757/K05756/K05758",6
"04071","04071","Sphingolipid signaling pathway","5/51","45/2624",0.111111111111111,5.71677559912854,4.49252126215289,0.00154299713234949,0.0185733715613184,0.012298157740092,"K04456/K02677/K19662/K19663/K18050",5
"04370","04370","VEGF signaling pathway","4/51","27/2624",0.148148148148148,7.62236746550472,4.8688178021666,0.00159770938161879,0.0185733715613184,0.012298157740092,"K04456/K02677/K19662/K19663",4
"04725","04725","Cholinergic synapse","4/51","27/2624",0.148148148148148,7.62236746550472,4.8688178021666,0.00159770938161879,0.0185733715613184,0.012298157740092,"K04456/K02677/K19662/K19663",4
"04138","04138","Autophagy - yeast","5/51","48/2624",0.104166666666667,5.35947712418301,4.29088062823036,0.00206946105131456,0.0226423385614416,0.0149923803717525,"K05755/K05757/K05756/K05758/K08341",5
"05031","05031","Amphetamine addiction","3/51","16/2624",0.1875,9.64705882352941,4.88358725216658,0.00324150753114686,0.0334627777008885,0.0221570174929482,"K02677/K19662/K19663",3
"04066","04066","HIF-1 signaling pathway","4/51","33/2624",0.121212121212121,6.23648247177659,4.26115427228914,0.00341824073288646,0.0334627777008885,0.0221570174929482,"K04456/K02677/K19662/K19663",4
"05032","05032","Morphine addiction","3/51","17/2624",0.176470588235294,9.07958477508651,4.70443343058207,0.00388250916875768,0.0343301868478259,0.0227313631080681,"K02677/K19662/K19663",3
"04810","04810","Regulation of actin cytoskeleton","6/51","80/2624",0.075,3.85882352941176,3.65542710771966,0.00400431380107345,0.0343301868478259,0.0227313631080681,"K04456/K05765/K05755/K05757/K05756/K05758",6
"04728","04728","Dopaminergic synapse","4/51","35/2624",0.114285714285714,5.88011204481793,4.09130757982129,0.00425043989085278,0.0343301868478259,0.0227313631080681,"K04456/K02677/K19662/K19663",4
"04961","04961","Endocrine and other factor-regulated calcium reabsorption","3/51","18/2624",0.166666666666667,8.57516339869281,4.53947252874531,0.00459560197635222,0.0343301868478259,0.0227313631080681,"K02677/K19662/K19663",3
"05135","05135","Yersinia infection","5/51","58/2624",0.0862068965517241,4.43542934415145,3.72418315942002,0.00478346427945129,0.0343301868478259,0.0227313631080681,"K04456/K05755/K05757/K05756/K05758",5
"04140","04140","Autophagy - animal","6/51","83/2624",0.072289156626506,3.71934798015592,3.5437725464481,0.00481107002211323,0.0343301868478259,0.0227313631080681,"K04456/K14381/K06068/K18052/K08341/K17987",6
"01521","01521","EGFR tyrosine kinase inhibitor resistance","4/51","37/2624",0.108108108108108,5.56226815050344,3.93412174622664,0.00521015775158225,0.0343301868478259,0.0227313631080681,"K04456/K02677/K19662/K19663",4
"05214","05214","Glioma","4/51","37/2624",0.108108108108108,5.56226815050344,3.93412174622664,0.00521015775158225,0.0343301868478259,0.0227313631080681,"K04456/K02677/K19662/K19663",4
"05223","05223","Non-small cell lung cancer","4/51","37/2624",0.108108108108108,5.56226815050344,3.93412174622664,0.00521015775158225,0.0343301868478259,0.0227313631080681,"K04456/K02677/K19662/K19663",4
"04971","04971","Gastric acid secretion","3/51","19/2624",0.157894736842105,8.12383900928793,4.38683574183113,0.00538305509494591,0.0343301868478259,0.0227313631080681,"K02677/K19662/K19663",3
"04015","04015","Rap1 signaling pathway","5/51","60/2624",0.0833333333333333,4.28758169934641,3.6262480581412,0.00553712691093966,0.0343301868478259,0.0227313631080681,"K04456/K02677/K19662/K19663/K06069",5
"04911","04911","Insulin secretion","3/51","20/2624",0.15,7.71764705882353,4.24498373603478,0.00624693304144329,0.0363102983033892,0.0240424725608179,"K02677/K19662/K19663",3
"04970","04970","Salivary secretion","3/51","20/2624",0.15,7.71764705882353,4.24498373603478,0.00624693304144329,0.0363102983033892,0.0240424725608179,"K02677/K19662/K19663",3
"05231","05231","Choline metabolism in cancer","4/51","40/2624",0.1,5.14509803921569,3.71862931052394,0.00690705185694433,0.0389306559209589,0.0257775141072563,"K04456/K02677/K19662/K19663",4
"04918","04918","Thyroid hormone synthesis","3/51","21/2624",0.142857142857143,7.35014005602241,4.11263538225555,0.00718910407372156,0.0393286281680062,0.026041027140106,"K02677/K19662/K19663",3
"05100","05100","Bacterial invasion of epithelial cells","4/51","41/2624",0.0975609756097561,5.01960784313725,3.6515541933909,0.00754525838591044,0.0400976588508384,0.0265502325158352,"K05755/K05757/K05756/K05758",4
"05146","05146","Amoebiasis","3/51","22/2624",0.136363636363636,7.01604278074866,3.98871448620791,0.00821124829469919,0.0413287983697865,0.0273654182754104,"K02677/K19662/K19663",3
"04935","04935","Growth hormone synthesis, secretion and action","4/51","42/2624",0.0952380952380952,4.90009337068161,3.58662417057465,0.00822132010581774,0.0413287983697865,0.0273654182754104,"K04456/K02677/K19662/K19663",4
"04713","04713","Circadian entrainment","3/51","25/2624",0.12,6.17411764705882,3.65904292347347,0.0117716619221862,0.0561417722442725,0.0371736692279563,"K02677/K19662/K19663",3
"04726","04726","Serotonergic synapse","3/51","25/2624",0.12,6.17411764705882,3.65904292347347,0.0117716619221862,0.0561417722442725,0.0371736692279563,"K02677/K19662/K19663",3
"04919","04919","Thyroid hormone signaling pathway","4/51","48/2624",0.0833333333333333,4.28758169934641,3.23585150824568,0.0131206969606251,0.0595517852931627,0.0394315726049804,"K04456/K02677/K19662/K19663",4
"04972","04972","Pancreatic secretion","3/51","26/2624",0.115384615384615,5.93665158371041,3.56093394609195,0.0131270064355896,0.0595517852931627,0.0394315726049804,"K02677/K19662/K19663",3
"04720","04720","Long-term potentiation","3/51","27/2624",0.111111111111111,5.71677559912854,3.46781134171204,0.014568168567336,0.0640820157139938,0.0424312158377888,"K02677/K19662/K19663",3
"04010","04010","MAPK signaling pathway","6/51","105/2624",0.0571428571428571,2.94005602240896,2.8560064053541,0.0148146595467835,0.0640820157139938,0.0424312158377888,"K04456/K04458/K18018/K02677/K19662/K19663",6
"04014","04014","Ras signaling pathway","5/51","77/2624",0.0649350649350649,3.34097275273746,2.93488838289118,0.0156294945197326,0.0660701359243242,0.0437476282011654,"K04456/K02677/K19662/K19663/K17632",5
"04730","04730","Long-term depression","3/51","28/2624",0.107142857142857,5.51260504201681,3.37923454451464,0.0160958559203306,0.0665295378040333,0.0440518162030102,"K02677/K19662/K19663",3
