"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031152","GO:0031152","aggregation involved in sorocarp development","11/112","13/6241",0.846153846153846,47.1504120879121,22.5153889119615,2.85927882521872e-18,4.55483116857341e-15,2.97364997822746e-15,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0098630","GO:0098630","aggregation of unicellular organisms","11/112","13/6241",0.846153846153846,47.1504120879121,22.5153889119615,2.85927882521872e-18,4.55483116857341e-15,2.97364997822746e-15,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0071496","GO:0071496","cellular response to external stimulus","28/112","214/6241",0.130841121495327,7.29088785046729,12.6582809151676,2.65538232674458e-17,2.82001603100274e-14,1.84106507987624e-14,"TrH2-TrispH2-003510/TrH2-TrispH2-010455/TrH2-TrispH2-011702/TrH2-TrispH2-011821/TrH2-TrispH2-011879/TrH2-TrispH2-011880/TrH2-TrispH2-011883/TrH2-TrispH2-001435/TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758/TrH2-TrispH2-008428/TrH2-TrispH2-008429/TrH2-TrispH2-009536/TrH2-TrispH2-004957/TrH2-TrispH2-001426/TrH2-TrispH2-004582/TrH2-TrispH2-010405/TrH2-TrispH2-009879/TrH2-TrispH2-000596",28
"GO:0002031","GO:0002031","G protein-coupled receptor internalization","11/112","17/6241",0.647058823529412,36.0561974789916,19.5641494125848,4.27295764459929e-16,3.40341076392334e-13,2.22193797519163e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0002029","GO:0002029","desensitization of G protein-coupled receptor signaling pathway","11/112","18/6241",0.611111111111111,34.0530753968254,18.9825574025443,1.08242787779327e-15,4.92659316949909e-13,3.21635712258572e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0030587","GO:0030587","sorocarp development","11/112","18/6241",0.611111111111111,34.0530753968254,18.9825574025443,1.08242787779327e-15,4.92659316949909e-13,3.21635712258572e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0099120","GO:0099120","socially cooperative development","11/112","18/6241",0.611111111111111,34.0530753968254,18.9825574025443,1.08242787779327e-15,4.92659316949909e-13,3.21635712258572e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0023058","GO:0023058","adaptation of signaling pathway","12/112","24/6241",0.5,27.8616071428571,17.8218865954194,1.38420056885572e-15,5.5125787654679e-13,3.59892147902487e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758/TrH2-TrispH2-007855",12
"GO:0098743","GO:0098743","cell aggregation","11/112","19/6241",0.578947368421053,32.2608082706767,18.4466919533165,2.53255117766635e-15,8.96523116893888e-13,5.85300716616223e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758",11
"GO:0051703","GO:0051703","biological process involved in intraspecies interaction between organisms","13/112","33/6241",0.393939393939394,21.9515692640693,16.3118856514056,4.18417570920518e-15,1.33307838095277e-12,8.70308547514677e-13,"TrH2-TrispH2-005452/TrH2-TrispH2-007037/TrH2-TrispH2-007040/TrH2-TrispH2-007041/TrH2-TrispH2-007044/TrH2-TrispH2-007045/TrH2-TrispH2-007046/TrH2-TrispH2-007051/TrH2-TrispH2-007054/TrH2-TrispH2-008402/TrH2-TrispH2-008758/TrH2-TrispH2-006026/TrH2-TrispH2-009138",13
