"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04517","04517","IgSF CAM signaling","16/89","94/3090",0.170212765957447,5.90963423380349,8.32363678009723,4.30818757207394e-09,1.0081158918653e-06,5.57796917226415e-07,"K06069/K02677/K19662/K19663/K07374/K08810/K04874/K04875/K04877/K04879/K04353/K07836/K04456/K07941/K10352/K12751",16
"04919","04919","Thyroid hormone signaling pathway","12/89","56/3090",0.214285714285714,7.43980738362761,8.37394420184513,3.05188069673895e-08,3.57070041518457e-06,1.9756911878889e-06,"K06067/K11404/K02677/K19662/K19663/K07827/K07828/K08524/K08525/K08526/K04456/K17751",12
"04720","04720","Long-term potentiation","8/89","26/3090",0.307692307692308,10.6828003457217,8.53717591115841,3.52974321193528e-07,2.07553290380541e-05,1.14840552032418e-05,"K02677/K19662/K19663/K07827/K07828/K06268/K04353/K07836",8
"05417","05417","Lipid and atherosclerosis","12/89","69/3090",0.173913043478261,6.038104543234,7.28764682411625,3.54791949368446e-07,2.07553290380541e-05,1.14840552032418e-05,"K04448/K02677/K07827/K07828/K08524/K08525/K08526/K06268/K02084/K04353/K07836/K04456",12
"05223","05223","Non-small cell lung cancer","9/89","39/3090",0.230769230769231,8.01210025929127,7.58805161709245,9.46868280521946e-07,4.26673428618561e-05,2.36081114350351e-05,"K02677/K19662/K19663/K07827/K07828/K08524/K08525/K08526/K04456",9
"04921","04921","Oxytocin signaling pathway","11/89","63/3090",0.174603174603175,6.06206527554842,6.98976806371784,1.09403443235528e-06,4.26673428618561e-05,2.36081114350351e-05,"K04448/K02677/K19662/K19663/K07827/K07828/K04858/K04860/K04861/K06268/K12751",11
"04010","04010","MAPK signaling pathway","14/89","108/3090",0.12962962962963,4.50062421972534,6.3763847018469,1.49138708824199e-06,4.98549398069464e-05,2.75850544140999e-05,"K04448/K04449/K02677/K19662/K19663/K07827/K07828/K04858/K04860/K04861/K06268/K04353/K07836/K04456",14
"04370","04370","VEGF signaling pathway","7/89","25/3090",0.28,9.72134831460674,7.53892384764305,4.09133420227508e-06,0.000119671525416546,6.62150140631361e-05,"K02677/K19662/K19663/K07827/K07828/K06268/K04456",7
"04929","04929","GnRH secretion","6/89","20/3090",0.3,10.4157303370787,7.27395787840065,1.35093662156449e-05,0.000351243521606768,0.000194345268365418,"K02677/K19662/K19663/K07827/K07828/K04456",6
"05207","05207","Chemical carcinogenesis - receptor activation","10/89","70/3090",0.142857142857143,4.95987158908507,5.77028961318831,2.26457328115572e-05,0.000501947952532205,0.000277730985881517,"K04448/K02677/K19662/K19663/K07827/K07828/K08524/K08525/K08526/K04456",10
