,Dare_Endoderm,Dare_Epidermal,Dare_Germline,Dare_Mesoderm,Dare_Neural Anterior,Dare_Neural Crest,Dare_Neural Mid,Dare_Neural Posterior,Neve_NPC,Neve_cnidocyte,Neve_cnidocyte.mature,Neve_ectoderm.embryonic,Neve_ectoderm.epidermis,Neve_ectoderm.pharyngeal,Neve_gastrodermis,Neve_gland.mucous,Neve_mesendoderm.embryonic,Neve_neuronal,Neve_retractor muscle,Neve_secretory,"Auco_CN, Cnidocytes/Nematocyte cell","Auco_EM, Epidermal/Muscle cell","Auco_GA, Gastrodermal cell","Auco_GL, Gland cell","Auco_HA, Hair cell","Auco_NE, Neural cell","Auco_SG, Stem/Germline cell",Clhe_Bioluminescent Cells,Clhe_Epidermal/Muscle,Clhe_Gastroderm,Clhe_Gland Cell,Clhe_Nematocyte,Clhe_Neural,Clhe_Stem Cell/Germ Cell,TrH1_epithelia,TrH1_epithelia_gland_like,TrH1_fibre,TrH1_gland,TrH1_lipophil,TrH1_meiotic,TrH1_peptidergic,TrH1_trans,TrH2_epithelia,TrH2_epithelia_gland_like,TrH2_fibre,TrH2_gland,TrH2_lipophil,TrH2_meiotic,TrH2_peptidergic,TrH2_trans,TrH2_unknown_1,HoH13_epithelia,HoH13_epithelia_gland_like,HoH13_fibre,HoH13_gland,HoH13_lipophil,HoH13_peptidergic,HoH13_trans,HoH13_unknown_1,ClH23_epithelia,ClH23_epithelia_gland_like,ClH23_fibre,ClH23_gland,ClH23_lipophil,ClH23_peptidergic,ClH23_trans,ClH23_unknown_1,Spla_Amoeboid-Neuroid,Spla_Archeocytes and relatives,Spla_Endymocytes,Spla_Peptidocytes,Spla_transitional
Dare_Endoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055474133393932853,0.02669471921076465,0.0,0.003130165186715498,0.08062145338442235,0.06691666643727984,0.2069366881561882,0.0016677765035369237,0.0003044297628511518,0.031034903361129674,0.003338098138877075,0.023457259408767868,0.03705549158612919,0.291432880447154,0.0795503872080491,0.019919546313044965,0.004280136212684956,0.04973752275525176,0.007223718939875068,0.002013946558392107,0.05298068136873326,0.15937871235523193,0.005403343803484223,0.08772714962723255,0.008495587810132755,0.14033403647221426,0.1626597952647339,0.02917170061860417,0.0247731963492228,0.13346769122744587,0.00457946069376759,0.0,0.01717402491352026,0.09059734243997282,0.07529760086821165,0.03233791016933231,0.22188894762571723,0.043127985372389266,0.015705764285472813,0.0005728385618711439,0.002975840534529283,0.05925787081654775,5.4754813278768194e-05,0.045261790347144074,0.06616108664052262,0.07350443123062292,0.17068840900500212,0.0026333397958765606,0.008332254726359598,0.0753103806886618,0.0011627138114599495,0.10110685345723076,0.07814687873262299,0.026060875256449394,0.16130955596367474,0.0018515863104000823,0.004568284349786111,0.09631778159473472,0.0,0.0007445215527525424,0.08195465541471925,0.0075168160933336585,0.013931622913140502,0.39818551776185507
Dare_Epidermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027367504877354197,0.01939161514827443,0.005150091640189873,0.053592427320102456,0.07116269011063867,0.03653677212464684,0.3631897631670403,0.040641273451113714,0.0044505282209178765,0.0181110345359679,0.007408084532556087,0.05172573610251091,0.03333403010745487,0.27470467108223173,0.19752839139127815,0.0446257215570961,0.011269235789719736,0.042718017897886894,0.015977095005478597,0.01330292618275462,0.040004057951936824,0.2695723546974168,0.07773935450751625,0.045522936024232005,0.01262931992018595,0.0764380926649445,0.07703782575856351,0.015536996707686618,0.20542556649363944,0.124397559836311,0.4753349415659199,0.0014139991022946797,0.015732998494081107,0.12086775885726661,0.05685637007165993,0.011213543829983522,0.10580353653410571,0.14580954714451957,0.4365707792431913,0.0015520395114423727,0.00831017175694821,0.12520613618510124,0.0013169975542300582,0.047617306668037415,0.030319964861571326,0.3361929311915293,0.10494006747098764,0.42372103454903287,0.011123348414264086,0.06768854422432138,0.0009319011204634,0.10376817569718817,0.028726736568497314,0.21044311470775484,0.09473211751850309,0.4016492778699668,0.0037227419327067078,0.13737624518287225,0.0006068126572817808,0.007393130928905585,0.03170170517497108,0.02688103115523343,0.030638010566349638,0.39164829159556
Dare_Germline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00143267111584488,0.0,0.0,0.031419622376390746,0.013006660334628098,0.14931480933572686,0.0029693828705264595,0.0,0.0,0.0,0.004273999731597934,0.002078834185660636,0.13459545211881405,0.03463170112142986,0.0028156909422979684,0.004785807419320073,0.016290978266629542,0.0,0.0007935567318950943,0.03134770224391831,0.05460410692571349,0.0,0.04562584854848021,0.0,0.06238359342300144,0.04014385384844614,0.009890633998884976,0.0,0.020005333644411094,0.0,0.0,0.006535059700361395,0.01755793431863533,0.021596588200376,0.0,0.06554148777484019,0.006542542714098256,0.0018020683289203445,0.0,0.002411200945332416,0.006821485427692326,0.0,0.00696967930083917,0.0033321722667774287,0.017563790939885714,0.031634401141027724,0.0,0.004490997763570307,0.05513278364961671,0.0,0.022629102950222447,0.009812386115827085,0.00160518852546208,0.03153013201336948,0.0,0.0,0.06551551434229078,0.0,0.0,0.0020506839528014378,0.0,0.0,0.1580957164236016
Dare_Mesoderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022155717349913596,0.17641569135757676,0.007472514154458898,0.09017254884137421,0.044891122603006386,0.1499267757794202,0.3764502032135564,0.1423754091723447,0.04449868849400631,0.010171958161475073,0.6085372482470557,0.11138713881094364,0.10109248020512336,0.3690084717183585,0.25548011958816624,0.0519395194452987,0.01621092944704423,0.06222340731259214,0.04148688153034584,0.016736792775754343,0.23473177670557716,0.3700765330391588,0.3910347018818775,0.046528523794629136,0.021686222933188552,0.054254471677409266,0.10739974019785552,0.10274338761730088,0.18071016286233016,0.5264271537335424,0.034005501521141346,0.002480954335943636,0.013054202299421096,0.11222208333882915,0.08934301264217112,0.5036823372444001,0.20614236757785945,0.46918253983257063,0.04831458485287293,0.004415488128269191,0.11065730239455929,0.1374586511088906,0.008681235402778341,0.13578377480370937,0.03756723570156109,0.14090555633021096,0.5508242021760672,0.08048991154879397,0.004267095205203445,0.2116919144583275,0.020045419249998062,0.23227659314245827,0.06237206034886866,0.2667571563959124,0.38560618658846313,0.1014036701073554,0.0026616155379883236,0.22915559606690777,0.004007291620717261,0.036587808727635146,0.04079992876371076,0.15052822047177533,0.2172773573984895,0.2599930565527901
Dare_Neural Anterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45838567047852213,0.09258632122097518,0.024901165205141424,0.09153025481977888,0.1179661378864744,0.15839345784819497,0.020445193386126437,0.07090701234098508,0.013628399997021742,0.12950981892245125,0.014417556160809687,0.09171030471326455,0.075974009052198,0.2999446540471107,0.055711008420303486,0.10230166229727844,0.15001660385933796,0.09975483436248167,0.16059919612704726,0.031162623567041553,0.08877101501377702,0.07615992354517172,0.03243100294967156,0.11409160824262847,0.18463751890929317,0.3858461605140381,0.38371615677887805,0.1762182025899882,0.08825874863357705,0.037863023363353794,0.03952457925604725,0.02572209379719312,0.12308497710253823,0.11966743758147272,0.12807167348303128,0.02326116803666218,0.4684627557112114,0.005003756266758004,0.05279019510409434,0.14402387248297216,0.06783855500019073,0.04847790170356625,0.08358071937359299,0.1735400181626699,0.2769080318683209,0.005158327976118679,0.13771306467729166,0.014333060531425199,0.09457117589497735,0.05722951768556811,0.07520603986089963,0.17048959816121814,0.3124368655137844,0.007451612384750075,0.11179589017975175,0.017603424623352106,0.09385536226747457,0.06455636248063071,0.025346640426287897,0.11697818738798893,0.4920707496936859,0.06788313876001076,0.06241554214291053,0.39009710391854696
Dare_Neural Crest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1542895690019101,0.04925616996710251,7.911678180194037e-05,0.021246387996379335,0.14455521578422253,0.05635696900042162,0.15560252430335017,0.002238837113901625,0.00031477723684651833,0.003922883659688717,0.003037428714759759,0.017149313691093893,0.06611220271119929,0.32681721676652126,0.08116651058022786,0.012336089997232017,0.0032126008519931743,0.023657181300486142,0.01904191445921883,0.003722876206860797,0.07346008757058954,0.1677005544063101,0.011761898255663447,0.07548088290271766,0.013113736133587189,0.1959230064031589,0.22909182544882722,0.025670961305340294,0.03806181713472956,0.07358434692441462,0.02646623393147309,5.5079536545769286e-05,0.0071317575337094905,0.09550117470283637,0.05333201942618891,0.015262834563279459,0.3301149807942134,0.018102290594897368,0.052987388055070916,0.00033823386859241925,0.0006364161861291124,0.040079244042506,0.0004061406075372352,0.05734260968620316,0.14175192553868143,0.026893221644253906,0.12675862540080846,0.019741932246301688,0.0081377773115032,0.058504327415188476,0.00044185838716131944,0.08518771828864871,0.19194483919567837,0.008918186711233806,0.12371827207973592,0.009535508716448418,0.00111953951755658,0.06679568728477481,0.0007525091222906264,0.00796507347959712,0.1613396493260926,0.0002748010836835331,0.013775922020627865,0.47892178079067993
Dare_Neural Mid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.445605280859546,0.03669154313545322,0.019796166734756347,0.055698558411242736,0.07289104948507608,0.11640384324917845,0.0073947242129597645,0.02698839848069618,0.004827748621922232,0.03376891165419267,0.008591770565000486,0.06133056345524148,0.06064032928588849,0.2675826370090967,0.0493442368842375,0.09543349819963294,0.04154883202513475,0.05810078127944688,0.22016644771270805,0.019759093514966793,0.06755771518221826,0.04494497523193086,0.024176983116991676,0.08688558573326186,0.15063097234960404,0.3524159287298844,0.4495099704534196,0.14471302840153305,0.03036617279864622,0.05169663674317684,0.009573806672459604,0.06449113496445627,0.054313499575978266,0.0624625724427746,0.2069026862933153,0.021667740566384465,0.36386116648575845,0.006648121807749564,0.023113583708679473,0.05947198515419423,0.03311841807131475,0.06492862114392511,0.010427807310077286,0.2574138456196214,0.24836104398484848,0.0037082807089708785,0.13971645776798472,0.005359812797124901,0.0442011823455562,0.030859070479904015,0.025700602095536894,0.29559140688825497,0.24335889466826108,0.005033853483070247,0.10796967018266883,0.0071629322100164265,0.04528342729927431,0.03823703567011881,0.002710666839801579,0.08138280589938464,0.29001180183145253,0.01470678416253821,0.01768555013885017,0.4943469079996288
Dare_Neural Posterior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2729140400236155,0.039600615601422334,0.11778319291430854,0.1365695926402542,0.1549333214125625,0.3008892661222933,0.026994073955596876,0.10339428709794948,0.017178181884789662,0.5536514660419708,0.012218417432837294,0.19713779455389008,0.03219537436908678,0.1556471742732304,0.10013483176930749,0.21671701140917915,0.25461381427731905,0.2613953402468027,0.2553796938272036,0.018506841746708472,0.10874195180792752,0.05148028343843895,0.059769874915716684,0.2230844509219771,0.2440448112446855,0.2229219643234545,0.33506939644002626,0.16343664840653166,0.014877278631964263,0.04301838439776125,0.005817230516099319,0.2744429980872915,0.23886655800978235,0.13643110238999243,0.25601721438781705,0.08077998739735479,0.15838170205851362,0.012473369386284652,0.010092325299002619,0.2023165447220348,0.2100620222138907,0.171413211377838,0.09063977114549251,0.2702758599028871,0.18271130351731268,0.002578513222938938,0.09366766858617874,0.005560885866325087,0.22419122601932134,0.12716654484295478,0.04404340718327311,0.2949532182910377,0.2040164240705249,0.00696012297644501,0.07313685255526181,0.008485049113648623,0.2671768846520311,0.06994238064577038,0.09673493527279237,0.2863450700776624,0.039866300107791706,0.39622613275209345,0.423051864020248,0.42309122152078943
Neve_NPC,0.055474133393932853,0.027367504877354197,0.0,0.022155717349913596,0.45838567047852213,0.1542895690019101,0.445605280859546,0.2729140400236155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0911568797557841,0.16679921070660095,0.03537112835314797,0.02678657072328357,0.011792393823112871,0.1307624141382552,0.3377216136663105,0.009005721559625807,0.034672238335405406,0.04207536410380257,0.021195121807297934,0.03851908605417094,0.261836939508637,0.3636592535587376,0.4288341836111195,0.20594852911954398,0.15131925195413948,0.03389754339502228,0.026945900282580044,0.004581312149828081,0.016057257707034388,0.055973470993724884,0.2795834262775102,0.020082282028502034,0.4104637702984344,0.004421260388229043,0.02878631245045309,0.0020071385162910367,0.016596089027666145,0.06371050807023482,0.03330166170293124,0.2958789463212586,0.280891040775451,0.00582517713689666,0.16141524810882601,0.030063076809312833,0.03588170496217135,0.03905735541001274,0.04451539018962544,0.2747113531201482,0.3584018389755826,0.004682342465498861,0.13266138986126585,0.02883489554568962,0.015200941712897145,0.04268698451252208,0.04582844874878684,0.10856578569865649,0.2793946303538729,0.003359484555834518,0.10182992272329228,0.3964027321936665
Neve_cnidocyte,0.02669471921076465,0.01939161514827443,0.00143267111584488,0.17641569135757676,0.09258632122097518,0.04925616996710251,0.03669154313545322,0.039600615601422334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7591714147673663,0.011832067099223324,0.0013878318898040269,0.0038682770000076847,0.02502536775153274,0.010458180770465248,0.003476651128184123,0.034064771432288574,0.013146371603496885,0.00820395264404251,0.002035104542184423,0.6516835292789837,0.011329591538703531,0.08407464495179374,0.05656497245399892,0.0030346388721987755,0.04059409097753898,0.0049712088814878866,0.012722755992452003,0.0,0.011719996630910924,0.03922969005162115,0.015183050277187096,0.0005972597397530464,0.15131194164521772,0.0008307578944141012,0.018420406768848742,9.990363370882956e-05,0.00029851741520350487,0.0012675541081240817,1.5262101458482346e-05,0.1111594807368057,0.04751723049171096,0.001611605113440409,0.030634882675665075,0.006857794807564444,0.03939666757210877,0.005567322822733619,0.003611239673385238,0.024086004898907894,0.07950703294218749,0.002108538064990773,0.05382851806414862,0.00507902507401538,0.001508801998294441,0.006606923864371448,0.0,0.02718414834527077,0.34195797661045646,0.0003413222787677896,0.0028805875066257197,0.19251251480812356
