,Clhe_Bioluminescent Cells,Clhe_Epidermal/Muscle,Clhe_Gastroderm,Clhe_Gland Cell,Clhe_Nematocyte,Clhe_Neural,Clhe_Stem Cell/Germ Cell,"Auco_CN, Cnidocytes/Nematocyte cell","Auco_EM, Epidermal/Muscle cell","Auco_GA, Gastrodermal cell","Auco_GL, Gland cell","Auco_HA, Hair cell","Auco_NE, Neural cell","Auco_SG, Stem/Germline cell",TrH1_epithelia,TrH1_epithelia_gland_like,TrH1_fibre,TrH1_gland,TrH1_lipophil,TrH1_meiotic,TrH1_peptidergic,TrH1_trans
Clhe_Bioluminescent Cells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05333704035808878,0.11324503510849723,0.2920397983011651,0.003828421941858305,0.0011934322315866421,0.009579440050847602,0.01197474723954899,0.04890831566180022,0.0032328027993261074,0.009206478866941837,0.006159173504793869,0.011645044994525313,0.0,0.00637376597586813,0.010596139015865858
Clhe_Epidermal/Muscle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020445755314204703,0.6655431300360617,0.01895282527145384,0.011343484736077426,0.017344536632731593,0.042937135015382155,0.09687189758052503,0.21598005537329765,0.10184453206280578,0.00946101794637314,0.02575989937685098,0.2925460771667499,0.006175728925178709,0.0215689416863641,0.10919237516170935
Clhe_Gastroderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005228885342946531,0.15805851580770117,0.6048420979600809,0.0278968983942051,0.011782955835311887,0.03290901834177194,0.10377846774623452,0.13465360238350055,0.04138166937571168,0.40885224460366043,0.09136163875916437,0.3147688350819183,0.014136661729005554,0.03514633724923157,0.16944577476202474
Clhe_Gland Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007131132860270591,0.07861355883493279,0.024662747734481655,0.7090003816072739,0.005207908096333509,0.027147381964803863,0.018663114557899575,0.09691960723346657,0.0958347976282387,0.009053398253535747,0.5983758702072668,0.0,0.005010089437110005,0.1182855411700191,0.112736304292903
Clhe_Nematocyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.709750646246356,0.01403276857923937,0.010762691657594418,0.004739448572801337,0.8018598239972243,0.028055084248241262,0.018537436953311427,0.17191792253109583,0.021212840425983596,0.06222944384825032,0.01292605981837656,0.0028732017954516413,0.15341710932176203,0.20365632655141513,0.06439913332500716
Clhe_Neural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01538699841555762,0.056455018060489894,0.013431775290772238,0.050695732434436425,0.009946300921348485,0.5819257826039649,0.16547483428939852,0.3079079616853169,0.2624013109451767,0.07744836694535681,0.02960168126952297,0.0019198295493000935,0.1440418543683898,0.12050072655252722,0.06309590865215306
Clhe_Stem Cell/Germ Cell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12875951541430797,0.2504735642210454,0.06275972048711845,0.038246872289771305,0.026948516446507937,0.18869735591339085,0.16483407545661707,0.3265605415166683,0.15693072815497655,0.15955776956312387,0.044772119708846696,0.005147054067263116,0.004252031027389025,0.07001053100433666,0.14211245911928833
"Auco_CN, Cnidocytes/Nematocyte cell",0.05333704035808878,0.020445755314204703,0.005228885342946531,0.007131132860270591,0.709750646246356,0.01538699841555762,0.12875951541430797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06333399446520116,0.02171936275787175,0.2949159689705257,0.03496988497768231,0.0007832164124882733,0.0004072603417253456,0.07044659297258678,0.03655153104461463
"Auco_EM, Epidermal/Muscle cell",0.11324503510849723,0.6655431300360617,0.15805851580770117,0.07861355883493279,0.01403276857923937,0.056455018060489894,0.2504735642210454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2879386699424084,0.22307192142345061,0.1500939145191403,0.04771781024885285,0.8997166034242812,0.03403598645034605,0.07010151294890773,0.31752916185381747
"Auco_GA, Gastrodermal cell",0.2920397983011651,0.01895282527145384,0.6048420979600809,0.024662747734481655,0.010762691657594418,0.013431775290772238,0.06275972048711845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2753410784608195,0.11297654535819483,0.02136221382409591,0.12470745554544863,0.0029534541332374683,0.006935913204140094,0.0327227997487584,0.07262378879139857
"Auco_GL, Gland cell",0.003828421941858305,0.011343484736077426,0.0278968983942051,0.7090003816072739,0.004739448572801337,0.050695732434436425,0.038246872289771305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15971810430410133,0.09414436510424395,0.0053538321924087775,0.5296161819375156,0.0035779956262667586,0.011169580854763862,0.2920724532468214,0.11253561924828326
"Auco_HA, Hair cell",0.0011934322315866421,0.017344536632731593,0.011782955835311887,0.005207908096333509,0.8018598239972243,0.009946300921348485,0.026948516446507937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44150699545674144,0.015466089398627281,0.01300228682337121,0.01341004253120369,0.003298289993580681,0.011373763609359443,0.013881808199322571,0.06402026011299841
"Auco_NE, Neural cell",0.009579440050847602,0.042937135015382155,0.03290901834177194,0.027147381964803863,0.028055084248241262,0.5819257826039649,0.18869735591339085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11240263744102588,0.013209294456123349,0.10539825417578019,0.023712702093785697,0.020344116612192036,0.18107494920158337,0.27704008335671837,0.0558948438264096
"Auco_SG, Stem/Germline cell",0.01197474723954899,0.09687189758052503,0.10377846774623452,0.018663114557899575,0.018537436953311427,0.16547483428939852,0.16483407545661707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315192815293435,0.20958160330345693,0.027534077009712672,0.06367132568191328,0.006805922076544882,0.15670693788745582,0.08318915866965401,0.03647789615722891
TrH1_epithelia,0.04890831566180022,0.21598005537329765,0.13465360238350055,0.09691960723346657,0.17191792253109583,0.3079079616853169,0.3265605415166683,0.06333399446520116,0.2879386699424084,0.2753410784608195,0.15971810430410133,0.44150699545674144,0.11240263744102588,0.315192815293435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_epithelia_gland_like,0.0032328027993261074,0.10184453206280578,0.04138166937571168,0.0958347976282387,0.021212840425983596,0.2624013109451767,0.15693072815497655,0.02171936275787175,0.22307192142345061,0.11297654535819483,0.09414436510424395,0.015466089398627281,0.013209294456123349,0.20958160330345693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_fibre,0.009206478866941837,0.00946101794637314,0.40885224460366043,0.009053398253535747,0.06222944384825032,0.07744836694535681,0.15955776956312387,0.2949159689705257,0.1500939145191403,0.02136221382409591,0.0053538321924087775,0.01300228682337121,0.10539825417578019,0.027534077009712672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_gland,0.006159173504793869,0.02575989937685098,0.09136163875916437,0.5983758702072668,0.01292605981837656,0.02960168126952297,0.044772119708846696,0.03496988497768231,0.04771781024885285,0.12470745554544863,0.5296161819375156,0.01341004253120369,0.023712702093785697,0.06367132568191328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_lipophil,0.011645044994525313,0.2925460771667499,0.3147688350819183,0.0,0.0028732017954516413,0.0019198295493000935,0.005147054067263116,0.0007832164124882733,0.8997166034242812,0.0029534541332374683,0.0035779956262667586,0.003298289993580681,0.020344116612192036,0.006805922076544882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_meiotic,0.0,0.006175728925178709,0.014136661729005554,0.005010089437110005,0.15341710932176203,0.1440418543683898,0.004252031027389025,0.0004072603417253456,0.03403598645034605,0.006935913204140094,0.011169580854763862,0.011373763609359443,0.18107494920158337,0.15670693788745582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_peptidergic,0.00637376597586813,0.0215689416863641,0.03514633724923157,0.1182855411700191,0.20365632655141513,0.12050072655252722,0.07001053100433666,0.07044659297258678,0.07010151294890773,0.0327227997487584,0.2920724532468214,0.013881808199322571,0.27704008335671837,0.08318915866965401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TrH1_trans,0.010596139015865858,0.10919237516170935,0.16944577476202474,0.112736304292903,0.06439913332500716,0.06309590865215306,0.14211245911928833,0.03655153104461463,0.31752916185381747,0.07262378879139857,0.11253561924828326,0.06402026011299841,0.0558948438264096,0.03647789615722891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
