,Sub_cell_type,Broad_cell_type
1_CELL1_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL2_N2,SG_3,"SG, Stem/Germline cell"
1_CELL6_N3,GA_4,"GA, Gastrodermal cell"
1_CELL7_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL8_N3,SG_1,"SG, Stem/Germline cell"
1_CELL10_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL11_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL15_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL17_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL19_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL20_N3,GA_2,"GA, Gastrodermal cell"
1_CELL23_N4,HA,"HA, Hair cell"
1_CELL25_N3,NE_1,"NE, Neural cell"
1_CELL29_N4,GA_2,"GA, Gastrodermal cell"
1_CELL31_N2,GA_1,"GA, Gastrodermal cell"
1_CELL32_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL33_N3,GA_2,"GA, Gastrodermal cell"
1_CELL37_N4,GA_2,"GA, Gastrodermal cell"
1_CELL38_N3,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL41_N1,GA_3,"GA, Gastrodermal cell"
1_CELL44_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL46_N2,GA_2,"GA, Gastrodermal cell"
1_CELL47_N5,EM_2,"EM, Epidermal/Muscle cell"
1_CELL48_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL52_N4,GA_1,"GA, Gastrodermal cell"
1_CELL56_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL60_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL61_N3,EM_1,"EM, Epidermal/Muscle cell"
1_CELL62_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL63_N3,EM_2,"EM, Epidermal/Muscle cell"
1_CELL69_N2,GA_5,"GA, Gastrodermal cell"
1_CELL72_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL74_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL76_N2,GA_2,"GA, Gastrodermal cell"
1_CELL77_N2,EM_1,"EM, Epidermal/Muscle cell"
1_CELL78_N2,GA_1,"GA, Gastrodermal cell"
1_CELL82_N3,HA,"HA, Hair cell"
1_CELL85_N2,SG_2,"SG, Stem/Germline cell"
1_CELL88_N3,NE_3,"NE, Neural cell"
1_CELL89_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL90_N3,GA_2,"GA, Gastrodermal cell"
1_CELL91_N3,GA_5,"GA, Gastrodermal cell"
1_CELL92_N2,CN_1,"CN, Cnidocytes/Nematocyte cell"
1_CELL100_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL101_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL102_N3,EM_3,"EM, Epidermal/Muscle cell"
1_CELL103_N4,EM_1,"EM, Epidermal/Muscle cell"
1_CELL105_N1,EM_1,"EM, Epidermal/Muscle cell"
1_CELL108_N4,EM_3,"EM, Epidermal/Muscle cell"
1_CELL116_N3,GA_4,"GA, Gastrodermal cell"
1_CELL117_N2,EM_2,"EM, Epidermal/Muscle cell"
1_CELL121_N4,EM_2,"EM, Epidermal/Muscle cell"
1_CELL124_N3,GA_1,"GA, Gastrodermal cell"
1_CELL125_N2,GA_1,"GA, Gastrodermal cell"
1_CELL126_N3,EM_3,"EM, Epidermal/Muscle cell"
