From	To
Q502K1	exog
Q90YW0	rpl9
P16092	Fgfr1
Q8IYB9	ZNF595
Q9HD45	TM9SF3
P0C026	NUDT24
P52875	Tmem165
Q9DER7	TLL1
Q8K248	Hpdl
P22182	fgfr1
F4HYR3	OSCA1.4
Q05D44	Eif5b
B5DFC9	Nid2
Q6AYU1	Morf4l1
Q8IZD9	DOCK3
Q6NTZ6	fut10
Q5U4T3	arhgap26
Q8VHQ9	Acot11
Q52T38	PAT24
P17560	RENBP
Q9JJ59	Abcb9
Q9Z1M8	Ik
O93308	smc1a
A4IIJ3	wwc1
Q6NYV5	sap30l
Q0P5F3	LIN7C
O02691	HSD17B10
Q9H788	SH2D4A
Q6AXQ2	Efcab11
Q8K2D6	Dctd
O80775	WDR55
O60879	DIAPH2
Q9VXB5	mRpL22
O95714	HERC2
A7Y2W8	slc6a9
Q8BJK1	Kctd7
O70283	Wnt2b
Q5RDJ0	TIMM10B
Q2ABP3	Pgap2
P40644	HMG1
Q01664	TFAP4
P41252	IARS1
Q8TEQ6	GEMIN5
Q9GKE7	CLCN5
Q8K2G4	Bbs7
Q6DG99	kctd6
Q5NU14	mkrn1
Q3UTQ8	Cdkl5
Q96DM3	RMC1
Q17RS7	GEN1
Q3KRG3	tsr2
A5PK46	PNLIPRP2
Q8I719	PKG
O97860	ACP5
Q922G0	Slc25a36
O95487	SEC24B
P23935	NDUFA5
Q8TEJ3	SH3RF3
Q9TTR7	NR2F2
Q9FKC8	At5g37990
O15067	PFAS
P46061	Rangap1
P54131	CHRNA7
Q6JHU9	Crebbp
P45481	Crebbp
E9PY46	Ift140
Q5EA62	FBLN5
Q6NTV6	inf2
A1L1R5	ptpdc1
Q0P451	coa5
A0A8I6A2H6	Micu3
Q9N1R6	SLC7A9
Q86UW6	N4BP2
P0CT34	Tf2-1
Q920B0	Frmd4b
O77457	AGAP002721
B3SBB5	TRIADDRAFT_38449
Q9Y256	RCE1
Q942L2	PDIL2-2
Q63245	Foxd3
Q12931	TRAP1
Q5T0T0	MARCHF8
O43280	TREH
Q108U9	TES
Q5HYK7	SH3D19
Q94BZ1	ZIFL1
Q99M87	Dnaja3
Q14517	FAT1
Q9BZE0	GLIS2
P57760	Stk16
P21675	TAF1
Q9FIV6	DEGP10
Q32M45	ANO4
Q9R085	Usp15
Q9UN86	G3BP2
Q7TT00	Supt20h
Q66HD5	Clip4
P12499	gag-pol
Q9Y673	ALG5
Q9D753	Exosc8
Q7Z628	NET1
Q9WV04	Kif9
Q3T0F2	TRAPPC2
Q32L31	HMGB3
Q5RFH3	NME2
Q8BU03	Pwp2
P21804	FGFR1
A7S6A1	v1g243165
Q9H3E2	SNX25
O54834	Arhgap6
O22943	STL1
Q9H7F4	TMEM185B
Q54KG1	ddx41
A6NNA5	DRGX
Q9CXV9	Dcun1d5
P11369	Pol
O15182	CETN3
P26630	pax6a
Q498H0	pds5b-a
Q9CZG3	Commd8
Q5T8P6	RBM26
Q91ZW3	Smarca5
Q28CH8	yipf6
Q69ZZ9	Macf1
Q52KU6	mtm1
Q5F3V3	PDS5A
Q9VJ79	Pde11
A0A1B0GTI8	TMEM272
A0A2B4SJA1	STING2
Q8VC30	Tkfc
Q90YQ1	rps23
Q2HXK8	fgf16
Q5ZKY2	ATG7
Q54I82	cda
Q2KID6	PLRG1
A2AKK5	Acnat1
Q9W4S1	CG12206
P13677	inaC
Q8BLH7	Hirip3
Q9V4C8	Hcf
Q2TBG8	UCHL3
A7SNN5	v1g246408
Q80VJ2	Sra1
Q5TZ07	plpp6
Q8CII2	Cdc123
Q9VLN1	Wdr82
Q8TD57	DNAH3
P83093	Stim2
Q7Z3S7	CACNA2D4
Q5R754	CDKL2
Q5F4B2	SWAP70
Q86TI0	TBC1D1
Q9NVM9	INTS13
F1QN74	zmynd10
B5LVL2	UFM1
Q3M6C3	Ava_3858
Q95SX7	RTase
Q6ZR37	PLEKHG7
Q99MK9	Rassf1
O88398	Avil
O75364	PITX3
Q91W89	Man2c1
E9Q6D6	Znf277
Q6PHZ5	Rbm15b
Q13887	KLF5
Q96LD1	SGCZ
Q9Z1J2	Nek4
P49596	ppm-2
Q8C4V1	Arhgap24
Q08874	Mitf
Q6L9W6	B4GALNT3
Q27802	DYH1B
Q6DG32	slc25a36a
Q6PBF6	gamt
Q9VQ37	Rim2
Q5SZK8	FREM2
P02552	TUBA1A
Q99JB0	Klf7
Q9Y619	SLC25A15
Q9BVK2	ALG8
Q9CX48	Zcchc10
Q6DIR5	tes
Q96NL6	SCLT1
Q90YH9	TES
Q05546	Tnr
Q9WTS8	Fcn1
Q9BXJ9	NAA15
Q14643	ITPR1
P0C6B8	Svep1
Q63073	Btg1
Q96CQ1	SLC25A36
P58368	ankhb
Q8N6M6	AOPEP
Q8IZS8	CACNA2D3
Q66GS9	CEP135
P70085	cyp17a1
Q8N1A6	C4orf33
Q9Y6H3	ATP23
O95671	ASMTL
P17012	Zfx
Q15485	FCN2
P28658	Atxn10
Q5SSI6	Utp18
Q6DC66	boka
Q96DY2	IQCD
Q6XUX0	DSTYK
Q6V0I7	FAT4
P15056	BRAF
Q8NB90	AFG2A
Q3ZCL5	ARFIP2
P98063	Bmp1
Q0C406	tnaA
O64411	MPAO1
B3RXR7	TRIADDRAFT_56304
P53992	SEC24C
Q6P5I8	yipf5
Q8R332	Nup58
P50851	LRBA
Q80YD6	Sergef
Q6NYJ3	terf2ip
Q9NQM4	DNAAF6
Q5RG49	aasdh
Q5M981	usp12-b
Q9QYM0	Abcc5
Q9P2J5	LARS1
Q5ZQU2	NPAS2
O15440	ABCC5
Q4R6K2	SLC30A1
P55112	nas-4
P0CF65	CRBN
Q5M823	Nudcd2
B0WYR6	WDY
Q8CH40	Nudt6
Q91WS2	Nlrp6
Q9Z1K8	Slc7a7
E9Q9F7	Ccdc146
Q9QXW9	Slc7a8
B0S5N4	plxna3
