"","BroadType","Species","CellCount"
"1","Cnidocytes","Auco",4081
"2","Epidermal/Muscle","Auco",11662
"3","Gland","Auco",8007
"4","Neural","Auco",4743
"5","Sensory","Auco",1736
"6","Stem/Germline","Auco",2431
"7","Unknow","Auco",0
"8","Cnidocytes","ClH23",0
"9","Epidermal/Muscle","ClH23",8141
"10","Gland","ClH23",5722
"11","Neural","ClH23",2053
"12","Sensory","ClH23",0
"13","Stem/Germline","ClH23",0
"14","Unknow","ClH23",1336
"15","Cnidocytes","Clhe",2819
"16","Epidermal/Muscle","Clhe",3254
"17","Gland","Clhe",3555
"18","Neural","Clhe",1387
"19","Sensory","Clhe",118
"20","Stem/Germline","Clhe",2540
"21","Unknow","Clhe",0
"22","Cnidocytes","Dare",0
"23","Epidermal/Muscle","Dare",10684
"24","Gland","Dare",0
"25","Neural","Dare",24005
"26","Sensory","Dare",0
"27","Stem/Germline","Dare",13
"28","Unknow","Dare",0
"29","Cnidocytes","HoH13",0
"30","Epidermal/Muscle","HoH13",9665
"31","Gland","HoH13",4488
"32","Neural","HoH13",3153
"33","Sensory","HoH13",0
"34","Stem/Germline","HoH13",0
"35","Unknow","HoH13",1217
"36","Cnidocytes","Neve",809
"37","Epidermal/Muscle","Neve",8922
"38","Gland","Neve",5201
"39","Neural","Neve",3007
"40","Sensory","Neve",0
"41","Stem/Germline","Neve",76
"42","Unknow","Neve",0
"43","Cnidocytes","Spla",0
"44","Epidermal/Muscle","Spla",923
"45","Gland","Spla",1751
"46","Neural","Spla",171
"47","Sensory","Spla",0
"48","Stem/Germline","Spla",2780
"49","Unknow","Spla",4481
"50","Cnidocytes","TrH1",0
"51","Epidermal/Muscle","TrH1",6068
"52","Gland","TrH1",3833
"53","Neural","TrH1",1836
"54","Sensory","TrH1",0
"55","Stem/Germline","TrH1",192
"56","Unknow","TrH1",1222
"57","Cnidocytes","TrH2",0
"58","Epidermal/Muscle","TrH2",7215
"59","Gland","TrH2",4329
"60","Neural","TrH2",1805
"61","Sensory","TrH2",0
"62","Stem/Germline","TrH2",881
"63","Unknow","TrH2",1474
