"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.56829311742895,0.631,0.311,0,"0","gene-evm.model.ptg000005l.236-1"
0,2.18054034851222,0.502,0.191,0,"0","gene-evm.model.ptg000005l.234#gene-evm.model.ptg000005l.234"
0,1.82332412142566,0.485,0.196,0,"0","XLOC-002227#GP2-MOUSE#Q9D733"
0,2.10266586195066,0.487,0.2,0,"0","XLOC-026196#CO6A6-HUMAN#A6NMZ7"
0,1.05650279288095,0.635,0.404,0,"0","XLOC-011026#XLOC-011026"
0,2.43550168630984,0.331,0.104,0,"0","XLOC-004173#DD3-DICDI#Q58A42"
0,0.918544034664659,0.771,0.548,0,"0","XLOC-022170#FSTL1-MACFA#Q9GKY0"
0,1.99163371715503,0.341,0.127,0,"0","XLOC-019741#XLOC-019741"
0,2.35678247615302,0.29,0.078,0,"0","gene-evm.model.ptg000002l.506"
0,2.01779406676157,0.349,0.138,0,"0","XLOC-026029#XLOC-026029"
0,2.39125312152415,0.302,0.104,0,"0","XLOC-019671#PLMN-MOUSE#P20918"
0,1.13275251207433,0.77,0.576,0,"0","XLOC-014522#NAPEP-RAT#Q769K2"
0,1.4912083888179,0.977,0.798,0,"0","XLOC-011477#XLOC-011477"
0,2.3309270527245,0.264,0.092,0,"0","XLOC-026552#MLE-BRAFL#Q17133"
0,1.01832345319527,0.932,0.765,0,"0","XLOC-016309#XLOC-016309"
0,2.37082699303465,0.212,0.058,0,"0","XLOC-015244#DD3-DICDI#Q58A42"
0,0.80924820568616,0.987,0.9,0,"0","novel-gene-chr12-6524#novel-gene-chr12-6524"
0,0.985060390514751,0.985,0.913,0,"0","XLOC-015220#XLOC-015220"
0,0.667864412254047,0.966,0.922,0,"0","XLOC-006777#TSN33-DANRE#Q5RH71"
0,0.687527822983376,0.998,0.978,0,"0","XLOC-016667#XLOC-016667"
0,1.82495025461314,0.999,0.993,0,"0","XLOC-014930#XLOC-014930"
0,0.636515041824017,1,1,0,"0","XLOC-018026#XLOC-018026"
8.80731800837674e-294,1.10310957119366,0.767,0.606,1.55678153116067e-289,"0","XLOC-011024#XLOC-011024"
7.83187933285744e-285,2.04507375521724,0.256,0.09,1.38436299087588e-280,"0","XLOC-021362#XLOC-021362"
2.0396567988356e-271,2.71214906026818,0.164,0.041,3.60529735762181e-267,"0","gene-evm.model.ptg000024l.547#gene-evm.model.ptg000024l.547"
3.597346148431e-250,1.63815098458412,0.325,0.146,6.35866905196664e-246,"0","XLOC-002848#XLOC-002848"
1.04728159690644e-234,1.16490744042687,0.496,0.298,1.85117495069183e-230,"0","XLOC-025473#FBN3-HUMAN#Q75N90"
2.66448284634595e-227,1.3641244515789,0.433,0.247,4.7097398792011e-223,"0","XLOC-011481#CALM-MACPY#Q40302"
3.041620613727e-217,0.258391438595735,1,1,5.37636859682384e-213,"0","XLOC-021262#FRIS-LYMST#P42577"
1.42260175840238e-215,1.45774920113025,0.323,0.155,2.51459086815205e-211,"0","XLOC-004368#CDPK3-PLAF7#Q9NJU9"
7.14584709989983e-213,0.861114268159455,0.587,0.395,1.26309993337829e-208,"0","XLOC-021604#XLOC-021604"
1.64659435386111e-209,2.5629760737148,0.122,0.029,2.9105201798849e-205,"0","XLOC-019670#CADN-ACRMI#B3EWZ3"
2.23434710989094e-209,0.255746745334485,0.965,0.913,3.94943195144322e-205,"0","XLOC-004424#ACT3-PODCA#P41113"
2.49689944622059e-189,1.75426588918283,0.205,0.079,4.41351946113952e-185,"0","XLOC-020303#FANCM-HUMAN#Q8IYD8"
1.18437247886552e-183,0.722870868694976,0.886,0.789,2.09349679364269e-179,"0","XLOC-016463#MACF1-MOUSE#Q9QXZ0"
2.26024278711353e-166,0.463859998852272,0.899,0.819,3.99520515050188e-162,"0","XLOC-021590#XLOC-021590"
7.62335636055188e-142,0.79245232938398,0.516,0.36,1.34750447029115e-137,"0","XLOC-004174#XLOC-004174"
2.79808017992924e-141,1.43001772341716,0.262,0.135,4.94588652604293e-137,"0","XLOC-020970#CO4A2-BOVIN#Q7SIB3"
2.52593754400954e-140,1.53422228729816,0.265,0.14,4.46484720279126e-136,"0","XLOC-004690#MYO1-CAEEL#P02567"
3.80552577123261e-136,1.98190919814869,0.156,0.061,6.72664735323077e-132,"0","gene-evm.model.ptg000004l.30#gene-evm.model.ptg000004l.30"
2.35025133658953e-134,1.41489728956586,0.214,0.1,4.15430426255564e-130,"0","XLOC-014969#XLOC-014969"
2.59611539470763e-134,1.98691810031955,0.108,0.033,4.5888935716852e-130,"0","XLOC-019744#XLOC-019744"
1.44179216977371e-133,1.01660134488444,0.335,0.194,2.54851183929202e-129,"0","XLOC-020069#XLOC-020069"
1.19813267956828e-127,0.703413278543722,0.562,0.423,2.11781932440489e-123,"0","XLOC-000295#NAS4-CAEEL#P55112"
7.19858013079168e-122,-4.0376232123382,0.044,0.162,1.27242102391874e-117,"0","XLOC-009944#XLOC-009944"
4.36411177575115e-118,0.280044225775547,0.777,0.668,7.71400397481773e-114,"0","XLOC-009553#SNX27-MOUSE#Q3UHD6"
9.03962048984698e-118,-3.60232030372844,0.055,0.174,1.59784331778535e-113,"0","XLOC-016301#XLOC-016301"
2.57285667835129e-117,0.527020992383111,0.676,0.54,4.54778146465374e-113,"0","XLOC-013459#CO3A1-RAT#P13941"
3.93693789381545e-113,1.72825996460653,0.121,0.044,6.95893142110819e-109,"0","XLOC-025506#XLOC-025506"
3.09042519667678e-112,1.08354176173035,0.27,0.15,5.46263557764588e-108,"0","XLOC-011584#CADN-ACRMI#B3EWZ3"
1.85816991694324e-111,0.410863803897155,0.826,0.705,3.28450114518888e-107,"0","XLOC-023877#XLOC-023877"
1.07709963333483e-110,-3.89685741324575,0.026,0.13,1.90388131188265e-106,"0","XLOC-013720#XLOC-013720"
8.54659483331494e-110,1.83787180057355,0.107,0.037,1.51069610273675e-105,"0","gene-evm.model.ptg000022l.198#GP2-MOUSE#Q9D733"
1.35450452743217e-109,1.06127729633575,0.413,0.291,2.39422220268911e-105,"0","XLOC-021945#DHH-MOUSE#Q61488"
2.79858157225038e-109,-1.48234424018841,0.083,0.215,4.94677278710978e-105,"0","XLOC-004026#IT70A-XENTR#A4IHR1"
3.97004299747854e-109,1.98336959402298,0.091,0.028,7.01744800234306e-105,"0","XLOC-011529#ADIPL-XENTR#A4IH36"
5.68865088188659e-109,1.53196576289505,0.154,0.066,1.00552592988227e-104,"0","gene-evm.model.ptg000005l.86#TSTA-TALSN#B8MKY6"
1.62401974983236e-107,-4.17503563569101,0.037,0.142,2.87061730980367e-103,"0","XLOC-016612#XLOC-016612"
