"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"04080","04080","Neuroactive ligand-receptor interaction","20/249","62/3163",0.32258064516129,4.09768104676772,7.19975126461892,1.80651214086667e-08,4.55241059498401e-06,3.72711978536703e-06,"K04812/K05194/K05195/K05193/K04157/K04258/K05052/K04166/K04218/K04221/K04605/K04607/K04608/K04809/K05181/K05208/K05196/K05051/K04240/K08375",20
"04925","04925","Aldosterone synthesis and secretion","14/249","34/3163",0.411764705882353,5.2305693361682,7.2488869508006,8.18743162081896e-08,1.03161638422319e-05,8.44598209305535e-06,"K05850/K04854/K04855/K04856/K04166/K02183/K08043/K08045/K08046/K04914/K04919/K08794/K04515/K06070",14
"05032","05032","Morphine addiction","13/249","31/3163",0.419354838709677,5.32698536079803,7.07605547000116,1.87459186424749e-07,1.57465716596789e-05,1.28919300137722e-05,"K04344/K04849/K15015/K04534/K04630/K13293/K08043/K08045/K08046/K05181/K13298/K18438/K00910",13
"04082","04082","Neuroactive ligand signaling","17/249","56/3163",0.303571428571429,3.85621055651176,6.30303094722753,5.98722448334389e-07,3.77195142450665e-05,3.08814736509316e-05,"K05195/K05193/K04157/K15015/K04534/K04630/K08043/K08045/K08046/K04605/K04607/K04608/K04809/K14387/K05181/K05208/K05196",17
"04020","04020","Calcium signaling pathway","20/249","80/3163",0.25,3.17570281124498,5.76094377484354,1.88843932796388e-06,7.04075066174733e-05,5.76435726692763e-05,"K05096/K05098/K04358/K05850/K04344/K04849/K04157/K04258/K04854/K04855/K04856/K04166/K02183/K08043/K04809/K05126/K08794/K05208/K04515/K06268",20
"04713","04713","Circadian entrainment","13/249","37/3163",0.351351351351351,4.46314989688484,6.19317707506017,2.10318222550061e-06,7.04075066174733e-05,5.76435726692763e-05,"K12319/K04534/K04630/K04854/K04855/K04856/K02183/K08043/K08045/K08046/K05208/K07376/K04515",13
"04921","04921","Oxytocin signaling pathway","17/249","61/3163",0.278688524590164,3.5401277240108,5.85511471063279,2.28518193144674e-06,7.04075066174733e-05,5.76435726692763e-05,"K12319/K04860/K04861/K04858/K04859/K04534/K04630/K04862/K04863/K04865/K02183/K08043/K08045/K08046/K08794/K04515/K06268",17
"04010","04010","MAPK signaling pathway","26/249","125/3163",0.208,2.64218473895582,5.47543926762404,2.38693174013237e-06,7.04075066174733e-05,5.76435726692763e-05,"K05096/K05098/K04358/K04860/K04861/K04858/K04859/K04344/K04849/K05466/K04854/K04855/K04856/K04862/K04863/K04865/K20216/K04458/K18018/K04377/K05126/K04420/K04421/K06268/K04349/K12326",26
"04261","04261","Adrenergic signaling in cardiomyocytes","15/249","49/3163",0.306122448979592,3.88861568723875,5.95613227343264,2.5145538077669e-06,7.04075066174733e-05,5.76435726692763e-05,"K04860/K04861/K04858/K04859/K05850/K04630/K04166/K04862/K04863/K04865/K02183/K08043/K08045/K08046/K04515",15
"04725","04725","Cholinergic synapse","12/249","36/3163",0.333333333333333,4.23427041499331,5.70426207657724,9.87435454258864e-06,0.000248833734473234,0.000203723525299724,"K04344/K04849/K04534/K04630/K08043/K08045/K08046/K04927/K04930/K04809/K14387/K04515",12
"00230","00230","Purine metabolism","16/249","63/3163",0.253968253968254,3.22611079237585,5.2164138050623,1.69777837089496e-05,0.00038894559042321,0.0003184349863114,"K12319/K01835/K15779/K13293/K01768/K08043/K08045/K08046/K01769/K13811/K13298/K18438/K01081/K19970/K19572/K01488",16
"04927","04927","Cortisol synthesis and secretion","9/249","23/3163",0.391304347826087,4.97066526977475,5.58596491802254,3.08143473101357e-05,0.000647101293512849,0.000529790532700578,"K04854/K04855/K04856/K04166/K08043/K08045/K08046/K04877/K04914",9
"04724","04724","Glutamatergic synapse","12/249","41/3163",0.292682926829268,3.71789597414046,5.11969562277393,4.35738147672683e-05,0.000844661640103969,0.000691535845699156,"K04344/K04534/K04630/K08043/K08045/K08046/K04605/K04607/K04608/K05208/K06268/K00910",12
"04934","04934","Cushing syndrome","16/249","68/3163",0.235294117647059,2.98889676352469,4.84587495635295,4.74762143671565e-05,0.000854571858608817,0.000699649474884412,"K04630/K04854/K04855/K04856/K04166/K02375/K08043/K08045/K08046/K04877/K04914/K02353/K13298/K06624/K04515/K17767",16
"04970","04970","Salivary secretion","10/249","30/3163",0.333333333333333,4.23427041499331,5.20226643240219,5.59202830005292e-05,0.00093946075440889,0.000769149155656401,"K12319/K05850/K13912/K02183/K08043/K08045/K08046/K04936/K10951/K07376",10
"04740","04740","Olfactory transduction","7/249","15/3163",0.466666666666667,5.92797858099063,5.59155900107966,6.40720208602443e-05,0.00100913432854885,0.00082619184793473,"K02183/K08043/K07376/K04515/K04949/K04950/K00910",7
"05207","05207","Chemical carcinogenesis - receptor activation","15/249","64/3163",0.234375,2.97722138554217,4.67057478773285,8.6385269098755e-05,0.0012805345772286,0.00104839088194155,"K04358/K04344/K04849/K08524/K08525/K08526/K04630/K14293/K08043/K08045/K08046/K06052/K04809/K04377/K17767",15
"04727","04727","GABAergic synapse","9/249","28/3163",0.321428571428571,4.08304647160069,4.78934526689326,0.000183238563175832,0.00256533988446164,0.00210027826798029,"K04344/K04849/K15015/K04534/K04630/K08043/K08045/K08046/K05181",9
"04924","04924","Renin secretion","8/249","23/3163",0.347826086956522,4.41836912868867,4.80899011434157,0.000228030521786383,0.00302338529528222,0.00247528620666381,"K12319/K04630/K04166/K02183/K08045/K08046/K04936/K06268",8
"05033","05033","Nicotine addiction","6/249","13/3163",0.461538461538462,5.8628359592215,5.13501659433632,0.000239951213911288,0.00302338529528222,0.00247528620666381,"K04344/K04849/K15015/K04809/K05181/K05208",6
"04971","04971","Gastric acid secretion","8/249","24/3163",0.333333333333333,4.23427041499331,4.6485994208597,0.000319070281309734,0.00382884337571681,0.0031347255707623,"K04630/K04218/K02183/K08043/K08045/K08046/K18245/K04515",8
"05414","05414","Dilated cardiomyopathy","10/249","37/3163",0.27027027027027,3.43319222837295,4.3512960098923,0.00039525614395729,0.00452747946714715,0.00370670833567603,"K04860/K04861/K04858/K04859/K04862/K04863/K04865/K08043/K08045/K08046",10
"04540","04540","Gap junction","9/249","32/3163",0.28125,3.5726656626506,4.27516260815476,0.000562155873255254,0.00615927304610104,0.00504267968686635,"K12319/K07374/K04157/K04630/K08043/K08045/K08046/K04420/K07376",9
"04270","04270","Vascular smooth muscle contraction","10/249","44/3163",0.227272727272727,2.88700255567725,3.68406235129602,0.00171994093606281,0.0174768042614167,0.0143084947169494,"K12319/K16343/K04166/K02183/K08043/K08045/K08046/K04936/K01047/K07376",10
"04024","04024","cAMP signaling pathway","14/249","75/3163",0.186666666666667,2.37119143239625,3.51257745451679,0.00173380994656912,0.0174768042614167,0.0143084947169494,"K05850/K04630/K13293/K04218/K04221/K02183/K08043/K08045/K08046/K18438/K05208/K04515/K04949/K04950",14
"04916","04916","Melanogenesis","9/249","39/3163",0.230769230769231,2.93141797961075,3.54722628151405,0.00260513106264901,0.0252497318379827,0.0206722950720326,"K04534/K04630/K02183/K02375/K08043/K08045/K08046/K02353/K04515",9
"04260","04260","Cardiac muscle contraction","7/249","27/3163",0.259259259259259,3.29332143388368,3.49779713573572,0.00388617244725217,0.0342669687018864,0.028054828176983,"K04860/K04861/K04858/K04859/K04862/K04863/K04865",7
"04750","04750","Inflammatory mediator regulation of TRP channels","7/249","27/3163",0.259259259259259,3.29332143388368,3.49779713573572,0.00388617244725217,0.0342669687018864,0.028054828176983,"K04157/K16343/K02183/K08043/K08045/K08046/K04515",7
"04726","04726","Serotonergic synapse","8/249","34/3163",0.235294117647059,2.98889676352469,3.40788358492239,0.00394342100140756,0.0342669687018864,0.028054828176983,"K04344/K04849/K04157/K04892/K04534/K04630/K08045/K05181",8
"04022","04022","cGMP-PKG signaling pathway","11/249","57/3163",0.192982456140351,2.45141971394349,3.23195683893854,0.00408627108732396,0.0343246771335213,0.0281020748461578,"K12319/K05850/K04630/K04166/K02183/K08043/K08045/K08046/K04936/K07376/K06268",11
"04745","04745","Phototransduction - fly","4/249","10/3163",0.4,5.08112449799197,3.77792812075646,0.00538420534205362,0.0437683789095972,0.0358337605107813,"K13807/K02183/K04515/K00910",4
"05412","05412","Arrhythmogenic right ventricular cardiomyopathy","7/249","29/3163",0.241379310344828,3.06619581775377,3.26705776748181,0.00596247802423769,0.0469545144408718,0.0384422925246904,"K04860/K04861/K04858/K04859/K04862/K04863/K04865",7
"05222","05222","Small cell lung cancer","8/249","40/3163",0.2,2.54056224899598,2.8658871657764,0.011065331774876,0.0805711839421166,0.0659647119993937,"K08524/K08525/K08526/K06240/K06241/K04377/K06624/K05636",8
"04911","04911","Insulin secretion","6/249","25/3163",0.24,3.04867469879518,3.0057466466315,0.0110730034811101,0.0805711839421166,0.0659647119993937,"K08043/K08045/K08046/K04936/K07882/K04515",6
"04742","04742","Taste transduction","4/249","12/3163",0.333333333333333,4.23427041499331,3.28079113063502,0.0111904422141829,0.0805711839421166,0.0659647119993937,"K04990/K04344/K08046/K04607",4
"04015","04015","Rap1 signaling pathway","12/249","74/3163",0.162162162162162,2.05991533702377,2.69658376076314,0.0116227303761236,0.0809613950791799,0.0662841831057613,"K05096/K05098/K04358/K04534/K04630/K05466/K02183/K08043/K08045/K08046/K05208/K06070",12
"05410","05410","Hypertrophic cardiomyopathy","7/249","33/3163",0.212121212121212,2.6945357186321,2.86003508919492,0.012450031723245,0.0809613950791799,0.0662841831057613,"K04860/K04861/K04858/K04859/K04862/K04863/K04865",7
"04072","04072","Phospholipase D signaling pathway","9/249","49/3163",0.183673469387755,2.33316941234325,2.74890612755803,0.0126257434573834,0.0809613950791799,0.0662841831057613,"K00889/K04166/K00901/K08043/K08045/K08046/K04605/K04607/K04608",9
"04972","04972","Pancreatic secretion","8/249","41/3163",0.195121951219512,2.47859731609364,2.7852310313105,0.0128393793230083,0.0809613950791799,0.0662841831057613,"K05850/K08043/K08045/K08046/K04936/K01047/K18245/K10951",8
"04814","04814","Motor proteins","12/249","75/3163",0.16,2.03244979919679,2.64482391145149,0.0128959341076045,0.0809613950791799,0.0662841831057613,"K07374/K16576/K10427/K10404/K10396/K10359/K21868/K16575/K11498/K10395/K10397/K10398",12
"04923","04923","Regulation of lipolysis in adipocytes","5/249","19/3163",0.263157894736842,3.3428450644684,2.99374588276669,0.01349356584653,0.0809613950791799,0.0662841831057613,"K04630/K08043/K08045/K08046/K07376",5
"05030","05030","Cocaine addiction","5/249","19/3163",0.263157894736842,3.3428450644684,2.99374588276669,0.01349356584653,0.0809613950791799,0.0662841831057613,"K04630/K08045/K04605/K11716/K05208",5
"05200","05200","Pathways in cancer","24/249","192/3163",0.125,1.58785140562249,2.45642032434294,0.0138988636370495,0.0814538055008485,0.0666873261410456,"K04358/K08524/K08525/K08526/K04258/K06240/K06241/K04630/K04166/K00510/K02183/K02375/K08043/K08045/K08046/K02599/K06052/K04377/K02353/K05126/K06624/K04515/K10053/K05636",24
"05216","05216","Thyroid cancer","5/249","20/3163",0.25,3.17570281124498,2.8528452398977,0.0168637919417626,0.0965835356664585,0.0790742397269251,"K08524/K08525/K08526/K04377/K05126",5
"04928","04928","Parathyroid hormone synthesis, secretion and action","8/249","44/3163",0.181818181818182,2.3096020445418,2.55678275207484,0.0194090090713004,0.108690450799282,0.0889863339877166,"K08524/K08525/K08526/K04630/K13293/K08043/K08045/K08046",8
"04728","04728","Dopaminergic synapse","8/249","45/3163",0.177777777777778,2.2582775546631,2.48473732427934,0.0220528779512658,0.120811418341717,0.0989099331452655,"K04344/K04849/K04534/K04630/K02183/K08045/K10396/K04515",8
"04070","04070","Phosphatidylinositol signaling system","7/249","37/3163",0.189189189189189,2.40323455986107,2.50941494472443,0.0229238825535219,0.122911029861437,0.100628913336849,"K00889/K00921/K00901/K01099/K02183/K21798/K01106",7
"05031","05031","Amphetamine addiction","5/249","22/3163",0.227272727272727,2.88700255567725,2.59588646007042,0.0251767886922034,0.132178140634068,0.108216021571752,"K02183/K08045/K05208/K04515/K06268",5
"04912","04912","GnRH signaling pathway","7/249","38/3163",0.184210526315789,2.33999154512788,2.42887227884841,0.0262781529180078,0.134426004980033,0.110056378346225,"K02183/K08043/K08045/K08046/K04420/K04421/K04515",7
"04976","04976","Bile secretion","6/249","30/3163",0.2,2.54056224899598,2.4779669745068,0.0266718263849271,0.134426004980033,0.110056378346225,"K08524/K08043/K08045/K08046/K09877/K18245",6
"04114","04114","Oocyte meiosis","8/249","47/3163",0.170212765957447,2.16218063744339,2.34617105573722,0.0280857447537257,0.138776621136057,0.113618286310222,"K02183/K08043/K08045/K08046/K04367/K04515/K06268/K02602",8
"04723","04723","Retrograde endocannabinoid signaling","9/249","57/3163",0.157894736842105,2.00570703868104,2.23946368538877,0.0319028607058507,0.154606171112969,0.126578151788396,"K04344/K04849/K15015/K04534/K04630/K08043/K08045/K08046/K05181",9
"04382","04382","Cornified envelope formation","5/249","24/3163",0.208333333333333,2.64641900937082,2.36638916089811,0.0357395203095698,0.169931304113426,0.13912504430339,"K01349/K06240/K18626/K05619/K00654",5
"04918","04918","Thyroid hormone synthesis","5/249","25/3163",0.2,2.54056224899598,2.26026114178594,0.0419061495166848,0.195562031077862,0.160109265209946,"K06233/K08043/K08045/K08046/K00432",5
"04081","04081","Hormone signaling","9/249","60/3163",0.15,1.90542168674699,2.0695287431169,0.0427078129382163,0.195679433826009,0.160205384418955,"K04534/K04630/K04166/K04218/K04221/K08043/K08045/K08046/K07376",9
"00500","00500","Starch and sucrose metabolism","4/249","18/3163",0.222222222222222,2.82284694332887,2.26679353124241,0.0476374675975871,0.214368604189142,0.175506459570058,"K01835/K11809/K15779/K00688",4
"05202","05202","Transcriptional misregulation in cancer","10/249","73/3163",0.136986301369863,1.7401111294493,1.86988525914921,0.0574497571983713,0.253988400245431,0.207943719499183,"K05096/K08524/K08525/K08526/K04377/K09431/K15592/K15593/K06624/K10053",10
"04730","04730","Long-term depression","5/249","28/3163",0.178571428571429,2.26835915088927,1.97032706188123,0.0640439133482509,0.278259761444125,0.227815009369459,"K12319/K04344/K04534/K04630/K07376",5
"01522","01522","Endocrine resistance","6/249","37/3163",0.162162162162162,2.05991533702377,1.89545458966848,0.0660738790941925,0.280191185799962,0.229396292467805,"K08043/K08045/K08046/K02599/K06052/K06624",6
"00480","00480","Glutathione metabolism","4/249","20/3163",0.2,2.54056224899598,2.02003033507108,0.066712187095229,0.280191185799962,0.229396292467805,"K18592/K00681/K00432/K05360",4
"04915","04915","Estrogen signaling pathway","6/249","38/3163",0.157894736842105,2.00570703868104,1.82294728334423,0.0735355777522271,0.303786321205922,0.248713947186135,"K04534/K04630/K02183/K08043/K08045/K08046",6
"05226","05226","Gastric cancer","8/249","57/3163",0.140350877192982,1.78285070104981,1.74321710861389,0.0752458781863155,0.305838085531476,0.250393754236296,"K04358/K08524/K08525/K08526/K02375/K04377/K02353/K06624",8
"04148","04148","Efferocytosis","8/249","59/3163",0.135593220338983,1.72241508406507,1.63714741855813,0.0883528103989246,0.353411241595699,0.289342536978935,"K19480/K19498/K19499/K14802/K08524/K16343/K17253/K04515",8
"00561","00561","Glycerolipid metabolism","4/249","23/3163",0.173913043478261,2.20918456434433,1.70109089961768,0.101579823306623,0.389335394827738,0.31875412442037,"K00901/K14457/K14458/K13506",4
