CellName,UMAP_1,UMAP_2
0-0-6,0.36488476,-10.612023
1-0-6,10.885002,-4.835852
2-0-6,9.06392,-1.5467315
6-0-6,0.32681152,-10.68248
7-0-6,7.669154,4.2314773
8-0-6,11.525715,-5.200564
12-0-6,0.39185214,-10.599618
13-0-6,11.715521,-5.7015486
14-0-6,9.207044,-5.1166544
18-0-6,0.33811527,-10.65279
19-0-6,9.032331,-4.0791097
20-0-6,9.386968,-4.1535745
25-0-6,10.11771,-5.517604
26-0-6,10.683272,-4.348615
30-0-6,0.37859195,-10.616966
31-0-6,8.099913,-2.0591493
32-0-6,8.921947,-4.305744
36-0-6,-2.974209,3.295247
37-0-6,10.401385,-4.9569273
43-0-6,4.5028906,7.9092765
48-0-6,-3.1813478,4.4722104
49-0-6,2.066947,2.050035
50-0-6,9.598448,-4.578695
54-0-6,-4.1779256,3.3863938
55-0-6,11.435488,-5.1191487
56-0-6,9.213079,-2.9419897
60-0-6,-3.7336779,4.727721
61-0-6,9.843464,-1.1991168
62-0-6,8.147763,-2.6176476
66-0-6,16.39229,3.7065527
67-0-6,8.004427,-4.2444487
68-0-6,9.603396,-5.3720555
72-0-6,3.3999321,4.6505394
73-0-6,19.332815,0.98506165
74-0-6,7.862613,-2.4226933
78-0-6,-3.3317719,2.7600467
79-0-6,8.463425,-3.4962444
80-0-6,9.99225,-4.753752
84-0-6,-3.9912663,5.014089
85-0-6,7.900888,-2.1466854
86-0-6,9.218651,-4.3010488
91-0-6,15.600729,12.16067
92-0-6,13.163832,-5.267829
96-0-6,3.6635401,1.6768715
97-0-6,8.928024,-0.90212184
98-0-6,9.426349,-3.9760158
102-0-6,-2.368312,2.6917367
103-0-6,10.323509,0.8566636
104-0-6,11.17606,-4.7378273
108-0-6,3.5706258,0.30699024
109-0-6,9.169841,-4.5522747
110-0-6,4.263296,7.9278364
114-0-6,-4.418679,3.8880312
115-0-6,9.906914,-5.407917
116-0-6,10.556051,-4.853202
120-0-6,-4.002168,4.5570683
121-0-6,8.6104355,8.10093
122-0-6,14.909656,11.883264
126-0-6,-2.4366136,2.674108
127-0-6,6.1697993,2.3750856
128-0-6,8.34242,-2.8989172
132-0-6,8.365598,-2.5483675
133-0-6,18.222029,-1.0343463
134-0-6,10.703482,-4.9322634
138-0-6,7.965249,-0.7312881
139-0-6,17.593113,-0.20368753
140-0-6,5.7249665,5.613961
144-0-6,7.6512737,0.37850168
145-0-6,7.152153,6.9061093
146-0-6,10.181267,-4.610332
150-0-6,-3.575138,4.3204074
152-0-6,16.913557,-2.0301108
