CellName,broad_cell_type,CellTypes
0-0-6,Mesoderm,Dare_Mesoderm
1-0-6,Neural Posterior,Dare_Neural Posterior
2-0-6,Neural Anterior,Dare_Neural Anterior
6-0-6,Mesoderm,Dare_Mesoderm
7-0-6,Neural Crest,Dare_Neural Crest
8-0-6,Neural Posterior,Dare_Neural Posterior
12-0-6,Mesoderm,Dare_Mesoderm
13-0-6,Neural Posterior,Dare_Neural Posterior
14-0-6,Neural Posterior,Dare_Neural Posterior
18-0-6,Mesoderm,Dare_Mesoderm
19-0-6,Neural Mid,Dare_Neural Mid
20-0-6,Neural Mid,Dare_Neural Mid
25-0-6,Neural Posterior,Dare_Neural Posterior
26-0-6,Neural Mid,Dare_Neural Mid
30-0-6,Mesoderm,Dare_Mesoderm
31-0-6,Neural Mid,Dare_Neural Mid
32-0-6,Neural Posterior,Dare_Neural Posterior
36-0-6,Mesoderm,Dare_Mesoderm
37-0-6,Neural Anterior,Dare_Neural Anterior
43-0-6,Mesoderm,Dare_Mesoderm
48-0-6,Mesoderm,Dare_Mesoderm
49-0-6,Epidermal,Dare_Epidermal
50-0-6,Neural Mid,Dare_Neural Mid
54-0-6,Mesoderm,Dare_Mesoderm
55-0-6,Neural Mid,Dare_Neural Mid
56-0-6,Neural Mid,Dare_Neural Mid
60-0-6,Mesoderm,Dare_Mesoderm
61-0-6,Neural Mid,Dare_Neural Mid
62-0-6,Neural Mid,Dare_Neural Mid
66-0-6,Mesoderm,Dare_Mesoderm
67-0-6,Neural Mid,Dare_Neural Mid
68-0-6,Neural Posterior,Dare_Neural Posterior
72-0-6,Neural Crest,Dare_Neural Crest
73-0-6,Neural Posterior,Dare_Neural Posterior
74-0-6,Neural Mid,Dare_Neural Mid
78-0-6,Mesoderm,Dare_Mesoderm
79-0-6,Neural Mid,Dare_Neural Mid
80-0-6,Neural Mid,Dare_Neural Mid
84-0-6,Mesoderm,Dare_Mesoderm
85-0-6,Neural Anterior,Dare_Neural Anterior
86-0-6,Neural Mid,Dare_Neural Mid
91-0-6,Mesoderm,Dare_Mesoderm
92-0-6,Neural Posterior,Dare_Neural Posterior
96-0-6,Epidermal,Dare_Epidermal
97-0-6,Neural Anterior,Dare_Neural Anterior
98-0-6,Neural Mid,Dare_Neural Mid
102-0-6,Mesoderm,Dare_Mesoderm
103-0-6,Neural Anterior,Dare_Neural Anterior
104-0-6,Neural Anterior,Dare_Neural Anterior
108-0-6,Epidermal,Dare_Epidermal
109-0-6,Neural Mid,Dare_Neural Mid
110-0-6,Mesoderm,Dare_Mesoderm
114-0-6,Mesoderm,Dare_Mesoderm
115-0-6,Neural Posterior,Dare_Neural Posterior
116-0-6,Neural Posterior,Dare_Neural Posterior
120-0-6,Mesoderm,Dare_Mesoderm
121-0-6,Mesoderm,Dare_Mesoderm
122-0-6,Mesoderm,Dare_Mesoderm
126-0-6,Mesoderm,Dare_Mesoderm
127-0-6,Epidermal,Dare_Epidermal
128-0-6,Neural Mid,Dare_Neural Mid
132-0-6,Neural Anterior,Dare_Neural Anterior
133-0-6,Neural Posterior,Dare_Neural Posterior
134-0-6,Neural Posterior,Dare_Neural Posterior
138-0-6,Neural Anterior,Dare_Neural Anterior
139-0-6,Neural Posterior,Dare_Neural Posterior
140-0-6,Mesoderm,Dare_Mesoderm
144-0-6,Neural Anterior,Dare_Neural Anterior
145-0-6,Mesoderm,Dare_Mesoderm
146-0-6,Neural Anterior,Dare_Neural Anterior
150-0-6,Mesoderm,Dare_Mesoderm
152-0-6,Neural Posterior,Dare_Neural Posterior
156-0-6,Neural Anterior,Dare_Neural Anterior
157-0-6,Neural Posterior,Dare_Neural Posterior
162-0-6,Mesoderm,Dare_Mesoderm
163-0-6,Neural Anterior,Dare_Neural Anterior
164-0-6,Neural Posterior,Dare_Neural Posterior
168-0-6,Epidermal,Dare_Epidermal
169-0-6,Neural Mid,Dare_Neural Mid
170-0-6,Neural Mid,Dare_Neural Mid
174-0-6,Neural Posterior,Dare_Neural Posterior
175-0-6,Neural Posterior,Dare_Neural Posterior
176-0-6,Neural Mid,Dare_Neural Mid
180-0-6,Mesoderm,Dare_Mesoderm
181-0-6,Neural Anterior,Dare_Neural Anterior
182-0-6,Neural Posterior,Dare_Neural Posterior
186-0-6,Mesoderm,Dare_Mesoderm
187-0-6,Neural Mid,Dare_Neural Mid
188-0-6,Neural Posterior,Dare_Neural Posterior
192-0-6,Mesoderm,Dare_Mesoderm
193-0-6,Mesoderm,Dare_Mesoderm
194-0-6,Neural Anterior,Dare_Neural Anterior
198-0-6,Mesoderm,Dare_Mesoderm
199-0-6,Neural Crest,Dare_Neural Crest
200-0-6,Neural Anterior,Dare_Neural Anterior
204-0-6,Epidermal,Dare_Epidermal
205-0-6,Neural Posterior,Dare_Neural Posterior
210-0-6,Mesoderm,Dare_Mesoderm
211-0-6,Neural Anterior,Dare_Neural Anterior
212-0-6,Neural Mid,Dare_Neural Mid
216-0-6,Neural Anterior,Dare_Neural Anterior
217-0-6,Neural Posterior,Dare_Neural Posterior
218-0-6,Neural Posterior,Dare_Neural Posterior
222-0-6,Neural Posterior,Dare_Neural Posterior
223-0-6,Mesoderm,Dare_Mesoderm
