source,target,weight,source_type,target_type
4989,14923,502869.2614666978,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,14923,-492985.7436932073,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,512,451469.51228663797,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,512,-438890.06348482106,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,15695,361880.66179343004,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,14923,-360651.579332292,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4202,15695,-351476.8723558964,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,12656,348112.59030093945,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,10104,346297.9079827544,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,28752,345277.1090030023,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,12656,-339086.72095404234,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,10104,-338253.0523799905,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,28752,-332065.9956165229,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,608,330254.41555018065,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,25771,322289.8422640699,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,13529,321607.00593844755,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,6264,321030.8518971718,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,608,-320577.9588072774,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4980,512,-320163.8623563742,"HA, Hair cell","CN, Cnidocytes/Nematocyte cell"
4989,4064,320104.9042507109,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,6264,-315407.20889459195,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,13529,-315302.5920550407,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,25771,-314175.81274980324,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,4064,-313448.08371168625,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,11684,305806.0764064932,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,25590,304977.4742941503,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,1484,303652.3669058496,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,7645,303404.98208159127,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,11684,-299019.2821192491,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,1484,-298700.99774517555,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,25590,-297496.9946159062,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
3591,14923,-297295.21839693707,"EM, Epidermal/Muscle cell","CN, Cnidocytes/Nematocyte cell"
4202,7645,-296448.8599080219,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,3144,295495.40410223644,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,27563,294185.98169913696,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,24781,292513.35480842623,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,17290,289331.89950660744,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,27563,-287138.78724928055,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,3144,-286426.52741601475,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,24781,-285508.1424409468,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,2033,283924.72307884257,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,9974,281200.93436945294,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,2703,279555.0375386765,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,18913,279126.55750126776,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,2033,-278679.1148040334,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,19862,278499.94763951836,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,9974,-275414.4847925757,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,17290,-275223.94630731025,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,2703,-275189.83582840866,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,29129,274215.79064703564,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4989,26346,273743.62194904557,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,18913,-271747.38220613,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,19862,-271515.0656015615,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,29129,-269384.5912603784,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
4202,26346,-268368.539558529,"GA, Gastrodermal cell","CN, Cnidocytes/Nematocyte cell"
