"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0015629","GO:0015629","actin cytoskeleton","33/337","187/6213",0.176470588235294,3.25344737301449,7.49278791585213,9.88608292709833e-10,4.62866402646744e-06,4.04913143887785e-06,"gene-evm.model.ptg000006l.277#gene-evm.model.ptg000006l.277/XLOC-026007#TPM1-PODCA#P41114/XLOC-004696#MYS-ARGIR#P24733/XLOC-005034#RAC1-BOVIN#P62998/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-012372#PDLI5-RAT#Q62920/XLOC-005718#MOES-BOVIN#Q2HJ49/gene-evm.model.ptg000001l.804#TM10A-RAT#Q4KLI2/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-011434#CALM-METSE#Q95NR9/XLOC-018113#MYL6B-HUMAN#P14649/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/novel-gene-chr19-3108#TAGL-CHICK#P19966/gene-evm.model.ptg000007l.633#SYTC-MOUSE#Q9D0R2/XLOC-005651#MYPH-ECHGR#Q24799/XLOC-019701#CANB-DROME#Q9VT65/gene-evm.model.ptg000006l.168-1#SRC8-CHICK#Q01406/XLOC-026621#DBNL-BOVIN#A6H7G2/XLOC-004690#MYO1-CAEEL#P02567/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-014937#SVIL-BOVIN#O46385/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-020177#COFI-GIBZE#Q4I963/XLOC-009638#SRBS2-RAT#O35413/XLOC-005395#WASF3-MOUSE#Q8VHI6/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/XLOC-001529#SEPT6-MOUSE#Q9R1T4/XLOC-019663#ENAH-HUMAN#Q8N8S7/XLOC-002591#DHX9-XENLA#Q68FK8",33
"GO:0030029","GO:0030029","actin filament-based process","42/337","317/6213",0.132492113564669,2.44265133999195,6.31396336312865,3.92367414157149e-08,9.18532116541886e-05,8.03527162360772e-05,"XLOC-002759#POMT1-DANRE#F1QF89/XLOC-025643#TRIM2-HUMAN#Q9C040/gene-evm.model.ptg000006l.277#gene-evm.model.ptg000006l.277/XLOC-003535#CALR-DROME#P29413/XLOC-012470#BICC1-HUMAN#Q9H694/XLOC-026007#TPM1-PODCA#P41114/XLOC-021601#AT1A-HYDVU#P35317/XLOC-004696#MYS-ARGIR#P24733/XLOC-015276#SDCB1-HUMAN#O00560/XLOC-027062#GELS1-LUMTE#Q7JQD3/XLOC-008984#SDA1-NEMVE#A7S6A5/XLOC-005034#RAC1-BOVIN#P62998/XLOC-014975#RHO-APLCA#P01122/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-014724#ENPL-MOUSE#P08113/XLOC-012372#PDLI5-RAT#Q62920/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-011434#CALM-METSE#Q95NR9/XLOC-018113#MYL6B-HUMAN#P14649/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-008927#RB11A-CHICK#Q5ZJN2/gene-evm.model.ptg000024l.817#CAP1-BOVIN#Q3SYV4/gene-evm.model.ptg000006l.168-1#SRC8-CHICK#Q01406/XLOC-023861#CLH1-BOVIN#P49951/XLOC-026889#CTNA2-PONAB#Q5R416/XLOC-021310#ITB1-CHICK#P07228/XLOC-004690#MYO1-CAEEL#P02567/XLOC-005091#SYTL4-HUMAN#Q96C24/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-026342#XLOC-026342/XLOC-020177#COFI-GIBZE#Q4I963/XLOC-009638#SRBS2-RAT#O35413/XLOC-005395#WASF3-MOUSE#Q8VHI6/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/XLOC-011369#CDC42-DROPS#Q29HY3/XLOC-019663#ENAH-HUMAN#Q8N8S7",42
"GO:0007015","GO:0007015","actin filament organization","21/337","106/6213",0.19811320754717,3.65245506970494,6.59594140749727,1.63792775007404e-07,0.000205374822489907,0.000179660836419035,"XLOC-026007#TPM1-PODCA#P41114/XLOC-004696#MYS-ARGIR#P24733/XLOC-027062#GELS1-LUMTE#Q7JQD3/XLOC-005034#RAC1-BOVIN#P62998/XLOC-014975#RHO-APLCA#P01122/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-014724#ENPL-MOUSE#P08113/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-021310#ITB1-CHICK#P07228/XLOC-005091#SYTL4-HUMAN#Q96C24/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-020177#COFI-GIBZE#Q4I963/XLOC-009638#SRBS2-RAT#O35413/XLOC-005395#WASF3-MOUSE#Q8VHI6/XLOC-006765#ARP3A-XENLA#Q801P7/XLOC-011369#CDC42-DROPS#Q29HY3/XLOC-019663#ENAH-HUMAN#Q8N8S7",21
"GO:0030036","GO:0030036","actin cytoskeleton organization","36/337","263/6213",0.136882129277567,2.52358655549413,6.04611360866279,1.7545905381453e-07,0.000205374822489907,0.000179660836419035,"XLOC-002759#POMT1-DANRE#F1QF89/XLOC-025643#TRIM2-HUMAN#Q9C040/XLOC-003535#CALR-DROME#P29413/XLOC-012470#BICC1-HUMAN#Q9H694/XLOC-026007#TPM1-PODCA#P41114/XLOC-004696#MYS-ARGIR#P24733/XLOC-015276#SDCB1-HUMAN#O00560/XLOC-027062#GELS1-LUMTE#Q7JQD3/XLOC-008984#SDA1-NEMVE#A7S6A5/XLOC-005034#RAC1-BOVIN#P62998/XLOC-014975#RHO-APLCA#P01122/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-014724#ENPL-MOUSE#P08113/XLOC-012372#PDLI5-RAT#Q62920/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-008927#RB11A-CHICK#Q5ZJN2/gene-evm.model.ptg000024l.817#CAP1-BOVIN#Q3SYV4/gene-evm.model.ptg000006l.168-1#SRC8-CHICK#Q01406/XLOC-023861#CLH1-BOVIN#P49951/XLOC-021310#ITB1-CHICK#P07228/XLOC-004690#MYO1-CAEEL#P02567/XLOC-005091#SYTL4-HUMAN#Q96C24/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-020177#COFI-GIBZE#Q4I963/XLOC-009638#SRBS2-RAT#O35413/XLOC-005395#WASF3-MOUSE#Q8VHI6/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/XLOC-011369#CDC42-DROPS#Q29HY3/XLOC-019663#ENAH-HUMAN#Q8N8S7",36
"GO:0003779","GO:0003779","actin binding","23/337","129/6213",0.178294573643411,3.28707473604306,6.2859422880166,3.14963202885634e-07,0.000261722641487604,0.000228953618118273,"XLOC-026007#TPM1-PODCA#P41114/XLOC-004696#MYS-ARGIR#P24733/XLOC-027062#GELS1-LUMTE#Q7JQD3/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-012372#PDLI5-RAT#Q62920/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-022248#XLOC-022248/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-024651#CLIP1-CHICK#O42184/novel-gene-chr19-3108#TAGL-CHICK#P19966/XLOC-026621#DBNL-BOVIN#A6H7G2/XLOC-026889#CTNA2-PONAB#Q5R416/XLOC-021310#ITB1-CHICK#P07228/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-014937#SVIL-BOVIN#O46385/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-026342#XLOC-026342/XLOC-020177#COFI-GIBZE#Q4I963/XLOC-009638#SRBS2-RAT#O35413/XLOC-005395#WASF3-MOUSE#Q8VHI6/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-019663#ENAH-HUMAN#Q8N8S7",23
"GO:0030141","GO:0030141","secretory granule","45/337","379/6213",0.118733509234828,2.18899493435012,5.72013366577811,3.35398515362158e-07,0.000261722641487604,0.000228953618118273,"XLOC-002759#POMT1-DANRE#F1QF89/XLOC-025964#NEC1-HUMAN#P29120/XLOC-013342#HSP7C-BOVIN#P19120/XLOC-020695#ARSB-RAT#P50430/XLOC-013954#HPSE-HUMAN#Q9Y251/XLOC-004873#FUCO-BRAFL#C3YWU0/XLOC-003535#CALR-DROME#P29413/gene-evm.model.ptg000005l.845#G3P-PELSI#Q5R2J2/XLOC-015276#SDCB1-HUMAN#O00560/XLOC-013069#SORCN-HUMAN#P30626/XLOC-025167#PDIA3-CHICK#Q8JG64/XLOC-014975#RHO-APLCA#P01122/XLOC-012881#ARPC2-BOVIN#Q3MHR7/gene-evm.model.ptg000006l.109#TCPB-BOVIN#Q3ZBH0/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-022248#XLOC-022248/XLOC-008975#MGST1-MOUSE#Q91VS7/gene-evm.model.ptg000012l.875#IMB1-HUMAN#Q14974/XLOC-020919#PSMD1-MOUSE#Q3TXS7/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-008927#RB11A-CHICK#Q5ZJN2/XLOC-023399#CSK21-BOVIN#P68399/gene-evm.model.ptg000001l.734#PRS6A-HUMAN#P17980/XLOC-008051#ILF2-XENTR#Q6P8G1/XLOC-026621#DBNL-BOVIN#A6H7G2/XLOC-023861#CLH1-BOVIN#P49951/XLOC-025569#SH3G1-CHICK#Q8AXV0/XLOC-026889#CTNA2-PONAB#Q5R416/XLOC-021310#ITB1-CHICK#P07228/XLOC-005091#SYTL4-HUMAN#Q96C24/gene-evm.model.ptg000004l.110#SODC-ONCVO#P24706/XLOC-002515#SPTN1-RAT#P16086/gene-evm.model.ptg000005l.292-1#AP2M1-CHICK#Q5ZMP6/XLOC-019672#PLMN-MACMU#P12545/XLOC-026342#XLOC-026342/XLOC-001854#BPI-SEBSC#A0A481NSZ4/XLOC-000372#IMDH3-DANRE#Q5RGV1/XLOC-004386#PSD12-MOUSE#Q9D8W5/gene-evm.model.ptg000011l.157#AP1M1-BOVIN#Q2KJ81/XLOC-023693#TRLF-DESRO#K9IMD0/XLOC-021454#SPB3-HUMAN#P29508/gene-evm.model.ptg000003l.254#ATG7-CHICK#Q5ZKY2/XLOC-003402#FA8-CANLF#O18806/XLOC-011369#CDC42-DROPS#Q29HY3/XLOC-012843#PSMD2-PONAB#Q5R9I6",45
"GO:0099081","GO:0099081","supramolecular polymer","37/337","289/6213",0.1280276816609,2.36034417257914,5.67126547592351,6.50947619582394e-07,0.000380967094360596,0.000333268051025671,"XLOC-013342#HSP7C-BOVIN#P19120/XLOC-025643#TRIM2-HUMAN#Q9C040/XLOC-026007#TPM1-PODCA#P41114/gene-evm.model.ptg000005l.845#G3P-PELSI#Q5R2J2/XLOC-004696#MYS-ARGIR#P24733/XLOC-013069#SORCN-HUMAN#P30626/XLOC-006908#CTNB-URECA#P35224/XLOC-005034#RAC1-BOVIN#P62998/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-024271#ALF1-LETCA#P53445/XLOC-012372#PDLI5-RAT#Q62920/gene-evm.model.ptg000006l.109#TCPB-BOVIN#Q3ZBH0/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-024651#CLIP1-CHICK#O42184/novel-gene-chr19-3108#TAGL-CHICK#P19966/XLOC-025577#TCPG-XENLA#P50143/XLOC-005651#MYPH-ECHGR#Q24799/XLOC-023861#CLH1-BOVIN#P49951/XLOC-021310#ITB1-CHICK#P07228/XLOC-004690#MYO1-CAEEL#P02567/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022476#SQSTM-RAT#O08623/XLOC-015079#SLMAP-RABIT#Q28623/XLOC-025395#F16P2-BOVIN#Q2KJJ9/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-014937#SVIL-BOVIN#O46385/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-003462#CC14A-HUMAN#Q9UNH5/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/gene-evm.model.ptg000022l.594#KAD5-MOUSE#Q920P5/gene-evm.model.ptg000014l.155#MNS1-XENTR#A4IJ21/XLOC-014425#DCI2A-DANRE#E7F6H7",37
"GO:0099512","GO:0099512","supramolecular fiber","37/337","289/6213",0.1280276816609,2.36034417257914,5.67126547592351,6.50947619582394e-07,0.000380967094360596,0.000333268051025671,"XLOC-013342#HSP7C-BOVIN#P19120/XLOC-025643#TRIM2-HUMAN#Q9C040/XLOC-026007#TPM1-PODCA#P41114/gene-evm.model.ptg000005l.845#G3P-PELSI#Q5R2J2/XLOC-004696#MYS-ARGIR#P24733/XLOC-013069#SORCN-HUMAN#P30626/XLOC-006908#CTNB-URECA#P35224/XLOC-005034#RAC1-BOVIN#P62998/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-024271#ALF1-LETCA#P53445/XLOC-012372#PDLI5-RAT#Q62920/gene-evm.model.ptg000006l.109#TCPB-BOVIN#Q3ZBH0/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-024651#CLIP1-CHICK#O42184/novel-gene-chr19-3108#TAGL-CHICK#P19966/XLOC-025577#TCPG-XENLA#P50143/XLOC-005651#MYPH-ECHGR#Q24799/XLOC-023861#CLH1-BOVIN#P49951/XLOC-021310#ITB1-CHICK#P07228/XLOC-004690#MYO1-CAEEL#P02567/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022476#SQSTM-RAT#O08623/XLOC-015079#SLMAP-RABIT#Q28623/XLOC-025395#F16P2-BOVIN#Q2KJJ9/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-014937#SVIL-BOVIN#O46385/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-003462#CC14A-HUMAN#Q9UNH5/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/gene-evm.model.ptg000022l.594#KAD5-MOUSE#Q920P5/gene-evm.model.ptg000014l.155#MNS1-XENTR#A4IJ21/XLOC-014425#DCI2A-DANRE#E7F6H7",37
"GO:0099080","GO:0099080","supramolecular complex","37/337","293/6213",0.126279863481229,2.32812104394325,5.57699680033023,9.17957138110622e-07,0.000477541702292659,0.000417751020396307,"XLOC-013342#HSP7C-BOVIN#P19120/XLOC-025643#TRIM2-HUMAN#Q9C040/XLOC-026007#TPM1-PODCA#P41114/gene-evm.model.ptg000005l.845#G3P-PELSI#Q5R2J2/XLOC-004696#MYS-ARGIR#P24733/XLOC-013069#SORCN-HUMAN#P30626/XLOC-006908#CTNB-URECA#P35224/XLOC-005034#RAC1-BOVIN#P62998/XLOC-012881#ARPC2-BOVIN#Q3MHR7/XLOC-024271#ALF1-LETCA#P53445/XLOC-012372#PDLI5-RAT#Q62920/gene-evm.model.ptg000006l.109#TCPB-BOVIN#Q3ZBH0/XLOC-005718#MOES-BOVIN#Q2HJ49/XLOC-009889#CSRP1-MOUSE#P97315/XLOC-004946#MYH10-BOVIN#Q27991/XLOC-019910#ARP2A-DANRE#Q7SXW6/XLOC-024651#CLIP1-CHICK#O42184/novel-gene-chr19-3108#TAGL-CHICK#P19966/XLOC-025577#TCPG-XENLA#P50143/XLOC-005651#MYPH-ECHGR#Q24799/XLOC-023861#CLH1-BOVIN#P49951/XLOC-021310#ITB1-CHICK#P07228/XLOC-004690#MYO1-CAEEL#P02567/XLOC-026848#WDR1-XENTR#Q6DIF4/XLOC-022476#SQSTM-RAT#O08623/XLOC-015079#SLMAP-RABIT#Q28623/XLOC-025395#F16P2-BOVIN#Q2KJJ9/XLOC-022310#CARL1-MOUSE#Q6EDY6/XLOC-014937#SVIL-BOVIN#O46385/XLOC-002515#SPTN1-RAT#P16086/XLOC-024954#COR1C-HUMAN#Q9ULV4/XLOC-003462#CC14A-HUMAN#Q9UNH5/XLOC-024854#MY18A-HUMAN#Q92614/XLOC-006765#ARP3A-XENLA#Q801P7/gene-evm.model.ptg000022l.594#KAD5-MOUSE#Q920P5/gene-evm.model.ptg000014l.155#MNS1-XENTR#A4IJ21/XLOC-014425#DCI2A-DANRE#E7F6H7",37
"GO:0060205","GO:0060205","cytoplasmic vesicle lumen","26/337","171/6213",0.152046783625731,2.80316518298714,5.72575799528832,1.34048300969642e-06,0.000627614145139862,0.000549033620076711,"XLOC-025964#NEC1-HUMAN#P29120/XLOC-013342#HSP7C-BOVIN#P19120/XLOC-020695#ARSB-RAT#P50430/XLOC-013954#HPSE-HUMAN#Q9Y251/XLOC-004873#FUCO-BRAFL#C3YWU0/XLOC-003535#CALR-DROME#P29413/XLOC-015276#SDCB1-HUMAN#O00560/XLOC-013069#SORCN-HUMAN#P30626/XLOC-014724#ENPL-MOUSE#P08113/gene-evm.model.ptg000006l.109#TCPB-BOVIN#Q3ZBH0/XLOC-022248#XLOC-022248/gene-evm.model.ptg000012l.875#IMB1-HUMAN#Q14974/XLOC-020919#PSMD1-MOUSE#Q3TXS7/XLOC-019910#ARP2A-DANRE#Q7SXW6/gene-evm.model.ptg000001l.734#PRS6A-HUMAN#P17980/XLOC-008051#ILF2-XENTR#Q6P8G1/XLOC-026621#DBNL-BOVIN#A6H7G2/XLOC-002515#SPTN1-RAT#P16086/XLOC-019672#PLMN-MACMU#P12545/XLOC-001854#BPI-SEBSC#A0A481NSZ4/XLOC-000372#IMDH3-DANRE#Q5RGV1/XLOC-022080#HYOU1-CHICK#Q5ZLK7/XLOC-004386#PSD12-MOUSE#Q9D8W5/gene-evm.model.ptg000003l.254#ATG7-CHICK#Q5ZKY2/XLOC-003402#FA8-CANLF#O18806/XLOC-012843#PSMD2-PONAB#Q5R9I6",26
