#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
Tadh-TriadG51254	10228.TriadP51254	7.53e-109	319.0	COG4886@1|root,KOG0619@2759|Eukaryota	2759|Eukaryota	U	regulation of response to stimulus	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8
Tadh-wf-g5	10228.TriadP55268	2.64e-26	104.0	2D45I@1|root,2STZ8@2759|Eukaryota,3APIJ@33154|Opisthokonta,3C363@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-wf-g6	10228.TriadP55268	1.52e-31	120.0	2D45I@1|root,2STZ8@2759|Eukaryota,3APIJ@33154|Opisthokonta,3C363@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51257	10228.TriadP63826	6.78e-76	237.0	2D45I@1|root,2STZ8@2759|Eukaryota,3APIJ@33154|Opisthokonta,3C363@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Tadh-TriadG51258	10228.TriadP51258	0.0	1057.0	28PKK@1|root,2QW8S@2759|Eukaryota,39RM7@33154|Opisthokonta,3BDXW@33208|Metazoa	33208|Metazoa	S	chromatin organization	RSF1	GO:0000228,GO:0000785,GO:0000790,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0005700,GO:0005705,GO:0006139,GO:0006323,GO:0006325,GO:0006333,GO:0006334,GO:0006336,GO:0006338,GO:0006342,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009890,GO:0009891,GO:0009892,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010558,GO:0010604,GO:0010605,GO:0010628,GO:0010629,GO:0016043,GO:0016070,GO:0016458,GO:0016584,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022607,GO:0031010,GO:0031055,GO:0031213,GO:0031323,GO:0031324,GO:0031325,GO:0031326,GO:0031327,GO:0031328,GO:0031497,GO:0031974,GO:0031981,GO:0032774,GO:0032991,GO:0034080,GO:0034401,GO:0034508,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0034724,GO:0034728,GO:0040029,GO:0042393,GO:0043044,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043392,GO:0043486,GO:0043900,GO:0043902,GO:0043903,GO:0043933,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044454,GO:0044464,GO:0045814,GO:0045892,GO:0045893,GO:0045934,GO:0045935,GO:0046483,GO:0046782,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048524,GO:0050434,GO:0050789,GO:0050792,GO:0050794,GO:0051098,GO:0051100,GO:0051101,GO:0051171,GO:0051172,GO:0051173,GO:0051252,GO:0051253,GO:0051254,GO:0051276,GO:0060255,GO:0061641,GO:0065003,GO:0065004,GO:0065007,GO:0065009,GO:0070013,GO:0070603,GO:0070828,GO:0070868,GO:0071103,GO:0071704,GO:0071824,GO:0071840,GO:0080090,GO:0090304,GO:0097549,GO:0097659,GO:0098687,GO:1901360,GO:1901362,GO:1901576,GO:1902494,GO:1902679,GO:1902680,GO:1903506,GO:1903507,GO:1903508,GO:1904949,GO:2000112,GO:2000113,GO:2001141	-	ko:K11657	-	-	-	-	ko00000,ko03036	-	-	-	PHD,WHIM1
Tadh-TriadG18229	10228.TriadP18229	2.49e-196	545.0	KOG2087@1|root,KOG2087@2759|Eukaryota,38CC3@33154|Opisthokonta,3BCC2@33208|Metazoa	33208|Metazoa	T	G-protein coupled receptor activity	RXFP1	GO:0000003,GO:0001556,GO:0001653,GO:0003006,GO:0003674,GO:0004888,GO:0004930,GO:0005488,GO:0005515,GO:0005520,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0007154,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007189,GO:0007190,GO:0007193,GO:0007218,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007548,GO:0007567,GO:0008150,GO:0008188,GO:0008285,GO:0008406,GO:0008528,GO:0008584,GO:0009653,GO:0009719,GO:0009725,GO:0009755,GO:0009888,GO:0009966,GO:0009967,GO:0009987,GO:0009994,GO:0010033,GO:0010646,GO:0010647,GO:0010941,GO:0016020,GO:0016021,GO:0016043,GO:0016500,GO:0017046,GO:0019838,GO:0019932,GO:0019933,GO:0019935,GO:0019953,GO:0021700,GO:0022412,GO:0022414,GO:0023051,GO:0023052,GO:0023056,GO:0030154,GO:0030198,GO:0030323,GO:0030324,GO:0030879,GO:0031224,GO:0031226,GO:0032501,GO:0032502,GO:0032504,GO:0032870,GO:0033218,GO:0035295,GO:0035556,GO:0038023,GO:0040008,GO:0042127,GO:0042221,GO:0042277,GO:0042562,GO:0042981,GO:0043062,GO:0043066,GO:0043067,GO:0043069,GO:0043949,GO:0043950,GO:0044425,GO:0044459,GO:0044464,GO:0044703,GO:0044706,GO:0045137,GO:0045926,GO:0046546,GO:0046661,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048580,GO:0048581,GO:0048583,GO:0048584,GO:0048599,GO:0048608,GO:0048609,GO:0048638,GO:0048640,GO:0048731,GO:0048732,GO:0048856,GO:0048869,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051239,GO:0051241,GO:0051704,GO:0051716,GO:0060089,GO:0060427,GO:0060541,GO:0060548,GO:0060618,GO:0060658,GO:0061448,GO:0061458,GO:0065007,GO:0065009,GO:0070887,GO:0071310,GO:0071495,GO:0071695,GO:0071840,GO:0071944,GO:0106023,GO:0106024,GO:1902531,GO:1902533,GO:2000026	-	ko:K04306,ko:K04307	ko04080,ko04926,map04080,map04926	-	-	-	ko00000,ko00001,ko04030	-	-	-	7tm_1,LRR_8,Ldl_recept_a
Tadh-TriadG51260	10228.TriadP51260	3.15e-71	223.0	COG4886@1|root,KOG0619@2759|Eukaryota	2759|Eukaryota	U	regulation of response to stimulus	-	-	-	-	-	-	-	-	-	-	-	-	LRR_8
Tadh-TriadG51261	10228.TriadP51261	3.76e-204	575.0	COG4886@1|root,KOG0619@2759|Eukaryota	2759|Eukaryota	U	regulation of response to stimulus	-	-	-	-	-	-	-	-	-	-	-	-	LRR_1,LRR_5,LRR_6,LRR_8,Pkinase_Tyr
Tadh-TriadG51262	10228.TriadP51262	3.04e-298	813.0	2C3E9@1|root,2RZCA@2759|Eukaryota,3A2RR@33154|Opisthokonta,3BQSU@33208|Metazoa	33208|Metazoa	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Trp_Tyr_perm
Tadh-TriadG51263	10228.TriadP51263	0.0	1202.0	COG0339@1|root,KOG2090@2759|Eukaryota,38FWV@33154|Opisthokonta,3B9X7@33208|Metazoa	33208|Metazoa	O	Mitochondrial intermediate peptidase	MIPEP	GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005759,GO:0006508,GO:0006518,GO:0006605,GO:0006626,GO:0006627,GO:0006807,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0008104,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0016043,GO:0016485,GO:0016787,GO:0019538,GO:0031974,GO:0033036,GO:0033365,GO:0034613,GO:0034641,GO:0034982,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043603,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044429,GO:0044444,GO:0044446,GO:0044464,GO:0045184,GO:0046907,GO:0051179,GO:0051234,GO:0051604,GO:0051641,GO:0051649,GO:0070011,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0072655,GO:0140096,GO:1901564	3.4.24.59	ko:K01410	-	-	-	-	ko00000,ko01000,ko01002,ko03029	-	-	-	Peptidase_M3
