protein_id,orthogroup
c100200-g1,OG0000000
c100264-g1,OG0000000
c100540-g1,OG0000000
c101240-g1,OG0000000
c101240-g2,OG0000000
c101272-g1,OG0000000
c101502-g1,OG0000000
c102135-g3,OG0000000
c102135-g4,OG0000000
c102135-g5,OG0000000
c102142-g1,OG0000000
c102157-g1,OG0000000
c102471-g2,OG0000000
c102672-g1,OG0000000
c102736-g3,OG0000000
c102736-g6,OG0000000
c102736-g7,OG0000000
c102972-g2,OG0000000
c102972-g3,OG0000000
c102972-g4,OG0000000
c102972-g5,OG0000000
c102972-g6,OG0000000
c102972-g7,OG0000000
c103045-g2,OG0000000
c103107-g1,OG0000000
c103222-g2,OG0000000
c103276-g2,OG0000000
c103429-g2,OG0000000
c103429-g3,OG0000000
c103565-g1,OG0000000
c103594-g5,OG0000000
c103779-g4,OG0000000
c103783-g1,OG0000000
c103783-g2,OG0000000
c103783-g3,OG0000000
c103835-g1,OG0000000
c103848-g1,OG0000000
c103864-g10,OG0000000
c103864-g2,OG0000000
c103864-g4,OG0000000
c103864-g5,OG0000000
c103864-g6,OG0000000
c103864-g7,OG0000000
c103936-g2,OG0000000
c103936-g3,OG0000000
c103936-g5,OG0000000
c104057-g1,OG0000000
c104153-g1,OG0000000
c104279-g1,OG0000000
c104279-g2,OG0000000
c104279-g3,OG0000000
c104279-g4,OG0000000
c104290-g3,OG0000000
c104383-g1,OG0000000
c104602-g2,OG0000000
c104602-g3,OG0000000
c104602-g4,OG0000000
c104615-g2,OG0000000
c104628-g1,OG0000000
c104832-g1,OG0000000
c104832-g3,OG0000000
c104833-g1,OG0000000
c104833-g2,OG0000000
c104833-g3,OG0000000
c104833-g4,OG0000000
c104833-g5,OG0000000
c104833-g6,OG0000000
c104881-g2,OG0000000
c104914-g1,OG0000000
c104930-g2,OG0000000
c106147-g1,OG0000000
c109654-g1,OG0000000
c110349-g1,OG0000000
c110652-g1,OG0000000
c34945-g1,OG0000000
c4641-g2,OG0000000
c55635-g1,OG0000000
c64342-g1,OG0000000
c71232-g1,OG0000000
c82097-g1,OG0000000
c83670-g1,OG0000000
c85918-g2,OG0000000
c86051-g1,OG0000000
c86786-g2,OG0000000
c86863-g1,OG0000000
c87728-g1,OG0000000
c87728-g2,OG0000000
c87748-g1,OG0000000
c88193-g1,OG0000000
c89417-g1,OG0000000
c89653-g1,OG0000000
c89870-g1,OG0000000
c91015-g1,OG0000000
c91384-g1,OG0000000
c91548-g1,OG0000000
c92376-g3,OG0000000
c92932-g1,OG0000000
c93353-g2,OG0000000
c94340-g2,OG0000000
c94649-g1,OG0000000
c94970-g1,OG0000000
c95548-g1,OG0000000
c95624-g1,OG0000000
c95794-g1,OG0000000
c95878-g1,OG0000000
c95880-g1,OG0000000
c96143-g1,OG0000000
c96283-g1,OG0000000
c96283-g2,OG0000000
c96377-g1,OG0000000
c96390-g1,OG0000000
c96390-g2,OG0000000
c96486-g2,OG0000000
c96486-g3,OG0000000
c97028-g1,OG0000000
c97990-g1,OG0000000
c98187-g1,OG0000000
c98443-g1,OG0000000
c98462-g1,OG0000000
c98462-g2,OG0000000
c98912-g5,OG0000000
c99317-g1,OG0000000
c99576-g1,OG0000000
c99576-g3,OG0000000
c99634-g1,OG0000000
c99659-g1,OG0000000
c99659-g2,OG0000000
c99799-g1,OG0000000
c99898-g1,OG0000000
c37618-g1,OG0000003
c100049-g1,OG0000006
c100479-g1,OG0000006
c100559-g1,OG0000006
c101775-g1,OG0000006
c102703-g3,OG0000006
c102718-g3,OG0000006
c102756-g3,OG0000006
c102853-g3,OG0000006
c102957-g3,OG0000006
c103418-g1,OG0000006
c103670-g1,OG0000006
c104271-g1,OG0000006
c104271-g5,OG0000006
c104332-g3,OG0000006
c104713-g2,OG0000006
c104713-g3,OG0000006
c104841-g1,OG0000006
c104841-g2,OG0000006
c104923-g1,OG0000006
c104923-g3,OG0000006
c105135-g1,OG0000006
c105155-g1,OG0000006
c105177-g1,OG0000006
c106412-g1,OG0000006
c106962-g1,OG0000006
c107366-g1,OG0000006
c108593-g1,OG0000006
c109020-g1,OG0000006
c109557-g1,OG0000006
c110374-g1,OG0000006
c110536-g1,OG0000006
c110589-g1,OG0000006
c110792-g1,OG0000006
c111473-g1,OG0000006
c111767-g1,OG0000006
c111891-g1,OG0000006
c2476-g1,OG0000006
c26897-g1,OG0000006
c31774-g1,OG0000006
c32374-g1,OG0000006
c36874-g1,OG0000006
c38015-g1,OG0000006
c39032-g1,OG0000006
c39432-g1,OG0000006
c43723-g1,OG0000006
c4889-g1,OG0000006
c54157-g1,OG0000006
c54876-g1,OG0000006
c5602-g1,OG0000006
c59698-g1,OG0000006
c61555-g1,OG0000006
c78078-g1,OG0000006
c79009-g1,OG0000006
c79360-g1,OG0000006
c79641-g1,OG0000006
c79946-g1,OG0000006
c80442-g1,OG0000006
c80609-g1,OG0000006
c80883-g1,OG0000006
c80883-g2,OG0000006
c80910-g1,OG0000006
c81027-g1,OG0000006
c81497-g1,OG0000006
c81497-g2,OG0000006
c83294-g1,OG0000006
c84224-g1,OG0000006
c84238-g1,OG0000006
c84935-g2,OG0000006
c85043-g1,OG0000006
c85270-g1,OG0000006
c85497-g2,OG0000006
c86260-g1,OG0000006
c87123-g1,OG0000006
c87458-g1,OG0000006
c87458-g2,OG0000006
c87516-g1,OG0000006
c88090-g1,OG0000006
c88499-g1,OG0000006
c89339-g1,OG0000006
c90120-g1,OG0000006
c90120-g2,OG0000006
c90427-g1,OG0000006
c90427-g2,OG0000006
c90568-g1,OG0000006
c90970-g1,OG0000006
c91043-g2,OG0000006
c91219-g1,OG0000006
c91403-g1,OG0000006
c91499-g1,OG0000006
c91513-g1,OG0000006
c91766-g1,OG0000006
c92055-g2,OG0000006
c92193-g1,OG0000006
c92287-g1,OG0000006
c92860-g1,OG0000006
c93207-g1,OG0000006
c93307-g1,OG0000006
c94252-g1,OG0000006
c94325-g1,OG0000006
c94611-g1,OG0000006
c94802-g1,OG0000006
c94819-g1,OG0000006
c94857-g1,OG0000006
