protein_id,orthogroup
HoiH23-PlH23-000481,OG0000000
HoiH23-PlH23-000482,OG0000000
HoiH23-PlH23-002157,OG0000000
HoiH23-PlH23-002158,OG0000000
HoiH23-PlH23-002204,OG0000000
HoiH23-PlH23-003192,OG0000000
HoiH23-PlH23-003193,OG0000000
HoiH23-PlH23-003194,OG0000000
HoiH23-PlH23-003195,OG0000000
HoiH23-PlH23-003503,OG0000000
HoiH23-PlH23-004323,OG0000000
HoiH23-PlH23-004324,OG0000000
HoiH23-PlH23-005054,OG0000000
HoiH23-PlH23-005514,OG0000000
HoiH23-PlH23-005647,OG0000000
HoiH23-PlH23-005648,OG0000000
HoiH23-PlH23-006248,OG0000000
HoiH23-PlH23-006249,OG0000000
HoiH23-PlH23-006250,OG0000000
HoiH23-PlH23-006251,OG0000000
HoiH23-PlH23-006507,OG0000000
HoiH23-PlH23-006546,OG0000000
HoiH23-PlH23-006645,OG0000000
HoiH23-PlH23-008145,OG0000000
HoiH23-PlH23-008146,OG0000000
HoiH23-PlH23-008147,OG0000000
HoiH23-PlH23-008926,OG0000000
HoiH23-PlH23-009212,OG0000000
HoiH23-PlH23-010160,OG0000000
HoiH23-PlH23-010892,OG0000000
HoiH23-PlH23-011642,OG0000000
HoiH23-hyp-clust5206.t1,OG0000000
HoiH23-hyp-clust5206b.t1,OG0000000
HoiH23-hyp-clust9204.t1,OG0000000
HoiH23-PlH23-011079,OG0000001
HoiH23-PlH23-000306,OG0000002
HoiH23-PlH23-000307,OG0000002
HoiH23-PlH23-000782,OG0000002
HoiH23-PlH23-001488,OG0000002
HoiH23-PlH23-001649,OG0000002
HoiH23-PlH23-004017,OG0000002
HoiH23-PlH23-004882,OG0000002
HoiH23-PlH23-004956,OG0000002
HoiH23-PlH23-005385,OG0000002
HoiH23-PlH23-006174,OG0000002
HoiH23-PlH23-006311,OG0000002
HoiH23-PlH23-006312,OG0000002
HoiH23-PlH23-007257,OG0000002
HoiH23-PlH23-007745,OG0000002
HoiH23-PlH23-007746,OG0000002
HoiH23-PlH23-007866,OG0000002
HoiH23-PlH23-008051,OG0000002
HoiH23-PlH23-008249,OG0000002
HoiH23-PlH23-008250,OG0000002
HoiH23-PlH23-008251,OG0000002
HoiH23-PlH23-008252,OG0000002
HoiH23-PlH23-008391,OG0000002
HoiH23-PlH23-009201,OG0000002
HoiH23-PlH23-009202,OG0000002
HoiH23-PlH23-009203,OG0000002
HoiH23-PlH23-009204,OG0000002
HoiH23-PlH23-009205,OG0000002
HoiH23-PlH23-009214,OG0000002
HoiH23-PlH23-009228,OG0000002
HoiH23-PlH23-009607,OG0000002
HoiH23-PlH23-009608,OG0000002
HoiH23-PlH23-009609,OG0000002
HoiH23-PlH23-009610,OG0000002
HoiH23-PlH23-009611,OG0000002
HoiH23-PlH23-009612,OG0000002
HoiH23-PlH23-009613,OG0000002
HoiH23-PlH23-009614,OG0000002
HoiH23-PlH23-009615,OG0000002
HoiH23-PlH23-009616,OG0000002
HoiH23-PlH23-009617,OG0000002
HoiH23-PlH23-009618,OG0000002
HoiH23-PlH23-010227,OG0000002
HoiH23-PlH23-010279,OG0000002
HoiH23-PlH23-010376,OG0000002
HoiH23-PlH23-010499,OG0000002
HoiH23-PlH23-011302,OG0000002
HoiH23-PlH23-011303,OG0000002
HoiH23-PlH23-011580,OG0000002
HoiH23-PlH23-011581,OG0000002
HoiH23-PlH23-011582,OG0000002
HoiH23-PlH23-011583,OG0000002
HoiH23-PlH23-011606,OG0000002
HoiH23-PlH23-011607,OG0000002
HoiH23-PlH23-011666,OG0000002
HoiH23-PlH23-011816,OG0000002
HoiH23-PlH23-011817,OG0000002
HoiH23-PlH23-011820,OG0000002
