#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
XLOC-015596	6087.XP_002163929.2	7.83e-206	575.0	KOG0082@1|root,KOG0082@2759|Eukaryota,38E4Q@33154|Opisthokonta,3B9RI@33208|Metazoa	33208|Metazoa	DT	D5 dopamine receptor binding	cta	GO:0000902,GO:0000904,GO:0001664,GO:0001667,GO:0001703,GO:0002009,GO:0002064,GO:0002225,GO:0002682,GO:0002684,GO:0002697,GO:0002699,GO:0002700,GO:0002702,GO:0002759,GO:0002760,GO:0002784,GO:0002831,GO:0002833,GO:0002920,GO:0002922,GO:0003365,GO:0003371,GO:0003379,GO:0003380,GO:0003381,GO:0003382,GO:0003383,GO:0003384,GO:0003674,GO:0003824,GO:0003924,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005834,GO:0005886,GO:0005903,GO:0006355,GO:0006357,GO:0006928,GO:0006950,GO:0006952,GO:0006996,GO:0007010,GO:0007154,GO:0007163,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007264,GO:0007265,GO:0007266,GO:0007275,GO:0007369,GO:0007398,GO:0007498,GO:0008150,GO:0008360,GO:0009605,GO:0009607,GO:0009620,GO:0009653,GO:0009790,GO:0009888,GO:0009889,GO:0009891,GO:0009893,GO:0009898,GO:0009987,GO:0010004,GO:0010468,GO:0010470,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0016043,GO:0016462,GO:0016476,GO:0016477,GO:0016787,GO:0016817,GO:0016818,GO:0017111,GO:0019219,GO:0019222,GO:0019897,GO:0019898,GO:0022603,GO:0022604,GO:0023052,GO:0030010,GO:0030029,GO:0030048,GO:0030154,GO:0030855,GO:0030952,GO:0031234,GO:0031253,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031526,GO:0031683,GO:0031752,GO:0032101,GO:0032103,GO:0032501,GO:0032502,GO:0032956,GO:0032970,GO:0032989,GO:0032991,GO:0033043,GO:0035556,GO:0040011,GO:0042074,GO:0042995,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043519,GO:0043900,GO:0043902,GO:0044424,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0044877,GO:0045893,GO:0045935,GO:0045944,GO:0045995,GO:0048383,GO:0048468,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0048598,GO:0048729,GO:0048856,GO:0048869,GO:0048870,GO:0050776,GO:0050778,GO:0050780,GO:0050789,GO:0050793,GO:0050794,GO:0050832,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051179,GO:0051239,GO:0051252,GO:0051254,GO:0051493,GO:0051674,GO:0051704,GO:0051707,GO:0051716,GO:0060026,GO:0060027,GO:0060255,GO:0060429,GO:0065007,GO:0065008,GO:0070252,GO:0071840,GO:0071944,GO:0080090,GO:0098542,GO:0098552,GO:0098562,GO:0098590,GO:0098796,GO:0098797,GO:0098862,GO:0120025,GO:0120038,GO:1901244,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1905360,GO:2000026,GO:2000112,GO:2001141	-	ko:K04346	ko04010,ko04022,ko04071,ko04072,ko04270,ko04730,ko04810,ko05200,map04010,map04022,map04071,map04072,map04270,map04730,map04810,map05200	-	-	-	ko00000,ko00001,ko04031,ko04147	-	-	-	G-alpha
XLOC-041229	121225.PHUM550760-PA	1.72e-207	581.0	KOG0082@1|root,KOG0099@2759|Eukaryota,38C3N@33154|Opisthokonta,3B9MU@33208|Metazoa,3CWC5@33213|Bilateria,41VXW@6656|Arthropoda,3SIVG@50557|Insecta,3E7R1@33342|Paraneoptera	33208|Metazoa	T	G protein alpha subunit	GNAL	GO:0000003,GO:0000139,GO:0000166,GO:0001101,GO:0001501,GO:0001503,GO:0001556,GO:0001664,GO:0001726,GO:0001775,GO:0001882,GO:0001883,GO:0001894,GO:0001932,GO:0001934,GO:0001942,GO:0001958,GO:0001965,GO:0001975,GO:0002009,GO:0002028,GO:0002165,GO:0002682,GO:0002684,GO:0002761,GO:0002763,GO:0002790,GO:0002791,GO:0003006,GO:0003008,GO:0003013,GO:0003014,GO:0003091,GO:0003674,GO:0003824,GO:0003924,GO:0005102,GO:0005159,GO:0005488,GO:0005515,GO:0005525,GO:0005575,GO:0005576,GO:0005604,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005768,GO:0005794,GO:0005802,GO:0005829,GO:0005834,GO:0005886,GO:0006091,GO:0006112,GO:0006139,GO:0006259,GO:0006304,GO:0006305,GO:0006306,GO:0006355,GO:0006357,GO:0006725,GO:0006807,GO:0006810,GO:0006950,GO:0007154,GO:0007155,GO:0007165,GO:0007186,GO:0007187,GO:0007188,GO:0007189,GO:0007190,GO:0007191,GO:0007193,GO:0007212,GO:0007267,GO:0007268,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007444,GO:0007472,GO:0007476,GO:0007528,GO:0007552,GO:0007560,GO:0007565,GO:0007596,GO:0007599,GO:0007600,GO:0007606,GO:0007608,GO:0007610,GO:0007611,GO:0007632,GO:0008015,GO:0008081,GO:0008092,GO:0008104,GO:0008150,GO:0008152,GO:0008217,GO:0008284,GO:0008544,GO:0009306,GO:0009314,GO:0009410,GO:0009416,GO:0009611,GO:0009628,GO:0009636,GO:0009653,GO:0009719,GO:0009725,GO:0009743,GO:0009790,GO:0009791,GO:0009792,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009893,GO:0009898,GO:0009966,GO:0009967,GO:0009968,GO:0009987,GO:0009994,GO:0010033,GO:0010171,GO:0010243,GO:0010353,GO:0010468,GO:0010556,GO:0010562,GO:0010604,GO:0010646,GO:0010647,GO:0010648,GO:0010720,GO:0010765,GO:0010817,GO:0010959,GO:0012505,GO:0014070,GO:0014074,GO:0014075,GO:0015031,GO:0015631,GO:0015833,GO:0015980,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0017076,GO:0017111,GO:0019001,GO:0019219,GO:0019220,GO:0019222,GO:0019897,GO:0019898,GO:0019904,GO:0019932,GO:0019933,GO:0019935,GO:0019953,GO:0021700,GO:0022404,GO:0022405,GO:0022412,GO:0022414,GO:0022610,GO:0023051,GO:0023052,GO:0023056,GO:0023057,GO:0030104,GO:0030154,GO:0030168,GO:0030278,GO:0030326,GO:0030425,GO:0030534,GO:0031000,GO:0031012,GO:0031090,GO:0031224,GO:0031234,GO:0031252,GO:0031323,GO:0031325,GO:0031326,GO:0031399,GO:0031401,GO:0031410,GO:0031628,GO:0031681,GO:0031683,GO:0031690,GO:0031698,GO:0031748,GO:0031852,GO:0031982,GO:0031984,GO:0032259,GO:0032268,GO:0032270,GO:0032501,GO:0032502,GO:0032504,GO:0032549,GO:0032550,GO:0032553,GO:0032555,GO:0032561,GO:0032588,GO:0032870,GO:0032878,GO:0032879,GO:0032880,GO:0032940,GO:0032991,GO:0033036,GO:0033762,GO:0033993,GO:0034109,GO:0034285,GO:0034641,GO:0034694,GO:0034695,GO:0035107,GO:0035108,GO:0035113,GO:0035114,GO:0035116,GO:0035120,GO:0035137,GO:0035220,GO:0035239,GO:0035254,GO:0035255,GO:0035264,GO:0035295,GO:0035556,GO:0035639,GO:0035813,GO:0035814,GO:0036075,GO:0036094,GO:0036270,GO:0036477,GO:0040007,GO:0040008,GO:0040014,GO:0040015,GO:0040032,GO:0042060,GO:0042127,GO:0042220,GO:0042221,GO:0042303,GO:0042325,GO:0042327,GO:0042493,GO:0042578,GO:0042592,GO:0042633,GO:0042886,GO:0042995,GO:0043005,GO:0043009,GO:0043014,GO:0043025,GO:0043085,GO:0043087,GO:0043167,GO:0043168,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043269,GO:0043270,GO:0043279,GO:0043412,GO:0043414,GO:0043434,GO:0043547,GO:0043588,GO:0043900,GO:0043902,GO:0043949,GO:0043950,GO:0044057,GO:0044060,GO:0044062,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044297,GO:0044421,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044444,GO:0044446,GO:0044459,GO:0044463,GO:0044464,GO:0044703,GO:0044706,GO:0044728,GO:0044877,GO:0045121,GO:0045184,GO:0045595,GO:0045597,GO:0045637,GO:0045639,GO:0045667,GO:0045669,GO:0045670,GO:0045672,GO:0045776,GO:0045778,GO:0045926,GO:0045937,GO:0046483,GO:0046883,GO:0046903,GO:0046907,GO:0047391,GO:0048148,GO:0048468,GO:0048469,GO:0048471,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048520,GO:0048522,GO:0048523,GO:0048562,GO:0048563,GO:0048568,GO:0048569,GO:0048583,GO:0048584,GO:0048585,GO:0048589,GO:0048598,GO:0048599,GO:0048609,GO:0048638,GO:0048640,GO:0048646,GO:0048701,GO:0048704,GO:0048705,GO:0048706,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048856,GO:0048869,GO:0048871,GO:0048878,GO:0050708,GO:0050780,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050795,GO:0050796,GO:0050801,GO:0050808,GO:0050817,GO:0050877,GO:0050878,GO:0050890,GO:0050891,GO:0050896,GO:0050909,GO:0050916,GO:0051046,GO:0051048,GO:0051049,GO:0051050,GO:0051051,GO:0051093,GO:0051094,GO:0051171,GO:0051173,GO:0051174,GO:0051179,GO:0051216,GO:0051223,GO:0051234,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051252,GO:0051336,GO:0051345,GO:0051427,GO:0051428,GO:0051429,GO:0051430,GO:0051641,GO:0051649,GO:0051704,GO:0051716,GO:0055037,GO:0055065,GO:0055074,GO:0055080,GO:0055114,GO:0060173,GO:0060249,GO:0060255,GO:0060259,GO:0060281,GO:0060282,GO:0060284,GO:0060348,GO:0060349,GO:0060350,GO:0060359,GO:0060429,GO:0060562,GO:0060788,GO:0060789,GO:0061448,GO:0062023,GO:0065007,GO:0065008,GO:0065009,GO:0070201,GO:0070527,GO:0070542,GO:0070887,GO:0071107,GO:0071229,GO:0071310,GO:0071375,GO:0071377,GO:0071379,GO:0071380,GO:0071396,GO:0071398,GO:0071407,GO:0071417,GO:0071495,GO:0071514,GO:0071695,GO:0071696,GO:0071697,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071855,GO:0071867,GO:0071868,GO:0071869,GO:0071870,GO:0071875,GO:0071880,GO:0071944,GO:0072347,GO:0072507,GO:0080090,GO:0090036,GO:0090038,GO:0090087,GO:0090276,GO:0090304,GO:0097159,GO:0097305,GO:0097306,GO:0097366,GO:0097367,GO:0097447,GO:0097458,GO:0097708,GO:0098552,GO:0098562,GO:0098588,GO:0098589,GO:0098609,GO:0098771,GO:0098773,GO:0098791,GO:0098796,GO:0098797,GO:0098801,GO:0098805,GO:0098857,GO:0098916,GO:0099536,GO:0099537,GO:0120025,GO:0120038,GO:1900193,GO:1900195,GO:1901265,GO:1901360,GO:1901363,GO:1901652,GO:1901653,GO:1901654,GO:1901655,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1902105,GO:1902107,GO:1902494,GO:1902531,GO:1902532,GO:1902533,GO:1903429,GO:1903431,GO:1903506,GO:1903530,GO:1903706,GO:1903708,GO:1904888,GO:1905360,GO:1905879,GO:1905881,GO:2000026,GO:2000112,GO:2000114,GO:2000241,GO:2000243,GO:2000253,GO:2000292,GO:2000828,GO:2001141	-	ko:K04632,ko:K04633	ko01522,ko04015,ko04020,ko04024,ko04072,ko04261,ko04270,ko04540,ko04611,ko04713,ko04714,ko04724,ko04726,ko04728,ko04730,ko04740,ko04750,ko04911,ko04912,ko04913,ko04915,ko04916,ko04918,ko04921,ko04922,ko04923,ko04924,ko04925,ko04926,ko04927,ko04934,ko04961,ko04962,ko04970,ko04971,ko04972,ko04976,ko05012,ko05030,ko05031,ko05032,ko05034,ko05110,ko05142,ko05146,ko05165,ko05200,ko05414,map01522,map04015,map04020,map04024,map04072,map04261,map04270,map04540,map04611,map04713,map04714,map04724,map04726,map04728,map04730,map04740,map04750,map04911,map04912,map04913,map04915,map04916,map04918,map04921,map04922,map04923,map04924,map04925,map04926,map04927,map04934,map04961,map04962,map04970,map04971,map04972,map04976,map05012,map05030,map05031,map05032,map05034,map05110,map05142,map05146,map05165,map05200,map05414	M00695	-	-	ko00000,ko00001,ko00002,ko04031,ko04147	-	-	-	G-alpha
XLOC-002023	6087.XP_002155843.2	6.71e-241	682.0	COG0405@1|root,KOG2410@2759|Eukaryota,38EE0@33154|Opisthokonta,3B9HX@33208|Metazoa	33208|Metazoa	E	glutathione hydrolase activity	-	-	2.3.2.2,3.4.19.13,3.4.19.14	ko:K18592	ko00430,ko00460,ko00480,ko00590,ko01100,map00430,map00460,map00480,map00590,map01100	-	R00494,R01262,R01687,R03916,R03970,R03971,R09875	RC00064,RC00090,RC00096	ko00000,ko00001,ko01000,ko01002,ko04090	-	-	-	G_glu_transpept
XLOC-0302710	8083.ENSXMAP00000014115	1.29e-61	205.0	COG1804@1|root,KOG3957@2759|Eukaryota,38CWZ@33154|Opisthokonta,3BB7M@33208|Metazoa,3D0JC@33213|Bilateria,4838Z@7711|Chordata,48ZTZ@7742|Vertebrata,49Q0K@7898|Actinopterygii	33208|Metazoa	I	succinyl-CoA glutarate-CoA transferase	SUGCT	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008410,GO:0016740,GO:0016782,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0047369	2.8.3.13	ko:K18703	-	-	-	-	ko00000,ko01000	-	-	-	CoA_transf_3
XLOC-0302711	45351.EDO48985	1.02e-141	416.0	COG1804@1|root,KOG3957@2759|Eukaryota,38CWZ@33154|Opisthokonta,3BB7M@33208|Metazoa	33208|Metazoa	I	succinate-hydroxymethylglutarate CoA-transferase activity	SUGCT	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008410,GO:0016740,GO:0016782,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0047369	2.8.3.13	ko:K18703	-	-	-	-	ko00000,ko01000	-	-	-	CoA_transf_3
XLOC-0302712	8083.ENSXMAP00000014115	2.57e-61	204.0	COG1804@1|root,KOG3957@2759|Eukaryota,38CWZ@33154|Opisthokonta,3BB7M@33208|Metazoa,3D0JC@33213|Bilateria,4838Z@7711|Chordata,48ZTZ@7742|Vertebrata,49Q0K@7898|Actinopterygii	33208|Metazoa	I	succinyl-CoA glutarate-CoA transferase	SUGCT	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008410,GO:0016740,GO:0016782,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0047369	2.8.3.13	ko:K18703	-	-	-	-	ko00000,ko01000	-	-	-	CoA_transf_3
XLOC-005744	7668.SPU_024592-tr	3.18e-11	69.7	KOG1075@1|root,KOG1075@2759|Eukaryota	2759|Eukaryota	E	Ribonuclease H protein	-	-	-	-	-	-	-	-	-	-	-	-	RVT_1
TRINITY-DN10006-c0-g1-i2	6087.XP_004207823.1	1.37e-30	114.0	KOG3277@1|root,KOG3277@2759|Eukaryota,3A8PK@33154|Opisthokonta,3BSQ4@33208|Metazoa	33208|Metazoa	S	protein import into mitochondrial matrix	DNLZ	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0006457,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0008104,GO:0008150,GO:0009987,GO:0015031,GO:0015833,GO:0016043,GO:0017038,GO:0030150,GO:0031647,GO:0031974,GO:0031981,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045184,GO:0046907,GO:0050821,GO:0051087,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0065007,GO:0065008,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:1990542	-	ko:K17808	-	-	-	-	ko00000,ko03029	-	-	-	zf-DNL
XLOC-034298	6087.XP_004207823.1	1.94e-30	115.0	KOG3277@1|root,KOG3277@2759|Eukaryota,3A8PK@33154|Opisthokonta,3BSQ4@33208|Metazoa	33208|Metazoa	S	protein import into mitochondrial matrix	DNLZ	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005739,GO:0006457,GO:0006605,GO:0006626,GO:0006810,GO:0006839,GO:0006886,GO:0006996,GO:0007005,GO:0008104,GO:0008150,GO:0009987,GO:0015031,GO:0015833,GO:0016043,GO:0017038,GO:0030150,GO:0031647,GO:0031974,GO:0031981,GO:0033036,GO:0033365,GO:0034613,GO:0042886,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045184,GO:0046907,GO:0050821,GO:0051087,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0065007,GO:0065008,GO:0070013,GO:0070585,GO:0070727,GO:0071702,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072655,GO:1990542	-	ko:K17808	-	-	-	-	ko00000,ko03029	-	-	-	zf-DNL
XLOC-014807	45351.EDO39880	3.05e-68	237.0	KOG2216@1|root,KOG2216@2759|Eukaryota,38HMC@33154|Opisthokonta,3BCAG@33208|Metazoa	33208|Metazoa	S	positive regulation of DNA-templated transcription, elongation	THOC5	GO:0000003,GO:0000228,GO:0000280,GO:0000346,GO:0000347,GO:0000445,GO:0000902,GO:0001701,GO:0001824,GO:0002376,GO:0002520,GO:0002521,GO:0002573,GO:0002682,GO:0002683,GO:0002761,GO:0002762,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0006139,GO:0006355,GO:0006396,GO:0006397,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006950,GO:0006996,GO:0007049,GO:0007140,GO:0007275,GO:0007276,GO:0008104,GO:0008150,GO:0008152,GO:0008283,GO:0009266,GO:0009408,GO:0009628,GO:0009653,GO:0009790,GO:0009792,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0010793,GO:0015031,GO:0015833,GO:0015931,GO:0016043,GO:0016070,GO:0016071,GO:0017145,GO:0019219,GO:0019222,GO:0019953,GO:0022402,GO:0022412,GO:0022414,GO:0030097,GO:0030099,GO:0030154,GO:0030224,GO:0031123,GO:0031124,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031503,GO:0031974,GO:0031981,GO:0031990,GO:0032239,GO:0032386,GO:0032501,GO:0032502,GO:0032504,GO:0032784,GO:0032786,GO:0032879,GO:0032880,GO:0032989,GO:0032991,GO:0033036,GO:0033157,GO:0033554,GO:0034605,GO:0034613,GO:0034641,GO:0035162,GO:0042886,GO:0043009,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0044237,GO:0044238,GO:0044403,GO:0044417,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044446,GO:0044464,GO:0044703,GO:0044766,GO:0045184,GO:0045595,GO:0045596,GO:0045637,GO:0045638,GO:0045649,GO:0045650,GO:0045787,GO:0045893,GO:0045935,GO:0046483,GO:0046784,GO:0046822,GO:0046825,GO:0046831,GO:0046907,GO:0048232,GO:0048285,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048534,GO:0048568,GO:0048583,GO:0048585,GO:0048609,GO:0048731,GO:0048856,GO:0048869,GO:0050657,GO:0050658,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051028,GO:0051049,GO:0051093,GO:0051168,GO:0051169,GO:0051171,GO:0051173,GO:0051179,GO:0051223,GO:0051234,GO:0051236,GO:0051239,GO:0051241,GO:0051252,GO:0051254,GO:0051301,GO:0051302,GO:0051321,GO:0051641,GO:0051649,GO:0051701,GO:0051704,GO:0051716,GO:0051726,GO:0051836,GO:0060215,GO:0060255,GO:0060341,GO:0065007,GO:0070013,GO:0070201,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0080090,GO:0080134,GO:0080135,GO:0090087,GO:0090304,GO:0097159,GO:0140013,GO:1901360,GO:1901363,GO:1901976,GO:1901977,GO:1902105,GO:1902106,GO:1902579,GO:1902680,GO:1903046,GO:1903131,GO:1903506,GO:1903508,GO:1903706,GO:1903707,GO:1903827,GO:2000001,GO:2000002,GO:2000026,GO:2000035,GO:2000112,GO:2000197,GO:2001020,GO:2001021,GO:2001141	-	ko:K13174	ko03013,map03013	M00405,M00406	-	-	ko00000,ko00001,ko00002,ko03019,ko03041	-	-	-	FimP
XLOC-015793	4513.MLOC_70717.2	2.71e-33	135.0	KOG0583@1|root,KOG0583@2759|Eukaryota,37SKC@33090|Viridiplantae,3GAR3@35493|Streptophyta,3KRXI@4447|Liliopsida,3IPVZ@38820|Poales	35493|Streptophyta	T	Non-specific serine threonine protein kinase	-	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018107,GO:0018193,GO:0018209,GO:0018210,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0140096,GO:1901564	2.7.11.11	ko:K07198	ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,ko05418,map04068,map04140,map04150,map04151,map04152,map04211,map04213,map04371,map04530,map04710,map04714,map04910,map04920,map04921,map04922,map04931,map04932,map05410,map05418	-	-	-	ko00000,ko00001,ko01000,ko01001,ko03029,ko04131	-	-	-	NAF,Pkinase
