ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,term,Ont
GO:0015079,potassium ion transmembrane transporter activity,32/547,73/15357,0.438356164383562,12.3068292805089,18.6096813167086,2.40807728027496e-27,7.03762164909348e-24,4.14325069256813e-24,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-004452#NCKX4-HUMAN#Q8NFF2/XLOC-004464#NCKX4-HUMAN#Q8NFF2/XLOC-006845#NCKX4-HUMAN#Q8NFF2/XLOC-025534#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000007l.827#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000012l.687#NCKX4-HUMAN#Q8NFF2/XLOC-013198#S12A2-HUMAN#P55011/XLOC-013844#S12A2-SQUAC#P55013,32,potassium ion transmembrane transporter activity,MF
GO:0071805,potassium ion transmembrane transport,32/547,74/15357,0.432432432432432,12.1405207767182,18.4617230568644,4.10436721370148e-27,7.03762164909348e-24,4.14325069256813e-24,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-004452#NCKX4-HUMAN#Q8NFF2/XLOC-004464#NCKX4-HUMAN#Q8NFF2/XLOC-006845#NCKX4-HUMAN#Q8NFF2/XLOC-025534#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000007l.827#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000012l.687#NCKX4-HUMAN#Q8NFF2/XLOC-013198#S12A2-HUMAN#P55011/XLOC-013844#S12A2-SQUAC#P55013,32,potassium ion transmembrane transport,BP
GO:0006813,potassium ion transport,32/547,81/15357,0.395061728395062,11.0913399688537,17.5001474397477,1.31711373951111e-25,1.69380826901128e-22,9.97193744361435e-23,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-004452#NCKX4-HUMAN#Q8NFF2/XLOC-004464#NCKX4-HUMAN#Q8NFF2/XLOC-006845#NCKX4-HUMAN#Q8NFF2/XLOC-025534#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000007l.827#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000012l.687#NCKX4-HUMAN#Q8NFF2/XLOC-013198#S12A2-HUMAN#P55011/XLOC-013844#S12A2-SQUAC#P55013,32,potassium ion transport,BP
GO:0005267,potassium channel activity,24/547,44/15357,0.545454545454545,15.3136114342696,18.272610885452,9.60239762093719e-24,9.87894667242018e-21,5.81602062219711e-21,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0,24,potassium channel activity,MF
GO:0005261,monoatomic cation channel activity,35/547,130/15357,0.269230769230769,7.55864154127408,14.4322347169752,1.82134718398575e-21,1.56150165240378e-18,9.19301026022281e-19,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-004452#NCKX4-HUMAN#Q8NFF2/XLOC-004464#NCKX4-HUMAN#Q8NFF2/XLOC-006845#NCKX4-HUMAN#Q8NFF2/XLOC-025534#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000007l.827#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000012l.687#NCKX4-HUMAN#Q8NFF2/XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-001360#PDE2A-RAT#Q01062/XLOC-024724#ODP2-SCHPO#O59816/gene-evm.model.ptg000008l.639-1#ODP2-SCHPO#O59816,35,monoatomic cation channel activity,MF
GO:0005249,voltage-gated potassium channel activity,21/547,38/15357,0.552631578947368,15.5151063215626,17.2167826642375,4.32267832574293e-21,3.17655104394595e-18,1.87012714934773e-18,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0,21,voltage-gated potassium channel activity,MF
GO:0009612,response to mechanical stimulus,43/547,224/15357,0.191964285714286,5.38938854792374,12.7180551813905,6.87607490549436e-20,4.42131616423287e-17,2.60295625040885e-17,XLOC-003641#KCNAL-DROME#P17971/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-006611#NDF1-DANRE#O42202/XLOC-020866#SCX-CHICK#P59101/XLOC-022020#XLOC-022020/XLOC-006817#AKT3-HUMAN#Q9Y243/XLOC-015245#KPCD-RAT#P09215/gene-evm.model.ptg000004l.733-1#KPCD-MOUSE#P28867/gene-evm.model.ptg000012l.731#AKT3-HUMAN#Q9Y243/XLOC-004887#SOX9B-XENLA#Q6DFF5/gene-evm.model.ptg000023l.170#SOX9B-XENLA#Q6DFF5/XLOC-025888#HS71A-BOVIN#Q27975/novel-gene-chr8-8441#HS71A-BOVIN#Q27975/XLOC-006749#TRIO-HUMAN#O75962/XLOC-007156#KALRN-MOUSE#A2CG49/gene-evm.model.ptg000012l.868#TRIO-HUMAN#O75962/gene-evm.model.ptg000012l.91-1#TRIO-DANRE#Q1LUA6/XLOC-000541#PO4F3-DANRE#Q90435/gene-evm.model.ptg000003l.1055#PO4F3-DANRE#Q90435/XLOC-015236#MK14-XENLA#P47812/XLOC-024401#MK01-MOUSE#P63085/gene-evm.model.ptg000004l.724#MK14-XENLA#P47812/XLOC-013198#S12A2-HUMAN#P55011/XLOC-013844#S12A2-SQUAC#P55013/XLOC-001360#PDE2A-RAT#Q01062/XLOC-000351#AT2B4-BOVIN#D3K0R6/XLOC-024724#ODP2-SCHPO#O59816/gene-evm.model.ptg000008l.639-1#ODP2-SCHPO#O59816/XLOC-003589#JUND-CHICK#P27921/XLOC-008960#JUN-COTJA#P12981/XLOC-006908#CTNB-URECA#P35224,43,response to mechanical stimulus,BP
GO:0015271,outward rectifier potassium channel activity,15/547,19/15357,0.789473684210526,22.1644376022323,17.740030082348,5.30946188469317e-19,2.73118719348617e-16,1.60792861497497e-16,XLOC-003641#KCNAL-DROME#P17971/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-013553#KCNK4-RAT#G3V8V5,15,outward rectifier potassium channel activity,MF
GO:0022843,voltage-gated monoatomic cation channel activity,23/547,60/15357,0.383333333333333,10.7620658135283,14.5602693387785,2.11846104970726e-18,9.90669421790376e-16,5.83235640192132e-16,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8,23,voltage-gated monoatomic cation channel activity,MF
GO:0046873,metal ion transmembrane transporter activity,42/547,235/15357,0.178723404255319,5.01765140612237,11.9277012283572,3.02470036051221e-18,1.29658822120623e-15,7.63338854139791e-16,XLOC-003641#KCNAL-DROME#P17971/XLOC-005565#KCNA1-HUMAN#Q09470/XLOC-005680#KCNA5-MUSPF#P79197/XLOC-009568#KCNA1-MOUSE#P16388/XLOC-010099#KCNA1-HUMAN#Q09470/XLOC-010401#KCNAS-DROME#P08510/XLOC-010968#KCNA1-ONCMY#Q9I829/XLOC-011445#KCNA2-RABIT#Q09081/XLOC-012855#KCNB2-BOVIN#Q4ZHA6/XLOC-014487#KCND1-MOUSE#Q03719/XLOC-016576#KCNAS-DROME#P08510/XLOC-020142#KCA10-CHICK#Q7T199/XLOC-021753#KCNA1-HUMAN#Q09470/XLOC-024225#KCNA1-ONCMY#Q9I829/XLOC-025480#KCNA1-HUMAN#Q09470/gene-evm.model.ptg000015l.85#KCNAS-DROME#P08510/gene-evm.model.ptg000020l.128#KCA10-CHICK#Q7T199/XLOC-018209#S4A8-MOUSE#Q8JZR6/XLOC-020990#B3A2-RAT#P23347/gene-evm.model.ptg000014l.5#S4A8-MOUSE#Q8JZR6/XLOC-009257#KCNK9-XENLA#Q63ZI0/XLOC-012495#KCNK3-MOUSE#O35111/XLOC-013553#KCNK4-RAT#G3V8V5/XLOC-014890#TWK7-CAEEL#P34410/XLOC-020267#KCNK1-CAVPO#Q8R454/XLOC-026089#SUP9-CAEEL#O17185/gene-evm.model.ptg000024l.293#KCNK9-XENLA#Q63ZI0/XLOC-004452#NCKX4-HUMAN#Q8NFF2/XLOC-004464#NCKX4-HUMAN#Q8NFF2/XLOC-006845#NCKX4-HUMAN#Q8NFF2/XLOC-024181#NCLX-CHICK#F1NXU8/XLOC-025534#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000007l.827#NCKX2-MOUSE#Q8BUN9/gene-evm.model.ptg000012l.687#NCKX4-HUMAN#Q8NFF2/XLOC-001159#CA2D3-HUMAN#Q8IZS8/gene-evm.model.ptg000003l.365#CA2D3-HUMAN#Q8IZS8/XLOC-013198#S12A2-HUMAN#P55011/XLOC-013844#S12A2-SQUAC#P55013/XLOC-001360#PDE2A-RAT#Q01062/XLOC-000351#AT2B4-BOVIN#D3K0R6/XLOC-024724#ODP2-SCHPO#O59816/gene-evm.model.ptg000008l.639-1#ODP2-SCHPO#O59816,42,metal ion transmembrane transporter activity,MF
