protein_id,orthogroup
Hhon-g00221.t1,OG0000000
Hhon-g00222.t1,OG0000000
Hhon-g00223.t1,OG0000000
Hhon-g00224.t1,OG0000000
Hhon-g00231.t1,OG0000000
Hhon-g01128.t1,OG0000000
Hhon-g01188.t1,OG0000000
Hhon-g01189.t1,OG0000000
Hhon-g01283.t1,OG0000000
Hhon-g01284.t1,OG0000000
Hhon-g01331.t1,OG0000000
Hhon-g02427.t1,OG0000000
Hhon-g03206.t1,OG0000000
Hhon-g04647.t1,OG0000000
Hhon-g04714.t1,OG0000000
Hhon-g04715.t1,OG0000000
Hhon-g05667.t1,OG0000000
Hhon-g05668.t1,OG0000000
Hhon-g05669.t1,OG0000000
Hhon-g06332.t1,OG0000000
Hhon-g06358.t1,OG0000000
Hhon-g08731.t1,OG0000000
Hhon-g08807.t1,OG0000000
Hhon-g08808.t1,OG0000000
Hhon-g08809.t1,OG0000000
Hhon-g09737.t1,OG0000000
Hhon-g09818.t1,OG0000000
Hhon-g11128.t1,OG0000000
Hhon-g00727.t1,OG0000002
Hhon-g00728.t1,OG0000002
Hhon-g00729.t1,OG0000002
Hhon-g00730.t1,OG0000002
Hhon-g00790.t1,OG0000002
Hhon-g00793.t1,OG0000002
Hhon-g00805.t1,OG0000002
Hhon-g00965.t1,OG0000002
Hhon-g01329.t1,OG0000002
Hhon-g01338.t1,OG0000002
Hhon-g01339.t1,OG0000002
Hhon-g01340.t1,OG0000002
Hhon-g01341.t1,OG0000002
Hhon-g01342.t1,OG0000002
Hhon-g01343.t1,OG0000002
Hhon-g01344.t1,OG0000002
Hhon-g01545.t1,OG0000002
Hhon-g01924.t1,OG0000002
Hhon-g02022.t1,OG0000002
Hhon-g03896.t1,OG0000002
Hhon-g04462.t1,OG0000002
Hhon-g04818.t1,OG0000002
Hhon-g04819.t1,OG0000002
Hhon-g04820.t1,OG0000002
Hhon-g04821.t1,OG0000002
Hhon-g04822.t1,OG0000002
Hhon-g04823.t1,OG0000002
Hhon-g05035.t1,OG0000002
Hhon-g05113.t1,OG0000002
Hhon-g05138.t1,OG0000002
Hhon-g05139.t1,OG0000002
Hhon-g05140.t1,OG0000002
Hhon-g05141.t1,OG0000002
Hhon-g05142.t1,OG0000002
Hhon-g05143.t1,OG0000002
Hhon-g05144.t1,OG0000002
Hhon-g05145.t1,OG0000002
Hhon-g05281.t1,OG0000002
Hhon-g05282.t1,OG0000002
Hhon-g05283.t1,OG0000002
Hhon-g05284.t1,OG0000002
Hhon-g05285.t1,OG0000002
Hhon-g05381.t1,OG0000002
Hhon-g05484.t1,OG0000002
Hhon-g05579.t1,OG0000002
Hhon-g06514.t1,OG0000002
Hhon-g10379.t1,OG0000002
Hhon-g10380.t1,OG0000002
Hhon-g10461.t1,OG0000002
Hhon-g10493.t1,OG0000002
Hhon-g11348.t1,OG0000002
Hhon-g01712.t1,OG0000003
Hhon-g01713.t1,OG0000003
Hhon-g03303.t1,OG0000003
Hhon-g04140.t1,OG0000003
Hhon-g04141.t1,OG0000003
Hhon-g04180.t1,OG0000003
Hhon-g04183.t1,OG0000003
Hhon-g04199.t1,OG0000003
Hhon-g04425.t1,OG0000003
Hhon-g04570.t1,OG0000003
Hhon-g04920.t1,OG0000003
Hhon-g04921.t1,OG0000003
Hhon-g05025.t1,OG0000003
