Orthogroup_ID,species,phylum,display_order,n_proteins
OG0000036,Auco,Cnidaria,6,32
OG0000036,ClH23,Placozoa,2,4
OG0000036,Clhe,Cnidaria,7,29
OG0000036,Dare,Bilateria,9,77
OG0000036,HoH13,Placozoa,3,3
OG0000036,Neve,Cnidaria,8,33
OG0000036,Spla,Porifera,1,1
OG0000036,TrH1,Placozoa,5,4
OG0000036,TrH2,Placozoa,4,4
OG0000112,Auco,Cnidaria,6,26
OG0000112,ClH23,Placozoa,2,1
OG0000112,Clhe,Cnidaria,7,25
OG0000112,Dare,Bilateria,9,31
OG0000112,HoH13,Placozoa,3,1
OG0000112,Neve,Cnidaria,8,28
OG0000112,Spla,Porifera,1,1
OG0000112,TrH1,Placozoa,5,1
OG0000112,TrH2,Placozoa,4,1
OG0000133,Auco,Cnidaria,6,6
OG0000133,ClH23,Placozoa,2,7
OG0000133,Clhe,Cnidaria,7,7
OG0000133,Dare,Bilateria,9,52
OG0000133,HoH13,Placozoa,3,3
OG0000133,Neve,Cnidaria,8,8
OG0000133,Spla,Porifera,1,3
OG0000133,TrH1,Placozoa,5,6
OG0000133,TrH2,Placozoa,4,9
OG0000166,Auco,Cnidaria,6,7
OG0000166,ClH23,Placozoa,2,2
OG0000166,Clhe,Cnidaria,7,17
OG0000166,Dare,Bilateria,9,14
OG0000166,HoH13,Placozoa,3,6
OG0000166,Neve,Cnidaria,8,18
OG0000166,Spla,Porifera,1,6
OG0000166,TrH1,Placozoa,5,9
OG0000166,TrH2,Placozoa,4,8
OG0000203,Auco,Cnidaria,6,7
OG0000203,ClH23,Placozoa,2,4
OG0000203,Clhe,Cnidaria,7,13
OG0000203,Dare,Bilateria,9,27
OG0000203,HoH13,Placozoa,3,5
OG0000203,Neve,Cnidaria,8,9
OG0000203,Spla,Porifera,1,4
OG0000203,TrH1,Placozoa,5,5
OG0000203,TrH2,Placozoa,4,4
OG0000260,Auco,Cnidaria,6,9
OG0000260,ClH23,Placozoa,2,2
OG0000260,Clhe,Cnidaria,7,6
OG0000260,Dare,Bilateria,9,33
OG0000260,HoH13,Placozoa,3,1
OG0000260,Neve,Cnidaria,8,6
OG0000260,Spla,Porifera,1,6
OG0000260,TrH1,Placozoa,5,3
OG0000260,TrH2,Placozoa,4,2
