gene_ids,uniprot_id,uniprot_genes
XLOC-000965#EXOG-DANRE#Q502K1,Q502K1,exog
XLOC-000001#XLOC-000001,XLOC-000001#XLOC-000001,XLOC-000001#XLOC-000001
XLOC-000969#RL9-ICTPU#Q90YW0,Q90YW0,rpl9
XLOC-000975#FGFR1-MOUSE#P16092,P16092,Fgfr1
XLOC-000988#ZN595-HUMAN#Q8IYB9,Q8IYB9,ZNF595
XLOC-000987#TM9S3-HUMAN#Q9HD45,Q9HD45,TM9SF3
XLOC-000972#XLOC-000972,XLOC-000972#XLOC-000972,XLOC-000972#XLOC-000972
XLOC-000983#NUD24-ARATH#P0C026,P0C026,NUDT24
gene-evm.model.ptg000003l.5,gene-evm.model.ptg000003l.5,gene-evm.model.ptg000003l.5
XLOC-000968#XLOC-000968,XLOC-000968#XLOC-000968,XLOC-000968#XLOC-000968
XLOC-000004#TM165-MOUSE#P52875,P52875,Tmem165
XLOC-000971#XLOC-000971,XLOC-000971#XLOC-000971,XLOC-000971#XLOC-000971
gene-evm.model.ptg000003l.23#TLL1-CHICK#Q9DER7,Q9DER7,TLL1
gene-evm.model.ptg000003l.14#TM165-MOUSE#P52875,P52875,Tmem165
XLOC-000973#HPDL-MOUSE#Q8K248,Q8K248,Hpdl
XLOC-000974#FGFR1-XENLA#P22182,P22182,fgfr1
XLOC-000985#CSCL6-ARATH#F4HYR3,F4HYR3,OSCA1.4
XLOC-000978#XLOC-000978,XLOC-000978#XLOC-000978,XLOC-000978#XLOC-000978
XLOC-000986#XLOC-000986,XLOC-000986#XLOC-000986,XLOC-000986#XLOC-000986
XLOC-000989#IF2P-MOUSE#Q05D44,Q05D44,Eif5b
XLOC-000979#XLOC-000979,XLOC-000979#XLOC-000979,XLOC-000979#XLOC-000979
XLOC-000981#XLOC-000981,XLOC-000981#XLOC-000981,XLOC-000981#XLOC-000981
XLOC-000984#XLOC-000984,XLOC-000984#XLOC-000984,XLOC-000984#XLOC-000984
XLOC-000008#XLOC-000008,XLOC-000008#XLOC-000008,XLOC-000008#XLOC-000008
XLOC-000011#NID2-RAT#B5DFC9,B5DFC9,Nid2
gene-evm.model.ptg000003l.44#MO4L1-RAT#Q6AYU1,Q6AYU1,Morf4l1
XLOC-000009#XLOC-000009,XLOC-000009#XLOC-000009,XLOC-000009#XLOC-000009
gene-evm.model.ptg000003l.47-1#DOCK3-HUMAN#Q8IZD9,Q8IZD9,DOCK3
XLOC-000990#FUT10-XENLA#Q6NTZ6,Q6NTZ6,fut10
gene-evm.model.ptg000003l.37#gene-evm.model.ptg000003l.37,gene-evm.model.ptg000003l.37#gene-evm.model.ptg000003l.37,gene-evm.model.ptg000003l.37#gene-evm.model.ptg000003l.37
XLOC-000010#XLOC-000010,XLOC-000010#XLOC-000010,XLOC-000010#XLOC-000010
XLOC-000018#RHG26-XENLA#Q5U4T3,Q5U4T3,arhgap26
XLOC-000012#XLOC-000012,XLOC-000012#XLOC-000012,XLOC-000012#XLOC-000012
XLOC-000991#XLOC-000991,XLOC-000991#XLOC-000991,XLOC-000991#XLOC-000991
XLOC-000021#ACO11-MOUSE#Q8VHQ9,Q8VHQ9,Acot11
XLOC-000017#ZDH22-ARATH#Q52T38,Q52T38,PAT24
XLOC-000019#RENBP-PIG#P17560,P17560,RENBP
XLOC-000995#ABCB9-MOUSE#Q9JJ59,Q9JJ59,Abcb9
XLOC-000020#NRT2-CHICK#P55807,P55807,XLOC-000020#NRT2-CHICK#P55807
XLOC-000022#RED-MOUSE#Q9Z1M8,Q9Z1M8,Ik
XLOC-000996#SMC1A-XENLA#O93308,O93308,smc1a
XLOC-000997#KIBRA-XENTR#A4IIJ3,A4IIJ3,wwc1
XLOC-001003#SP30L-DANRE#Q6NYV5,Q6NYV5,sap30l
XLOC-000023#LIN7C-BOVIN#Q0P5F3,Q0P5F3,LIN7C
XLOC-000026#HCD2-BOVIN#O02691,O02691,HSD17B10
