Orthogroup_ID	species	phylum	display_order	protein_id	esm_id
OG0000036	Auco	Cnidaria	6	XLOC-003289#KCNC1-HUMAN#P48547	Auco__XLOC-003289#KCNC1-HUMAN#P48547
OG0000036	Auco	Cnidaria	6	XLOC-003330#KCNAW-DROME#P17972	Auco__XLOC-003330#KCNAW-DROME#P17972
OG0000036	Auco	Cnidaria	6	XLOC-003641#KCNAL-DROME#P17971	Auco__XLOC-003641#KCNAL-DROME#P17971
OG0000036	Auco	Cnidaria	6	XLOC-003896#KCNAW-DROME#P17972	Auco__XLOC-003896#KCNAW-DROME#P17972
OG0000036	Auco	Cnidaria	6	XLOC-005565#KCNA1-HUMAN#Q09470	Auco__XLOC-005565#KCNA1-HUMAN#Q09470
OG0000036	Auco	Cnidaria	6	XLOC-005680#KCNA5-MUSPF#P79197	Auco__XLOC-005680#KCNA5-MUSPF#P79197
OG0000036	Auco	Cnidaria	6	XLOC-005713#KCNA1-ONCMY#Q9I829	Auco__XLOC-005713#KCNA1-ONCMY#Q9I829
OG0000036	Auco	Cnidaria	6	XLOC-009107#KCNA1-HUMAN#Q09470	Auco__XLOC-009107#KCNA1-HUMAN#Q09470
OG0000036	Auco	Cnidaria	6	XLOC-009375#KCNA1-ONCMY#Q9I829	Auco__XLOC-009375#KCNA1-ONCMY#Q9I829
OG0000036	Auco	Cnidaria	6	XLOC-009568#KCNA1-MOUSE#P16388	Auco__XLOC-009568#KCNA1-MOUSE#P16388
OG0000036	Auco	Cnidaria	6	XLOC-010047#KCNC1-MOUSE#P15388	Auco__XLOC-010047#KCNC1-MOUSE#P15388
OG0000036	Auco	Cnidaria	6	XLOC-010099#KCNA1-HUMAN#Q09470	Auco__XLOC-010099#KCNA1-HUMAN#Q09470
OG0000036	Auco	Cnidaria	6	XLOC-010401#KCNAS-DROME#P08510	Auco__XLOC-010401#KCNAS-DROME#P08510
OG0000036	Auco	Cnidaria	6	XLOC-010522#KCNC1-HUMAN#P48547	Auco__XLOC-010522#KCNC1-HUMAN#P48547
OG0000036	Auco	Cnidaria	6	XLOC-010630#KCA10-CHICK#Q7T199	Auco__XLOC-010630#KCA10-CHICK#Q7T199
OG0000036	Auco	Cnidaria	6	XLOC-010968#KCNA1-ONCMY#Q9I829	Auco__XLOC-010968#KCNA1-ONCMY#Q9I829
OG0000036	Auco	Cnidaria	6	XLOC-011445#KCNA2-RABIT#Q09081	Auco__XLOC-011445#KCNA2-RABIT#Q09081
OG0000036	Auco	Cnidaria	6	XLOC-012855#KCNB2-BOVIN#Q4ZHA6	Auco__XLOC-012855#KCNB2-BOVIN#Q4ZHA6
OG0000036	Auco	Cnidaria	6	XLOC-012856#KCNB1-MOUSE#Q03717	Auco__XLOC-012856#KCNB1-MOUSE#Q03717
OG0000036	Auco	Cnidaria	6	XLOC-014487#KCND1-MOUSE#Q03719	Auco__XLOC-014487#KCND1-MOUSE#Q03719
OG0000036	Auco	Cnidaria	6	XLOC-016576#KCNAS-DROME#P08510	Auco__XLOC-016576#KCNAS-DROME#P08510
OG0000036	Auco	Cnidaria	6	XLOC-019912#KCND1-MOUSE#Q03719	Auco__XLOC-019912#KCND1-MOUSE#Q03719
OG0000036	Auco	Cnidaria	6	XLOC-020142#KCA10-CHICK#Q7T199	Auco__XLOC-020142#KCA10-CHICK#Q7T199
OG0000036	Auco	Cnidaria	6	XLOC-021753#KCNA1-HUMAN#Q09470	Auco__XLOC-021753#KCNA1-HUMAN#Q09470
OG0000036	Auco	Cnidaria	6	XLOC-023966#KCNA4-HUMAN#P22459	Auco__XLOC-023966#KCNA4-HUMAN#P22459
OG0000036	Auco	Cnidaria	6	XLOC-024225#KCNA1-ONCMY#Q9I829	Auco__XLOC-024225#KCNA1-ONCMY#Q9I829
